CCS1477_6	JQ1_6	LOG2_FOLD_CHANGE	P_VALUE
WASH7P	34.9252372121632	19.1781033106071	-0.864809867696753	0.016422690885164
LOC100133331	1.18377407195056	0.880195087551728	-0.427498538023334	0.00943549365936288
LOC100288069	8.35799783498041	5.56834325126363	-0.585909238485441	0.0348556629371812
LINC00115	2.26735175189871	2.04062626305102	-0.151996245316484	0.651757949439873
LINC01128	7.7046503016475	8.19736758283838	0.0894312148163937	0.156342693584578
NOC2L	110.138011126109	87.9890242704675	-0.323916982970959	0.000774414483865422
KLHL17	12.7812872168345	5.77889850887919	-1.14516670081902	0.0138647618844496
PLEKHN1	5.3781469383447	5.11014909350632	-0.073743788364902	0.265355251673115
ISG15	22.0637440610338	16.8334278543162	-0.39034863882068	0.0179285474919881
AGRN	0.983561037698242	0.77413119668175	-0.345436496537869	0.113037237519154
C1orf159	12.5097618088852	6.77033376692969	-0.885755456957399	0.00895240530319262
SDF4	210.599649659065	165.108519346675	-0.351088473358902	0.0041728331358096
B3GALT6	18.0836622167178	7.54701485613576	-1.26070885579838	0.000254500542376098
UBE2J2	80.7855106853429	61.834438952629	-0.385685983999133	0.00260753343340625
SCNN1D	0.927218404305828	0.492121148382863	-0.913895686516132	0.182293152367488
ACAP3	31.6327429584024	25.2117282390978	-0.327323644255862	0.072738025262111
PUSL1	40.3242548275385	29.9052140021366	-0.431250831741704	0.00590941659411135
CPSF3L	77.933319753924	68.070552699658	-0.195209448896503	0.0127024422705654
CPTP	56.3145082472854	48.1051660609673	-0.227314815440636	0.0305886098168459
TAS1R3	0.473167552439391	0.500914675430418	0.082213735269642	0.721217211927538
DVL1	23.352810784283	14.5321470252321	-0.684348338597591	0.00124555905771017
AURKAIP1	217.144913705789	181.84279769479	-0.255966374571867	0.0525545337959755
CCNL2	118.674054705798	96.9675688274322	-0.291430339839312	0.192254313729323
LOC148413	69.2039847958861	72.3143754724522	0.0634273597149534	0.346541657034656
MRPL20	188.888832514702	146.561699650264	-0.366029269908095	0.00627795323631028
ATAD3C	16.7585762211455	15.3742224075138	-0.124386141306302	0.0691209603110534
ATAD3B	29.5832581101464	23.8152935616131	-0.312892618020778	0.159534206906549
ATAD3A	36.3407798646148	32.4687511496972	-0.162537484699788	0.0967164800482192
SSU72	132.899186513534	112.140540997501	-0.245024338890113	0.00114867356782126
MIB2	9.53574252427738	8.80268198514195	-0.115402133517621	0.500824028842356
CDK11B	42.7349125280609	32.298772495004	-0.403935832630041	0.00627099211019166
SLC35E2B	42.4449054716211	39.0045167231297	-0.121950204287839	0.253767701385845
CDK11A	17.0638086089267	12.4591491769398	-0.453734137828846	0.00706099729347001
SLC35E2	11.6663873565995	10.9959929029636	-0.0853800007395834	0.447808318612906
NADK	45.403829269951	48.0372925419807	0.0813408640347151	0.156975281208982
GNB1	181.167636724813	151.867193634747	-0.254515007051056	0.0022421214082974
TMEM52	11.6277679479482	13.0735625744889	0.169078146852643	0.25006603182198
FAAP20	7.36122603842247	5.82895917339869	-0.336707775391347	0.00743504416108308
SKI	40.6609275901137	34.787193627352	-0.225086829767836	0.0360946970108082
MORN1	1.10628719122969	0.758152897386187	-0.545165224144523	0.111370023062544
RER1	97.6168446483508	87.0999598162262	-0.164458065802456	0.000642844683527921
PEX10	26.1394976163414	11.2884585966814	-1.21138290965185	0.00160971313367812
PANK4	31.9094505565602	22.4896377776037	-0.504723342327537	0.0110603944562527
