KB528_0	KB528_24	LOG2_FOLD_CHANGE	P_VALUE
WASH7P	33.0696110135168	45.2238438209517	0.451577544112707	0.0843364896301614
LOC100133331	0.902304972804705	1.86492786030192	1.04743278289109	0.0253219099148939
LOC100288069	6.41405156228677	13.8141634228435	1.10684033937755	0.0400248109869826
LINC00115	3.24680450572929	4.51318343494413	0.475124896279128	0.0307371428638262
LINC01128	4.87270788534556	4.32438696227211	-0.172228110212036	0.113125650160535
NOC2L	93.1980079350242	74.1988056815447	-0.328903153127575	0.0124654840923861
KLHL17	10.1635163329879	17.280612881957	0.765754759305919	0.0370899288044858
PLEKHN1	4.02902643413473	5.63389657414523	0.483701808342871	0.0539730282026531
ISG15	13.6982708120135	14.1467336087715	0.0464751948919078	0.42382727300154
AGRN	0.33118685645474	0.6409940041977	0.952665443162333	0.0307023413907521
C1orf159	17.8178295865053	14.2018003013819	-0.327247785370308	0.0770702950315791
SDF4	192.552139553325	225.811789487161	0.229871656443668	0.011744497975961
B3GALT6	20.1057176109378	27.8159808658247	0.468308150210254	0.00733817917094941
UBE2J2	66.910583673123	72.565756823826	0.117054483850614	0.207053295668667
SCNN1D	0.340265623968376	0.990132924071033	1.54096081070368	0.0296937677616612
ACAP3	25.0016921325944	17.9385955922483	-0.478958794357512	0.00471381851816332
PUSL1	42.039481893297	26.4513620455426	-0.668402877059773	0.000275949038056317
CPSF3L	73.4889041171943	81.4791840009164	0.148905094121826	0.198017654892991
CPTP	45.0832037028479	55.8606228230044	0.309241619209562	0.0231720197808899
TAS1R3	0.525580633811205	0.816043592337712	0.63473410443911	0.0729875060159554
DVL1	30.1495131629851	29.253352488034	-0.0435327368253695	0.735989582929655
AURKAIP1	215.392424276387	174.949095280596	-0.300032304752122	0.0433210783266439
CCNL2	75.2253974234395	106.022695295855	0.495081393608234	0.0769608852113007
LOC148413	69.7236130962913	88.0801742774197	0.337169991210192	0.00878554806996579
MRPL20	218.455238770389	189.660309908995	-0.203919904963135	0.0998283097971091
ATAD3C	26.4266090439646	25.6916605257408	-0.0406911772660041	0.738118036018793
ATAD3B	37.9227965409042	23.9271164370906	-0.664418815048948	0.0158616231134386
ATAD3A	50.3678922234583	21.7540427946714	-1.21122082102874	0.000860803336477667
SSU72	237.461432834646	259.146709394903	0.126075856754855	0.164153086227794
MIB2	10.6781714628293	24.5850712779436	1.20311791776039	0.0117133339212923
CDK11B	26.4490369224417	38.8615685209325	0.555128940742348	0.00253690657157391
SLC35E2B	47.5335514680435	82.3408521198575	0.792662182149352	0.0140843830043893
CDK11A	10.7474649333504	20.652696448179	0.942333751323602	0.00752039030717168
SLC35E2	10.1020692469144	21.4362276298126	1.08540020492711	0.0174801045910835
NADK	58.5477491902216	62.7200750605919	0.0993135771855661	0.28208881971855
GNB1	180.777601296634	245.359953585908	0.440683862757797	0.00665681717529853
TMEM52	2.47781032129569	0.852042906769891	-1.54006776410567	0.00213005161155844
FAAP20	8.47751942626591	12.8071333589691	0.595233500780377	0.000322646116106618
SKI	11.9081881027378	13.1530897065731	0.143447817615878	0.17123452587155
MORN1	0.837784701544278	1.88882437621222	1.172837120419	0.00387608949940062
RER1	94.0796293705742	118.072081642826	0.327713595448914	0.0287480753829292
PEX10	23.7548850062809	43.6569388782996	0.87798675259527	0.00184364189217243
PANK4	22.1502992352221	23.4323517188807	0.0811755645766729	0.139408359622115
LOC115110	15.9065106037955	30.916228708945	0.958746956283641	0.0208125678233402
TNFRSF14	48.8349525759718	51.0802481283305	0.0648514374193605	0.486593072192947
FAM213B	8.35440931900842	6.47967177052722	-0.366617094299572	0.0881374207525761
TPRG1L	59.9185460953567	105.925477982306	0.821975115997149	0.00443414401434937
WRAP73	39.40413466648	41.0953313114262	0.0606274846973653	0.567136784372967
TP73	8.29874751624912	1.59446661228102	-2.37981972671507	0.000203571094932294
TP73-AS1	1.78306767775525	3.20391647592315	0.845475075446685	0.0139753039632449
LRRC47	58.1668176126669	77.7193704540648	0.418077840310698	0.0246137513453128
CEP104	24.8212912823217	39.2706688549253	0.661873999087585	0.0100486566680346
DFFB	8.7201266571988	8.57903739234545	-0.0235333101099835	0.820941789342738
C1orf174	33.6084951944827	26.0609866154318	-0.366934245647909	0.0260861459702427
LINC01134	2.40714304014601	4.59610947871126	0.93309128927782	0.00661702026048302
NPHP4	8.35097001275524	11.6256924205597	0.477300955308453	0.0455053268778849
KCNAB2	68.7757024707073	45.3476541792658	-0.600871047716917	0.00208563792089734
RPL22	538.542911011367	518.521670175223	-0.054657019318433	0.54024483337792
RNF207	2.07014691460119	6.1045492723647	1.56015162134394	0.0495784844975517
ICMT	49.6453309529563	39.4776522964629	-0.330621845007501	0.000109582309845567
LINC00337	0.653516792212241	1.03108595779963	0.657868397961285	0.00349365496460337
GPR153	0.39548622022032	0.458991258442888	0.21483924927249	0.314131309837518
ACOT7	44.0941361424341	17.6839258365592	-1.31814822278113	0.000291818693581076
PLEKHG5	0.630564546169461	0.920462133657144	0.545714316627471	0.0561506951108749
NOL9	12.8591785899033	17.0003379957332	0.402764939797366	0.0285654737150261
ZBTB48	18.0190654059786	34.7276780716626	0.946561768971835	0.014949691902278
