JQ1_0	JQ1_6	LOG2_FOLD_CHANGE	P_VALUE
WASH7P	31.9145098738609	19.1781033106071	-0.734752445063513	0.000287984786081849
LOC100133331	0.747742776670771	0.880195087551728	0.235281251224323	0.0811889479555763
LOC100288069	5.93345025491116	5.56834325126363	-0.0916231181933035	0.610521925202422
LINC00115	2.87172230365375	2.04062626305102	-0.492904267274455	0.0532253043366167
LINC01128	4.87598312045849	8.19736758283838	0.749467560373406	0.000269181231119942
NOC2L	96.5380740320228	87.9890242704675	-0.133774471260494	0.0193454624894946
KLHL17	9.26107410645057	5.77889850887919	-0.680384995062458	0.00479783165882758
PLEKHN1	4.31916088920105	5.11014909350632	0.242614325700858	0.027531316614555
ISG15	12.6659559084462	16.8334278543162	0.410373025657725	0.0442600911484392
AGRN	0.353765745952748	0.77413119668175	1.12978372624345	0.0299551264025689
C1orf159	18.0333827763431	6.77033376692969	-1.41337118555527	0.000367132250778605
SDF4	194.683587489226	165.108519346675	-0.237716701895452	0.0269903664666598
B3GALT6	20.9247349080994	7.54701485613576	-1.4712313263964	2.52045146229887e-05
UBE2J2	68.0984207618832	61.834438952629	-0.139210764684292	0.0743201480940455
SCNN1D	0.254724438756219	0.492121148382863	0.950076134874896	0.0147193306765926
ACAP3	22.2664431547207	25.2117282390978	0.179223896719941	0.0140216213253394
PUSL1	40.8351965987909	29.9052140021366	-0.449416131907823	0.00967942313504469
CPSF3L	73.533397367063	68.070552699658	-0.111368817653097	0.0834496551972223
CPTP	43.2422451947299	48.1051660609673	0.153750403093129	0.108122606167452
TAS1R3	0.566520355069644	0.500914675430418	-0.177562913757624	0.444887742782871
DVL1	32.2482984765221	14.5321470252321	-1.14997517430141	8.87250735876575e-05
AURKAIP1	225.114211349784	181.84279769479	-0.307965350651283	0.0299978018487491
CCNL2	65.5197361076956	96.9675688274322	0.565572766840566	0.0040538880673583
LOC148413	73.4757095415654	72.3143754724522	-0.0229849148037831	0.691182294659288
MRPL20	227.719774127025	146.561699650264	-0.635751434522318	0.00181163532944192
ATAD3C	27.3519839488596	15.3742224075138	-0.83113203712781	0.00134723484734176
ATAD3B	35.1610229546662	23.8152935616131	-0.562088711698059	1.28075916226492e-05
ATAD3A	51.5274386619325	32.4687511496972	-0.666288985346351	2.71184176851863e-05
SSU72	234.767536347175	112.140540997501	-1.06592499148232	0.000407311823390218
MIB2	10.3305418952473	8.80268198514195	-0.230900880148155	0.0138343580194735
CDK11B	28.1182082102247	32.298772495004	0.199974672969658	0.00367077449467045
SLC35E2B	45.7572884292237	39.0045167231297	-0.230360362996897	0.00442657439801623
CDK11A	9.61188541983794	12.4591491769398	0.374314195714091	0.0169467596598716
SLC35E2	9.41691553303669	10.9959929029636	0.223651386557664	0.0306075691654736
NADK	58.5676208459896	48.0372925419807	-0.285948449230709	0.00318303926257045
GNB1	186.321187538743	151.867193634747	-0.294981487487415	0.00357698259455171
TMEM52	2.48618984722665	13.0735625744889	2.39464396134308	0.0034856687494262
FAAP20	7.82647008654652	5.82895917339869	-0.425123469503206	0.00358771066316494
SKI	11.6055948649828	34.787193627352	1.58373582529632	0.000322843915756546
MORN1	0.817360185598868	0.758152897386187	-0.108483142643585	0.682112355969652
RER1	94.1989329792357	87.0999598162262	-0.113038664839336	0.00491747818900584
