KB528_0	Lenalidomide_24	LOG2_FOLD_CHANGE	P_VALUE
WASH7P	33.0696110135168	29.357709405279	-0.171766667417635	0.068507523654756
LOC100133331	0.902304972804705	0.69996761650111	-0.366326958442481	0.0847827920884041
LOC100288069	6.41405156228677	4.02427947238298	-0.672505452753641	0.00343251442611012
LINC00115	3.24680450572929	3.43147682126425	0.0798090889665535	0.55317634096351
LINC01128	4.87270788534556	5.21726489809434	0.0985699489135781	0.341651200608857
NOC2L	93.1980079350242	118.164635725754	0.342427307431476	0.00687586812021064
KLHL17	10.1635163329879	8.55416506661223	-0.248700674614393	0.00079432222966236
PLEKHN1	4.02902643413473	3.94074606722679	-0.0319624824676724	0.851916845954506
ISG15	13.6982708120135	8.91367225155455	-0.619901967143791	0.0399164089874367
AGRN	0.33118685645474	0.193280553581164	-0.776948927048896	0.0322855455710387
C1orf159	17.8178295865053	18.8347500082685	0.0800752737044302	0.497291057666334
SDF4	192.552139553325	196.186354873144	0.0269755491093271	0.590805048264203
B3GALT6	20.1057176109378	18.8932984024894	-0.0897312393481979	0.335776634783632
UBE2J2	66.910583673123	67.0221554225317	0.00240365496735693	0.924588591166152
SCNN1D	0.340265623968376	0.165970517859165	-1.03573441596679	0.151492783464668
ACAP3	25.0016921325944	23.1621215823077	-0.110258334826842	0.204285379470837
PUSL1	42.039481893297	49.833960518137	0.24538434650786	0.00674117657341625
CPSF3L	73.4889041171943	74.1588614603761	0.0130926569242639	0.843411131734552
CPTP	45.0832037028479	45.3098991329355	0.00723623923032484	0.873255764809323
TAS1R3	0.525580633811205	0.296601265311263	-0.82538736493564	0.111805633228615
DVL1	30.1495131629851	25.1499202825392	-0.261580879361452	0.131458437787875
AURKAIP1	215.392424276387	260.003576337453	0.271563958897497	0.0392641278254675
CCNL2	75.2253974234395	54.9447799131426	-0.453237400564933	0.00588777400883278
LOC148413	69.7236130962913	74.6240021872442	0.0979924036928582	0.245581358286589
MRPL20	218.455238770389	276.648791182167	0.340717916497865	0.00186155513449078
ATAD3C	26.4266090439646	17.3618753839693	-0.606068523727231	0.00766528050063103
ATAD3B	37.9227965409042	41.0502342495999	0.114325097816642	0.347062336572628
ATAD3A	50.3678922234583	69.2401421332483	0.459104327309425	0.00268883852610895
SSU72	237.461432834646	196.055608793356	-0.276430302645625	0.00124499641082253
MIB2	10.6781714628293	8.06623415663008	-0.404697428316925	0.0980786390302647
CDK11B	26.4490369224417	29.7890215521689	0.171565546665812	0.0296029513335003
SLC35E2B	47.5335514680435	35.5551554580133	-0.418887432399873	0.0210363215415203
CDK11A	10.7474649333504	10.9739666485627	0.0300886932451934	0.773632440435804
SLC35E2	10.1020692469144	6.90196226785732	-0.549572344315693	0.00384412990376667
NADK	58.5477491902216	58.7105236762139	0.00400541622909617	0.924483226283967
GNB1	180.777601296634	144.666592628354	-0.321484132451098	0.000350045649731209
TMEM52	2.47781032129569	1.75760743125816	-0.495452877368316	0.294105737434283
FAAP20	8.47751942626591	6.38985265538239	-0.407859520971396	0.00357625911484327
SKI	11.9081881027378	9.94661043469614	-0.259677037008954	0.0285818501948883
MORN1	0.837784701544278	0.863763633685216	0.0440570372856594	0.863587540501833
RER1	94.0796293705742	95.236547451224	0.0176329438222255	0.717162212600419
PEX10	23.7548850062809	27.7077688808418	0.222066322123452	0.021729171302536
PANK4	22.1502992352221	22.9914187048733	0.0537693027924426	0.319795984243364
LOC115110	15.9065106037955	11.1308583578913	-0.515052537104376	0.009371103466053
TNFRSF14	48.8349525759718	44.4882759854568	-0.134488903578919	0.0253551534211205
FAM213B	8.35440931900842	13.1172515386058	0.650855729046899	0.00577731891283533
TPRG1L	59.9185460953567	65.2399912667447	0.122753971244833	0.0206521568559695
