CCS1477_0	CCS1477_6	LOG2_FOLD_CHANGE	P_VALUE
WASH7P	35.2881986478804	34.9252372121632	-0.014915872479038	0.909832704643005
LOC100133331	0.731086563764384	1.18377407195056	0.695279620435149	0.00212663759670987
LOC100288069	6.35170462560157	8.35799783498041	0.39601356080251	0.208099806066069
LINC00115	2.93897376046328	2.26735175189871	-0.374304253543641	0.253111503687087
LINC01128	5.06886577633135	7.7046503016475	0.604066515403365	0.00103107923515564
NOC2L	102.067565807618	110.138011126109	0.109787970361935	0.0243928097435848
KLHL17	10.5675784091031	12.7812872168345	0.274388322044088	0.143120939007852
PLEKHN1	4.49454773621316	5.3781469383447	0.25893322027481	0.0947770140004617
ISG15	13.2211808765026	22.0637440610338	0.738826587004366	0.00706364035634403
AGRN	0.403236680424605	0.983561037698242	1.28638770629489	0.00229083338479932
C1orf159	20.4613721284083	12.5097618088852	-0.709848574420333	0.00396643646389598
SDF4	204.856571528676	210.599649659065	0.0398888630697634	0.293123770521532
B3GALT6	22.1748160819421	18.0836622167178	-0.294235263818852	0.00848852382456755
UBE2J2	66.3676240075756	80.7855106853429	0.283616935096609	0.0102619576986855
SCNN1D	0.339641359594991	0.927218404305828	1.44889704980749	0.101371906769863
ACAP3	27.4547251364211	31.6327429584024	0.204364193382162	0.154876894304254
PUSL1	43.7000916480426	40.3242548275385	-0.115988432025901	0.0542416585827008
CPSF3L	75.1947511591423	77.933319753924	0.0516083120945797	0.238001632711192
CPTP	45.7391216552149	56.3145082472854	0.300077988766804	0.00672929549406113
TAS1R3	0.655345834010818	0.473167552439391	-0.469905291452048	0.0845607376049076
DVL1	33.5262203661701	23.352810784283	-0.521693642059884	0.0065542772593533
AURKAIP1	235.03149246414	217.144913705789	-0.11419591988191	0.279394859123888
CCNL2	75.7080937718285	118.674054705798	0.648485109417821	0.061135702039914
LOC148413	78.2692732648801	69.2039847958861	-0.177590938155817	0.00523983976615383
MRPL20	218.858980268412	188.888832514702	-0.212464172929116	0.00912637333159169
ATAD3C	28.0209013051513	16.7585762211455	-0.741603776026524	2.77078988194956e-06
ATAD3B	40.0111845596424	29.5832581101464	-0.435622390973006	0.0442853273769735
ATAD3A	54.8054821550767	36.3407798646148	-0.592730832405435	0.00067746059352095
SSU72	240.98841030195	132.899186513534	-0.858631491743964	0.000773720992386689
MIB2	11.4270772748659	9.53574252427738	-0.261039262841766	0.1643616414792
CDK11B	28.8413792767981	42.7349125280609	0.567275009396941	0.00466046672683108
SLC35E2B	47.7356840062972	42.4449054716211	-0.169476729869664	0.143481842598726
