GNE781_6	JQ1_0	LOG2_FOLD_CHANGE	P_VALUE
WASH7P	29.6632250485867	31.9145098738609	0.105537032640463	0.19329333634969
LOC100133331	0.863692899513721	0.747742776670771	-0.207976360444195	0.151845747618463
LOC100288069	6.01168318705064	5.93345025491116	-0.0188977172312091	0.916153872579062
LINC00115	1.92598752037513	2.87172230365375	0.576317891765944	0.117105744283963
LINC01128	6.44196085224119	4.87598312045849	-0.401806761812385	0.00091037348403191
NOC2L	112.670088086812	96.5380740320228	-0.222934606439637	0.00079033978400369
KLHL17	10.0921369342699	9.26107410645057	-0.123980253464844	0.355110327696438
PLEKHN1	3.12625802114239	4.31916088920105	0.466314204108297	0.0368423397229323
ISG15	21.5656686281413	12.6659559084462	-0.767780484143265	0.00316419732504698
AGRN	0.437301102455969	0.353765745952748	-0.305832622448588	0.15129156174445
C1orf159	14.9028012840867	18.0333827763431	0.275086508840901	0.0320828658425933
SDF4	203.709203546846	194.683587489226	-0.0653798975692501	0.301689827918378
B3GALT6	21.6620844898997	20.9247349080994	-0.0499627310402858	0.218706994505585
UBE2J2	72.456655576884	68.0984207618832	-0.0894968742612415	0.123669529146264
SCNN1D	0.34263090306186	0.254724438756219	-0.427717897717536	0.201812971303182
ACAP3	23.0872002364044	22.2664431547207	-0.052222109227172	0.35289964257885
PUSL1	49.410628753903	40.8351965987909	-0.27500824080701	0.0247839898094582
CPSF3L	69.7979814227207	73.533397367063	0.0752143275201482	0.151210258334172
CPTP	49.1382111300847	43.2422451947299	-0.184403905881201	0.0284657970038184
TAS1R3	0.157572863793187	0.566520355069644	1.84610868866691	0.0175103177724901
DVL1	28.3212438023344	32.2482984765221	0.187338414753479	0.0249853554563648
AURKAIP1	256.094166531615	225.114211349784	-0.186017254428696	0.0157692829760608
CCNL2	61.7323766473914	65.5197361076956	0.0859022112401632	0.544827962181148
LOC148413	66.2001287942006	73.4757095415654	0.150433361948786	0.00719462003601511
MRPL20	249.929939430791	227.719774127025	-0.13426416023461	0.0550940897083858
