#20_0EX6_0229Kronos_MM1S-KB-24hr-2_H3K27Ac_hs-dm_i43_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/p300_internal_ChIP/rose/20_0EX6_0229Kronos_MM1S-KB-24hr-2_H3K27Ac_hs-dm_i43_ROSE/20_0EX6_0229Kronos_MM1S-KB-24hr-2_H3K27Ac_hs-dm_i43_peaks_6KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by X20_0EX6_0229Kronos_MM1S.KB.24hr.2_H3K27Ac_hs.dm_i43.bam
#Using cutoff of 31914.3456 for Super-Enhancers
#Created on Jul 18 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X20_0EX6_0229Kronos_MM1S.KB.24hr.2_H3K27Ac_hs.dm_i43.bam	X44_0EXW_0229Kronos_MM1S.KB.24hr.2_Input_hs_i90.bam	enhancerRank	isSuper
9_MACS_peak_17032_lociStitched	chr3	141079028	141176177	9	83138	709168.2702	22334.5551	1	1
6_MACS_peak_1990_lociStitched	chr1	203236333	203298299	6	41652	575360.5066	19711.3846	2	1
8_MACS_peak_12526_lociStitched	chr2	37509769	37606896	8	70914	531731.4742	20658.9129	3	1
10_MACS_peak_8683_lociStitched	chr16	11754766	11843377	10	75755	408204.2937	17793.0888	4	1
5_MACS_peak_1214_lociStitched	chr1	118142005	118219377	5	60399	342038.4004	10166.6808	5	1
3_MACS_peak_9864_lociStitched	chr17	32688443	32727311	3	33899	336367.5588	9192.282	6	1
3_MACS_peak_13137_lociStitched	chr2	99054685	99123482	3	58124	315957.1022	15183.4979	7	1
1_MACS_peak_18199_lociStitched	chr4	90204322	90230199	1	25878	290896.2955	7198.9814	8	1
8_MACS_peak_7375_lociStitched	chr14	91812942	91886191	8	64158	284645.614	8789.88	9	1
5_MACS_peak_9664_lociStitched	chr17	16847699	16895598	5	35753	256216.5409	9646.8586	10	1
3_MACS_peak_7514_lociStitched	chr14	106023380	106052854	3	27937	243458.1874	5785.7462	11	1
1_MACS_peak_20308_lociStitched	chr6	7878563	7920145	1	41583	245238.1614	10599.2518	12	1
5_MACS_peak_1481_lociStitched	chr1	154907726	154957807	5	38128	247199.816	14788.9193	13	1
3_MACS_peak_14563_lociStitched	chr20	30262065	30312266	3	47315	243284.0862	10898.6371	14	1
1_MACS_peak_15456_lociStitched	chr22	23269449	23286046	1	16598	234231.8013	4434.7184	15	1
3_MACS_peak_9903_lociStitched	chr17	34509548	34540406	3	28131	234233.8206	9121.6248	16	1
3_MACS_peak_9907_lociStitched	chr17	34597780	34641776	3	38607	236540.0944	11720.5344	17	1
3_MACS_peak_15476_lociStitched	chr22	24177151	24200997	3	17331	226222.2328	4728.6618	18	1
1_MACS_peak_2590_lociStitched	chr10	11201965	11224744	1	22780	227808.2232	7077.4353	19	1
5_MACS_peak_10763_lociStitched	chr18	9054636	9085808	5	21422	220557.486	6399.6116	20	1
5_MACS_peak_21237_lociStitched	chr6	108878280	108960707	5	79561	226468.1825	14218.6575	21	1
5_MACS_peak_15451_lociStitched	chr22	23217399	23249196	5	26226	218152.8576	5933.3202	22	1
5_MACS_peak_2044_lociStitched	chr1	206272100	206311168	5	25820	219820.0088	11040.6168	23	1
6_MACS_peak_10768_lociStitched	chr18	9094910	9157586	6	52587	221873.04	13343.7204	24	1
4_MACS_peak_3482_lociStitched	chr10	112600177	112633369	4	23217	210580.0056	7411.7736	25	1
1_MACS_peak_13748_lociStitched	chr2	182168186	182180670	1	12485	205145.8268	3571.6724	26	1
2_MACS_peak_3871_lociStitched	chr11	22676678	22704323	2	24027	204874.3305	5161.3215	27	1
3_MACS_peak_4215_lociStitched	chr11	65183036	65214585	3	25633	206794.2303	7404.5503	28	1
4_MACS_peak_5988_lociStitched	chr12	109009441	109036365	4	24482	202037.696	6424.0664	29	1
5_MACS_peak_17998_lociStitched	chr4	71515564	71555462	5	27636	197363.4366	8290.8044	30	1
1_MACS_peak_23962_lociStitched	chr8	120915386	120949059	1	33674	195017.1795	7014.0859	31	1
3_MACS_peak_4382_lociStitched	chr11	72850526	72870104	3	16361	192324.483	4606.7034	32	1
1_MACS_peak_5094_lociStitched	chr12	12866061	12881986	1	15926	189631.715	3847.48	33	1
3_MACS_peak_19701_lociStitched	chr5	131744651	131774504	3	25308	192095.0991	6663.1896	34	1
2_MACS_peak_16976_lociStitched	chr3	133178914	133201078	2	19049	190472.9832	5212.9728	35	1
6_MACS_peak_20204_lociStitched	chr6	289913	337872	6	34052	199744.4391	16008.7142	36	1
4_MACS_peak_22642_lociStitched	chr7	102063298	102093656	4	25770	187764.23	6199.1036	37	1
6_MACS_peak_17386_lociStitched	chr3	183219921	183261975	6	32821	191042.9112	11636.3418	38	1
1_MACS_peak_9131_lociStitched	chr16	66549158	66561168	1	12011	181033.936	3344.785	39	1
3_MACS_peak_14703_lociStitched	chr20	37486832	37506453	3	13178	181035.1186	3763.3078	40	1
3_MACS_peak_8701_lociStitched	chr16	12052168	12072227	3	15404	181206.9883	4330.7381	41	1
2_MACS_peak_17258_lociStitched	chr3	171801676	171827314	2	21743	183921.8844	7981.1094	42	1
3_MACS_peak_7522_lociStitched	chr14	106145077	106173132	3	25242	177916.3935	3498.4585	43	1
3_MACS_peak_265_lociStitched	chr1	24511872	24534022	3	17768	177868.93	4547.395	44	1
1_MACS_peak_20477_lociStitched	chr6	25402730	25415552	1	12823	175842.1902	3697.8648	45	1
1_MACS_peak_21204_lociStitched	chr6	106530325	106556760	1	26436	176252.719	6859.8825	46	1
2_MACS_peak_9988_lociStitched	chr17	38459076	38484488	2	21473	174062.0352	5750.7356	47	1
6_MACS_peak_19704_lociStitched	chr5	131789705	131837856	6	33723	177576.0729	10193.5667	48	1
1_MACS_peak_15241_lociStitched	chr21	41324405	41344938	1	20534	173577.7688	7289.215	49	1
2_MACS_peak_5471_lociStitched	chr12	53573002	53604323	2	25285	171920.969	6928.2052	50	1
1_MACS_peak_18740_lociStitched	chr4	185200887	185211316	1	10430	167225.8863	2880.4898	51	1
6_MACS_peak_14604_lociStitched	chr20	32398791	32452456	6	39634	174786.905	10813.4975	52	1
2_MACS_peak_1391_lociStitched	chr1	150532158	150553276	2	18575	170895.3032	7256.1448	53	1
4_MACS_peak_8829_lociStitched	chr16	23342709	23365578	4	14162	166561.7877	4489.1847	54	1
1_MACS_peak_15261_lociStitched	chr21	43479961	43486998	1	7038	164420.9124	2909.0958	55	1
3_MACS_peak_12815_lociStitched	chr2	65156815	65178727	3	15385	165632.808	5048.5248	56	1
2_MACS_peak_13912_lociStitched	chr2	201979725	201997782	2	16197	162767.6037	4718.2941	57	1
4_MACS_peak_11297_lociStitched	chr19	2594840	2628896	4	18803	166550.868	8684.28	58	1
1_MACS_peak_17856_lociStitched	chr4	40190941	40209963	1	19023	162050.3202	5312.8446	59	1
2_MACS_peak_3856_lociStitched	chr11	19449845	19466266	2	15103	160154.013	4092.1132	60	1
3_MACS_peak_3763_lociStitched	chr11	10314360	10345012	3	22695	162256.362	7043.8296	61	1
4_MACS_peak_19413_lociStitched	chr5	88595654	88617665	4	15860	159843.882	4879.8387	62	1
2_MACS_peak_3562_lociStitched	chr10	125821940	125854974	2	32669	160717.0168	7092.3998	63	1
3_MACS_peak_11273_lociStitched	chr19	2073138	2098617	3	19052	160976.322	7562.1672	64	1
1_MACS_peak_18746_lociStitched	chr4	185301536	185308910	1	7375	155227.8618	2289.627	65	1
3_MACS_peak_2016_lociStitched	chr1	204474520	204501236	3	19387	159689.5468	7186.604	66	1
1_MACS_peak_404_lociStitched	chr1	31213143	31233457	1	20315	156074.4934	5013.4952	67	1
4_MACS_peak_10364_lociStitched	chr17	62132892	62187445	4	47288	160183.9739	10457.8101	68	1
3_MACS_peak_10287_lociStitched	chr17	56404735	56431067	3	19970	154818.994	5958.9316	69	1
2_MACS_peak_16292_lociStitched	chr3	46245492	46257622	2	11579	151850.618	3540.747	70	1
4_MACS_peak_23051_lociStitched	chr7	150053114	150084917	4	25882	156518.4645	8806.2507	71	1
2_MACS_peak_3465_lociStitched	chr10	112112511	112122554	2	8461	147801.8267	2817.0615	72	1
4_MACS_peak_2861_lociStitched	chr10	45913433	45934564	4	15816	142545.4998	4393.1349	73	1
4_MACS_peak_1294_lociStitched	chr1	145427076	145458000	4	21312	146629.2384	9410.1732	74	1
2_MACS_peak_4852_lociStitched	chr11	128584616	128618649	2	27813	143809.8448	7143.5267	75	1
3_MACS_peak_1600_lociStitched	chr1	160633807	160655887	3	15556	143259.456	6937.536	76	1
4_MACS_peak_2574_lociStitched	chr10	7511087	7536311	4	17710	140555.6952	5052.3672	77	1
9_MACS_peak_21515_lociStitched	chr6	138246753	138297698	9	28907	144286.429	9348.4075	78	1
2_MACS_peak_22274_lociStitched	chr7	55594691	55606235	2	11100	137334.3504	2535.0624	79	1
1_MACS_peak_11117_lociStitched	chr18	60821868	60831472	1	9605	137551.3692	3102.092	80	1
2_MACS_peak_7724_lociStitched	chr15	40386896	40409030	2	17250	139393.2918	4969.083	81	1
2_MACS_peak_14893_lociStitched	chr20	52257788	52279739	2	15516	137713.9887	4111.4223	82	1
7_MACS_peak_9183_lociStitched	chr16	68269845	68321051	7	36840	141174.942	9457.7482	83	1
4_MACS_peak_15664_lociStitched	chr22	37610881	37642328	4	28919	138077.4876	6981.234	84	1
4_MACS_peak_18747_lociStitched	chr4	185317501	185350267	4	22350	134704.3026	6107.5824	85	1
6_MACS_peak_20893_lociStitched	chr6	52392705	52443061	6	42034	137527.2716	9834.5268	86	1
7_MACS_peak_11920_lociStitched	chr19	42022418	42070720	7	27704	135496.7704	9042.1344	87	1
4_MACS_peak_7690_lociStitched	chr15	38360849	38380727	4	12409	129986.2176	4114.746	88	1
