REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X20_0EX6_0229Kronos_MM1S.KB.24hr.2_H3K27Ac_hs.dm_i43.bam	X44_0EXW_0229Kronos_MM1S.KB.24hr.2_Input_hs_i90.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank.1	isSuper
9_MACS_peak_17032_lociStitched	chr3	141079028	141176177	9	83138	709168.2702	22334.5551	1	ZBTB38	RASA2	RASA2	1	1
6_MACS_peak_1990_lociStitched	chr1	203236333	203298299	6	41652	575360.5066	19711.3846	2	BTG2,LOC730227	CHIT1,FMOD	LOC730227	2	1
8_MACS_peak_12526_lociStitched	chr2	37509769	37606896	8	70914	531731.4742	20658.9129	3	QPCT,PRKD3		QPCT	3	1
10_MACS_peak_8683_lociStitched	chr16	11754766	11843377	10	75755	408204.2937	17793.0888	4	SNN,TXNDC11	ZC3H7A	SNN	4	1
5_MACS_peak_1214_lociStitched	chr1	118142005	118219377	5	60399	342038.4004	10166.6808	5	FAM46C		FAM46C	5	1
3_MACS_peak_9864_lociStitched	chr17	32688443	32727311	3	33899	336367.5588	9192.282	6	CCL1	CCL8,CCL13	CCL1	6	1
3_MACS_peak_13137_lociStitched	chr2	99054685	99123482	3	58124	315957.1022	15183.4979	7	INPP4A		INPP4A	7	1
1_MACS_peak_18199_lociStitched	chr4	90204322	90230199	1	25878	290896.2955	7198.9814	8	GPRIN3		GPRIN3	8	1
8_MACS_peak_7375_lociStitched	chr14	91812942	91886191	8	64158	284645.614	8789.88	9	CCDC88C		CCDC88C	9	1
5_MACS_peak_9664_lociStitched	chr17	16847699	16895598	5	35753	256216.5409	9646.8586	10	TNFRSF13B		TNFRSF13B	10	1
3_MACS_peak_7514_lociStitched	chr14	106023380	106052854	3	27937	243458.1874	5785.7462	11		TMEM121	TMEM121	11	1
1_MACS_peak_20308_lociStitched	chr6	7878563	7920145	1	41583	245238.1614	10599.2518	12	BMP6,MUTED-TXNDC5,TXNDC5		TXNDC5	12	1
5_MACS_peak_1481_lociStitched	chr1	154907726	154957807	5	38128	247199.816	14788.9193	13	CKS1B,MIR4258,FLAD1,PMVK,PBXIP1,PYGO2,SHC1	LENEP,ZBTB7B,DCST1,DCST2	PYGO2	13	1
3_MACS_peak_14563_lociStitched	chr20	30262065	30312266	3	47315	243284.0862	10898.6371	14	BCL2L1	COX4I2,TPX2	BCL2L1	14	1
1_MACS_peak_15456_lociStitched	chr22	23269449	23286046	1	16598	234231.8013	4434.7184	15		IGLL5	IGLL5	15	1
3_MACS_peak_9903_lociStitched	chr17	34509548	34540406	3	28131	234233.8206	9121.6248	16	CCL4L1,CCL3L1,CCL3L3	TBC1D3B	CCL3L1	16	1
3_MACS_peak_9907_lociStitched	chr17	34597780	34641776	3	38607	236540.0944	11720.5344	17	CCL4L1,CCL3L1,CCL3L3	TBC1D3C	TBC1D3C	17	1
3_MACS_peak_15476_lociStitched	chr22	24177151	24200997	3	17331	226222.2328	4728.6618	18	SLC2A11,DERL3	SMARCB1,MIF	DERL3	18	1
1_MACS_peak_2590_lociStitched	chr10	11201965	11224744	1	22780	227808.2232	7077.4353	19	CELF2		CELF2	19	1
5_MACS_peak_10763_lociStitched	chr18	9054636	9085808	5	21422	220557.486	6399.6116	20		NDUFV2	NDUFV2	20	1
5_MACS_peak_21237_lociStitched	chr6	108878280	108960707	5	79561	226468.1825	14218.6575	21	FOXO3		FOXO3	21	1
5_MACS_peak_15451_lociStitched	chr22	23217399	23249196	5	26226	218152.8576	5933.3202	22	IGLL5		IGLL5	22	1
5_MACS_peak_2044_lociStitched	chr1	206272100	206311168	5	25820	219820.0088	11040.6168	23	C1orf186	AVPR1B,CTSE	C1orf186	23	1
6_MACS_peak_10768_lociStitched	chr18	9094910	9157586	6	52587	221873.04	13343.7204	24	NDUFV2,ANKRD12		ANKRD12	24	1
4_MACS_peak_3482_lociStitched	chr10	112600177	112633369	4	23217	210580.0056	7411.7736	25	PDCD4,LOC282997	SHOC2,NCRNA00081	LOC282997	25	1
1_MACS_peak_13748_lociStitched	chr2	182168186	182180670	1	12485	205145.8268	3571.6724	26			ITGA4	26	1
2_MACS_peak_3871_lociStitched	chr11	22676678	22704323	2	24027	204874.3305	5161.3215	27	GAS2	FANCF	GAS2	27	1
3_MACS_peak_4215_lociStitched	chr11	65183036	65214585	3	25633	206794.2303	7404.5503	28	NEAT1,MIR612	FRMD8,SLC25A45	NEAT1	28	1
4_MACS_peak_5988_lociStitched	chr12	109009441	109036365	4	24482	202037.696	6424.0664	29	SELPLG	TMEM119	SELPLG	29	1
5_MACS_peak_17998_lociStitched	chr4	71515564	71555462	5	27636	197363.4366	8290.8044	30	UTP3,IGJ	ENAM,RUFY3	IGJ	30	1
1_MACS_peak_23962_lociStitched	chr8	120915386	120949059	1	33674	195017.1795	7014.0859	31	DEPDC6	DSCC1	DEPDC6	31	1
3_MACS_peak_4382_lociStitched	chr11	72850526	72870104	3	16361	192324.483	4606.7034	32	FCHSD2		FCHSD2	32	1
1_MACS_peak_5094_lociStitched	chr12	12866061	12881986	1	15926	189631.715	3847.48	33	CDKN1B,APOLD1	MIR613,GPR19	CDKN1B	33	1
3_MACS_peak_19701_lociStitched	chr5	131744651	131774504	3	25308	192095.0991	6663.1896	34	C5orf56	SLC22A5,MIR3936	C5orf56	34	1
2_MACS_peak_16976_lociStitched	chr3	133178914	133201078	2	19049	190472.9832	5212.9728	35	BFSP2		BFSP2	35	1
6_MACS_peak_20204_lociStitched	chr6	289913	337872	6	34052	199744.4391	16008.7142	36	DUSP22		DUSP22	36	1
4_MACS_peak_22642_lociStitched	chr7	102063298	102093656	4	25770	187764.23	6199.1036	37	PRKRIP1,ORAI2	LRWD1,ALKBH4,POLR2J	ORAI2	37	1
6_MACS_peak_17386_lociStitched	chr3	183219921	183261975	6	32821	191042.9112	11636.3418	38	KLHL6		KLHL6	38	1
1_MACS_peak_9131_lociStitched	chr16	66549158	66561168	1	12011	181033.936	3344.785	39	TK2	CKLF,CMTM1	TK2	39	1
3_MACS_peak_14703_lociStitched	chr20	37486832	37506453	3	13178	181035.1186	3763.3078	40	PPP1R16B	FAM83D	FAM83D	40	1
3_MACS_peak_8701_lociStitched	chr16	12052168	12072227	3	15404	181206.9883	4330.7381	41	TNFRSF17,RUNDC2A	GSPT1	TNFRSF17	41	1
2_MACS_peak_17258_lociStitched	chr3	171801676	171827314	2	21743	183921.8844	7981.1094	42	FNDC3B		FNDC3B	42	1
3_MACS_peak_7522_lociStitched	chr14	106145077	106173132	3	25242	177916.3935	3498.4585	43			TMEM121	43	1
3_MACS_peak_265_lociStitched	chr1	24511872	24534022	3	17768	177868.93	4547.395	44	LOC284632,IL28RA	IL22RA1	LOC284632	44	1
1_MACS_peak_20477_lociStitched	chr6	25402730	25415552	1	12823	175842.1902	3697.8648	45	LRRC16A		LRRC16A	45	1
1_MACS_peak_21204_lociStitched	chr6	106530325	106556760	1	26436	176252.719	6859.8825	46	PRDM1		PRDM1	46	1
2_MACS_peak_9988_lociStitched	chr17	38459076	38484488	2	21473	174062.0352	5750.7356	47	CDC6,RARA	RARA,GJD3	RARA	47	1
6_MACS_peak_19704_lociStitched	chr5	131789705	131837856	6	33723	177576.0729	10193.5667	48	C5orf56,IRF1	IL5	IRF1	48	1
1_MACS_peak_15241_lociStitched	chr21	41324405	41344938	1	20534	173577.7688	7289.215	49			PCP4	49	1
2_MACS_peak_5471_lociStitched	chr12	53573002	53604323	2	25285	171920.969	6928.2052	50	ZNF740,CSAD,ITGB7	MFSD5,RARG	ITGB7	50	1
1_MACS_peak_18740_lociStitched	chr4	185200887	185211316	1	10430	167225.8863	2880.4898	51			ENPP6	51	1
6_MACS_peak_14604_lociStitched	chr20	32398791	32452456	6	39634	174786.905	10813.4975	52	CHMP4B		CHMP4B	52	1
2_MACS_peak_1391_lociStitched	chr1	150532158	150553276	2	18575	170895.3032	7256.1448	53	ADAMTSL4,MCL1	MIR4257,ENSA	MCL1	53	1
4_MACS_peak_8829_lociStitched	chr16	23342709	23365578	4	14162	166561.7877	4489.1847	54	SCNN1B		SCNN1B	54	1
1_MACS_peak_15261_lociStitched	chr21	43479961	43486998	1	7038	164420.9124	2909.0958	55	UMODL1	C21orf121,UMODL1,ZNF295,C21orf128	UMODL1	55	1
3_MACS_peak_12815_lociStitched	chr2	65156815	65178727	3	15385	165632.808	5048.5248	56	LOC400958	SLC1A4	LOC400958	56	1
2_MACS_peak_13912_lociStitched	chr2	201979725	201997782	2	16197	162767.6037	4718.2941	57	CFLAR	NDUFB3,CASP10,FAM126B	CFLAR	57	1
4_MACS_peak_11297_lociStitched	chr19	2594840	2628896	4	18803	166550.868	8684.28	58	GNG7		GNG7	58	1
1_MACS_peak_17856_lociStitched	chr4	40190941	40209963	1	19023	162050.3202	5312.8446	59	RHOH		RHOH	59	1
2_MACS_peak_3856_lociStitched	chr11	19449845	19466266	2	15103	160154.013	4092.1132	60	NAV2		NAV2	60	1
3_MACS_peak_3763_lociStitched	chr11	10314360	10345012	3	22695	162256.362	7043.8296	61	ADM,SBF2		ADM	61	1
4_MACS_peak_19413_lociStitched	chr5	88595654	88617665	4	15860	159843.882	4879.8387	62			MEF2C	62	1
2_MACS_peak_3562_lociStitched	chr10	125821940	125854974	2	32669	160717.0168	7092.3998	63	CHST15		CHST15	63	1
3_MACS_peak_11273_lociStitched	chr19	2073138	2098617	3	19052	160976.322	7562.1672	64	IZUMO4,MOBKL2A	MKNK2	MOBKL2A	64	1
1_MACS_peak_18746_lociStitched	chr4	185301536	185308910	1	7375	155227.8618	2289.627	65	IRF2		IRF2	65	1
3_MACS_peak_2016_lociStitched	chr1	204474520	204501236	3	19387	159689.5468	7186.604	66	MDM4	PIK3C2B	MDM4	66	1
1_MACS_peak_404_lociStitched	chr1	31213143	31233457	1	20315	156074.4934	5013.4952	67	LAPTM5	LOC100129196,MATN1	LAPTM5	67	1
4_MACS_peak_10364_lociStitched	chr17	62132892	62187445	4	47288	160183.9739	10457.8101	68	ERN1	SNORD104,SNORA76,ICAM2	ERN1	68	1
3_MACS_peak_10287_lociStitched	chr17	56404735	56431067	3	19970	154818.994	5958.9316	69	BZRAP1,MIR142,SUPT4H1,RNF43	MPO	MIR142	69	1
2_MACS_peak_16292_lociStitched	chr3	46245492	46257622	2	11579	151850.618	3540.747	70	CCR1	CCR3	CCR1	70	1
4_MACS_peak_23051_lociStitched	chr7	150053114	150084917	4	25882	156518.4645	8806.2507	71	REPIN1,ZNF775	LRRC61,C7orf29,LOC728743,LOC285972,ACTR3C,RARRES2	REPIN1	71	1
2_MACS_peak_3465_lociStitched	chr10	112112511	112122554	2	8461	147801.8267	2817.0615	72		SMNDC1	SMNDC1	72	1
4_MACS_peak_2861_lociStitched	chr10	45913433	45934564	4	15816	142545.4998	4393.1349	73	ALOX5		ALOX5	73	1
