REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X20_0EX6_0229Kronos_MM1S.KB.24hr.2_H3K27Ac_hs.dm_i43.bam	X44_0EXW_0229Kronos_MM1S.KB.24hr.2_Input_hs_i90.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isStretch
9_MACS_peak_17032_lociStitched	chr3	141079028	141176177	9	83138	709168.2702	22334.5551	1	ZBTB38	RASA2	RASA2	RASA2	0.010300000000000004	1	1
5_MACS_peak_21237_lociStitched	chr6	108878280	108960707	5	79561	226468.1825	14218.6575	2	FOXO3		FOXO3	FOXO3	2.0135	2	1
10_MACS_peak_8683_lociStitched	chr16	11754766	11843377	10	75755	408204.2937	17793.0888	3	SNN,TXNDC11	ZC3H7A	SNN	SNN	3.983	3	1
8_MACS_peak_12526_lociStitched	chr2	37509769	37606896	8	70914	531731.4742	20658.9129	4	QPCT,PRKD3		QPCT	QPCT	7.4110000000000005	4	1
8_MACS_peak_7375_lociStitched	chr14	91812942	91886191	8	64158	284645.614	8789.88	5	CCDC88C		CCDC88C	CCDC88C	1.9323000000000001	5	1
5_MACS_peak_1214_lociStitched	chr1	118142005	118219377	5	60399	342038.4004	10166.6808	6	FAM46C		FAM46C	FAM46C	4.3511	6	1
3_MACS_peak_13137_lociStitched	chr2	99054685	99123482	3	58124	315957.1022	15183.4979	7	INPP4A		INPP4A	INPP4A	1.9581	7	1
6_MACS_peak_10768_lociStitched	chr18	9094910	9157586	6	52587	221873.04	13343.7204	8	NDUFV2,ANKRD12		ANKRD12	ANKRD12	0.5660000000000001	8	1
3_MACS_peak_14563_lociStitched	chr20	30262065	30312266	3	47315	243284.0862	10898.6371	9	BCL2L1	COX4I2,TPX2	BCL2L1	BCL2L1	3.4655	9	1
4_MACS_peak_10364_lociStitched	chr17	62132892	62187445	4	47288	160183.9739	10457.8101	10	ERN1	SNORD104,SNORA76,ICAM2	ERN1	ERN1	2.1054000000000004	10	1
6_MACS_peak_20893_lociStitched	chr6	52392705	52443061	6	42034	137527.2716	9834.5268	11	TRAM2		TRAM2	TRAM2	1.9371	11	1
6_MACS_peak_1990_lociStitched	chr1	203236333	203298299	6	41652	575360.5066	19711.3846	12	BTG2,LOC730227	CHIT1,FMOD	LOC730227	LOC730227	10.0214	12	1
1_MACS_peak_20308_lociStitched	chr6	7878563	7920145	1	41583	245238.1614	10599.2518	13	BMP6,MUTED-TXNDC5,TXNDC5		TXNDC5	TXNDC5	4.6561	13	1
6_MACS_peak_14604_lociStitched	chr20	32398791	32452456	6	39634	174786.905	10813.4975	14	CHMP4B		CHMP4B	CHMP4B	2.6425	14	1
3_MACS_peak_9907_lociStitched	chr17	34597780	34641776	3	38607	236540.0944	11720.5344	15	CCL4L1,CCL3L1,CCL3L3	TBC1D3C	TBC1D3C	NONE	NONE	15	1
5_MACS_peak_1481_lociStitched	chr1	154907726	154957807	5	38128	247199.816	14788.9193	16	CKS1B,MIR4258,FLAD1,PMVK,PBXIP1,PYGO2,SHC1	LENEP,ZBTB7B,DCST1,DCST2	PYGO2	PYGO2	4.4857	16	1
5_MACS_peak_10985_lociStitched	chr18	46440216	46482929	5	37827	119442.6332	8243.609	17	SMAD7		SMAD7	SMAD7	2.6746	17	1
7_MACS_peak_9183_lociStitched	chr16	68269845	68321051	7	36840	141174.942	9457.7482	18	PLA2G15,SLC7A6,ESRP2	PRMT7,SLC7A6OS	SLC7A6	SLC7A6	1.6467	18	1
6_MACS_peak_20104_lociStitched	chr5	173309962	173357002	6	36600	81647.328	8260.224	19	CPEB4		CPEB4	CPEB4	0.9044000000000001	19	1
5_MACS_peak_9664_lociStitched	chr17	16847699	16895598	5	35753	256216.5409	9646.8586	20	TNFRSF13B		TNFRSF13B	TNFRSF13B	3.5595	20	1
4_MACS_peak_9292_lociStitched	chr16	78768048	78805019	4	35683	42527.7413	4558.5243	21	WWOX		WWOX	WWOX	0.029400000000000003	21	1
6_MACS_peak_20204_lociStitched	chr6	289913	337872	6	34052	199744.4391	16008.7142	22	DUSP22		DUSP22	DUSP22	2.6267	22	1
3_MACS_peak_9864_lociStitched	chr17	32688443	32727311	3	33899	336367.5588	9192.282	23	CCL1	CCL8,CCL13	CCL1	CCL1	3.6398	23	1
9_MACS_peak_13262_lociStitched	chr2	112186344	112242379	9	33740	100089.717	9172.9295	24	LOC541471		LOC541471	LOC541471	0.8167	24	1
6_MACS_peak_19704_lociStitched	chr5	131789705	131837856	6	33723	177576.0729	10193.5667	25	C5orf56,IRF1	IL5	IRF1	IRF1	1.2008999999999999	25	1
1_MACS_peak_23962_lociStitched	chr8	120915386	120949059	1	33674	195017.1795	7014.0859	26	DEPDC6	DSCC1	DEPDC6	DEPDC6	1.3756	26	1
4_MACS_peak_7630_lociStitched	chr15	31616669	31660832	4	33140	122689.2303	7914.0096	27	KLF13		KLF13	KLF13	1.8769	27	1
6_MACS_peak_17386_lociStitched	chr3	183219921	183261975	6	32821	191042.9112	11636.3418	28	KLHL6		KLHL6	KLHL6	2.8678	28	1
2_MACS_peak_3562_lociStitched	chr10	125821940	125854974	2	32669	160717.0168	7092.3998	29	CHST15		CHST15	CHST15	1.6948	29	1
7_MACS_peak_10168_lociStitched	chr17	46516070	46571047	7	32117	120520.5794	9494.5279	30		SKAP1,HOXB1	SKAP1	NONE	NONE	30	1
1_MACS_peak_5488_lociStitched	chr12	53845177	53875499	1	30323	58670.0378	6340.3302	31	PCBP2,MAP3K12	AMHR2,PRR13,TARBP2,NPFF	PCBP2	PCBP2	1.3402	31	1
5_MACS_peak_10593_lociStitched	chr17	76710864	76756492	5	30191	105756.5784	8719.5108	32	CYTH1		CYTH1	CYTH1	1.2885	32	1
2_MACS_peak_8083_lociStitched	chr15	68568626	68599615	2	30116	118570.1118	6724.613	33	FEM1B,ITGA11	CLN6	FEM1B	FEM1B	3.0545	33	1
3_MACS_peak_15950_lociStitched	chr3	5221919	5256351	3	29697	107204.032	6993.1392	34	ARL8B,EDEM1		EDEM1	EDEM1	2.0551	34	1
6_MACS_peak_23722_lociStitched	chr8	81046200	81084597	6	28992	111024.9255	7767.7131	35	TPD52		TPD52	TPD52	0.9167	35	1
4_MACS_peak_15664_lociStitched	chr22	37610881	37642328	4	28919	138077.4876	6981.234	36	RAC2	CYTH4,C1QTNF6,SSTR3	RAC2	RAC2	2.3306	36	1
9_MACS_peak_21515_lociStitched	chr6	138246753	138297698	9	28907	144286.429	9348.4075	37			TNFAIP3	TNFAIP3	2.4932	37	1
7_MACS_peak_23343_lociStitched	chr8	27208548	27253469	7	28890	110501.1679	9069.5499	38	PTK2B	TRIM35	PTK2B	PTK2B	0.9192	38	1
3_MACS_peak_9903_lociStitched	chr17	34509548	34540406	3	28131	234233.8206	9121.6248	39	CCL4L1,CCL3L1,CCL3L3	TBC1D3B	CCL3L1	CCL3L1	7.849500000000001	39	1
3_MACS_peak_7514_lociStitched	chr14	106023380	106052854	3	27937	243458.1874	5785.7462	40		TMEM121	TMEM121	TMEM121	0.019599999999999992	40	1
2_MACS_peak_4852_lociStitched	chr11	128584616	128618649	2	27813	143809.8448	7143.5267	41	FLI1		FLI1	FLI1	1.2479	41	1
7_MACS_peak_11920_lociStitched	chr19	42022418	42070720	7	27704	135496.7704	9042.1344	42		CEACAM21	CEACAM21	NONE	NONE	42	1
5_MACS_peak_17998_lociStitched	chr4	71515564	71555462	5	27636	197363.4366	8290.8044	43	UTP3,IGJ	ENAM,RUFY3	IGJ	IGJ	4.0408	43	1
1_MACS_peak_22276_lociStitched	chr7	55615857	55643260	1	27404	74226.5061	5455.9373	44	VOPP1		VOPP1	VOPP1	2.4972000000000003	44	1
7_MACS_peak_4998_lociStitched	chr12	7045514	7085636	7	27129	92477.1978	7787.6802	45	ATN1,C12orf57,PTPN6,MIR200C,MIR141,EMG1,PHB2,SCARNA12,LPCAT3	LRRC23,ENO2	PTPN6	PTPN6	2.9034	45	1
1_MACS_peak_21204_lociStitched	chr6	106530325	106556760	1	26436	176252.719	6859.8825	46	PRDM1		PRDM1	PRDM1	5.0376	46	1
5_MACS_peak_15451_lociStitched	chr22	23217399	23249196	5	26226	218152.8576	5933.3202	47	IGLL5		IGLL5	IGLL5	10.6893	47	1
2_MACS_peak_2596_lociStitched	chr10	11281901	11313395	2	25932	93597.0186	6692.475	48	CELF2		CELF2	CELF2	1.7748	48	1
4_MACS_peak_23051_lociStitched	chr7	150053114	150084917	4	25882	156518.4645	8806.2507	49	REPIN1,ZNF775	LRRC61,C7orf29,LOC728743,LOC285972,ACTR3C,RARRES2	REPIN1	REPIN1	6.162	49	1
1_MACS_peak_18199_lociStitched	chr4	90204322	90230199	1	25878	290896.2955	7198.9814	50	GPRIN3		GPRIN3	GPRIN3	3.912	50	1
5_MACS_peak_2044_lociStitched	chr1	206272100	206311168	5	25820	219820.0088	11040.6168	51	C1orf186	AVPR1B,CTSE	C1orf186	C1orf186	2.7211000000000003	51	1
4_MACS_peak_22642_lociStitched	chr7	102063298	102093656	4	25770	187764.23	6199.1036	52	PRKRIP1,ORAI2	LRWD1,ALKBH4,POLR2J	ORAI2	ORAI2	3.1445000000000003	52	1
5_MACS_peak_14190_lociStitched	chr2	232687181	232714113	5	25641	24316.9028	3455.3756	53		COPS7B,PDE6D,MIR1471	COPS7B	COPS7B	0.0851	53	1
3_MACS_peak_4215_lociStitched	chr11	65183036	65214585	3	25633	206794.2303	7404.5503	54	NEAT1,MIR612	FRMD8,SLC25A45	NEAT1	NEAT1	12.4344	54	1
6_MACS_peak_16294_lociStitched	chr3	46317551	46347579	6	25353	110427.97	5906.5076	55		CCR3,CCR2	CCR3	CCR2	2.9257	55	1
5_MACS_peak_14539_lociStitched	chr20	25261501	25302991	5	25310	132481.719	6837.552	56	PYGB,ABHD12		PYGB	PYGB	1.1848	56	1
4_MACS_peak_6178_lociStitched	chr12	123354985	123387400	4	25309	74648.5035	3361.4355	57	VPS37B	HIP1R	VPS37B	VPS37B	1.5485000000000002	57	1
