GENE_ID	locusLine	bin_1_MM3_jia.bam
1_MACS_peak_1_lociStitched	chr1(.):28611-29591	1.3331
1_MACS_peak_2_lociStitched	chr1(.):713070-715271	2.2751
1_MACS_peak_3_lociStitched	chr1(.):752040-753177	0.4696
1_MACS_peak_4_lociStitched	chr1(.):762084-763708	1.8843
1_MACS_peak_5_lociStitched	chr1(.):875687-881457	1.2432
1_MACS_peak_6_lociStitched	chr1(.):894028-894817	0.9082
1_MACS_peak_7_lociStitched	chr1(.):901426-902564	0.8123
1_MACS_peak_8_lociStitched	chr1(.):948151-949564	0.9514
1_MACS_peak_9_lociStitched	chr1(.):954691-955664	2.3173
1_MACS_peak_10_lociStitched	chr1(.):1003605-1005000	1.5055
1_MACS_peak_11_lociStitched	chr1(.):1051024-1052143	0.6899
3_MACS_peak_12_lociStitched	chr1(.):1141319-1148520	0.895
2_MACS_peak_15_lociStitched	chr1(.):1166405-1168111	1.0074
1_MACS_peak_17_lociStitched	chr1(.):1185220-1185896	0.5928
1_MACS_peak_18_lociStitched	chr1(.):1208466-1209865	0.9789
2_MACS_peak_19_lociStitched	chr1(.):1240131-1244708	1.1032
2_MACS_peak_21_lociStitched	chr1(.):1259357-1267124	0.6285
1_MACS_peak_23_lociStitched	chr1(.):1284206-1285468	0.994
1_MACS_peak_24_lociStitched	chr1(.):1309820-1311535	1.9685
1_MACS_peak_25_lociStitched	chr1(.):1333508-1335750	1.1636
1_MACS_peak_26_lociStitched	chr1(.):1341739-1343339	1.191
1_MACS_peak_27_lociStitched	chr1(.):1397126-1398855	1.1687
1_MACS_peak_28_lociStitched	chr1(.):1406227-1408010	1.5258
2_MACS_peak_29_lociStitched	chr1(.):1440240-1448309	0.5044
2_MACS_peak_31_lociStitched	chr1(.):1491947-1493417	0.3769
1_MACS_peak_33_lociStitched	chr1(.):1509068-1511146	3.3486
1_MACS_peak_34_lociStitched	chr1(.):1537645-1538179	0.3687
1_MACS_peak_35_lociStitched	chr1(.):1549758-1552058	2.802
1_MACS_peak_36_lociStitched	chr1(.):1563948-1566668	1.2856
1_MACS_peak_37_lociStitched	chr1(.):1589566-1591503	3.4331
2_MACS_peak_38_lociStitched	chr1(.):1606168-1611215	0.8663
1_MACS_peak_40_lociStitched	chr1(.):1622639-1625543	2.9613
1_MACS_peak_41_lociStitched	chr1(.):1654800-1656795	2.5963
2_MACS_peak_42_lociStitched	chr1(.):1668985-1678829	0.8921
2_MACS_peak_44_lociStitched	chr1(.):1706767-1714951	1.8963
1_MACS_peak_46_lociStitched	chr1(.):1729354-1729826	0.3753
3_MACS_peak_47_lociStitched	chr1(.):1774093-1780977	0.3372
1_MACS_peak_50_lociStitched	chr1(.):1821024-1823832	3.2851
2_MACS_peak_51_lociStitched	chr1(.):1838375-1842461	0.9328
1_MACS_peak_53_lociStitched	chr1(.):1849874-1850990	1.2298
1_MACS_peak_54_lociStitched	chr1(.):1980951-1982562	0.7917
1_MACS_peak_55_lociStitched	chr1(.):2043335-2044517	0.5474
1_MACS_peak_56_lociStitched	chr1(.):2063929-2065603	0.8937
3_MACS_peak_57_lociStitched	chr1(.):2120567-2131304	0.4694
1_MACS_peak_60_lociStitched	chr1(.):2136593-2137461	0.8802
1_MACS_peak_61_lociStitched	chr1(.):2158362-2160158	1.3454
1_MACS_peak_62_lociStitched	chr1(.):2221461-2223182	0.6677
1_MACS_peak_63_lociStitched	chr1(.):2230571-2233880	1.7743
2_MACS_peak_64_lociStitched	chr1(.):2242528-2247202	1.3585
1_MACS_peak_66_lociStitched	chr1(.):2322198-2324052	1.626
1_MACS_peak_67_lociStitched	chr1(.):2343199-2344928	1.1794
1_MACS_peak_68_lociStitched	chr1(.):2411492-2412948	0.4998
1_MACS_peak_69_lociStitched	chr1(.):2427390-2428238	0.4253
