GENE_ID	locusLine	bin_1_26_0F2C_0229Kronos_MM1S-KB-3hr-2_H3K27me3_hs-dm_i13.bam
4_MACS_peak_1_lociStitched	chr1(.):30067-38209	0.8349
1_MACS_peak_5_lociStitched	chr1(.):88104-88593	0.941
1_MACS_peak_6_lociStitched	chr1(.):89678-90520	1.164
1_MACS_peak_7_lociStitched	chr1(.):92580-92959	0.6791
3_MACS_peak_8_lociStitched	chr1(.):131884-135357	0.5106
2_MACS_peak_11_lociStitched	chr1(.):327013-328094	0.5111
3_MACS_peak_13_lociStitched	chr1(.):329735-332004	0.5978
1_MACS_peak_16_lociStitched	chr1(.):537053-537454	0.5623
1_MACS_peak_17_lociStitched	chr1(.):657977-658284	0.4726
1_MACS_peak_18_lociStitched	chr1(.):659452-660542	0.616
1_MACS_peak_19_lociStitched	chr1(.):661894-662425	0.5353
4_MACS_peak_20_lociStitched	chr1(.):800197-804710	0.7538
3_MACS_peak_24_lociStitched	chr1(.):808846-810922	0.9843
1_MACS_peak_27_lociStitched	chr1(.):812917-813546	0.6814
3_MACS_peak_28_lociStitched	chr1(.):819857-822563	0.8089
1_MACS_peak_32_lociStitched	chr1(.):825688-826559	1.0625
8_MACS_peak_33_lociStitched	chr1(.):829605-879438	2.2921
1_MACS_peak_41_lociStitched	chr1(.):894887-895345	0.9899
4_MACS_peak_42_lociStitched	chr1(.):908468-911723	0.8946
10_MACS_peak_46_lociStitched	chr1(.):913467-947850	1.7842
4_MACS_peak_56_lociStitched	chr1(.):950893-954309	0.6793
12_MACS_peak_60_lociStitched	chr1(.):955525-1016778	1.6991
6_MACS_peak_72_lociStitched	chr1(.):1052629-1073200	1.8952
7_MACS_peak_78_lociStitched	chr1(.):1074365-1092274	1.093
5_MACS_peak_85_lociStitched	chr1(.):1093452-1124345	2.2822
6_MACS_peak_90_lociStitched	chr1(.):1125542-1149815	1.6893
5_MACS_peak_96_lociStitched	chr1(.):1171708-1185139	1.7088
1_MACS_peak_101_lociStitched	chr1(.):1213454-1214028	0.7578
7_MACS_peak_102_lociStitched	chr1(.):1215247-1226488	1.3102
1_MACS_peak_109_lociStitched	chr1(.):1286788-1290569	1.8111
2_MACS_peak_110_lociStitched	chr1(.):1292043-1300584	1.4046
9_MACS_peak_112_lociStitched	chr1(.):1356438-1381973	1.2854
4_MACS_peak_121_lociStitched	chr1(.):1383594-1396497	1.4969
2_MACS_peak_125_lociStitched	chr1(.):1421838-1422590	0.6726
1_MACS_peak_127_lociStitched	chr1(.):1432554-1433007	0.5148
1_MACS_peak_128_lociStitched	chr1(.):1438689-1438923	0.5371
1_MACS_peak_129_lociStitched	chr1(.):1459429-1459924	0.7002
