GENE_ID	locusLine	H3k18ac_5_DMSO_compare_signal
MACS_peak_1_1	chr1(.):28301-28369	0.2115
MACS_peak_1_2	chr1(.):28370-30369	3.4069
MACS_peak_1_3	chr1(.):30370-30436	0.0647
MACS_peak_2_1	chr1(.):712915-713067	0.0474
MACS_peak_2_2	chr1(.):713068-715067	1.6057
MACS_peak_2_3	chr1(.):715068-715388	0.1847
MACS_peak_3_1	chr1(.):761731-761901	0.0689
MACS_peak_3_2	chr1(.):761902-762062	0.2141
MACS_peak_3_3	chr1(.):762063-763855	1.6483
MACS_peak_4	chr1(.):878909-880745	0.5722
MACS_peak_5_1	chr1(.):893679-894965	0.5709
MACS_peak_5_2	chr1(.):894966-895083	0.0676
MACS_peak_7_1	chr1(.):901157-902875	1.7374
MACS_peak_7_2	chr1(.):902876-903098	0.1065
MACS_peak_8_1	chr1(.):947944-949845	1.0192
MACS_peak_8_2	chr1(.):949846-949961	0.0121
MACS_peak_10	chr1(.):998749-1000271	1.5007
MACS_peak_11	chr1(.):1071433-1073637	0.7047
MACS_peak_12	chr1(.):1078881-1080671	0.5541
MACS_peak_13	chr1(.):1092807-1094328	1.2497
MACS_peak_14_1	chr1(.):1165876-1166446	0.3666
MACS_peak_14_2	chr1(.):1166447-1166627	0.4852
MACS_peak_14_3	chr1(.):1166628-1168242	1.7189
MACS_peak_15	chr1(.):1185010-1186115	0.4334
MACS_peak_16_1	chr1(.):1207743-1208233	0.2707
MACS_peak_16_2	chr1(.):1208234-1210233	1.3321
MACS_peak_17_1	chr1(.):1242456-1242992	0.6358
MACS_peak_17_2	chr1(.):1242993-1244268	1.8173
MACS_peak_17_3	chr1(.):1244269-1244992	1.4831
MACS_peak_18_1	chr1(.):1259360-1261045	1.5159
MACS_peak_18_2	chr1(.):1261046-1261141	0.4013
MACS_peak_18_3	chr1(.):1261142-1261513	0.3229
MACS_peak_19_1	chr1(.):1283585-1284525	0.6027
MACS_peak_20_1	chr1(.):1284615-1285491	1.6743
MACS_peak_20_2	chr1(.):1285492-1285557	0.0
MACS_peak_21_1	chr1(.):1309586-1309817	0.0851
MACS_peak_21_2	chr1(.):1309818-1311561	1.3807
MACS_peak_21_3	chr1(.):1311580-1311817	0.0441
MACS_peak_22_1	chr1(.):1333489-1333717	0.0446
MACS_peak_22_2	chr1(.):1333718-1333908	0.1011
MACS_peak_22_3	chr1(.):1333909-1335717	1.5439
MACS_peak_22_4	chr1(.):1335718-1335908	0.3577
MACS_peak_22_5	chr1(.):1335909-1336040	0.1174
MACS_peak_23_1	chr1(.):1341693-1343687	1.0176
MACS_peak_24	chr1(.):1352620-1354009	0.3932
MACS_peak_25	chr1(.):1396491-1399213	1.5774
MACS_peak_26_1	chr1(.):1405847-1406162	0.234
MACS_peak_26_2	chr1(.):1406163-1408162	1.0449
MACS_peak_26_3	chr1(.):1408163-1408597	0.1406
MACS_peak_27	chr1(.):1439468-1441762	0.8965
MACS_peak_28_1	chr1(.):1446042-1446521	0.4399
MACS_peak_28_2	chr1(.):1446522-1446908	2.0407
MACS_peak_28_3	chr1(.):1446909-1448521	2.6531
MACS_peak_28_4	chr1(.):1448522-1448908	0.1831
MACS_peak_28_5	chr1(.):1448909-1448959	0.0
MACS_peak_29_1	chr1(.):1509008-1509261	0.0518
MACS_peak_29_2	chr1(.):1509262-1511261	1.5487
MACS_peak_31	chr1(.):1544829-1546709	0.5265
MACS_peak_32_1	chr1(.):1549794-1550243	0.2478
MACS_peak_32_2	chr1(.):1550244-1551793	2.9882
MACS_peak_32_3	chr1(.):1551794-1552243	0.4643
MACS_peak_32_4	chr1(.):1552244-1552440	0.2931
MACS_peak_33_1	chr1(.):1565620-1566558	0.4344
MACS_peak_33_2	chr1(.):1566559-1566754	0.045
MACS_peak_34	chr1(.):1589539-1591834	1.6626
MACS_peak_35	chr1(.):1606257-1608543	1.4974
MACS_peak_36	chr1(.):1608658-1611108	1.5476
MACS_peak_37_1	chr1(.):1622540-1623242	0.5157
MACS_peak_37_2	chr1(.):1623243-1625242	5.5878
MACS_peak_37_3	chr1(.):1625243-1625712	0.2124
MACS_peak_38_1	chr1(.):1654884-1656774	1.1103
MACS_peak_38_2	chr1(.):1656791-1656983	0.0151
MACS_peak_39	chr1(.):1668702-1671290	1.556
MACS_peak_40_1	chr1(.):1675902-1676430	0.5496
MACS_peak_40_2	chr1(.):1676431-1678430	4.6809
MACS_peak_40_3	chr1(.):1678431-1679069	0.3638
MACS_peak_41_1	chr1(.):1708747-1708908	0.1858
MACS_peak_41_2	chr1(.):1708909-1709296	0.3822
MACS_peak_41_3	chr1(.):1709297-1710507	3.1517
MACS_peak_41_4	chr1(.):1710508-1710908	4.1388
MACS_peak_41_5	chr1(.):1710909-1711296	2.7414
MACS_peak_41_6	chr1(.):1711297-1712507	3.0842
MACS_peak_41_7	chr1(.):1712508-1715116	0.7582
MACS_peak_42	chr1(.):1772125-1775505	0.507
MACS_peak_43_1	chr1(.):1821080-1821494	0.3779
MACS_peak_43_2	chr1(.):1821495-1823494	1.0648
MACS_peak_43_3	chr1(.):1823495-1823883	0.1355
MACS_peak_44	chr1(.):1827502-1829573	0.8655
MACS_peak_45	chr1(.):1837514-1841621	0.8087
MACS_peak_46_1	chr1(.):1850049-1851697	0.3053
MACS_peak_47_1	chr1(.):2125805-2126023	0.1664
MACS_peak_47_2	chr1(.):2126024-2127213	0.7766
MACS_peak_47_3	chr1(.):2127214-2127454	0.1081
MACS_peak_48_1	chr1(.):2158333-2159132	1.5911
MACS_peak_48_2	chr1(.):2159133-2159443	0.2088
MACS_peak_49	chr1(.):2186199-2188455	0.6214
MACS_peak_50	chr1(.):2220988-2223742	0.7068
MACS_peak_51	chr1(.):2229955-2233926	1.5236
MACS_peak_52_1	chr1(.):2322140-2322212	0.0
MACS_peak_52_2	chr1(.):2322213-2323992	1.2099
MACS_peak_52_3	chr1(.):2323993-2324212	0.2795
MACS_peak_52_4	chr1(.):2324213-2324314	0.0303
MACS_peak_53_1	chr1(.):2343010-2345009	2.2205
MACS_peak_53_2	chr1(.):2345010-2346437	0.5085
MACS_peak_54	chr1(.):2346527-2348071	0.5788
MACS_peak_55_1	chr1(.):2456723-2457034	0.3327
MACS_peak_55_2	chr1(.):2457035-2458111	1.744
MACS_peak_56	chr1(.):2476700-2481351	2.0543
MACS_peak_57_1	chr1(.):2486272-2486803	0.1604
