GENE_ID	locusLine	bin_1_17_0EX3_0229Kronos_MM1S-KB-6hr-1_H3K27Ac_hs-dm_i33.bam
NM_001006605	chr1(.):93302720-93432079	0.3854
NM_001010935	chr1(.):112157404-112261101	0.1192
NM_201569	chr1(.):183436505-183528328	0.4771
NM_003820	chr1(.):2482804-2500267	0.8042
NM_001113348	chr1(.):21538739-21677034	0.3237
NM_004091	chr1(.):23827921-23862713	2.1963
NM_173065	chr1(.):24475646-24518751	2.561
NM_002379	chr1(.):31179123-31201432	0.1924
NR_034182	chr1(.):31186618-31204593	0.2209
NM_002600	chr1(.):66253855-66845262	0.1754
NM_001037341	chr1(.):66253192-66845262	0.1752
NM_001037340	chr1(.):66453389-66845262	0.2391
NM_001081976	chr1(.):112020969-112111597	0.1387
NM_198459	chr1(.):115122195-115217732	0.1145
NM_153713	chr1(.):145472084-145504091	0.2115
NM_207168	chr1(.):150594521-150607098	1.1553
NM_020699	chr1(.):153772202-153900451	0.2082
NM_020524	chr1(.):154911558-154933567	4.1362
NM_181359	chr1(.):154372668-154445188	1.6106
NM_002249	chr1(.):154674914-154847754	0.6594
NM_170782	chr1(.):154674914-154837338	0.6858
NM_005572	chr1(.):156079460-156112657	0.3702
NM_005973	chr1(.):156732273-156775609	0.4297
NM_012394	chr1(.):161065345-161092866	0.4824
NM_015149	chr1(.):183600207-183902666	0.6493
NM_025191	chr1(.):184654624-184729041	0.4942
NM_144977	chr1(.):197516384-197749623	0.3442
NM_001195215	chr1(.):197468878-197749623	0.2989
NM_182663	chr1(.):206675878-206767616	0.8851
NM_002221	chr1(.):226814390-226931876	1.041
NM_004481	chr1(.):230197955-230422875	0.5541
NM_001010926	chr1(.):2455183-2466684	0.2712
NR_026927	chr1(.):2476358-2489284	2.331
NM_018216	chr1(.):2434974-2463035	0.1355
NM_001195741	chr1(.):2513188-2527908	0.3475
NR_036638	chr1(.):2512898-2527908	0.3435
NM_014675	chr1(.):17243444-17304474	0.1152
NM_001397	chr1(.):21538739-21621982	0.4338
NM_001113347	chr1(.):21538739-21611183	0.0797
NM_001113349	chr1(.):21538739-21621766	0.4296
NM_017707	chr1(.):23750055-23815750	0.0577
NM_002167	chr1(.):23879408-23891322	0.5039
NM_021258	chr1(.):24441260-24474611	0.1275
NR_027087	chr1(.):24521729-24543180	1.1098
NM_015627	chr1(.):25865075-25900377	1.1675
NM_006015	chr1(.):27017521-27113601	0.7967
NM_006762	chr1(.):31200314-31235683	3.8898
NM_022756	chr1(.):37953175-37985364	0.1741
NM_025079	chr1(.):37935118-37954978	1.7888
NM_001198979	chr1(.):40854016-40893998	0.1928
NM_001198978	chr1(.):40835304-40893998	0.7032
NM_001198980	chr1(.):40857471-40893998	0.0904
NM_022733	chr1(.):40834377-40893998	0.6931
NM_001037339	chr1(.):66792792-66845262	0.6046
NM_001001933	chr1(.):75589118-75632218	1.2164
NM_006769	chr1(.):87789150-87819607	1.0267
NM_004974	chr1(.):111140775-111153345	0.051
NM_002232	chr1(.):111209309-111222655	1.0819
NR_034126	chr1(.):112136628-112155940	1.3046
NM_007158	chr1(.):115254536-115305624	0.2655
NM_002524	chr1(.):115242077-115264515	0.8613
NM_001172626	chr1(.):115210719-115243239	0.7097
NM_001130523	chr1(.):115254537-115305671	0.2653
NM_017709	chr1(.):118143603-118176011	3.8454
NM_032305	chr1(.):145451235-145475387	2.6434
NM_202004	chr1(.):145408190-145422545	0.0861
NM_006472	chr1(.):145433461-145447628	3.2921
NM_001039888	chr1(.):145465507-145480647	0.4032
NM_005105	chr1(.):145502637-145516444	1.4345
NM_001161334	chr1(.):149749244-149788928	0.5213
NM_001034077	chr1(.):149799220-149809616	1.5342
NM_001005464	chr1(.):149807258-149817765	4.3556
NM_001040874	chr1(.):149808784-149819318	4.3453
NM_001123375	chr1(.):149779779-149790236	1.4719
NM_000566	chr1(.):149749249-149769074	0.24
NM_016074	chr1(.):149866154-149877348	0.3782
NM_003528	chr1(.):149851009-149863232	4.2089
NM_003517	chr1(.):149853524-149863961	4.9116
NM_175065	chr1(.):149854018-149864466	4.8998
NR_036461	chr1(.):149816758-149827340	4.1282
NM_001040874	chr1(.):149817627-149828161	4.1463
NM_001005464	chr1(.):149819180-149829687	4.1496
NM_001034077	chr1(.):149827329-149837725	1.4883
NM_019032	chr1(.):150516897-150538412	5.1937
NM_207046	chr1(.):150589598-150606609	0.9259
NR_036211	chr1(.):150519404-150529490	0.1284
NM_001197320	chr1(.):150542026-150557214	1.5719
NM_014437	chr1(.):153926587-153945188	1.8065
NM_130898	chr1(.):153935396-153951832	1.8942
NM_181715	chr1(.):153915151-153936043	1.3633
NM_006694	chr1(.):153941744-153955451	0.5789
NM_002870	chr1(.):153949127-153963806	0.8275
NM_014856	chr1(.):153896976-153924154	0.6302
NM_001030	chr1(.):153958238-153969631	0.5494
NM_020452	chr1(.):154295275-154328780	1.4004
NM_001005855	chr1(.):154293035-154315322	1.9199
NM_080429	chr1(.):154288591-154302801	2.8103
NM_006556	chr1(.):154892207-154914484	2.4253
NM_001130041	chr1(.):154929773-154951959	2.6124
NM_001130040	chr1(.):154929773-154948223	2.8879
NM_201398	chr1(.):154950769-154970587	0.469
NM_015872	chr1(.):154970111-154995999	1.5929
NM_207196	chr1(.):155018761-155040252	0.5293
NM_001184892	chr1(.):154950769-154966488	0.5354
NM_018655	chr1(.):154961061-154971791	0.2984
NM_001143687	chr1(.):155001281-155028406	0.383
NR_024163	chr1(.):154942117-154956725	2.5735
NM_144622	chr1(.):154986002-155011257	0.5019
NM_138300	chr1(.):154924501-154939258	3.6859
NR_036212	chr1(.):154943168-154953259	3.0544
NM_006912	chr1(.):155862600-155886177	0.2104
NM_001162384	chr1(.):155911629-155953336	2.488
NM_181885	chr1(.):155906479-155917625	1.694
NM_004723	chr1(.):155911629-155952966	2.5051
NM_014949	chr1(.):155877835-155909188	0.5024
NR_002974	chr1(.):155884699-155894833	0.1234
NR_003005	chr1(.):155890748-155900877	0.1196
NM_003145	chr1(.):155973838-155995758	0.4229
NM_014655	chr1(.):156158729-156187587	0.8521
NM_007221	chr1(.):156177783-156214833	0.9755
NM_022367	chr1(.):156118321-156152542	3.1069
NM_001193302	chr1(.):156118368-156152542	3.1094
NM_001193301	chr1(.):156114734-156152542	2.9068
NM_005920	chr1(.):156428518-156475529	1.7344
NM_198427	chr1(.):156606739-156628264	0.1686
NM_021817	chr1(.):156584085-156600517	0.0905
NM_021948	chr1(.):156606739-156634320	1.1809
NM_004494	chr1(.):156706898-156726543	1.9698
NM_001126051	chr1(.):156706898-156727024	1.9234
NM_001126050	chr1(.):156706898-156727240	1.9033
NM_030980	chr1(.):156687412-156702705	0.544
NM_001878	chr1(.):156664407-156680375	0.0951
NM_001142560	chr1(.):156693262-156711752	0.9958
NM_145729	chr1(.):156702093-156715923	0.9697
NM_006617	chr1(.):156633555-156652189	0.1895
NM_004833	chr1(.):159027274-159051647	1.7921
NM_001778	chr1(.):160643535-160686585	2.4063
NM_003037	chr1(.):160574890-160622081	0.1605
NM_021181	chr1(.):160704076-160729601	1.9065
NM_152366	chr1(.):161063180-161075138	0.5067
NM_030916	chr1(.):161035780-161064385	0.7958
NM_007122	chr1(.):161004040-161020757	2.6576
NM_001113205	chr1(.):161002421-161013774	0.4573
NR_033385	chr1(.):161063150-161075138	0.5057
NM_181720	chr1(.):161011731-161044760	2.0234
NM_016946	chr1(.):160960000-160996133	0.5
NM_001077470	chr1(.):161194455-161213000	0.665
NM_001039711	chr1(.):161085768-161107478	0.9319
NM_016406	chr1(.):161118533-161133646	1.7955
NM_004550	chr1(.):161164104-161189184	0.8443
NM_000309	chr1(.):161131180-161146010	1.3535
NM_001643	chr1(.):161187082-161198418	1.2226
NM_001185094	chr1(.):161082907-161095984	0.5259
NM_003779	chr1(.):161136100-161152314	2.8021
NM_012475	chr1(.):161124253-161140516	1.3473
NM_001039712	chr1(.):161085768-161107256	0.9412
NM_005600	chr1(.):161082861-161095984	0.5241
NM_001185093	chr1(.):161082906-161095984	0.5258
NM_032174	chr1(.):161190832-161205407	0.8141
NM_001166159	chr1(.):161166936-161189184	0.9134
NM_005099	chr1(.):161154537-161173845	2.3154
NM_004106	chr1(.):161180086-161194038	0.6367
NR_033186	chr1(.):178506930-178523024	0.5051
NM_022371	chr1(.):179046111-179070129	1.5637
NM_016545	chr1(.):181052637-181064979	1.2839
NM_002922	chr1(.):192539856-192554159	1.385
NM_001195216	chr1(.):197698138-197749623	1.2788
NM_005298	chr1(.):200837165-200848251	0.0949
NM_018265	chr1(.):200855638-200889864	1.1231
NM_001142569	chr1(.):200858998-200889864	1.1445
NM_017596	chr1(.):200933519-200997828	0.5591
NR_034150	chr1(.):203262885-203279453	7.3804
NM_003465	chr1(.):203180206-203203860	0.1129
NM_006763	chr1(.):203269663-203283729	4.4482
NM_002023	chr1(.):203304751-203325289	0.1572
NM_002646	chr1(.):204386757-204464474	0.2317
NM_002393	chr1(.):204480510-204532248	1.2455
NM_001007544	chr1(.):206233871-206293647	1.8512
NM_148964	chr1(.):206312458-206337104	0.0877
