GENE_ID	locusLine	bin_1_U266.jin.bam
NM_013943	chr1(.):25066759-25175815	0.2712
NM_030806	chr1(.):184351149-184603155	0.273
NM_032236	chr1(.):21999791-22114688	0.4026
NM_007051	chr1(.):50901934-51430936	0.0711
NM_001006605	chr1(.):93302720-93432079	0.2862
NM_020205	chr1(.):149907231-149987686	0.4628
NM_002585	chr1(.):164523801-164826045	0.3312
NM_145214	chr1(.):228576376-228599517	0.1298
NM_000254	chr1(.):236953580-237072281	0.3198
NM_001198993	chr1(.):1677670-1715297	0.7473
NM_023018	chr1(.):1677670-1714909	0.7529
NM_001198994	chr1(.):1677670-1716508	0.7256
NM_003636	chr1(.):6081379-6165523	0.1853
NM_015102	chr1(.):5917869-6057531	0.176
NM_024980	chr1(.):9159475-9194229	0.2212
NM_015291	chr1(.):15848351-15903228	0.267
NM_001113348	chr1(.):21538739-21677034	0.2661
NM_001013693	chr1(.):22133757-22156714	0.0654
NM_004091	chr1(.):23827921-23862713	0.9195
NM_001010980	chr1(.):24877566-24940818	0.6904
NM_020448	chr1(.):24737244-24804473	0.0915
NM_173065	chr1(.):24475646-24518751	0.8567
NM_001135218	chr1(.):28924608-28974604	0.5731
NM_001048199	chr1(.):28827454-28870708	0.7517
NR_002909	chr1(.):28827454-28842404	1.3308
NM_004964	chr1(.):32752707-32804224	0.1804
NM_181809	chr1(.):39952317-40000541	0.5737
NM_001720	chr1(.):40218902-40259533	0.5703
NM_174964	chr1(.):44168217-44401831	0.2579
NM_145716	chr1(.):54687194-54876979	0.2291
NM_001009955	chr1(.):54687194-54877092	0.2289
NM_002600	chr1(.):66253855-66845262	0.1244
NM_001037341	chr1(.):66253192-66845262	0.1243
NM_001037340	chr1(.):66453389-66845262	0.1537
NM_001002912	chr1(.):75028794-75144422	0.4317
NM_006113	chr1(.):108108781-108512545	0.1163
NM_153713	chr1(.):145472084-145504091	0.2686
NM_001002812	chr1(.):144885590-145000022	0.5253
NM_014644	chr1(.):144846426-145000022	0.4197
NM_001198834	chr1(.):144846423-145000033	0.4197
NM_001198832	chr1(.):144846423-145044992	0.4131
NM_207168	chr1(.):150594521-150607098	1.0075
NM_020524	chr1(.):154911558-154933567	2.575
NM_181359	chr1(.):154372668-154445188	1.8035
NM_002249	chr1(.):154674914-154847754	0.5148
NM_170782	chr1(.):154674914-154837338	0.5221
NM_152280	chr1(.):155824259-155859990	0.6344
NM_005973	chr1(.):156732273-156775609	1.0609
NM_014697	chr1(.):162034580-162344813	0.2671
NM_014857	chr1(.):174123633-174932327	0.1466
NM_152663	chr1(.):178689299-178894237	0.1902
NM_145034	chr1(.):179804101-179851941	0.5695
NM_022347	chr1(.):179823164-179851941	0.9016
NM_052966	chr1(.):184755165-184948682	0.3551
NM_182663	chr1(.):206675878-206767616	0.7265
NM_152495	chr1(.):224799178-224933249	0.3583
NM_002221	chr1(.):226814390-226931876	0.6547
NM_004481	chr1(.):230197955-230422875	0.5568
NM_003193	chr1(.):235525727-235617280	0.1214
NM_031371	chr1(.):235325209-235496532	0.1952
NM_144625	chr1(.):241810579-241970434	0.1505
NM_181690	chr1(.):243646534-244011553	0.1979
NM_005465	chr1(.):243661483-244011553	0.2031
NM_003431	chr1(.):247314202-247340318	0.1611
NM_182838	chr1(.):1658680-1682431	0.6684
NM_001198995	chr1(.):1677670-1695081	0.2446
NM_177540	chr1(.):6610337-6644817	0.2908
NM_005341	chr1(.):6635062-6654340	0.2639
NM_014851	chr1(.):6645783-6667929	1.289
NM_153812	chr1(.):6668755-6689093	0.7854
NM_024654	chr1(.):6576406-6619658	0.1344
NM_001195752	chr1(.):6680209-6698642	0.3733
NM_001195753	chr1(.):6679924-6698642	0.3676
NM_207420	chr1(.):9058358-9091404	0.3401
NM_003039	chr1(.):9092004-9134887	0.2462
NR_024180	chr1(.):9092004-9153510	0.5969
NR_029610	chr1(.):9206726-9216836	0.0736
NM_025106	chr1(.):9347940-9434590	0.4434
NM_015866	chr1(.):14026349-14119574	0.6388
NM_012231	chr1(.):14026349-14156574	0.4762
NM_001007257	chr1(.):14070875-14119574	0.2382
NM_001135610	chr1(.):14021734-14156574	0.4884
NM_015849	chr1(.):15797595-15822895	0.1052
NM_001229	chr1(.):15813768-15855940	0.37
NM_032996	chr1(.):15813768-15856285	0.367
NM_001136204	chr1(.):17728250-17770057	0.3616
NM_018715	chr1(.):17728250-17771220	0.3581
NM_001397	chr1(.):21538739-21621982	0.2998
NM_001113347	chr1(.):21538739-21611183	0.0757
NM_001113349	chr1(.):21538739-21621766	0.2912
NM_001032730	chr1(.):22049338-22114688	0.6442
NM_017707	chr1(.):23750055-23815750	0.0853
NM_002167	chr1(.):23879408-23891322	1.7641
NR_027042	chr1(.):23948823-23972056	0.3785
NM_021258	chr1(.):24441260-24474611	0.1182
NR_027087	chr1(.):24521729-24543180	0.8244
NM_001199013	chr1(.):24678488-24745262	0.4084
NM_001199012	chr1(.):24678488-24746587	0.4016
NM_015627	chr1(.):25865075-25900377	0.7906
NR_026685	chr1(.):26432655-26457026	1.4812
NM_152835	chr1(.):26433267-26457026	1.5152
NM_032588	chr1(.):26372797-26399121	0.0647
NR_023345	chr1(.):26498981-26521375	0.1698
NM_024869	chr1(.):26480510-26494119	0.089
NM_015871	chr1(.):26491387-26502364	0.5554
NM_006314	chr1(.):26498980-26521375	0.1698
NM_006015	chr1(.):27017521-27113601	0.4352
NM_002713	chr1(.):28152292-28183183	0.2627
NR_002997	chr1(.):28155911-28166077	0.6886
NM_001039477	chr1(.):28194054-28218193	1.4505
NM_002946	chr1(.):28213048-28246236	0.3466
NM_014280	chr1(.):28521789-28564542	0.2861
NM_016311	chr1(.):28557610-28569611	0.9308
NM_031459	chr1(.):28581005-28614002	0.2218
NR_024127	chr1(.):28900049-28913366	0.4165
NM_152304	chr1(.):28913711-28926088	0.5095
NM_001193532	chr1(.):28914006-28926088	0.5199
NR_003035	chr1(.):28902431-28912565	0.5314
NR_002987	chr1(.):28901275-28911405	0.5356
NR_003109	chr1(.):28874528-28910057	0.3805
NM_001269	chr1(.):28839744-28870708	0.4266
NR_002976	chr1(.):28901892-28912024	0.5327
NR_003077	chr1(.):28900254-28910334	0.5367
NR_004407	chr1(.):28970111-28980246	0.8823
NR_026850	chr1(.):32692260-32712311	0.1143
NM_019118	chr1(.):32676797-32692926	0.7194
NM_032648	chr1(.):32707817-32719461	1.6113
NM_001042771	chr1(.):32734711-32756766	0.1212
NM_001099434	chr1(.):32669694-32686797	0.2786
NM_003757	chr1(.):32682970-32702205	0.6376
NM_005356	chr1(.):32711839-32756766	0.5159
NM_001160042	chr1(.):32666235-32679288	0.3758
NM_024296	chr1(.):32661201-32675991	0.4488
NR_003929	chr1(.):39982951-40030370	0.3502
NM_001195007	chr1(.):40199516-40234586	0.1542
NM_022120	chr1(.):40230196-40242020	0.8534
NM_017646	chr1(.):40301705-40354177	0.2476
NM_005376	chr1(.):40360283-40372687	1.2881
NM_001033081	chr1(.):40356095-40372687	1.1387
NM_001262	chr1(.):51429366-51445306	3.2437
NM_078626	chr1(.):51430641-51445309	3.52
NM_001037339	chr1(.):66792792-66845262	0.2087
NM_006769	chr1(.):87789150-87819607	0.6485
NM_004974	chr1(.):111140775-111153345	0.0392
NM_002232	chr1(.):111209309-111222655	0.8984
NM_001040033	chr1(.):111408820-111447558	0.5073
NM_000560	chr1(.):111410721-111447558	0.5304
NM_001779	chr1(.):117052155-117118715	0.332
NM_001144822	chr1(.):117056321-117118715	0.3469
NM_017709	chr1(.):118143603-118176011	2.7045
NM_001002811	chr1(.):144885590-144937032	0.6646
NM_032305	chr1(.):145451235-145475387	0.9828
NM_202004	chr1(.):145408190-145422545	0.1034
NM_006472	chr1(.):145433461-145447628	1.1984
NM_001039888	chr1(.):145465507-145480647	0.7573
NM_001161334	chr1(.):149749244-149788928	0.3817
NM_001034077	chr1(.):149799220-149809616	1.7067
NM_001005464	chr1(.):149807258-149817765	2.9339
NM_001040874	chr1(.):149808784-149819318	2.9183
NM_001123375	chr1(.):149779779-149790236	1.0095
NM_005850	chr1(.):149890210-149904702	0.9656
NM_016074	chr1(.):149866154-149877348	0.6908
NM_003528	chr1(.):149851009-149863232	3.2247
NM_003517	chr1(.):149853524-149863961	3.7487
NM_175065	chr1(.):149854018-149864466	3.7424
NM_014849	chr1(.):149869871-149894434	0.3607
NM_181873	chr1(.):149895542-149913266	1.6873
NM_001145862	chr1(.):149895542-149913791	1.6537
NR_036461	chr1(.):149816758-149827340	2.771
NM_001040874	chr1(.):149817627-149828161	2.7509
NM_001005464	chr1(.):149819180-149829687	2.7649
NM_001034077	chr1(.):149827329-149837725	1.6636
NM_019032	chr1(.):150516897-150538412	1.6812
NM_207046	chr1(.):150589598-150606609	0.7979
NR_036211	chr1(.):150519404-150529490	0.1764
NM_001197320	chr1(.):150542026-150557214	1.9821
NM_006556	chr1(.):154892207-154914484	2.1431
NM_001130041	chr1(.):154929773-154951959	1.9395
NM_001130040	chr1(.):154929773-154948223	2.0979
NM_201398	chr1(.):154950769-154970587	0.3378
NM_015872	chr1(.):154970111-154995999	1.5233
NM_207196	chr1(.):155018761-155040252	0.4925
NM_018655	chr1(.):154961061-154971791	0.358
NM_001143687	chr1(.):155001281-155028406	0.211
NR_024163	chr1(.):154942117-154956725	2.1976
NM_144622	chr1(.):154986002-155011257	0.1882
NM_138300	chr1(.):154924501-154939258	2.2723
NR_036212	chr1(.):154943168-154953259	2.5659
NM_032292	chr1(.):155729575-155831972	0.2534
NM_001037533	chr1(.):155714509-155831972	0.2731
NM_006912	chr1(.):155862600-155886177	0.237
NM_001162384	chr1(.):155911629-155953336	1.4953
NM_181885	chr1(.):155906479-155917625	3.438
NM_004723	chr1(.):155911629-155952966	1.4846
NM_014949	chr1(.):155877835-155909188	0.742
NR_002974	chr1(.):155884699-155894833	0.0868
NR_003005	chr1(.):155890748-155900877	0.0933
NM_003145	chr1(.):155973838-155995758	0.2849
NM_005920	chr1(.):156428518-156475529	2.8301
NM_198427	chr1(.):156606739-156628264	0.2081
NM_021817	chr1(.):156584085-156600517	0.1689
NM_021948	chr1(.):156606739-156634320	1.4391
NM_004494	chr1(.):156706898-156726543	1.9428
NM_001126051	chr1(.):156706898-156727024	1.897
NM_001126050	chr1(.):156706898-156727240	1.8781
NM_030980	chr1(.):156687412-156702705	1.0791
NM_001878	chr1(.):156664407-156680375	0.0721
NM_001142560	chr1(.):156693262-156711752	1.3974
NM_145729	chr1(.):156702093-156715923	1.1416
NM_006617	chr1(.):156633555-156652189	0.9896
NM_001012331	chr1(.):156825670-156856642	0.1584
NM_003975	chr1(.):156771034-156791640	1.0996
NM_001161444	chr1(.):156771848-156791640	1.1262
NM_014215	chr1(.):156805664-156833666	0.2093
NM_001161443	chr1(.):156771034-156790939	1.1279
NM_001007792	chr1(.):156780541-156856642	0.4033
NM_020335	chr1(.):160365363-160403468	0.4238
NM_001778	chr1(.):160643535-160686585	1.1338
NM_003037	chr1(.):160574890-160622081	0.2259
NM_021181	chr1(.):160704076-160729601	0.4035
NM_001033667	chr1(.):160760927-160777483	1.4058
NM_002348	chr1(.):160760927-160803045	0.6207
NM_001039711	chr1(.):161085768-161107478	1.1653
NM_016406	chr1(.):161118533-161133646	1.1571
NM_004550	chr1(.):161164104-161189184	0.7652
NM_000309	chr1(.):161131180-161146010	0.661
NM_001643	chr1(.):161187082-161198418	0.5741
NM_003779	chr1(.):161136100-161152314	1.4336
NM_012475	chr1(.):161124253-161140516	0.6192
NM_001039712	chr1(.):161085768-161107256	1.1769
NM_032174	chr1(.):161190832-161205407	0.2683
NM_001166159	chr1(.):161166936-161189184	0.8538
NM_005099	chr1(.):161154537-161173845	0.9561
NM_004106	chr1(.):161180086-161194038	0.6362
NR_033186	chr1(.):178506930-178523024	0.5261
NM_022371	chr1(.):179046111-179070129	1.2859
NM_015602	chr1(.):179846419-179894211	0.8677
NM_002922	chr1(.):192539856-192554159	0.8858
NM_005298	chr1(.):200837165-200848251	1.3369
NM_018265	chr1(.):200855638-200889864	0.6108
NM_001142569	chr1(.):200858998-200889864	0.3941
NM_017596	chr1(.):200933519-200997828	0.4007
NR_034150	chr1(.):203262885-203279453	3.2849
NM_006763	chr1(.):203269663-203283729	2.7026
NM_002023	chr1(.):203304751-203325289	0.0977
NM_002393	chr1(.):204480510-204532248	0.7286
NM_030952	chr1(.):205266190-205295883	0.2177
NM_000707	chr1(.):206219282-206236482	0.2252
NM_001007544	chr1(.):206233871-206293647	1.1314
NM_148964	chr1(.):206312458-206337104	0.0992
NM_001004023	chr1(.):206803880-206827542	0.1185
NM_006893	chr1(.):206759973-206790904	0.6128
NM_182665	chr1(.):206725491-206767616	1.1322
NM_032960	chr1(.):206853288-206912626	0.7578
NR_026817	chr1(.):207986723-208000941	1.6097
NR_029832	chr1(.):207970196-207980284	0.2788
NR_029518	chr1(.):207970787-207980868	0.2824
NM_001172425	chr1(.):226119297-226134083	1.1359
NM_013328	chr1(.):226102579-226116965	0.6586
NM_003493	chr1(.):228607545-228618026	0.0459
NM_033445	chr1(.):228640064-228650560	1.9037
NM_016102	chr1(.):228590635-228609583	0.1704
NM_001010858	chr1(.):228670067-228688889	1.2534
NM_175055	chr1(.):228640807-228651259	2.0054
NM_145257	chr1(.):229451751-229483688	0.6279
NM_006542	chr1(.):229435128-229446250	0.0602
NM_002245	chr1(.):233744749-233813258	3.3278
NM_005646	chr1(.):234522058-234619849	0.158
NM_182972	chr1(.):234735014-234750271	5.5979
NR_033927	chr1(.):234760056-234775526	0.1299
NM_004837	chr1(.):235486868-235512844	0.9161
NM_001037277	chr1(.):235486752-235512844	0.9121
NM_014322	chr1(.):241751451-241808701	0.5552
NM_001821	chr1(.):241787166-241804232	0.8039
NM_173858	chr1(.):247414373-247425447	0.0481
NR_037480	chr1(.):247360268-247370362	0.0749
NR_034135	chr2(.):8142900-8473549	0.1399
NM_014600	chr2(.):31451879-31496260	0.4195
NM_138394	chr2(.):38785327-38835178	0.755
NM_020458	chr2(.):47163312-47308275	0.1498
NR_033872	chr2(.):70184394-70319147	0.4623
NR_015395	chr2(.):112119590-112257692	2.1904
NR_024373	chr2(.):112181885-112257692	3.825
NM_014900	chr2(.):165536257-165702928	0.3478
NM_021141	chr2(.):216969019-217076016	0.2506
NM_015488	chr2(.):219130114-219216516	0.2991
