GENE_ID	locusLine	bin_1_U266_jia.bam
1_MACS_peak_1_lociStitched	chr1(.):13063-15119	0.8036
1_MACS_peak_2_lociStitched	chr1(.):28173-30223	3.2151
2_MACS_peak_3_lociStitched	chr1(.):441458-442608	0.6993
1_MACS_peak_5_lociStitched	chr1(.):540343-541487	0.6595
1_MACS_peak_6_lociStitched	chr1(.):713227-715267	1.5196
1_MACS_peak_7_lociStitched	chr1(.):761813-763743	2.1717
1_MACS_peak_8_lociStitched	chr1(.):805286-805626	0.4366
3_MACS_peak_9_lociStitched	chr1(.):875668-877961	0.4646
2_MACS_peak_12_lociStitched	chr1(.):893757-896561	1.228
1_MACS_peak_14_lociStitched	chr1(.):901354-902769	1.1879
1_MACS_peak_15_lociStitched	chr1(.):948061-949779	1.0825
1_MACS_peak_16_lociStitched	chr1(.):954517-955818	1.1413
1_MACS_peak_17_lociStitched	chr1(.):968612-969030	0.3519
1_MACS_peak_18_lociStitched	chr1(.):975680-976250	0.4707
2_MACS_peak_19_lociStitched	chr1(.):999348-1004824	0.2718
2_MACS_peak_21_lociStitched	chr1(.):1050705-1052356	0.8443
1_MACS_peak_23_lociStitched	chr1(.):1057637-1058109	0.5265
1_MACS_peak_24_lociStitched	chr1(.):1072054-1073710	0.9955
1_MACS_peak_25_lociStitched	chr1(.):1078591-1082282	2.2749
1_MACS_peak_26_lociStitched	chr1(.):1143630-1144005	0.4637
2_MACS_peak_27_lociStitched	chr1(.):1166444-1168276	2.6127
1_MACS_peak_29_lociStitched	chr1(.):1185241-1185892	0.6972
1_MACS_peak_30_lociStitched	chr1(.):1207724-1210217	2.35
2_MACS_peak_31_lociStitched	chr1(.):1240864-1244979	1.5996
2_MACS_peak_33_lociStitched	chr1(.):1259027-1267234	0.8298
1_MACS_peak_35_lociStitched	chr1(.):1283773-1285535	2.2886
1_MACS_peak_36_lociStitched	chr1(.):1297422-1297885	0.4369
2_MACS_peak_37_lociStitched	chr1(.):1307021-1311781	1.0548
1_MACS_peak_39_lociStitched	chr1(.):1333515-1336437	2.1414
1_MACS_peak_40_lociStitched	chr1(.):1341233-1343707	2.148
1_MACS_peak_41_lociStitched	chr1(.):1357684-1358273	0.495
1_MACS_peak_42_lociStitched	chr1(.):1396686-1398861	2.0291
2_MACS_peak_43_lociStitched	chr1(.):1405942-1408314	1.4667
2_MACS_peak_45_lociStitched	chr1(.):1439855-1448687	0.9926
1_MACS_peak_47_lociStitched	chr1(.):1509099-1511079	2.6653
2_MACS_peak_48_lociStitched	chr1(.):1535005-1538122	0.3758
1_MACS_peak_50_lociStitched	chr1(.):1549874-1552170	2.6412
1_MACS_peak_51_lociStitched	chr1(.):1565174-1567173	2.385
1_MACS_peak_52_lociStitched	chr1(.):1589530-1591694	1.9418
1_MACS_peak_53_lociStitched	chr1(.):1605777-1608148	1.2751
1_MACS_peak_54_lociStitched	chr1(.):1622804-1625608	2.8386
1_MACS_peak_55_lociStitched	chr1(.):1654514-1656977	1.6922
1_MACS_peak_56_lociStitched	chr1(.):1668471-1670962	1.8891
