GENE_ID	locusLine	bin_1_MM.1S.jin.bam
NM_013943	chr1(.):25066759-25175815	0.1958
NM_001017415	chr1(.):62896974-62922475	0.4217
NM_003368	chr1(.):62897382-62922475	0.4269
NM_024408	chr1(.):120449175-120617276	0.1778
NM_001037675	chr1(.):144609958-144833810	0.0916
NM_152263	chr1(.):154129289-154169609	0.2843
NM_001043351	chr1(.):154122779-154160725	0.2648
NM_201569	chr1(.):183436505-183528328	0.2573
NM_133494	chr1(.):198121107-198296548	0.143
NM_001198993	chr1(.):1677670-1715297	0.4405
NM_023018	chr1(.):1677670-1714909	0.4389
NM_001198994	chr1(.):1677670-1716508	0.4318
NM_017940	chr1(.):16885411-16944982	0.289
NM_001113348	chr1(.):21538739-21677034	0.189
NM_004091	chr1(.):23827921-23862713	0.631
NM_173065	chr1(.):24475646-24518751	0.4481
NM_006990	chr1(.):27727125-27821669	0.2993
NM_002379	chr1(.):31179123-31201432	0.1855
NR_034182	chr1(.):31186618-31204593	0.2072
NM_022753	chr1(.):33278175-33329476	0.238
NM_001017406	chr1(.):33278175-33305665	0.3912
NM_181809	chr1(.):39952317-40000541	0.5094
NM_001127714	chr1(.):41970683-42389496	0.2265
NM_174964	chr1(.):44168217-44401831	0.149
NM_001100910	chr1(.):120834004-120860681	0.3836
NR_024584	chr1(.):144295516-144346755	0.2013
NR_034178	chr1(.):143910747-144099477	0.2822
NM_203458	chr1(.):145204110-145290912	0.4684
NM_001195260	chr1(.):144946760-145002111	0.5331
NM_153713	chr1(.):145472084-145504091	0.1775
NM_022359	chr1(.):144946760-145081186	0.4305
NM_001002812	chr1(.):144885590-145000022	0.4761
NM_014644	chr1(.):144846426-145000022	0.3976
NM_001195261	chr1(.):144946760-145000082	0.5218
NM_001198834	chr1(.):144846423-145000033	0.3976
NM_001002810	chr1(.):144946760-145000033	0.5221
NM_001198832	chr1(.):144846423-145044992	0.4173
NM_015203	chr1(.):150331989-150454041	0.1577
NM_020524	chr1(.):154911558-154933567	1.4898
NM_181359	chr1(.):154372668-154445188	0.7478
NM_002249	chr1(.):154674914-154847754	0.4106
NM_170782	chr1(.):154674914-154837338	0.4194
NM_005572	chr1(.):156079460-156112657	0.2371
NM_018489	chr1(.):155300051-155537324	0.2154
NM_018116	chr1(.):155575006-155589758	0.2104
NM_007348	chr1(.):161731083-161933852	0.2351
NM_012474	chr1(.):165791889-165882339	0.3281
NM_052862	chr1(.):167594473-167680486	0.3244
NM_002697	chr1(.):167185065-167401582	0.1872
NR_037163	chr1(.):167185122-167401582	0.1872
NM_018442	chr1(.):167900796-168050083	0.1566
NR_026550	chr1(.):167882309-167910380	0.4234
NM_001143674	chr1(.):167882309-167911278	0.4118
NM_015415	chr1(.):167882309-167910233	0.4253
NM_172071	chr1(.):173895351-173967210	0.0783
NM_014412	chr1(.):174963891-174986163	0.5341
NM_001007214	chr1(.):174963570-174986163	0.5271
NM_014810	chr1(.):179918907-180089015	0.1821
NM_145034	chr1(.):179804101-179851941	0.231
NM_015149	chr1(.):183600207-183902666	0.2871
NM_025191	chr1(.):184654624-184729041	0.3809
NM_016066	chr1(.):193060600-193080244	0.2027
NM_197962	chr1(.):193060599-193079556	0.1984
NM_144977	chr1(.):197516384-197749623	0.1766
NM_001195215	chr1(.):197468878-197749623	0.1589
NM_014827	chr1(.):203759750-203828256	0.2464
NM_001199050	chr1(.):205345505-205396214	0.1182
NM_182663	chr1(.):206675878-206767616	0.5561
NM_001193338	chr1(.):207071630-207100235	0.7553
NM_005449	chr1(.):207071630-207100378	0.7547
NM_002221	chr1(.):226814390-226931876	0.569
NM_020247	chr1(.):227122937-227180246	0.2538
NM_004481	chr1(.):230197955-230422875	0.391
NM_003193	chr1(.):235525727-235617280	0.0987
NM_031371	chr1(.):235325209-235496532	0.1705
NM_152490	chr1(.):235605532-235672781	0.2434
NM_181690	chr1(.):243646534-244011553	0.1119
NM_032328	chr1(.):245128170-245256148	0.1698
NR_026588	chr1(.):245128630-245256148	0.1698
NR_026587	chr1(.):245128630-245293530	0.1494
