GENE_ID	locusLine	bin_1_07_0EWT_0229Kronos_MM1S-KB-6hr-1_H3K18Ac_hs-dm_i14.bam
NM_001006605	chr1(.):93302720-93432079	0.2981
NM_001113228	chr1(.):107677628-108029475	0.1495
NM_014917	chr1(.):107677744-108029475	0.1496
NM_001010935	chr1(.):112157404-112261101	0.1185
NM_201569	chr1(.):183436505-183528328	0.3099
NM_003820	chr1(.):2482804-2500267	0.5982
NM_001113348	chr1(.):21538739-21677034	0.2473
NM_004091	chr1(.):23827921-23862713	1.4144
NM_173065	chr1(.):24475646-24518751	1.7659
NM_002379	chr1(.):31179123-31201432	0.2046
NR_034182	chr1(.):31186618-31204593	0.2312
NM_174964	chr1(.):44168217-44401831	0.2352
NM_002600	chr1(.):66253855-66845262	0.1948
NM_001037341	chr1(.):66253192-66845262	0.1946
NM_001037340	chr1(.):66453389-66845262	0.2562
NM_018841	chr1(.):68162148-68304155	0.2285
NM_001081976	chr1(.):112020969-112111597	0.1236
NM_198459	chr1(.):115122195-115217732	0.0866
NM_001195260	chr1(.):144946760-145002111	0.647
NM_153713	chr1(.):145472084-145504091	0.2327
NM_022359	chr1(.):144946760-145081186	0.4565
NM_001002812	chr1(.):144885590-145000022	0.6844
NM_014644	chr1(.):144846426-145000022	0.5446
NM_001195261	chr1(.):144946760-145000082	0.6543
NM_001198834	chr1(.):144846423-145000033	0.5446
NM_001002810	chr1(.):144946760-145000033	0.6542
NM_001198832	chr1(.):144846423-145044992	0.5084
NM_207168	chr1(.):150594521-150607098	0.7691
NM_020699	chr1(.):153772202-153900451	0.1853
NM_020524	chr1(.):154911558-154933567	2.4849
NM_181359	chr1(.):154372668-154445188	1.0969
NM_002249	chr1(.):154674914-154847754	0.6208
NM_170782	chr1(.):154674914-154837338	0.636
NM_005572	chr1(.):156079460-156112657	0.4635
NM_005973	chr1(.):156732273-156775609	0.2963
NM_012394	chr1(.):161065345-161092866	0.3267
NM_014412	chr1(.):174963891-174986163	0.8545
NM_014857	chr1(.):174123633-174932327	0.1209
NM_001035230	chr1(.):174839683-174932327	0.1747
NM_001007214	chr1(.):174963570-174986163	0.8443
NM_015149	chr1(.):183600207-183902666	0.5964
NM_025191	chr1(.):184654624-184729041	0.4174
NM_144977	chr1(.):197516384-197749623	0.2748
NM_001195215	chr1(.):197468878-197749623	0.2407
NM_182663	chr1(.):206675878-206767616	0.6262
NM_001193338	chr1(.):207071630-207100235	1.4219
NM_005449	chr1(.):207071630-207100378	1.4153
NM_006147	chr1(.):209956261-209984479	0.2927
NM_001143962	chr1(.):223709971-223858436	0.0502
NM_002221	chr1(.):226814390-226931876	0.8091
NM_004481	chr1(.):230197955-230422875	0.4743
NM_001010926	chr1(.):2455183-2466684	0.2002
NR_026927	chr1(.):2476358-2489284	1.6064
NM_018216	chr1(.):2434974-2463035	0.1063
NM_001195741	chr1(.):2513188-2527908	0.2825
NR_036638	chr1(.):2512898-2527908	0.2776
NM_014675	chr1(.):17243444-17304474	0.1097
NM_001397	chr1(.):21538739-21621982	0.3015
NM_001113347	chr1(.):21538739-21611183	0.0738
NM_001113349	chr1(.):21538739-21621766	0.2984
NM_017707	chr1(.):23750055-23815750	0.0756
NM_002167	chr1(.):23879408-23891322	0.6955
NR_027042	chr1(.):23948823-23972056	0.2537
NM_021258	chr1(.):24441260-24474611	0.1292
NR_027087	chr1(.):24521729-24543180	1.172
NM_015627	chr1(.):25865075-25900377	0.7837
NM_006015	chr1(.):27017521-27113601	0.5395
NM_006762	chr1(.):31200314-31235683	2.4072
NM_005202	chr1(.):36555843-36570850	0.0866
NM_018067	chr1(.):36616802-36651441	0.4175
NM_014408	chr1(.):36597172-36620067	0.385
NM_022756	chr1(.):37953175-37985364	0.1428
NM_025079	chr1(.):37935118-37954978	1.0974
NR_002983	chr1(.):40028045-40038182	0.8866
NR_003929	chr1(.):39982951-40030370	0.3342
NM_014571	chr1(.):40084102-40110348	0.1118
NM_001135653	chr1(.):40021484-40047521	0.641
NM_001198979	chr1(.):40854016-40893998	0.188
NM_001198978	chr1(.):40835304-40893998	0.4865
NM_001198980	chr1(.):40857471-40893998	0.1112
NM_022733	chr1(.):40834377-40893998	0.4804
NM_006004	chr1(.):46764379-46787447	0.4815
NM_006369	chr1(.):46739071-46774038	0.3443
NM_199044	chr1(.):46801389-46835690	0.207
NM_001037339	chr1(.):66792792-66845262	0.5555
NM_001001933	chr1(.):75589118-75632218	0.803
NM_004974	chr1(.):111140775-111153345	0.0533
NM_002232	chr1(.):111209309-111222655	1.0728
NR_034126	chr1(.):112136628-112155940	1.1467
NM_007158	chr1(.):115254536-115305624	0.2172
NM_002524	chr1(.):115242077-115264515	0.7683
NM_001172626	chr1(.):115210719-115243239	0.537
NM_001130523	chr1(.):115254537-115305671	0.217
NM_017709	chr1(.):118143603-118176011	2.2382
NM_001002811	chr1(.):144885590-144937032	0.8136
NM_032305	chr1(.):145451235-145475387	2.005
NM_202004	chr1(.):145408190-145422545	0.1094
NM_006472	chr1(.):145433461-145447628	2.5876
NM_001039888	chr1(.):145465507-145480647	0.386
NM_005105	chr1(.):145502637-145516444	1.0917
NR_024442	chr1(.):146485894-146519599	0.621
NM_001161334	chr1(.):149749244-149788928	0.3827
NM_001034077	chr1(.):149799220-149809616	1.0427
NM_001005464	chr1(.):149807258-149817765	2.6909
NM_001040874	chr1(.):149808784-149819318	2.6816
NM_001123375	chr1(.):149779779-149790236	0.9462
NM_000566	chr1(.):149749249-149769074	0.2316
NM_016074	chr1(.):149866154-149877348	0.4256
NM_003528	chr1(.):149851009-149863232	2.5471
NM_003517	chr1(.):149853524-149863961	2.9642
NM_175065	chr1(.):149854018-149864466	2.9492
NR_036461	chr1(.):149816758-149827340	2.5799
NM_001040874	chr1(.):149817627-149828161	2.5891
NM_001005464	chr1(.):149819180-149829687	2.598
NM_001034077	chr1(.):149827329-149837725	1.0665
NM_016274	chr1(.):150117169-150136825	1.2417
NM_019032	chr1(.):150516897-150538412	3.5092
NM_207046	chr1(.):150589598-150606609	0.6321
NR_036211	chr1(.):150519404-150529490	0.1538
NM_001197320	chr1(.):150542026-150557214	1.2096
NM_014437	chr1(.):153926587-153945188	1.0937
NM_130898	chr1(.):153935396-153951832	1.1222
NM_181715	chr1(.):153915151-153936043	0.8856
NM_006694	chr1(.):153941744-153955451	0.3844
NM_002870	chr1(.):153949127-153963806	0.5986
NM_014856	chr1(.):153896976-153924154	0.3982
NM_001030	chr1(.):153958238-153969631	0.4381
NM_006556	chr1(.):154892207-154914484	1.4891
NM_001130041	chr1(.):154929773-154951959	1.4282
NM_001130040	chr1(.):154929773-154948223	1.5812
NM_201398	chr1(.):154950769-154970587	0.2906
NM_015872	chr1(.):154970111-154995999	1.0073
NM_207196	chr1(.):155018761-155040252	0.4587
NM_001184892	chr1(.):154950769-154966488	0.2964
NM_018655	chr1(.):154961061-154971791	0.2665
NM_001143687	chr1(.):155001281-155028406	0.3692
NR_024163	chr1(.):154942117-154956725	1.4828
NM_144622	chr1(.):154986002-155011257	0.3577
NM_138300	chr1(.):154924501-154939258	2.0174
NR_036212	chr1(.):154943168-154953259	1.7779
NM_006912	chr1(.):155862600-155886177	0.1504
NM_001162384	chr1(.):155911629-155953336	1.6334
NM_181885	chr1(.):155906479-155917625	1.3609
NM_004723	chr1(.):155911629-155952966	1.6385
NM_014949	chr1(.):155877835-155909188	0.33
NR_002974	chr1(.):155884699-155894833	0.0901
NR_003005	chr1(.):155890748-155900877	0.0816
NM_003145	chr1(.):155973838-155995758	0.2794
NM_014655	chr1(.):156158729-156187587	0.5237
NM_007221	chr1(.):156177783-156214833	0.6472
NM_022367	chr1(.):156118321-156152542	1.9444
NM_001193302	chr1(.):156118368-156152542	1.9465
NM_001193301	chr1(.):156114734-156152542	1.9049
NM_005920	chr1(.):156428518-156475529	1.1922
NM_198427	chr1(.):156606739-156628264	0.1535
NM_021817	chr1(.):156584085-156600517	0.1398
NM_021948	chr1(.):156606739-156634320	0.8979
NM_004494	chr1(.):156706898-156726543	1.0851
NM_001126051	chr1(.):156706898-156727024	1.0608
NM_001126050	chr1(.):156706898-156727240	1.0505
NM_030980	chr1(.):156687412-156702705	0.3446
NM_001878	chr1(.):156664407-156680375	0.1135
NM_001142560	chr1(.):156693262-156711752	0.57
NM_145729	chr1(.):156702093-156715923	0.4843
NM_006617	chr1(.):156633555-156652189	0.3053
NM_004833	chr1(.):159027274-159051647	1.2617
NM_001778	chr1(.):160643535-160686585	1.8195
NM_003037	chr1(.):160574890-160622081	0.2473
NM_021181	chr1(.):160704076-160729601	1.5125
NM_001077470	chr1(.):161194455-161213000	0.392
NM_001039711	chr1(.):161085768-161107478	0.7365
NM_016406	chr1(.):161118533-161133646	1.0876
NM_004550	chr1(.):161164104-161189184	0.6836
NM_000309	chr1(.):161131180-161146010	0.7372
NM_001643	chr1(.):161187082-161198418	0.8147
NM_001185094	chr1(.):161082907-161095984	0.3262
NM_003779	chr1(.):161136100-161152314	1.8649
NM_012475	chr1(.):161124253-161140516	0.7958
NM_001039712	chr1(.):161085768-161107256	0.7428
NM_005600	chr1(.):161082861-161095984	0.3252
NM_001185093	chr1(.):161082906-161095984	0.3261
NM_032174	chr1(.):161190832-161205407	0.4739
NM_001166159	chr1(.):161166936-161189184	0.7202
NM_005099	chr1(.):161154537-161173845	1.7495
NM_004106	chr1(.):161180086-161194038	0.5243
NM_002021	chr1(.):171212662-171260113	0.502
NR_033186	chr1(.):178506930-178523024	0.4591
NM_016545	chr1(.):181052637-181064979	0.8474
NM_001127651	chr1(.):183519696-183565056	0.4744
NM_001190794	chr1(.):183519696-183564739	0.4766
NM_005717	chr1(.):183590331-183609985	0.5881
NM_002922	chr1(.):192539856-192554159	1.3017
NM_001195216	chr1(.):197698138-197749623	0.8972
NM_005298	chr1(.):200837165-200848251	0.1724
NM_018265	chr1(.):200855638-200889864	1.0246
NM_001142569	chr1(.):200858998-200889864	0.9794
NM_017596	chr1(.):200933519-200997828	0.3995
NR_034150	chr1(.):203262885-203279453	5.2526
NM_003465	chr1(.):203180206-203203860	0.1496
NM_006763	chr1(.):203269663-203283729	3.3455
NM_002023	chr1(.):203304751-203325289	0.2321
NM_002646	chr1(.):204386757-204464474	0.2077
NM_002393	chr1(.):204480510-204532248	0.8835
NM_014858	chr1(.):205192037-205247471	0.4707
NM_030952	chr1(.):205266190-205295883	0.6191
NM_001007544	chr1(.):206233871-206293647	1.4045
NM_148964	chr1(.):206312458-206337104	0.1497
NM_006893	chr1(.):206759973-206790904	0.1585
NM_182665	chr1(.):206725491-206767616	1.123
NM_001185157	chr1(.):207065787-207082484	0.1015
NM_002644	chr1(.):207096866-207124811	0.3954
NM_001170631	chr1(.):207126311-207148970	0.1128
NM_152485	chr1(.):209950661-209962890	0.4156
NM_005525	chr1(.):209873190-209913295	0.1214
NM_025228	chr1(.):209924393-209960668	1.2971
NM_183059	chr1(.):211644863-211671259	0.1049
NM_021194	chr1(.):211743380-211757099	1.4564
NM_001748	chr1(.):223895118-223968720	0.361
NM_001146068	chr1(.):223884294-223968720	0.3349
NM_000120	chr1(.):226008001-226038262	0.2335
NM_020997	chr1(.):226068981-226081836	1.3179
NM_014698	chr1(.):226028232-226075420	0.8883
NM_001172425	chr1(.):226119297-226134083	2.1987
NM_013328	chr1(.):226102579-226116965	0.5403
NM_182972	chr1(.):234735014-234750271	2.8478
NR_033927	chr1(.):234760056-234775526	0.0953
NM_020458	chr2(.):47163312-47308275	0.5009
NR_033872	chr2(.):70184394-70319147	0.4637
NM_001099289	chr2(.):109740996-110267207	0.1802
NM_020760	chr2(.):197058976-197462335	0.1954
NM_001012514	chr2(.):231724620-231748963	1.417
NM_145693	chr2(.):11881739-11972533	0.5964
NM_183360	chr2(.):25595111-25901503	0.3216
NM_170672	chr2(.):33656415-33794798	0.6068
NM_005813	chr2(.):37472645-37549222	0.7164
NM_019063	chr2(.):42391489-42564688	0.1153
NM_012249	chr2(.):46764866-46816827	0.6288
NM_014755	chr2(.):64853754-64886046	0.917
NR_036586	chr2(.):65123973-65164581	1.8214
NM_002398	chr2(.):66657531-66804891	0.2026
NM_004836	chr2(.):88851258-88932094	0.4575
NM_144563	chr2(.):88986175-89055452	0.7667
NM_004027	chr2(.):99056320-99212496	1.1631
NM_001566	chr2(.):99056320-99203284	1.2317
NM_003581	chr2(.):106356519-106515730	0.263
NM_001142807	chr2(.):111485149-111880799	0.2517
NM_002410	chr2(.):135006829-135211468	0.2344
NM_001077269	chr2(.):175419301-175552627	0.4321
NR_024415	chr2(.):192537797-192558248	1.1939
NM_001031716	chr2(.):192537860-192558248	1.1974
NM_004226	chr2(.):196993306-197041336	0.6045
NM_001228	chr2(.):202093165-202157434	1.1293
NM_003879	chr2(.):201975889-202034003	1.7114
NM_001127184	chr2(.):201975815-202011323	2.6406
NM_173822	chr2(.):201833440-201941392	0.1102
NM_033358	chr2(.):202093165-202151638	1.2339
NM_003709	chr2(.):207940528-208035614	0.4884
NM_001167608	chr2(.):227695670-227868923	0.2611
NM_022730	chr2(.):232646161-232678434	0.1048
NM_002997	chr2(.):20395557-20429927	2.6643
NM_001006946	chr2(.):20395557-20430194	2.644
NM_004040	chr2(.):20641834-20654201	0.5907
NM_178553	chr2(.):27354714-27367332	0.4615
NM_001166239	chr2(.):27318461-27346773	0.1214
NM_001166240	chr2(.):27317220-27346995	0.1387
NM_013388	chr2(.):27348624-27362542	0.4328
NM_001166241	chr2(.):27317220-27338970	0.0928
NM_032604	chr2(.):27341656-27358680	0.4759
NM_175769	chr2(.):27366944-27380819	0.9456
NM_080592	chr2(.):27429898-27445046	0.7106
NM_001170795	chr2(.):27430218-27445046	0.7238
NM_004341	chr2(.):27435257-27471654	0.2529
NM_021095	chr2(.):27417454-27440175	0.4196
NM_015376	chr2(.):33733941-33794798	0.2578
NM_001139488	chr2(.):33696320-33794798	0.8225
NM_012413	chr2(.):37566752-37605465	3.2066
NM_138370	chr2(.):42270160-42290668	0.0923
NM_006887	chr2(.):43444540-43458745	3.364
NR_027251	chr2(.):43449349-43460994	1.9852
NM_080653	chr2(.):46733985-46752096	0.0594
NM_173074	chr2(.):46803412-46849251	0.1464
NM_014171	chr2(.):46839324-46857881	0.2171
NM_001171508	chr2(.):47124008-47173994	0.4365
NM_002354	chr2(.):47591286-47619167	0.0565
NR_033837	chr2(.):64407212-64437619	0.5739
NR_034023	chr2(.):64829445-64848616	0.2154
NM_001193493	chr2(.):65210578-65256000	0.4809
NM_003038	chr2(.):65211494-65256000	0.4891
NM_015147	chr2(.):65278494-65319142	0.247
NM_014882	chr2(.):68996932-69058957	0.2354
NM_001166277	chr2(.):68956912-69058957	0.3915
NM_006196	chr2(.):70309584-70321334	4.2254
NR_024444	chr2(.):70346167-70357448	1.2541
NR_026984	chr2(.):86242338-86255991	0.1713
NR_015424	chr2(.):89060418-89111109	0.1702
NR_026875	chr2(.):97158382-97178846	0.2684
NM_212481	chr2(.):97197463-97223371	1.2829
NM_002101	chr2(.):127408683-127459246	0.4103
NR_024275	chr2(.):135201959-135217192	0.0623
NM_004288	chr2(.):158266130-158305604	1.2258
NM_003387	chr2(.):175419301-175504307	0.6273
NM_002491	chr2(.):201931461-201955473	0.2314
NM_001127183	chr2(.):201978386-202033841	1.79
NM_032974	chr2(.):202042620-202099110	0.6726
NM_001230	chr2(.):202042620-202091383	0.5593
NM_033356	chr2(.):202120222-202157434	1.2773
NM_001080125	chr2(.):202117753-202157434	1.2973
NM_006139	chr2(.):204566197-204607557	1.2845
NR_036227	chr2(.):207969710-207979797	0.0805
NM_017431	chr2(.):219682105-219701512	0.0675
NM_025216	chr2(.):219740254-219763651	1.6774
NM_006522	chr2(.):219719545-219743954	0.1349
NM_005683	chr2(.):231767042-231794941	0.1639
NM_002601	chr2(.):232592146-232650974	0.0754
NR_031717	chr2(.):232751951-232762008	0.0408
NM_014674	chr3(.):5224358-5266650	0.9222
NM_001195099	chr3(.):15703743-15803058	0.0713
NM_001195098	chr3(.):15703743-15844691	0.1993
NM_015199	chr3(.):15703743-15906053	0.2149
NM_002841	chr3(.):61542242-62285573	0.1238
NM_003571	chr3(.):133113789-133199056	1.0599
NM_207294	chr3(.):152012193-152188569	0.1431
NM_003471	chr3(.):155855750-156261927	0.167
NM_021038	chr3(.):151980828-152188568	0.2184
NM_172159	chr3(.):156003775-156261927	0.2011
NM_172160	chr3(.):155833336-156261927	0.1628
NM_207015	chr3(.):174572110-175528428	0.269
NM_001135095	chr3(.):171753343-172123492	0.4903
NM_022763	chr3(.):171752417-172123492	0.4911
NM_181361	chr3(.):178249223-178567217	0.1823
NR_004053	chr3(.):181323150-181464005	0.2324
NM_001134382	chr3(.):12933718-13119617	0.4558
NM_024923	chr3(.):13352736-13466809	0.4817
NM_014869	chr3(.):12933718-13013960	0.0682
NM_001184958	chr3(.):14711605-14819543	0.434
NM_182666	chr3(.):23842438-23937807	0.3202
NM_001024847	chr3(.):30642993-30740633	0.5647
NM_001123396	chr3(.):46390234-46405868	1.4685
NM_001123041	chr3(.):46390234-46407413	1.3528
NM_001128615	chr3(.):56756445-57118336	0.1799
NM_015541	chr3(.):66424220-66555845	0.2155
NM_007114	chr3(.):69063977-69106484	0.1277
NM_000097	chr3(.):98293289-98317455	0.1846
NM_002213	chr3(.):124476794-124611144	0.4242
NM_032343	chr3(.):126418117-126684244	0.1473
NM_001001487	chr3(.):130608433-130740555	0.1048
NM_001199181	chr3(.):130564368-130727046	0.1827
NM_001199180	chr3(.):130564368-130740555	0.173
NM_001199179	chr3(.):130607834-130727046	0.11
NM_001001485	chr3(.):130607858-130740555	0.1045
NM_001199184	chr3(.):130607904-130727046	0.1101
NM_014382	chr3(.):130608291-130727046	0.1104
NM_001080412	chr3(.):141038054-141173632	2.5435
NM_016275	chr3(.):150316065-150353234	0.5686
NM_001193283	chr3(.):156539147-156648045	0.1217
NM_001004316	chr3(.):156539095-156768918	0.1522
NM_001190242	chr3(.):159969773-160106554	0.1052
NM_001190241	chr3(.):159969773-160122320	0.2647
NM_024665	chr3(.):176733541-176920048	0.4707
NM_005832	chr3(.):178271617-178567217	0.1443
NM_130446	chr3(.):183200318-183278499	1.509
NM_173216	chr3(.):186643314-186801341	0.9261
NM_003032	chr3(.):186734664-186801341	0.9821
NM_005524	chr3(.):193848933-193861396	1.0685
NM_018184	chr3(.):5158929-5227601	0.2151
NM_015931	chr3(.):8656319-8698737	0.1497
NM_016474	chr3(.):14688252-14719166	0.2146
NM_001295	chr3(.):46238199-46254832	2.5457
NM_001837	chr3(.):46278871-46313197	0.1174
NM_003965	chr3(.):46443720-46456014	0.1998
NM_001100168	chr3(.):46406632-46422697	0.5371
NM_001130910	chr3(.):46444048-46456014	0.2038
NM_003212	chr3(.):46614075-46628952	0.0711
NM_001174136	chr3(.):46611044-46628952	0.0709
NM_024512	chr3(.):46551877-46613011	0.9159
NM_031440	chr3(.):46534484-46547439	0.3847
NM_198195	chr3(.):69098880-69134524	0.5277
NM_006407	chr3(.):69129089-69160239	1.2374
NM_198271	chr3(.):69151038-69176746	0.1934
NR_036087	chr3(.):69093108-69103186	0.3466
NM_001040199	chr3(.):98229316-98246910	0.3424
NM_005290	chr3(.):98245877-98256960	0.1103
NM_006100	chr3(.):98446571-98518236	1.1269
NM_145037	chr3(.):101493028-101552075	0.5533
NM_001134456	chr3(.):101493285-101552075	0.5553
NM_001005474	chr3(.):101541833-101584869	0.3726
NM_022135	chr3(.):119355907-119384404	0.8039
NM_005694	chr3(.):119383371-119401243	0.3721
NM_015900	chr3(.):119311721-119353658	0.1012
NM_020187	chr3(.):128992683-129029135	0.4596
NM_001006109	chr3(.):128992816-129029135	0.461
NM_006026	chr3(.):129028613-129040120	1.8315
NR_026991	chr3(.):129030113-129048412	0.8924
NR_027898	chr3(.):129926662-129997649	0.0624
NR_027037	chr3(.):151975404-151992415	0.845
NR_003284	chr3(.):156522059-156534810	0.5072
NR_034008	chr3(.):156802669-156823924	2.1705
NR_034007	chr3(.):156794455-156845791	1.0443
NM_173084	chr3(.):160148290-160172626	0.3942
NR_029663	chr3(.):160117375-160127473	2.3061
NM_005496	chr3(.):160113346-160157741	0.7148
NM_001002800	chr3(.):160112429-160157741	0.7021
NR_029525	chr3(.):160117532-160127613	2.1251
NR_027622	chr3(.):169656771-169689522	2.0802
NM_182610	chr3(.):169624481-169661948	0.8738
NM_003262	chr3(.):169679579-169721161	0.354
NM_003106	chr3(.):181424721-181437223	1.3821
NR_024480	chr3(.):194013988-194035593	1.2204
NM_001080513	chr3(.):194055493-194077057	0.0962
NM_198565	chr3(.):196361655-196393874	0.5168
NM_003215	chr4(.):48132799-48276814	0.4057
NM_201431	chr4(.):74433861-74491340	1.0254
NM_177532	chr4(.):74433861-74491134	1.029
NM_020859	chr4(.):77351252-77709405	0.2377
NM_144571	chr4(.):78629540-78745544	0.2257
NM_198281	chr4(.):90160428-90234161	2.0061
NM_018699	chr4(.):121610928-121849013	0.373
NM_001034845	chr4(.):172729574-173966558	0.0765
NM_006527	chr4(.):1689526-1719030	0.4624
NM_015173	chr4(.):37887719-38145794	0.3391
NM_001007075	chr4(.):39041450-39132853	0.1198
NM_001098634	chr4(.):40420271-40636883	0.2214
NM_004310	chr4(.):40193526-40251281	1.3554
NM_001166693	chr4(.):87851153-88067206	0.2891
NM_005327	chr4(.):108905869-108961331	0.5336
NM_002039	chr4(.):144252982-144400718	0.4578
NM_153343	chr4(.):185004858-185144114	0.0585
NM_002199	chr4(.):185303875-185400726	1.9476
NM_031953	chr4(.):186126283-186290120	0.4367
NM_001013622	chr4(.):1636607-1690718	0.0655
NM_001174070	chr4(.):1636607-1690988	0.066
NM_001127266	chr4(.):1712678-1728084	1.1663
NM_006342	chr4(.):1718265-1751897	0.2358
NR_031688	chr4(.):9552788-9562937	0.1096
NM_024943	chr4(.):38963440-39039041	0.4927
NM_017581	chr4(.):40332468-40361973	0.0515
NM_001076	chr4(.):69398132-69439240	0.4185
NM_001077	chr4(.):69397902-69439245	0.4166
NM_001076	chr4(.):69507314-69541374	0.1542
NM_031889	chr4(.):71489460-71517536	0.1068
NM_144646	chr4(.):71516257-71537348	2.1074
NM_020368	chr4(.):71549195-71561268	0.8304
NM_014961	chr4(.):71582695-71664274	0.0931
NM_001130709	chr4(.):71565653-71660614	0.1547
NM_020236	chr4(.):78778804-78878944	0.1575
NM_144645	chr4(.):87792357-87818575	0.0928
NM_025212	chr4(.):105388342-105417467	1.5146
NM_018409	chr4(.):186280031-186305152	0.3188
NM_181726	chr4(.):186312839-186326390	0.6548
NM_001104631	chr5(.):58259865-59194621	0.1478
NM_006203	chr5(.):58259865-58887324	0.1314
NM_001165899	chr5(.):58259865-59788925	0.1117
NM_001197218	chr5(.):58259865-59069438	0.1576
NM_002372	chr5(.):109020155-109208429	0.3954
NM_001131005	chr5(.):88009057-88204922	0.5452
NM_002397	chr5(.):88009057-88184283	0.5308
NM_001193349	chr5(.):88009057-88124744	0.3789
NM_001131055	chr5(.):175080039-175118245	0.4367
NM_024669	chr5(.):55390506-55534186	0.5145
NR_015436	chr5(.):87831596-87985620	0.3039
NR_027435	chr5(.):90671163-90721532	0.5274
NM_152624	chr5(.):112307432-112361667	0.1559
NM_001077654	chr5(.):118599417-118735294	0.5109
NM_001038702	chr5(.):130594701-130735382	0.3353
NM_003060	chr5(.):131700400-131736306	0.1749
NM_001020825	chr5(.):142652495-142788254	0.3107
NM_001018076	chr5(.):142652495-142789045	0.3091
NM_001018075	chr5(.):142652495-142820077	0.2778
NM_138379	chr5(.):156341292-156395266	0.7037
NM_005990	chr5(.):171464073-171620346	0.2435
