GENE_ID	locusLine	bin_1_OPM-2.jin.bam
1_MACS_peak_1_lociStitched	chr1(.):9945-10546	10.4885
1_MACS_peak_2_lociStitched	chr1(.):28643-29422	3.4524
1_MACS_peak_3_lociStitched	chr1(.):712921-715033	4.3404
1_MACS_peak_4_lociStitched	chr1(.):762092-763597	2.7766
1_MACS_peak_5_lociStitched	chr1(.):840077-840525	0.7063
1_MACS_peak_6_lociStitched	chr1(.):875859-876331	0.87
1_MACS_peak_7_lociStitched	chr1(.):878932-880954	1.7836
1_MACS_peak_8_lociStitched	chr1(.):893992-894691	2.1783
1_MACS_peak_9_lociStitched	chr1(.):895533-895883	0.8106
1_MACS_peak_10_lociStitched	chr1(.):948110-949627	1.516
1_MACS_peak_11_lociStitched	chr1(.):954883-955179	0.5529
1_MACS_peak_12_lociStitched	chr1(.):1051138-1051546	1.3326
1_MACS_peak_13_lociStitched	chr1(.):1079531-1080702	1.4142
1_MACS_peak_14_lociStitched	chr1(.):1093139-1093819	1.1601
1_MACS_peak_15_lociStitched	chr1(.):1166502-1167546	1.9636
1_MACS_peak_16_lociStitched	chr1(.):1185322-1185704	0.8201
1_MACS_peak_17_lociStitched	chr1(.):1208480-1209798	1.4145
2_MACS_peak_18_lociStitched	chr1(.):1240716-1241704	0.9302
2_MACS_peak_20_lociStitched	chr1(.):1243402-1245007	2.4503
2_MACS_peak_22_lociStitched	chr1(.):1259571-1260790	1.4662
2_MACS_peak_24_lociStitched	chr1(.):1284118-1285404	0.8552
1_MACS_peak_26_lociStitched	chr1(.):1307000-1307551	0.9478
1_MACS_peak_27_lociStitched	chr1(.):1309786-1311363	3.4292
2_MACS_peak_28_lociStitched	chr1(.):1333946-1335624	2.3703
1_MACS_peak_30_lociStitched	chr1(.):1341687-1343631	3.1752
2_MACS_peak_31_lociStitched	chr1(.):1347061-1348580	1.0371
2_MACS_peak_33_lociStitched	chr1(.):1406422-1408223	1.3275
1_MACS_peak_35_lociStitched	chr1(.):1440421-1441057	1.5544
1_MACS_peak_36_lociStitched	chr1(.):1446595-1448308	3.6205
1_MACS_peak_37_lociStitched	chr1(.):1509220-1511122	5.48
1_MACS_peak_38_lociStitched	chr1(.):1550679-1551584	5.1886
1_MACS_peak_39_lociStitched	chr1(.):1589729-1591337	4.0394
1_MACS_peak_40_lociStitched	chr1(.):1606603-1607481	1.1345
1_MACS_peak_41_lociStitched	chr1(.):1623142-1625415	4.5058
1_MACS_peak_42_lociStitched	chr1(.):1655005-1656645	3.6605
1_MACS_peak_43_lociStitched	chr1(.):1669086-1670433	1.6516
1_MACS_peak_44_lociStitched	chr1(.):1676379-1678641	4.5216
1_MACS_peak_45_lociStitched	chr1(.):1709002-1713362	5.7669
2_MACS_peak_46_lociStitched	chr1(.):1755014-1756467	1.5852
2_MACS_peak_48_lociStitched	chr1(.):1773464-1775440	1.5806
1_MACS_peak_50_lociStitched	chr1(.):1821114-1823612	2.6363
1_MACS_peak_51_lociStitched	chr1(.):1837919-1839143	2.0227
1_MACS_peak_52_lociStitched	chr1(.):1839726-1840607	2.3046
1_MACS_peak_53_lociStitched	chr1(.):2126243-2126579	0.8171
1_MACS_peak_54_lociStitched	chr1(.):2158757-2159099	1.6215
1_MACS_peak_55_lociStitched	chr1(.):2186282-2188240	1.84
1_MACS_peak_56_lociStitched	chr1(.):2221572-2223119	1.3028
1_MACS_peak_57_lociStitched	chr1(.):2231159-2233618	2.7291
3_MACS_peak_58_lociStitched	chr1(.):2322329-2325750	1.4107
2_MACS_peak_61_lociStitched	chr1(.):2343203-2344940	1.3777
2_MACS_peak_63_lociStitched	chr1(.):2457114-2458129	1.2204
2_MACS_peak_65_lociStitched	chr1(.):2472449-2474200	1.7848
2_MACS_peak_67_lociStitched	chr1(.):2476985-2479201	1.2891
1_MACS_peak_69_lociStitched	chr1(.):2487206-2488493	1.5218
1_MACS_peak_70_lociStitched	chr1(.):2516644-2518304	2.1802
1_MACS_peak_71_lociStitched	chr1(.):2574086-2574690	1.428
