2024-07-16 17:26:32 INFO	Starting bamliquidator_batch 1.4.0 with args {'bin_size': 100000, 'regions_file': '/data/projects/IRF4_mm_trn_data/myeloma_public_data/rose/MOLP-8.H3K27ac_ROSE/MOLP-8_StretchEnhancers_HG19_TSS_ENHANCER_GENES_-5000_+5000.gff', 'output_directory': '/data/projects/IRF4_mm_trn_data/myeloma_public_data/rose/MOLP-8.H3K27ac_ROSE/MOLP-8_StretchEnhancers_HG19_TSS_ENHANCER_GENES_-5000_+5000_MOLP-8.jin.bam', 'counts_file': None, 'flatten': False, 'extension': 200, 'sense': '.', 'match_bamToGFF': True, 'region_format': None, 'skip_plot': False, 'black_list': ['chrUn', '_random', 'Zv9_', '_hap'], 'quiet': False, 'number_of_threads': 0, 'xml_timings': False, 'bam_file_path': '/data/projects/MM_TRN/bam_files_jin/MOLP-8.jin.bam'}
2024-07-16 17:26:33 INFO	Liquidating /data/projects/MM_TRN/bam_files_jin/MOLP-8.jin.bam (file 1 of 1)
2024-07-16 17:26:33 WARNING	Excluding invalid region on line 1411: bam file key 1 chr6_apd_hap1 NM_002118 4184389 -> 4200831 . 0
2024-07-16 17:26:33 WARNING	Excluding invalid region on line 1412: bam file key 1 chr6_apd_hap1 NM_025258 3043121 -> 3064858 . 0
2024-07-16 17:26:33 WARNING	Excluding invalid region on line 1413: bam file key 1 chr6_apd_hap1 NM_172166 3035681 -> 3050206 . 0
2024-07-16 17:26:33 WARNING	Excluding invalid region on line 1414: bam file key 1 chr6_apd_hap1 NM_001039651 3040523 -> 3052375 . 0
2024-07-16 17:26:33 WARNING	Excluding invalid region on line 1415: bam file key 1 chr6_apd_hap1 NM_006120 4198376 -> 4212888 . 0
2024-07-16 17:26:33 WARNING	Excluding invalid region on line 1416: bam file key 1 chr6_cox_hap2 NR_030615 2059161 -> 2069247 . 0
2024-07-16 17:26:33 WARNING	Excluding invalid region on line 1417: bam file key 1 chr6_cox_hap2 NM_002714 2075234 -> 2102073 . 0
2024-07-16 17:26:33 WARNING	Excluding invalid region on line 1418: bam file key 1 chr6_cox_hap2 NM_001090 2046220 -> 2076356 . 0
2024-07-16 17:26:33 WARNING	Excluding invalid region on line 1419: bam file key 1 chr6_cox_hap2 NM_014046 2092538 -> 2111227 . 0
2024-07-16 17:26:33 WARNING	Excluding invalid region on line 1420: bam file key 1 chr6_cox_hap2 NM_001161376 2121866 -> 2138030 . 0
2024-07-16 17:26:33 WARNING	Excluding invalid region on line 1421: bam file key 1 chr6_cox_hap2 NR_033823 2101665 -> 2131649 . 0
2024-07-16 17:26:33 WARNING	Excluding invalid region on line 1422: bam file key 1 chr6_cox_hap2 NM_001031722 2101715 -> 2131649 . 0
2024-07-16 17:26:33 WARNING	Excluding invalid region on line 1423: bam file key 1 chr6_cox_hap2 NM_025261 3191041 -> 3204127 . 0
2024-07-16 17:26:33 WARNING	Excluding invalid region on line 1424: bam file key 1 chr6_cox_hap2 NM_021246 3187745 -> 3200198 . 0
2024-07-16 17:26:33 WARNING	Excluding invalid region on line 1425: bam file key 1 chr6_cox_hap2 NM_001039651 3235358 -> 3247211 . 0
2024-07-16 17:26:33 WARNING	Excluding invalid region on line 1426: bam file key 1 chr6_cox_hap2 NM_025258 3237957 -> 3259679 . 0
2024-07-16 17:26:33 WARNING	Excluding invalid region on line 1427: bam file key 1 chr6_cox_hap2 NM_013974 3199433 -> 3212656 . 0
2024-07-16 17:26:33 WARNING	Excluding invalid region on line 1428: bam file key 1 chr6_cox_hap2 NM_172166 3212333 -> 3245041 . 0
2024-07-16 17:26:33 WARNING	Excluding invalid region on line 1429: bam file key 1 chr6_cox_hap2 NR_024541 3184365 -> 3196455 . 0
2024-07-16 17:26:33 WARNING	Excluding invalid region on line 1430: bam file key 1 chr6_cox_hap2 NM_138275 3195777 -> 3207468 . 0
2024-07-16 17:26:33 WARNING	Excluding invalid region on line 1431: bam file key 1 chr6_cox_hap2 NM_001003693 3179302 -> 3192991 . 0
2024-07-16 17:26:33 WARNING	Excluding invalid region on line 1432: bam file key 1 chr6_cox_hap2 NR_033488 3159344 -> 3185468 . 0
2024-07-16 17:26:33 WARNING	Excluding invalid region on line 1433: bam file key 1 chr6_cox_hap2 NM_001288 3202974 -> 3218962 . 0
2024-07-16 17:26:33 WARNING	Excluding invalid region on line 1434: bam file key 1 chr6_cox_hap2 NM_021160 3159344 -> 3185755 . 0
2024-07-16 17:26:33 WARNING	Excluding invalid region on line 1435: bam file key 1 chr6_cox_hap2 NM_002119 4411456 -> 4426886 . 0
2024-07-16 17:26:33 WARNING	Excluding invalid region on line 1436: bam file key 1 chr6_cox_hap2 NM_002118 4341929 -> 4358371 . 0
2024-07-16 17:26:33 WARNING	Excluding invalid region on line 1437: bam file key 1 chr6_cox_hap2 NM_006120 4355916 -> 4370428 . 0
2024-07-16 17:26:33 WARNING	Excluding invalid region on line 1438: bam file key 1 chr6_cox_hap2 NM_005104 4375974 -> 4398826 . 0
2024-07-16 17:26:33 WARNING	Excluding invalid region on line 1439: bam file key 1 chr6_cox_hap2 NM_001113182 4378202 -> 4398826 . 0
2024-07-16 17:26:33 WARNING	Excluding invalid region on line 1440: bam file key 1 chr6_cox_hap2 NM_001199455 4378909 -> 4398826 . 0
2024-07-16 17:26:33 WARNING	Excluding invalid region on line 1441: bam file key 1 chr6_cox_hap2 NM_001199456 4380398 -> 4398826 . 0
2024-07-16 17:26:33 WARNING	Excluding invalid region on line 1442: bam file key 1 chr6_dbb_hap3 NM_001090 1827804 -> 1857944 . 0
2024-07-16 17:26:33 WARNING	Excluding invalid region on line 1443: bam file key 1 chr6_dbb_hap3 NM_172166 2988298 -> 3021037 . 0
2024-07-16 17:26:33 WARNING	Excluding invalid region on line 1444: bam file key 1 chr6_dbb_hap3 NM_001161376 1903452 -> 1919618 . 0
2024-07-16 17:26:33 WARNING	Excluding invalid region on line 1445: bam file key 1 chr6_dbb_hap3 NM_002714 1856819 -> 1883658 . 0
2024-07-16 17:26:33 WARNING	Excluding invalid region on line 1446: bam file key 1 chr6_dbb_hap3 NM_001031722 1883300 -> 1913235 . 0
2024-07-16 17:26:33 WARNING	Excluding invalid region on line 1447: bam file key 1 chr6_dbb_hap3 NM_014046 1874123 -> 1892812 . 0
2024-07-16 17:26:33 WARNING	Excluding invalid region on line 1448: bam file key 1 chr6_dbb_hap3 NR_030615 1840749 -> 1850835 . 0
2024-07-16 17:26:33 WARNING	Excluding invalid region on line 1449: bam file key 1 chr6_dbb_hap3 NR_033823 1883250 -> 1913235 . 0
2024-07-16 17:26:33 WARNING	Excluding invalid region on line 1450: bam file key 1 chr6_dbb_hap3 NM_021246 2963702 -> 2976151 . 0
