#JJN3_H3K27ac_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/myeloma_public_data/rose/JJN3_H3K27ac_ROSE/JJN3_H3K27ac_peaks_4KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by JJN3_jia.bam
#Using cutoff of 25157.466 for Super-Enhancers
#Created on Jul 16 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	JJN3_jia.bam	enhancerRank	isStretch
13_MACS_peak_4600_lociStitched	chr12	18291428	18359821	13	53898	64309.9379	1	1
13_MACS_peak_22825_lociStitched	chr8	114394787	114450559	13	41136	33173.1856	2	1
1_MACS_peak_2138_lociStitched	chr1	228744028	228784496	1	40469	107871.5008	3	1
14_MACS_peak_2561_lociStitched	chr10	37435179	37478691	14	37303	34657.308	4	1
3_MACS_peak_6983_lociStitched	chr14	106022189	106057939	3	35652	343110.625	5	1
7_MACS_peak_16115_lociStitched	chr3	141079451	141130297	7	34951	124252.3702	6	1
6_MACS_peak_6997_lociStitched	chr14	106143301	106178475	6	33777	265057.1944	7	1
7_MACS_peak_19824_lociStitched	chr6	69342699	69378667	7	31761	35874.4832	8	1
5_MACS_peak_19054_lociStitched	chr6	290701	332484	5	31317	93903.1142	9	1
6_MACS_peak_9146_lociStitched	chr17	32688633	32720458	6	29896	59245.42	10	1
5_MACS_peak_4149_lociStitched	chr11	111229461	111264377	5	29877	128951.7712	11	1
8_MACS_peak_11621_lociStitched	chr19	54870739	54903180	8	28999	81894.0604	12	1
5_MACS_peak_1168_lociStitched	chr1	118170569	118209576	5	28640	72946.9907	13	1
2_MACS_peak_22967_lociStitched	chr8	129178808	129208686	2	28105	130737.1646	14	1
6_MACS_peak_18056_lociStitched	chr5	55436523	55472015	6	25861	52932.7688	15	1
2_MACS_peak_20075_lociStitched	chr6	106531126	106556312	2	25160	58018.4696	16	1
3_MACS_peak_6096_lociStitched	chr13	104491845	104520803	3	25042	24049.619	17	1
5_MACS_peak_4615_lociStitched	chr12	18394385	18424368	5	24721	27692.2988	18	1
