REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	JJN3_jia.bam
13_MACS_peak_4600_lociStitched	chr12	18291428	18359821	13	53898	64309.937900000004
13_MACS_peak_22825_lociStitched	chr8	114394787	114450559	13	41136	33173.1856
7_MACS_peak_16115_lociStitched	chr3	141079451	141130297	7	34951	124252.3702
14_MACS_peak_2561_lociStitched	chr10	37435179	37478691	14	37303	34657.308
5_MACS_peak_19054_lociStitched	chr6	290701	332484	5	31317	93903.1142
1_MACS_peak_2138_lociStitched	chr1	228744028	228784496	1	40469	107871.5008
5_MACS_peak_1168_lociStitched	chr1	118170569	118209576	5	28640	72946.99070000001
7_MACS_peak_6576_lociStitched	chr14	68772281	68811198	7	22591	30911.7731
7_MACS_peak_19824_lociStitched	chr6	69342699	69378667	7	31761	35874.483199999995
3_MACS_peak_6983_lociStitched	chr14	106022189	106057939	3	35652	343110.625
6_MACS_peak_18056_lociStitched	chr5	55436523	55472015	6	25861	52932.768800000005
6_MACS_peak_6997_lociStitched	chr14	106143301	106178475	6	33777	265057.1944
5_MACS_peak_4149_lociStitched	chr11	111229461	111264377	5	29877	128951.7712
6_MACS_peak_7972_lociStitched	chr16	10905778	10939078	6	18819	32001.3
7_MACS_peak_10851_lociStitched	chr19	12885748	12918278	7	17397	96165.186
8_MACS_peak_11621_lociStitched	chr19	54870739	54903180	8	28999	81894.0604
5_MACS_peak_16148_lociStitched	chr3	143539049	143571028	5	21806	39561.2209
6_MACS_peak_20895_lociStitched	chr7	29694677	29726554	6	20082	58290.2822
6_MACS_peak_9146_lociStitched	chr17	32688633	32720458	6	29896	59245.42
5_MACS_peak_1194_lociStitched	chr1	120657707	120688650	5	23001	53200.2999
5_MACS_peak_12531_lociStitched	chr2	99075444	99106220	5	21509	31733.133599999997
7_MACS_peak_9473_lociStitched	chr17	51190524	51221045	7	18445	14592.090100000001
5_MACS_peak_4615_lociStitched	chr12	18394385	18424368	5	24721	27692.2988
2_MACS_peak_22967_lociStitched	chr8	129178808	129208686	2	28105	130737.1646
6_MACS_peak_22043_lociStitched	chr8	18585020	18614532	6	15395	27918.352
4_MACS_peak_1412_lociStitched	chr1	154907115	154936323	4	22660	176311.1712
3_MACS_peak_6096_lociStitched	chr13	104491845	104520803	3	25042	24049.619
6_MACS_peak_14086_lociStitched	chr20	52530608	52559420	6	16884	25005.9348
6_MACS_peak_17140_lociStitched	chr4	96443397	96472167	6	22747	26583.48
6_MACS_peak_14460_lociStitched	chr21	45552550	45580344	6	16347	34178.2818
