REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	JJN3_jia.bam	enhancerRank	isSuperStretch	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isSuperStretch
3_MACS_peak_6983_lociStitched	chr14	106022189	106057939	3	35652	343110.625	1	1		TMEM121	TMEM121	1	1
13_MACS_peak_4600_lociStitched	chr12	18291428	18359821	13	53898	64309.9379	2	1		RERGL	RERGL	2	1
6_MACS_peak_6997_lociStitched	chr14	106143301	106178475	6	33777	265057.1944	3	1			TMEM121	3	1
1_MACS_peak_2138_lociStitched	chr1	228744028	228784496	1	40469	107871.5008	4	1	DUSP5P		DUSP5P	4	1
13_MACS_peak_22825_lociStitched	chr8	114394787	114450559	13	41136	33173.1856	5	1	CSMD3	CSMD3	CSMD3	5	1
2_MACS_peak_23101_lociStitched	chr8	144593636	144614913	2	20409	223131.899	6	1	ZC3H3	GSDMD,C8orf73,NAPRT1	ZC3H3	6	1
7_MACS_peak_16115_lociStitched	chr3	141079451	141130297	7	34951	124252.3702	7	1	ZBTB38		ZBTB38	7	1
14_MACS_peak_2561_lociStitched	chr10	37435179	37478691	14	37303	34657.308	8	1	ANKRD30A		ANKRD30A	8	1
5_MACS_peak_4149_lociStitched	chr11	111229461	111264377	5	29877	128951.7712	9	1	POU2AF1		POU2AF1	9	1
4_MACS_peak_1412_lociStitched	chr1	154907115	154936323	4	22660	176311.1712	10	1	PMVK,PBXIP1,PYGO2,SHC1	CKS1B,MIR4258,FLAD1,LENEP,ZBTB7B	PBXIP1	10	1
2_MACS_peak_22967_lociStitched	chr8	129178808	129208686	2	28105	130737.1646	11	1		MIR1208	MIR1208	11	1
5_MACS_peak_19054_lociStitched	chr6	290701	332484	5	31317	93903.1142	12	1	DUSP22		DUSP22	12	1
1_MACS_peak_20667_lociStitched	chr7	5458337	5470760	1	12424	203901.1836	13	1	TNRC18		TNRC18	13	1
7_MACS_peak_19824_lociStitched	chr6	69342699	69378667	7	31761	35874.4832	14	1	BAI3		BAI3	14	1
8_MACS_peak_11621_lociStitched	chr19	54870739	54903180	8	28999	81894.0604	15	1	LAIR1	TTYH1,LILRA5,LILRA4	LAIR1	15	1
2_MACS_peak_1324_lociStitched	chr1	150532274	150553388	2	17345	167060.3022	16	1	ADAMTSL4,MCL1	MIR4257,ENSA	MCL1	16	1
6_MACS_peak_9146_lociStitched	chr17	32688633	32720458	6	29896	59245.42	17	1	CCL1	CCL8,CCL13	CCL1	17	1
5_MACS_peak_1168_lociStitched	chr1	118170569	118209576	5	28640	72946.9907	18	1	FAM46C		FAM46C	18	1
1_MACS_peak_3766_lociStitched	chr11	65183245	65198775	1	15531	166751.822	19	1	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	19	1
3_MACS_peak_1297_lociStitched	chr1	149801359	149826381	3	18865	145890.771	20	1	HIST2H4B,HIST2H2AA4,HIST2H3A,HIST2H2BC	FCGR1A,HIST2H2AC,BOLA1,HIST2H2BF,HIST2H3D,HIST2H2BE,HIST2H2AB	HIST2H2AA4	20	1
