REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X07_0EWT_0229Kronos_MM1S.KB.6hr.1_H3K18Ac_hs.dm_i14.bam	X41_0EXT_0229Kronos_MM1S.KB.6hr.1_Input_hs_i85.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank.1	isSuper
4_MACS_peak_21165_lociStitched	chr3	141079009	141134018	4	48132	323084.3597	11771.926	1	ZBTB38		ZBTB38	1	1
6_MACS_peak_2529_lociStitched	chr1	203236281	203298436	6	47593	322901.4405	16701.0485	2	BTG2,LOC730227	CHIT1,FMOD	LOC730227	2	1
2_MACS_peak_9418_lociStitched	chr14	106023247	106056562	2	32380	222900.6705	5303.748	3		TMEM121	TMEM121	3	1
3_MACS_peak_19192_lociStitched	chr22	23265614	23298684	3	26423	194101.058	6048.503	4		IGLL5	IGLL5	4	1
3_MACS_peak_25305_lociStitched	chr6	7880508	7921803	3	35289	194528.3565	8527.4175	5	BMP6,MUTED-TXNDC5,TXNDC5		TXNDC5	5	1
6_MACS_peak_19185_lociStitched	chr22	23189180	23247707	6	48084	192618.2097	7292.4642	6	IGLL5	MIR650	IGLL5	6	1
13_MACS_peak_10827_lociStitched	chr16	11754680	11843224	13	61572	187465.3568	15291.5488	7	SNN,TXNDC11	ZC3H7A	SNN	7	1
5_MACS_peak_1521_lociStitched	chr1	118141852	118219378	5	62916	178992.0288	8264.2716	8	FAM46C		FAM46C	8	1
4_MACS_peak_25183_lociStitched	chr6	289699	338047	4	37379	178882.7652	15669.5868	9	DUSP22		DUSP22	9	1
4_MACS_peak_15519_lociStitched	chr2	37528316	37594316	4	54620	165145.2	12025.2	10	QPCT,PRKD3		QPCT	10	1
2_MACS_peak_9424_lociStitched	chr14	106145001	106173956	2	28913	150198.2715	3312.452	11			TMEM121	11	1
3_MACS_peak_16276_lociStitched	chr2	99060395	99108347	3	45425	156285.1584	9921.2688	12	INPP4A		INPP4A	12	1
1_MACS_peak_22678_lociStitched	chr4	90204750	90230461	1	25712	137944.6572	5461.0164	13	GPRIN3		GPRIN3	13	1
2_MACS_peak_12241_lociStitched	chr17	32688336	32727149	2	35790	137972.4524	7510.3155	14	CCL1	CCL8,CCL13	CCL1	14	1
7_MACS_peak_9258_lociStitched	chr14	91812797	91885978	7	56820	132318.5661	6696.0615	15	CCDC88C		CCDC88C	15	1
4_MACS_peak_28233_lociStitched	chr7	102063661	102093348	4	23225	117786.1412	4954.7603	16	PRKRIP1,ORAI2	LRWD1,ALKBH4,POLR2J	ORAI2	16	1
1_MACS_peak_5406_lociStitched	chr11	65183116	65200465	1	17350	114992.6418	4250.505	17	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	17	1
4_MACS_peak_11992_lociStitched	chr17	16858917	16895713	4	28085	116941.3676	6328.912	18	TNFRSF13B		TNFRSF13B	18	1
2_MACS_peak_1728_lociStitched	chr1	150532148	150553405	2	18774	115115.1578	5790.4068	19	ADAMTSL4,MCL1	MIR4257,ENSA	MCL1	19	1
7_MACS_peak_26495_lociStitched	chr6	108878208	108954465	7	67229	119830.2498	11087.7678	20	FOXO3		FOXO3	20	1
3_MACS_peak_18078_lociStitched	chr20	30271528	30312268	3	37560	116817.876	8571.696	21	BCL2L1	COX4I2,TPX2	BCL2L1	21	1
5_MACS_peak_12299_lociStitched	chr17	34597769	34642156	5	38717	116928.6741	9068.2641	22	CCL4L1,CCL3L1,CCL3L3	TBC1D3C	TBC1D3C	22	1
5_MACS_peak_4438_lociStitched	chr10	112596767	112633098	5	26410	112342.7182	6099.9749	23	RBM20,PDCD4,LOC282997	SHOC2,NCRNA00081	LOC282997	23	1
7_MACS_peak_18125_lociStitched	chr20	32398516	32452703	7	39056	112671.0291	9574.8429	24	CHMP4B		CHMP4B	24	1
3_MACS_peak_12295_lociStitched	chr17	34509411	34540539	3	27757	109853.8248	7227.9216	25	CCL4L1,CCL3L1,CCL3L3	TBC1D3B	CCL3L1	25	1
4_MACS_peak_28795_lociStitched	chr7	150052768	150084893	4	25317	109774.3375	7523.675	26	REPIN1,ZNF775	LRRC61,C7orf29,LOC728743,LOC285972,ACTR3C,RARRES2	REPIN1	26	1
2_MACS_peak_4956_lociStitched	chr11	22676367	22704023	2	23904	103950.6072	4184.3528	27	GAS2	FANCF	GAS2	27	1
3_MACS_peak_22434_lociStitched	chr4	71524681	71555270	3	23954	104651.0868	5230.719	28	UTP3,IGJ	ENAM,RUFY3	IGJ	28	1
1_MACS_peak_3300_lociStitched	chr10	11202413	11223822	1	21410	104111.967	5288.023	29	CELF2		CELF2	29	1
5_MACS_peak_4555_lociStitched	chr10	125821885	125854832	5	30599	103677.6196	5518.6225	30	CHST15		CHST15	30	1
1_MACS_peak_25517_lociStitched	chr6	25402499	25415815	1	13317	100856.7156	2825.6552	31	LRRC16A		LRRC16A	31	1
1_MACS_peak_6510_lociStitched	chr12	12865992	12882032	1	16041	100277.268	3203.188	32	CDKN1B,APOLD1	MIR613,GPR19	CDKN1B	32	1
4_MACS_peak_14028_lociStitched	chr19	2594383	2628892	4	21526	104158.5147	7409.0823	33	GNG7		GNG7	33	1
1_MACS_peak_26453_lociStitched	chr6	106530349	106556497	1	26149	101012.3388	5033.49	34	PRDM1		PRDM1	34	1
2_MACS_peak_21466_lociStitched	chr3	171801339	171827279	2	24477	102719.806	6866.318	35	FNDC3B		FNDC3B	35	1
3_MACS_peak_12764_lociStitched	chr17	56404904	56431256	3	18812	100717.344	5304.6576	36	BZRAP1,MIR142,SUPT4H1,RNF43	MPO	MIR142	36	1
2_MACS_peak_9560_lociStitched	chr15	31546070	31562273	2	14535	98431.6047	3175.788	37			KLF13	37	1
3_MACS_peak_10847_lociStitched	chr16	12052167	12072385	3	15193	98633.513	3922.292	38	TNFRSF17,RUNDC2A	GSPT1	TNFRSF17	38	1
3_MACS_peak_2604_lociStitched	chr1	206282010	206311355	3	22282	101703.901	7036.931	39	C1orf186	CTSE	C1orf186	39	1
2_MACS_peak_14004_lociStitched	chr19	2081459	2098438	2	15440	98787.2178	4677.7145	40	IZUMO4,MOBKL2A	MKNK2	MOBKL2A	40	1
3_MACS_peak_341_lociStitched	chr1	24512116	24534076	3	18853	96222.132	4350.276	41	LOC284632,IL28RA	IL22RA1	LOC284632	41	1
2_MACS_peak_13329_lociStitched	chr18	9054262	9074781	2	17865	95054.2675	3861.6758	42		NDUFV2	NDUFV2	42	1
3_MACS_peak_24556_lociStitched	chr5	131744863	131774596	3	23229	96114.8958	5527.3647	43	C5orf56	SLC22A5,MIR3936	C5orf56	43	1
1_MACS_peak_5594_lociStitched	chr11	72850757	72870663	1	19907	94557.4812	4030.965	44	FCHSD2		FCHSD2	44	1
3_MACS_peak_4414_lociStitched	chr10	112103637	112129258	3	16108	95176.8908	4719.3882	45		SMNDC1	SMNDC1	45	1
3_MACS_peak_15889_lociStitched	chr2	65156529	65178981	3	19236	94525.1652	4771.05	46	LOC400958	SLC1A4	LOC400958	46	1
2_MACS_peak_7650_lociStitched	chr12	109020010	109036076	2	14050	92837.381	3254.9716	47	SELPLG	TMEM119	SELPLG	47	1
