REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X07_0EWT_0229Kronos_MM1S.KB.6hr.1_H3K18Ac_hs.dm_i14.bam	X41_0EXT_0229Kronos_MM1S.KB.6hr.1_Input_hs_i85.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isStretch
7_MACS_peak_26495_lociStitched	chr6	108878208	108954465	7	67229	119830.2498	11087.7678	1	FOXO3		FOXO3	1	1
5_MACS_peak_1521_lociStitched	chr1	118141852	118219378	5	62916	178992.0288	8264.2716	2	FAM46C		FAM46C	2	1
13_MACS_peak_10827_lociStitched	chr16	11754680	11843224	13	61572	187465.3568	15291.5488	3	SNN,TXNDC11	ZC3H7A	SNN	3	1
7_MACS_peak_9258_lociStitched	chr14	91812797	91885978	7	56820	132318.5661	6696.0615	4	CCDC88C		CCDC88C	4	1
4_MACS_peak_15519_lociStitched	chr2	37528316	37594316	4	54620	165145.2	12025.2	5	QPCT,PRKD3		QPCT	5	1
4_MACS_peak_21165_lociStitched	chr3	141079009	141134018	4	48132	323084.3597	11771.926	6	ZBTB38		ZBTB38	6	1
6_MACS_peak_19185_lociStitched	chr22	23189180	23247707	6	48084	192618.2097	7292.4642	7	IGLL5	MIR650	IGLL5	7	1
6_MACS_peak_2529_lociStitched	chr1	203236281	203298436	6	47593	322901.4405	16701.0485	8	BTG2,LOC730227	CHIT1,FMOD	LOC730227	8	1
3_MACS_peak_16276_lociStitched	chr2	99060395	99108347	3	45425	156285.1584	9921.2688	9	INPP4A		INPP4A	9	1
7_MACS_peak_18125_lociStitched	chr20	32398516	32452703	7	39056	112671.0291	9574.8429	10	CHMP4B		CHMP4B	10	1
5_MACS_peak_12299_lociStitched	chr17	34597769	34642156	5	38717	116928.6741	9068.2641	11	CCL4L1,CCL3L1,CCL3L3	TBC1D3C	TBC1D3C	11	1
8_MACS_peak_26035_lociStitched	chr6	52392524	52443116	8	38375	94951.0656	9379.7568	12	TRAM2		TRAM2	12	1
7_MACS_peak_13617_lociStitched	chr18	46439499	46483127	7	37585	72426.8428	7386.2204	13	SMAD7		SMAD7	13	1
