#07_0EWT_0229Kronos_MM1S-KB-6hr-1_H3K18Ac_hs-dm_i14_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/p300_internal_ChIP/rose/07_0EWT_0229Kronos_MM1S-KB-6hr-1_H3K18Ac_hs-dm_i14_ROSE/07_0EWT_0229Kronos_MM1S-KB-6hr-1_H3K18Ac_hs-dm_i14_peaks_6KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by X07_0EWT_0229Kronos_MM1S.KB.6hr.1_H3K18Ac_hs.dm_i14.bam
#Using cutoff of 15499.1134 for Super-Enhancers
#Created on Jul 18 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X07_0EWT_0229Kronos_MM1S.KB.6hr.1_H3K18Ac_hs.dm_i14.bam	X41_0EXT_0229Kronos_MM1S.KB.6hr.1_Input_hs_i85.bam	enhancerRank	isSuperStretch
4_MACS_peak_21165_lociStitched	chr3	141079009	141134018	4	48132	323084.3597	11771.926	1	1
6_MACS_peak_2529_lociStitched	chr1	203236281	203298436	6	47593	322901.4405	16701.0485	2	1
5_MACS_peak_1521_lociStitched	chr1	118141852	118219378	5	62916	178992.0288	8264.2716	3	1
13_MACS_peak_10827_lociStitched	chr16	11754680	11843224	13	61572	187465.3568	15291.5488	4	1
7_MACS_peak_26495_lociStitched	chr6	108878208	108954465	7	67229	119830.2498	11087.7678	5	1
4_MACS_peak_15519_lociStitched	chr2	37528316	37594316	4	54620	165145.2	12025.2	6	1
7_MACS_peak_9258_lociStitched	chr14	91812797	91885978	7	56820	132318.5661	6696.0615	7	1
6_MACS_peak_19185_lociStitched	chr22	23189180	23247707	6	48084	192618.2097	7292.4642	8	1
2_MACS_peak_9418_lociStitched	chr14	106023247	106056562	2	32380	222900.6705	5303.748	9	1
3_MACS_peak_16276_lociStitched	chr2	99060395	99108347	3	45425	156285.1584	9921.2688	10	1
3_MACS_peak_25305_lociStitched	chr6	7880508	7921803	3	35289	194528.3565	8527.4175	11	1
4_MACS_peak_25183_lociStitched	chr6	289699	338047	4	37379	178882.7652	15669.5868	12	1
3_MACS_peak_19192_lociStitched	chr22	23265614	23298684	3	26423	194101.058	6048.503	13	1
2_MACS_peak_12241_lociStitched	chr17	32688336	32727149	2	35790	137972.4524	7510.3155	14	1
5_MACS_peak_12299_lociStitched	chr17	34597769	34642156	5	38717	116928.6741	9068.2641	15	1
7_MACS_peak_18125_lociStitched	chr20	32398516	32452703	7	39056	112671.0291	9574.8429	16	1
3_MACS_peak_18078_lociStitched	chr20	30271528	30312268	3	37560	116817.876	8571.696	17	1
2_MACS_peak_9424_lociStitched	chr14	106145001	106173956	2	28913	150198.2715	3312.452	18	1
8_MACS_peak_26035_lociStitched	chr6	52392524	52443116	8	38375	94951.0656	9379.7568	19	1
7_MACS_peak_13617_lociStitched	chr18	46439499	46483127	7	37585	72426.8428	7386.2204	20	1
5_MACS_peak_12850_lociStitched	chr17	62149810	62187321	5	35829	77478.9705	6673.2069	21	1
1_MACS_peak_22678_lociStitched	chr4	90204750	90230461	1	25712	137944.6572	5461.0164	22	1
4_MACS_peak_29929_lociStitched	chr8	120912485	120950021	4	33425	87612.7776	6272.2656	23	1
5_MACS_peak_4555_lociStitched	chr10	125821885	125854832	5	30599	103677.6196	5518.6225	24	1
7_MACS_peak_9562_lociStitched	chr15	31616554	31660437	7	32828	86774.2442	6810.6416	25	1
4_MACS_peak_11992_lociStitched	chr17	16858917	16895713	4	28085	116941.3676	6328.912	26	1
7_MACS_peak_26837_lociStitched	chr6	138245845	138297860	7	33275	66683.23	8421.2285	27	1
3_MACS_peak_12295_lociStitched	chr17	34509411	34540539	3	27757	109853.8248	7227.9216	28	1
5_MACS_peak_4438_lociStitched	chr10	112596767	112633098	5	26410	112342.7182	6099.9749	29	1
