GENE_ID	locusLine	bin_1_08_0EWU_0229Kronos_MM1S-KB-6hr-2_H3K18Ac_hs-dm_i16.bam
NM_001006605	chr1(.):93302720-93432079	0.3276
NM_001113228	chr1(.):107677628-108029475	0.1578
NM_014917	chr1(.):107677744-108029475	0.1578
NM_001010935	chr1(.):112157404-112261101	0.1156
NM_001113348	chr1(.):21538739-21677034	0.2602
NM_004091	chr1(.):23827921-23862713	1.4954
NM_173065	chr1(.):24475646-24518751	1.8783
NM_002379	chr1(.):31179123-31201432	0.1968
NR_034182	chr1(.):31186618-31204593	0.2196
NM_174964	chr1(.):44168217-44401831	0.2414
NM_002600	chr1(.):66253855-66845262	0.205
NM_001037341	chr1(.):66253192-66845262	0.2048
NM_001037340	chr1(.):66453389-66845262	0.2704
NM_001081976	chr1(.):112020969-112111597	0.1299
NM_198459	chr1(.):115122195-115217732	0.0849
NM_203458	chr1(.):145204110-145290912	0.5258
NM_001195260	chr1(.):144946760-145002111	0.6764
NM_153713	chr1(.):145472084-145504091	0.2269
NM_022359	chr1(.):144946760-145081186	0.4628
NM_001002812	chr1(.):144885590-145000022	0.7036
NM_014644	chr1(.):144846426-145000022	0.5606
NM_001195261	chr1(.):144946760-145000082	0.6833
NM_001198834	chr1(.):144846423-145000033	0.5606
NM_001002810	chr1(.):144946760-145000033	0.6835
NM_001198832	chr1(.):144846423-145044992	0.5187
NM_207168	chr1(.):150594521-150607098	0.7574
NM_020699	chr1(.):153772202-153900451	0.1805
NM_020524	chr1(.):154911558-154933567	2.5495
NM_181359	chr1(.):154372668-154445188	1.144
NM_002249	chr1(.):154674914-154847754	0.6405
NM_170782	chr1(.):154674914-154837338	0.6584
NM_005572	chr1(.):156079460-156112657	0.4362
NM_005973	chr1(.):156732273-156775609	0.3041
NM_014412	chr1(.):174963891-174986163	0.9226
NM_014857	chr1(.):174123633-174932327	0.1207
NM_001035230	chr1(.):174839683-174932327	0.1816
NM_001007214	chr1(.):174963570-174986163	0.9105
NM_015149	chr1(.):183600207-183902666	0.6414
NM_025191	chr1(.):184654624-184729041	0.4303
NM_144977	chr1(.):197516384-197749623	0.271
NM_001195215	chr1(.):197468878-197749623	0.2396
NM_182663	chr1(.):206675878-206767616	0.6253
NM_001193338	chr1(.):207071630-207100235	1.5352
NM_005449	chr1(.):207071630-207100378	1.5278
NM_002221	chr1(.):226814390-226931876	0.8163
NM_004481	chr1(.):230197955-230422875	0.4943
NM_014675	chr1(.):17243444-17304474	0.1045
NM_001397	chr1(.):21538739-21621982	0.3225
NM_001113347	chr1(.):21538739-21611183	0.0704
NM_001113349	chr1(.):21538739-21621766	0.3195
