GENE_ID	locusLine	bin_1_24_0F2A_0229Kronos_MM1S-KB-1hr-2_H3K27me3_hs-dm_i06.bam
NM_199454	chr1(.):2980741-3360185	1.4235
NM_015215	chr1(.):6840383-7834766	0.624
NM_001033581	chr1(.):2000085-2121834	1.1208
NM_012405	chr1(.):6276252-6301044	0.2849
NM_017891	chr1(.):1012197-1056736	0.4417
NM_001033582	chr1(.):2031154-2121834	1.058
NM_002744	chr1(.):1976908-2121834	1.1377
NM_017449	chr1(.):23032330-23246823	1.0899
NM_032409	chr1(.):20954947-20983004	0.1254
NM_021642	chr1(.):161470204-161494360	0.1276
NM_001014980	chr1(.):1172832-1187102	1.8474
NM_003820	chr1(.):2482804-2500267	0.462
NM_003036	chr1(.):2155133-2246652	0.1884
NM_152492	chr1(.):3663964-3693209	1.4362
NM_001409	chr1(.):3399505-3533059	2.0194
NM_007274	chr1(.):6319331-6458826	0.0991
NM_001042663	chr1(.):6521151-6562484	1.5226
NM_181864	chr1(.):6319331-6450883	0.0896
NM_198681	chr1(.):6521151-6585069	1.4144
NM_001079843	chr1(.):10691665-10861707	1.765
NM_017766	chr1(.):10702269-10861707	1.8366
NM_020350	chr1(.):11791141-11815828	0.1156
NM_007365	chr1(.):17388255-17450948	1.2907
NM_013358	chr1(.):17526620-17577501	1.2971
NR_026567	chr1(.):17012712-17051652	3.7117
NM_030812	chr1(.):18076807-18158558	0.6356
NM_018125	chr1(.):17861329-18029370	1.2006
NM_001011722	chr1(.):17902047-18029370	1.2496
NM_013945	chr1(.):18952499-19067632	1.1697
NM_001135254	chr1(.):18952499-19080360	1.1088
NM_000478	chr1(.):21830857-21909905	1.0725
NM_005704	chr1(.):29558027-29658325	1.0114
NM_004952	chr1(.):155046347-155065014	1.8395
NM_178229	chr1(.):156490196-156547396	0.0947
NM_144702	chr1(.):156885423-156907880	1.4495
NM_138795	chr1(.):202096976-202118866	0.1348
NM_001017403	chr1(.):202158117-202293889	0.7255
NM_021636	chr1(.):202167904-202293889	0.6106
NM_001017404	chr1(.):202178282-202293889	0.5912
NM_015090	chr1(.):204792781-204996950	0.4305
NM_033131	chr1(.):228189751-228253961	0.7139
NM_032129	chr1(.):896876-915484	0.5979
NM_152486	chr1(.):856120-884961	2.6104
NM_198317	chr1(.):890966-906099	0.2597
NR_027055	chr1(.):798450-817182	0.566
NM_015658	chr1(.):874582-899679	0.7235
NR_026874	chr1(.):847952-859817	3.1775
NR_027693	chr1(.):905578-922473	1.65
NM_001142467	chr1(.):929343-940552	2.0628
NM_005101	chr1(.):943846-954919	0.7762
NM_021170	chr1(.):929341-940552	2.0626
NM_198576	chr1(.):950502-996492	1.7819
NM_001130045	chr1(.):1104285-1138313	1.9545
NR_029639	chr1(.):1097483-1107578	2.8539
NM_016547	chr1(.):1147287-1172447	0.3389
NM_080605	chr1(.):1162628-1175420	0.8959
NM_153254	chr1(.):1110076-1126243	2.1111
NM_003327	chr1(.):1141705-1154512	1.5836
NM_004195	chr1(.):1133887-1147089	2.5951
NR_029834	chr1(.):1098242-1108332	2.7428
NR_029957	chr1(.):1099384-1109467	2.6933
NM_001130413	chr1(.):1212488-1232409	1.0859
NM_194458	chr1(.):1184291-1214234	0.1255
NM_002978	chr1(.):1212575-1232409	1.0899
NM_022834	chr1(.):1365902-1383262	1.5536
NM_030937	chr1(.):1316090-1339718	0.0727
NM_031921	chr1(.):1402163-1436582	0.1308
NR_015434	chr1(.):1329909-1342426	0.0869
NM_001145210	chr1(.):1348799-1361650	0.6678
NM_001146685	chr1(.):1356507-1368167	1.3072
NM_017971	chr1(.):1332275-1347693	0.0997
NM_001039211	chr1(.):1380068-1410538	0.8515
NM_080875	chr1(.):1545794-1570990	0.3924
NM_006983	chr1(.):1562559-1575030	0.6263
NM_014188	chr1(.):1472052-1515262	0.1781
NR_002946	chr1(.):1563158-1575027	0.6467
NM_001114748	chr1(.):1465157-1480740	0.0668
NM_001170689	chr1(.):1546244-1570990	0.3969
NR_002946	chr1(.):1626377-1638247	0.3363
NM_002074	chr1(.):1711728-1827495	0.0555
NM_138705	chr1(.):1841265-1853733	1.0435
NM_178545	chr1(.):1844028-1855740	1.2324
NM_000815	chr1(.):1945767-1967192	1.8965
NM_001080484	chr1(.):1879751-1940276	1.2506
NM_001146310	chr1(.):2110898-2144172	1.0087
NM_182533	chr1(.):2115987-2131214	0.4039
NR_024445	chr1(.):2115481-2130024	0.3461
NM_007033	chr1(.):2318213-2341885	0.0589
NM_002617	chr1(.):2331240-2349010	0.2424
NR_024489	chr1(.):2276852-2289100	2.1054
NM_024848	chr1(.):2247695-2327993	1.7728
NM_014638	chr1(.):2402753-2441964	1.504
NM_001010926	chr1(.):2455183-2466684	1.9689
NR_026927	chr1(.):2476358-2489284	0.2797
NM_018216	chr1(.):2434974-2463035	0.5706
NM_001195741	chr1(.):2513188-2527908	1.1613
NR_036638	chr1(.):2512898-2527908	1.1598
NM_033467	chr1(.):2517080-2569481	1.1532
NR_024371	chr1(.):2975635-2989289	1.1988
NM_080431	chr1(.):2933045-2944467	1.2527
NR_036215	chr1(.):3039538-3049599	1.481
NM_014448	chr1(.):3366146-3402677	1.5932
NR_030277	chr1(.):3472259-3482354	2.0238
NM_182752	chr1(.):3536555-3551694	0.1406
NR_033712	chr1(.):3647547-3668335	0.3554
NR_033708	chr1(.):3647547-3668937	0.3704
NM_005427	chr1(.):3564128-3655467	0.0749
NM_017818	chr1(.):3542330-3571671	0.0987
NM_020710	chr1(.):3691783-3718068	0.1919
NM_001163724	chr1(.):3684351-3697546	0.8185
NM_015557	chr1(.):6156846-6245194	1.499
NM_207396	chr1(.):6261188-6286359	0.5324
NM_000983	chr1(.):6240079-6264679	0.2064
NM_207370	chr1(.):6302405-6326035	1.5411
NM_001024598	chr1(.):6299251-6310638	1.8998
NM_020631	chr1(.):6521151-6556760	1.3669
NM_003790	chr1(.):6516213-6531255	1.9736
NM_001039664	chr1(.):6519170-6531255	1.9717
NM_019089	chr1(.):6470293-6484979	1.7734
NM_031475	chr1(.):6479847-6526004	2.3083
NM_001042665	chr1(.):6521151-6551014	1.4401
NM_001042664	chr1(.):6521151-6555640	1.3346
NR_036218	chr1(.):6484893-6494956	2.3373
NM_177540	chr1(.):6610337-6644817	0.4963
NM_024654	chr1(.):6576406-6619658	0.0823
NM_001010866	chr1(.):9643931-9670020	0.0751
NM_005026	chr1(.):9706789-9794172	0.6647
NR_027045	chr1(.):9707667-9719644	1.3504
NM_013319	chr1(.):11328254-11353491	0.0673
NM_020780	chr1(.):11534294-11602640	0.7122
NM_001127325	chr1(.):11729536-11756678	0.6967
NM_006341	chr1(.):11729536-11746271	0.1724
NM_018438	chr1(.):11719149-11739409	0.0898
NM_183412	chr1(.):11709431-11728384	0.2472
NM_012168	chr1(.):11703447-11719739	0.4523
NM_033182	chr1(.):11709913-11728384	0.2258
NM_198545	chr1(.):11746780-11785336	1.4362
NM_006172	chr1(.):11900766-11912840	0.1859
NM_002521	chr1(.):11912520-11923992	0.9713
NM_000302	chr1(.):11989745-12040594	0.0804
NM_138346	chr1(.):11975122-11991480	0.0922
NM_003443	chr1(.):16263363-16307627	0.0661
NM_001165945	chr1(.):16370283-16388803	1.9734
NM_001042704	chr1(.):16343485-16365545	2.0861
NM_178840	chr1(.):16325730-16338184	0.5596
NM_000085	chr1(.):16365246-16388803	2.085
NM_014424	chr1(.):16335522-16350285	1.6884
NM_182623	chr1(.):16379263-16405127	1.4223
NM_004431	chr1(.):16445831-16487582	1.5766
NM_153213	chr1(.):16519598-16544104	0.2878
NR_027504	chr1(.):16967068-16981915	0.7629
NR_002729	chr1(.):17076400-17095975	1.3821
NM_003000	chr1(.):17340224-17385665	0.1644
NM_016233	chr1(.):17570592-17615727	1.0781
NM_152232	chr1(.):19161092-19191155	0.9726
NM_018584	chr1(.):20803883-20817728	1.3157
NM_024544	chr1(.):20820940-20839674	0.1318
NM_001122819	chr1(.):20985506-21049317	1.1067
NM_005216	chr1(.):20973259-20993037	0.1241
NM_001103161	chr1(.):21041224-21064133	1.5739
NM_002885	chr1(.):21917707-22000856	1.2012
NM_001145658	chr1(.):21917707-21983348	1.3141
NM_020526	chr1(.):22885003-22935087	1.3463
NM_001006943	chr1(.):22885003-22921112	1.3263
NM_001114101	chr1(.):22965117-22979603	0.9251
NM_015991	chr1(.):22958117-22971175	0.809
