GENE_ID	locusLine	bin_1_34_0EXA_0229Kronos_MM1S-No-Treatment-2_p300_hs_i50.bam
NM_024408	chr1(.):120449175-120617276	0.1616
NM_021642	chr1(.):161470204-161494360	0.1497
NM_002585	chr1(.):164523801-164826045	0.1842
NM_001122834	chr1(.):210496595-210854638	0.1416
NM_001170587	chr1(.):210497249-210854638	0.1412
NM_001170580	chr1(.):210497639-210854638	0.1412
NM_001198993	chr1(.):1677670-1715297	0.1927
NM_023018	chr1(.):1677670-1714909	0.1939
NM_033487	chr1(.):1566099-1660775	0.15
NM_001198994	chr1(.):1677670-1716508	0.19
NR_026567	chr1(.):17012712-17051652	0.2117
NM_001113348	chr1(.):21538739-21677034	0.1372
NM_004091	chr1(.):23827921-23862713	0.2856
NM_001135218	chr1(.):28924608-28974604	0.2296
NM_002379	chr1(.):31179123-31201432	0.149
NR_034182	chr1(.):31186618-31204593	0.1668
NM_002600	chr1(.):66253855-66845262	0.1387
NM_001037341	chr1(.):66253192-66845262	0.1387
NM_001037340	chr1(.):66453389-66845262	0.1603
NM_001100910	chr1(.):120834004-120860681	0.1823
NR_024510	chr1(.):144295511-144345773	0.1501
NR_024584	chr1(.):144295516-144346755	0.1476
NR_034178	chr1(.):143910747-144099477	0.2437
NM_203458	chr1(.):145204110-145290912	0.4432
NM_004892	chr1(.):145091406-145121922	0.3895
NM_153713	chr1(.):145472084-145504091	0.2315
NM_207168	chr1(.):150594521-150607098	0.3666
NM_020524	chr1(.):154911558-154933567	0.5895
NM_181359	chr1(.):154372668-154445188	0.3032
NM_002249	chr1(.):154674914-154847754	0.2742
NM_170782	chr1(.):154674914-154837338	0.2775
NM_052862	chr1(.):167594473-167680486	0.205
NM_004736	chr1(.):180596145-180864415	0.1594
NM_015149	chr1(.):183600207-183902666	0.2545
NM_025191	chr1(.):184654624-184729041	0.2735
NM_144977	chr1(.):197516384-197749623	0.1971
NM_001195215	chr1(.):197468878-197749623	0.1922
NM_182663	chr1(.):206675878-206767616	0.2966
NM_002221	chr1(.):226814390-226931876	0.2803
NM_004481	chr1(.):230197955-230422875	0.2472
NM_032328	chr1(.):245128170-245256148	0.1493
NR_026588	chr1(.):245128630-245256148	0.1497
NR_026587	chr1(.):245128630-245293530	0.1377
NR_026586	chr1(.):245128283-245293530	0.1375
NM_003431	chr1(.):247314202-247340318	0.137
NM_182838	chr1(.):1658680-1682431	0.2233
NM_001110781	chr1(.):1587938-1629243	0.2108
NM_024011	chr1(.):1629169-1660791	0.11
NM_001198995	chr1(.):1677670-1695081	0.1257
NR_026752	chr1(.):16939750-16962401	0.4202
NR_027504	chr1(.):16967068-16981915	0.4834
NR_002729	chr1(.):17076400-17095975	0.2281
NM_014675	chr1(.):17243444-17304474	0.1185
NM_001397	chr1(.):21538739-21621982	0.1472
NM_001113347	chr1(.):21538739-21611183	0.0906
NM_001113349	chr1(.):21538739-21621766	0.1458
NM_017707	chr1(.):23750055-23815750	0.0909
NM_002167	chr1(.):23879408-23891322	0.2365
NR_027042	chr1(.):23948823-23972056	0.1843
NM_006015	chr1(.):27017521-27113601	0.2497
NM_014280	chr1(.):28521789-28564542	0.1361
NM_016311	chr1(.):28557610-28569611	0.2122
NM_031459	chr1(.):28581005-28614002	0.1466
NR_024127	chr1(.):28900049-28913366	0.3225
NM_152304	chr1(.):28913711-28926088	0.3307
NM_001193532	chr1(.):28914006-28926088	0.3192
NR_003035	chr1(.):28902431-28912565	0.3693
NR_002987	chr1(.):28901275-28911405	0.3747
NR_003109	chr1(.):28874528-28910057	0.23
NR_002976	chr1(.):28901892-28912024	0.3733
NR_003077	chr1(.):28900254-28910334	0.3741
NM_024482	chr1(.):28990243-29046387	0.1076
NR_004407	chr1(.):28970111-28980246	0.4217
NM_006762	chr1(.):31200314-31235683	0.402
NM_005202	chr1(.):36555843-36570850	0.0985
NM_018067	chr1(.):36616802-36651441	0.1457
NM_014408	chr1(.):36597172-36620067	0.231
NM_001198979	chr1(.):40854016-40893998	0.172
NM_001198978	chr1(.):40835304-40893998	0.2616
NM_001198980	chr1(.):40857471-40893998	0.1468
NM_022733	chr1(.):40834377-40893998	0.2582
NM_001037339	chr1(.):66792792-66845262	0.2798
NM_017709	chr1(.):118143603-118176011	0.4126
NM_001123068	chr1(.):143762143-143772881	0.1355
NR_027469	chr1(.):143713512-143749587	0.3038
NR_027468	chr1(.):143713512-143749457	0.3043
NR_024584	chr1(.):144475745-144526969	0.1707
NM_032305	chr1(.):145451235-145475387	0.4575
NM_202004	chr1(.):145408190-145422545	0.1924
NM_006472	chr1(.):145433461-145447628	0.4501
NM_001039888	chr1(.):145465507-145480647	0.2646
NR_027468	chr1(.):147901021-147936980	0.2371
NM_173638	chr1(.):148555846-148601267	0.1975
NM_001102663	chr1(.):148572356-148601267	0.1652
