#MM3_jia_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/myeloma_public_data/rose/MM3_jia_ROSE/MM3_jia_peaks_5KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by MM3_jia.bam
#Using cutoff of 9773.6174 for Super-Enhancers
#Created on Jul 16 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	MM3_jia.bam	enhancerRank	isSuper
12_MACS_peak_7665_lociStitched	chr14	91811591	91885910	12	65101	96488.3577	1	1
9_MACS_peak_1415_lociStitched	chr1	118147239	118230968	9	76134	96397.1977	2	1
3_MACS_peak_7844_lociStitched	chr14	106145341	106179088	3	31124	77800.3338	3	1
17_MACS_peak_22409_lociStitched	chr6	157956632	158042078	17	67886	76183.6536	4	1
4_MACS_peak_7836_lociStitched	chr14	106024699	106058044	4	30031	76089.9555	5	1
10_MACS_peak_16088_lociStitched	chr22	23189461	23262002	10	52278	70734.7291	6	1
15_MACS_peak_9555_lociStitched	chr16	81807881	81877568	15	51472	64530.162	7	1
7_MACS_peak_20324_lociStitched	chr5	131788695	131837219	7	45047	64337.9716	8	1
2_MACS_peak_20928_lociStitched	chr6	7878368	7921860	2	43455	59231.7548	9	1
8_MACS_peak_6431_lociStitched	chr12	123344533	123388887	8	43076	56857.3926	10	1
12_MACS_peak_8535_lociStitched	chr15	81575792	81630283	12	47058	55820.5804	11	1
7_MACS_peak_11511_lociStitched	chr19	1239610	1276727	7	26361	53634.065	12	1
6_MACS_peak_13768_lociStitched	chr2	99060689	99111984	6	45425	51700.2305	13	1
6_MACS_peak_3687_lociStitched	chr10	125812106	125868344	6	51552	51440.8986	14	1
3_MACS_peak_17833_lociStitched	chr3	141095309	141135022	3	35250	50101.9208	15	1
15_MACS_peak_10680_lociStitched	chr17	62148395	62210221	15	53096	49627.7302	16	1
9_MACS_peak_2219_lociStitched	chr1	203241977	203280702	9	29719	49579.6175	17	1
7_MACS_peak_10905_lociStitched	chr17	75429194	75469902	7	36550	48430.3076	18	1
7_MACS_peak_20317_lociStitched	chr5	131742725	131783345	7	34827	46652.07	19	1
5_MACS_peak_17232_lociStitched	chr3	53194139	53231369	5	33321	46027.449	20	1
7_MACS_peak_25705_lociStitched	chr9	126074143	126111631	7	28944	43141.1904	21	1
5_MACS_peak_4270_lociStitched	chr11	64877888	64903865	5	19793	43119.2223	22	1
3_MACS_peak_9917_lociStitched	chr17	16867642	16895522	3	24731	42929.624	23	1
1_MACS_peak_4286_lociStitched	chr11	65183487	65199952	1	16466	42632.8245	24	1
6_MACS_peak_4303_lociStitched	chr11	65335371	65362026	6	23018	41341.905	25	1
4_MACS_peak_16098_lociStitched	chr22	23267920	23298289	4	25783	41320.0614	26	1
4_MACS_peak_12916_lociStitched	chr2	20391066	20426314	4	28972	40499.952	27	1
6_MACS_peak_15324_lociStitched	chr20	35972857	36014031	6	38658	40288.759	28	1
5_MACS_peak_20418_lociStitched	chr5	139027631	139070276	5	32659	39570.2955	29	1
8_MACS_peak_13099_lociStitched	chr2	37542088	37594139	8	35096	39491.0937	30	1
10_MACS_peak_25087_lociStitched	chr9	33124430	33172987	10	40885	38044.4095	31	1
4_MACS_peak_2862_lociStitched	chr10	22595345	22630043	4	26797	37994.31	32	1
4_MACS_peak_7918_lociStitched	chr15	31628924	31661063	4	31430	37805.1057	33	1
4_MACS_peak_26780_lociStitched	chrX	153230119	153252932	4	17297	37723.5768	34	1
13_MACS_peak_11998_lociStitched	chr19	16221794	16272291	13	33405	36585.0765	35	1
14_MACS_peak_1189_lociStitched	chr1	93394668	93447121	14	34483	36045.7016	36	1
4_MACS_peak_12138_lociStitched	chr19	19256514	19286252	4	25414	35536.91	37	1
9_MACS_peak_23980_lociStitched	chr8	27216824	27265839	9	36583	34918.286	38	1
3_MACS_peak_12318_lociStitched	chr19	39880311	39904248	3	17237	34433.3745	39	1
11_MACS_peak_23022_lociStitched	chr7	55569355	55607613	11	33273	34053.4458	40	1
12_MACS_peak_23338_lociStitched	chr7	101921026	101963808	12	32534	33810.6146	41	1
4_MACS_peak_24634_lociStitched	chr8	124033675	124058154	4	22877	33629.2502	42	1
4_MACS_peak_1754_lociStitched	chr1	156450242	156476167	4	23382	33438.065	43	1
3_MACS_peak_18354_lociStitched	chr4	35599	61928	3	23864	32613.7323	44	1
5_MACS_peak_5131_lociStitched	chr12	7045145	7080984	5	23322	32599.1544	45	1
1_MACS_peak_10563_lociStitched	chr17	55426778	55448415	1	21638	32500.9377	46	1
8_MACS_peak_23363_lociStitched	chr7	102063862	102093241	8	23878	32234.6388	47	1
4_MACS_peak_16203_lociStitched	chr22	29178212	29200397	4	21036	32077.2915	48	1
4_MACS_peak_526_lociStitched	chr1	31211108	31235132	4	23866	31759.728	49	1
5_MACS_peak_4292_lociStitched	chr11	65254360	65278585	5	20053	31623.315	50	1
9_MACS_peak_20797_lociStitched	chr5	180222839	180249473	9	21716	31587.924	51	1
5_MACS_peak_17777_lociStitched	chr3	133181664	133212406	5	25065	31021.7522	52	1
5_MACS_peak_10265_lociStitched	chr17	38465247	38487621	5	20219	30891.7818	53	1
1_MACS_peak_5294_lociStitched	chr12	26265953	26281052	1	15100	30688.7175	54	1
3_MACS_peak_13082_lociStitched	chr2	33699866	33725702	3	22339	30594.9912	55	1
5_MACS_peak_4385_lociStitched	chr11	67033226	67057810	5	17029	30528.4112	56	1
2_MACS_peak_25737_lociStitched	chr9	127019606	127038547	2	16653	30343.482	57	1
5_MACS_peak_16633_lociStitched	chr22	50963438	50983512	5	14549	30289.6586	58	1
5_MACS_peak_4797_lociStitched	chr11	111221650	111252712	5	26090	30105.2904	59	1
1_MACS_peak_2561_lociStitched	chr1	234734350	234749830	1	15481	29984.76	60	1
4_MACS_peak_14984_lociStitched	chr20	5566443	5592321	4	24445	29863.212	61	1
4_MACS_peak_8439_lociStitched	chr15	75067006	75093262	4	19355	29228.1792	62	1
2_MACS_peak_14155_lociStitched	chr2	157188299	157200397	2	8149	29191.2642	63	1
7_MACS_peak_19508_lociStitched	chr5	1311336	1346065	7	24286	28967.4589	64	1
7_MACS_peak_684_lociStitched	chr1	40839154	40868961	7	24263	28850.1953	65	1
5_MACS_peak_12108_lociStitched	chr19	18604309	18633841	5	23631	28625.3676	66	1
4_MACS_peak_17677_lociStitched	chr3	124851329	124875345	4	19250	28531.008	67	1
3_MACS_peak_6484_lociStitched	chr12	125395491	125413465	3	12431	28519.3458	68	1
5_MACS_peak_242_lociStitched	chr1	16157190	16179737	5	14978	28429.5123	69	1
12_MACS_peak_13694_lociStitched	chr2	88891486	88928564	12	29604	28379.5012	70	1
7_MACS_peak_12430_lociStitched	chr19	44257608	44289768	7	24197	28304.016	71	1
1_MACS_peak_5198_lociStitched	chr12	12865514	12879927	1	14414	28294.1603	72	1
5_MACS_peak_16724_lociStitched	chr3	13034898	13058927	5	18904	28282.133	73	1
7_MACS_peak_3354_lociStitched	chr10	92949627	92982201	7	21286	28241.658	74	1
4_MACS_peak_23683_lociStitched	chr7	137659945	137687066	4	25776	28238.3852	75	1
3_MACS_peak_5001_lociStitched	chr11	128583377	128609832	3	25083	28031.718	76	1
1_MACS_peak_14578_lociStitched	chr2	201979527	201995713	1	16187	27932.1802	77	1
2_MACS_peak_13539_lociStitched	chr2	70309871	70323303	2	9809	27895.5776	78	1
4_MACS_peak_18648_lociStitched	chr4	40185329	40211513	4	23450	27736.7112	79	1
3_MACS_peak_18561_lociStitched	chr4	25855490	25882315	3	24808	27586.83	80	1
6_MACS_peak_19545_lociStitched	chr5	6711636	6739767	6	22484	27318.0141	81	1
5_MACS_peak_16668_lociStitched	chr3	5222562	5247521	5	22284	27295.1624	82	1
1_MACS_peak_2719_lociStitched	chr10	11204022	11223459	1	19438	27155.4327	83	1
2_MACS_peak_20837_lociStitched	chr6	314795	341069	2	25589	27125.2776	84	1
13_MACS_peak_8972_lociStitched	chr16	11791500	11837885	13	30409	27061.009	85	1
10_MACS_peak_24453_lociStitched	chr8	98633962	98671899	10	24830	27033.9062	86	1
2_MACS_peak_1595_lociStitched	chr1	150532467	150553132	2	19169	26978.1575	87	1
5_MACS_peak_16132_lociStitched	chr22	24172095	24191189	5	15722	26827.07	88	1
6_MACS_peak_23033_lociStitched	chr7	55612738	55642655	6	25347	26763.7482	89	1
4_MACS_peak_6401_lociStitched	chr12	122227108	122245058	4	11773	26415.22	90	1
5_MACS_peak_11905_lociStitched	chr19	12885699	12905374	5	13868	26094.9525	91	1
5_MACS_peak_13470_lociStitched	chr2	65138422	65167404	5	22772	26066.4108	92	1
7_MACS_peak_8092_lociStitched	chr15	45002120	45030143	7	15992	25884.8451	93	1
3_MACS_peak_11564_lociStitched	chr19	2081609	2097947	3	14566	25814.04	94	1
5_MACS_peak_17181_lociStitched	chr3	50636997	50655446	5	15522	25788.0122	95	1
8_MACS_peak_16422_lociStitched	chr22	39897601	39929404	8	20514	25582.3332	96	1
4_MACS_peak_21484_lociStitched	chr6	42737991	42752813	4	10424	25492.3578	97	1
10_MACS_peak_3581_lociStitched	chr10	112093889	112125152	10	21221	25448.082	98	1
9_MACS_peak_3601_lociStitched	chr10	112244711	112272750	9	24490	25406.1379	99	1
5_MACS_peak_22196_lociStitched	chr6	139571884	139601823	5	23363	25364.3208	100	1
1_MACS_peak_268_lociStitched	chr1	17229248	17233404	1	4157	25360.3276	101	1
3_MACS_peak_22756_lociStitched	chr7	25998547	26012533	3	12369	25352.4222	102	1
6_MACS_peak_21861_lociStitched	chr6	106529486	106560273	6	25049	25309.9927	103	1
7_MACS_peak_8253_lociStitched	chr15	63764991	63798598	7	17127	25235.4963	104	1
6_MACS_peak_9624_lociStitched	chr16	87875351	87905436	6	22456	24904.363	105	1
6_MACS_peak_18177_lociStitched	chr3	183227102	183263079	6	27249	24820.5323	106	1
3_MACS_peak_19311_lociStitched	chr4	153442944	153462227	3	17548	24726.5909	107	1
2_MACS_peak_10862_lociStitched	chr17	74256387	74272672	2	15924	24720.63	108	1
3_MACS_peak_7133_lociStitched	chr14	23023908	23040267	3	13716	24370.0023	109	1
6_MACS_peak_11485_lociStitched	chr19	924068	955751	6	17006	24275.5146	110	1
8_MACS_peak_11597_lociStitched	chr19	2607598	2637935	8	21659	24263.5326	111	1
5_MACS_peak_4238_lociStitched	chr11	63992861	64015180	5	12844	24178.1727	112	1
3_MACS_peak_25785_lociStitched	chr9	130531950	130549595	3	12147	24145.418	113	1
9_MACS_peak_8746_lociStitched	chr15	101458213	101489951	9	27159	24082.7944	114	1
1_MACS_peak_21314_lociStitched	chr6	32934986	32942032	1	7047	23993.0392	115	1
7_MACS_peak_16614_lociStitched	chr22	50740255	50766378	7	18864	23912.9942	116	1
3_MACS_peak_12867_lociStitched	chr2	11883022	11898380	3	14156	23880.1542	117	1
4_MACS_peak_12735_lociStitched	chr19	56145683	56167772	4	10728	23862.7467	118	1
7_MACS_peak_2302_lociStitched	chr1	207978712	208002007	7	13929	23765.559	119	1
2_MACS_peak_5540_lociStitched	chr12	48196018	48215107	2	15990	23672.2689	120	1
3_MACS_peak_20843_lociStitched	chr6	387821	412005	3	20810	23564.8896	121	1
3_MACS_peak_24817_lociStitched	chr8	142125789	142142400	3	11814	23501.2428	122	1
1_MACS_peak_20990_lociStitched	chr6	13294868	13309537	1	14670	23490.9366	123	1
3_MACS_peak_4895_lociStitched	chr11	118962979	118979360	3	9203	23488.7159	124	1
3_MACS_peak_606_lociStitched	chr1	36849878	36867664	3	12459	23456.1768	125	1
4_MACS_peak_4497_lociStitched	chr11	72845141	72871601	4	18557	23361.534	126	1
10_MACS_peak_24348_lociStitched	chr8	81048782	81084437	10	26223	23350.4595	127	1
3_MACS_peak_9748_lociStitched	chr17	2295021	2306324	3	8620	23312.4375	128	1
4_MACS_peak_10868_lociStitched	chr17	74475436	74498820	4	18892	23285.7872	129	1
