REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	MM3_jia.bam	enhancerRank	isSuper	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuper
12_MACS_peak_7665_lociStitched	chr14	91811591	91885910	12	65101	96488.3577	1	1	CCDC88C		CCDC88C	CCDC88C	0.8057	1	1
9_MACS_peak_1415_lociStitched	chr1	118147239	118230968	9	76134	96397.1977	2	1	FAM46C		FAM46C	FAM46C	1.055	2	1
3_MACS_peak_7844_lociStitched	chr14	106145341	106179088	3	31124	77800.3338	3	1			TMEM121	TMEM121	0.117	3	1
17_MACS_peak_22409_lociStitched	chr6	157956632	158042078	17	67886	76183.6536	4	1	ZDHHC14	MIR3692	MIR3692	MIR3692	0.3137	4	1
4_MACS_peak_7836_lociStitched	chr14	106024699	106058044	4	30031	76089.9555	5	1		TMEM121	TMEM121	TMEM121	0.117	5	1
10_MACS_peak_16088_lociStitched	chr22	23189461	23262002	10	52278	70734.7291	6	1	IGLL5	MIR650	IGLL5	IGLL5	1.7514	6	1
15_MACS_peak_9555_lociStitched	chr16	81807881	81877568	15	51472	64530.162	7	1	PLCG2		PLCG2	PLCG2	0.4422	7	1
7_MACS_peak_20324_lociStitched	chr5	131788695	131837219	7	45047	64337.9716	8	1	C5orf56,IRF1	IL5	IRF1	IRF1	1.1006	8	1
2_MACS_peak_20928_lociStitched	chr6	7878368	7921860	2	43455	59231.7548	9	1	BMP6,MUTED-TXNDC5,TXNDC5		TXNDC5	TXNDC5	1.2486	9	1
8_MACS_peak_6431_lociStitched	chr12	123344533	123388887	8	43076	56857.3926	10	1	HIP1R,VPS37B		VPS37B	VPS37B	1.2726	10	1
12_MACS_peak_8535_lociStitched	chr15	81575792	81630283	12	47058	55820.5804	11	1	IL16,STARD5,TMC3		STARD5	STARD5	0.8292	11	1
7_MACS_peak_11511_lociStitched	chr19	1239610	1276727	7	26361	53634.065	12	1	ATP5D,MIDN,CIRBP,C19orf24,C19orf23	STK11,EFNA2,C19orf26	MIDN	MIDN	1.5839	12	1
6_MACS_peak_13768_lociStitched	chr2	99060689	99111984	6	45425	51700.2305	13	1	INPP4A		INPP4A	INPP4A	0.4689	13	1
6_MACS_peak_3687_lociStitched	chr10	125812106	125868344	6	51552	51440.8986	14	1	CHST15		CHST15	CHST15	0.632	14	1
3_MACS_peak_17833_lociStitched	chr3	141095309	141135022	3	35250	50101.9208	15	1	ZBTB38		ZBTB38	ZBTB38	0.5213	15	1
15_MACS_peak_10680_lociStitched	chr17	62148395	62210221	15	53096	49627.7302	16	1	ERN1	SNORD104,SNORA76	ERN1	ERN1	0.6371	16	1
9_MACS_peak_2219_lociStitched	chr1	203241977	203280702	9	29719	49579.6175	17	1	BTG2,LOC730227	CHIT1,FMOD	LOC730227	LOC730227	1.1654	17	1
7_MACS_peak_10905_lociStitched	chr17	75429194	75469902	7	36550	48430.3076	18	1	SEPT9	SEPT9,MIR4316	SEPT9	SEPT9	0.2893	18	1
7_MACS_peak_20317_lociStitched	chr5	131742725	131783345	7	34827	46652.07	19	1	C5orf56	SLC22A5,MIR3936,IRF1	C5orf56	C5orf56	1.2135	19	1
5_MACS_peak_17232_lociStitched	chr3	53194139	53231369	5	33321	46027.449	20	1	PRKCD	RFT1	PRKCD	PRKCD	1.1203	20	1
7_MACS_peak_25705_lociStitched	chr9	126074143	126111631	7	28944	43141.1904	21	1		CRB2,STRBP	CRB2	STRBP	0.2765	21	1
5_MACS_peak_4270_lociStitched	chr11	64877888	64903865	5	19793	43119.2223	22	1	C11orf2,TM7SF2,MRPL49,ZNHIT2,FAU,SYVN1	ZFPL1,SPDYC,CAPN1,CDCA5	MRPL49	MRPL49	1.1962	22	1
3_MACS_peak_9917_lociStitched	chr17	16867642	16895522	3	24731	42929.624	23	1	TNFRSF13B		TNFRSF13B	TNFRSF13B	0.6172	23	1
1_MACS_peak_4286_lociStitched	chr11	65183487	65199952	1	16466	42632.8245	24	1	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	NEAT1	2.8562	24	1
6_MACS_peak_4303_lociStitched	chr11	65335371	65362026	6	23018	41341.905	25	1	SSSCA1,FAM89B,EHBP1L1,KCNK7	SCYL1,PCNXL3,SIPA1,LTBP3,MAP3K11	EHBP1L1	EHBP1L1	1.1889	25	1
4_MACS_peak_16098_lociStitched	chr22	23267920	23298289	4	25783	41320.0614	26	1		IGLL5	IGLL5	IGLL5	1.7514	26	1
4_MACS_peak_12916_lociStitched	chr2	20391066	20426314	4	28972	40499.952	27	1	SDC1		SDC1	SDC1	1.1494	27	1
6_MACS_peak_15324_lociStitched	chr20	35972857	36014031	6	38658	40288.759	28	1	SRC		SRC	SRC	0.6449	28	1
5_MACS_peak_20418_lociStitched	chr5	139027631	139070276	5	32659	39570.2955	29	1	CXXC5		CXXC5	CXXC5	0.8412	29	1
8_MACS_peak_13099_lociStitched	chr2	37542088	37594139	8	35096	39491.0937	30	1	QPCT,PRKD3		QPCT	QPCT	0.6839	30	1
10_MACS_peak_25087_lociStitched	chr9	33124430	33172987	10	40885	38044.4095	31	1	B4GALT1	SMU1	B4GALT1	B4GALT1	0.6906	31	1
4_MACS_peak_2862_lociStitched	chr10	22595345	22630043	4	26797	37994.31	32	1	COMMD3,BMI1	SPAG6	BMI1	BMI1	1.2976	32	1
4_MACS_peak_7918_lociStitched	chr15	31628924	31661063	4	31430	37805.1057	33	1	KLF13		KLF13	KLF13	0.98	33	1
4_MACS_peak_26780_lociStitched	chrX	153230119	153252932	4	17297	37723.5768	34	1	TMEM187,MIR3202-1,HCFC1,MIR3202-2	ARHGAP4,NAA10,RENBP,IRAK1,MIR718	TMEM187	TMEM187	1.705	34	1
13_MACS_peak_11998_lociStitched	chr19	16221794	16272291	13	33405	36585.0765	35	1	RAB8A,HSH2D,CIB3	TPM4,FAM32A,AP1M1	HSH2D	HSH2D	0.6306	35	1
14_MACS_peak_1189_lociStitched	chr1	93394668	93447121	14	34483	36045.7016	36	1	FAM69A		FAM69A	FAM69A	0.3716	36	1
4_MACS_peak_12138_lociStitched	chr19	19256514	19286252	4	25414	35536.91	37	1	MEF2B,LOC729991-MEF2B	RFXANK,NCAN,TMEM161A,NR2C2AP	MEF2B	MEF2B	1.0536	37	1
9_MACS_peak_23980_lociStitched	chr8	27216824	27265839	9	36583	34918.286	38	1	PTK2B	TRIM35	PTK2B	PTK2B	0.3645	38	1
3_MACS_peak_12318_lociStitched	chr19	39880311	39904248	3	17237	34433.3745	39	1	MED29,ZFP36,PLEKHG2,PAF1	SAMD4B,SUPT5H,RPS16	ZFP36	ZFP36	1.9289	39	1
11_MACS_peak_23022_lociStitched	chr7	55569355	55607613	11	33273	34053.4458	40	1	VOPP1		VOPP1	VOPP1	0.6141	40	1
12_MACS_peak_23338_lociStitched	chr7	101921026	101963808	12	32534	33810.6146	41	1	CUX1,SH2B2,MIR4285	SPDYE6	MIR4285	MIR4285	0.7376	41	1
4_MACS_peak_24634_lociStitched	chr8	124033675	124058154	4	22877	33629.2502	42	1	DERL1	WDR67	DERL1	DERL1	0.9452	42	1
4_MACS_peak_1754_lociStitched	chr1	156450242	156476167	4	23382	33438.065	43	1	MEF2D		MEF2D	MEF2D	0.7781	43	1
3_MACS_peak_18354_lociStitched	chr4	35599	61928	3	23864	32613.7323	44	1	ZNF718,ZNF595		ZNF595	ZNF595	0.5887	44	1
5_MACS_peak_5131_lociStitched	chr12	7045145	7080984	5	23322	32599.1544	45	1	ATN1,C12orf57,PTPN6,MIR200C,MIR141,EMG1,PHB2,SCARNA12	LRRC23,ENO2,LPCAT3	PTPN6	PTPN6	1.0029	45	1
1_MACS_peak_10563_lociStitched	chr17	55426778	55448415	1	21638	32500.9377	46	1	MSI2		MSI2	MSI2	0.4366	46	1
8_MACS_peak_23363_lociStitched	chr7	102063862	102093241	8	23878	32234.6388	47	1	PRKRIP1,ORAI2	LRWD1,ALKBH4,POLR2J	ORAI2	ORAI2	0.7687	47	1
4_MACS_peak_16203_lociStitched	chr22	29178212	29200397	4	21036	32077.2915	48	1	CCDC117,XBP1	HSCB,CHEK2	XBP1	XBP1	1.7398	48	1
4_MACS_peak_526_lociStitched	chr1	31211108	31235132	4	23866	31759.728	49	1	LAPTM5	LOC100129196,MATN1	LAPTM5	LAPTM5	0.9874	49	1
5_MACS_peak_4292_lociStitched	chr11	65254360	65278585	5	20053	31623.315	50	1	MALAT1	MIR612,SCYL1,LTBP3	MALAT1	MALAT1	1.4046	50	1
9_MACS_peak_20797_lociStitched	chr5	180222839	180249473	9	21716	31587.924	51	1	MGAT1	LOC729678,ZFP62	MGAT1	MGAT1	0.6943	51	1
5_MACS_peak_17777_lociStitched	chr3	133181664	133212406	5	25065	31021.7522	52	1	BFSP2		BFSP2	BFSP2	0.4575	52	1
5_MACS_peak_10265_lociStitched	chr17	38465247	38487621	5	20219	30891.7818	53	1	RARA	CDC6,RARA,GJD3	RARA	RARA	0.778	53	1
1_MACS_peak_5294_lociStitched	chr12	26265953	26281052	1	15100	30688.7175	54	1	BHLHE41		BHLHE41	BHLHE41	1.7835	54	1
3_MACS_peak_13082_lociStitched	chr2	33699866	33725702	3	22339	30594.9912	55	1	RASGRP3	RASGRP3	RASGRP3	RASGRP3	0.3442	55	1
5_MACS_peak_4385_lociStitched	chr11	67033226	67057810	5	17029	30528.4112	56	1	ADRBK1,ANKRD13D	SSH3,LOC100130987	ANKRD13D	ANKRD13D	0.6519	56	1
2_MACS_peak_25737_lociStitched	chr9	127019606	127038547	2	16653	30343.482	57	1	NEK6	NEK6	NEK6	NEK6	0.5663	57	1
