GENE_ID	locusLine	bin_1_MM10_jia.bam
NM_021222	chr1(.):150975972-151013189	0.3479
NM_001006605	chr1(.):93302720-93432079	0.25
NM_020205	chr1(.):149907231-149987686	0.2756
NM_152263	chr1(.):154129289-154169609	0.5507
NM_001043351	chr1(.):154122779-154160725	0.5899
NM_201569	chr1(.):183436505-183528328	0.5571
NM_001113348	chr1(.):21538739-21677034	0.3567
NM_032017	chr1(.):36800224-36856485	0.7361
NM_153713	chr1(.):145472084-145504091	0.2837
NM_014455	chr1(.):145606035-145693776	0.6437
NM_207168	chr1(.):150594521-150607098	3.1558
NM_207042	chr1(.):150589598-150607098	2.4406
NM_207044	chr1(.):150590753-150607098	2.598
NM_020699	chr1(.):153772202-153900451	0.5052
NM_020524	chr1(.):154911558-154933567	0.66
NM_181359	chr1(.):154372668-154445188	0.563
NM_018489	chr1(.):155300051-155537324	0.3757
NM_018116	chr1(.):155575006-155589758	0.4137
NM_005973	chr1(.):156732273-156775609	0.4196
NM_005531	chr1(.):158974681-159029945	0.556
NM_001135050	chr1(.):159891828-159920386	0.9225
NM_012394	chr1(.):161065345-161092866	0.6925
NM_007348	chr1(.):161731083-161933852	0.3898
NM_145034	chr1(.):179804101-179851941	0.6366
NM_022347	chr1(.):179823164-179851941	0.9881
NM_025191	chr1(.):184654624-184729041	1.4349
NM_024420	chr1(.):186793031-186963113	0.17
NM_144977	chr1(.):197516384-197749623	0.3773
NM_001195215	chr1(.):197468878-197749623	0.3414
NM_014935	chr1(.):204182980-204334044	0.0835
NM_001143962	chr1(.):223709971-223858436	0.0416
NM_144625	chr1(.):241810579-241970434	0.2123
NM_014675	chr1(.):17243444-17304474	0.0616
NM_001136204	chr1(.):17728250-17770057	0.7877
NM_018715	chr1(.):17728250-17771220	0.7695
NM_001397	chr1(.):21538739-21621982	0.4763
NM_001113347	chr1(.):21538739-21611183	0.089
NM_001113349	chr1(.):21538739-21621766	0.4604
NM_001841	chr1(.):24195459-24244817	0.0431
NM_001191007	chr1(.):24287936-24311953	0.9896
NM_017761	chr1(.):24281300-24294949	2.2611
NM_015484	chr1(.):25543766-25564013	0.5107
NM_001127691	chr1(.):25593980-25661936	0.1299
NM_020317	chr1(.):25563739-25578985	1.1114
NM_015627	chr1(.):25865075-25900377	0.5983
NR_026685	chr1(.):26432655-26457026	1.315
NM_152835	chr1(.):26433267-26457026	1.3476
NM_032588	chr1(.):26372797-26399121	0.0416
NM_024869	chr1(.):26480510-26494119	0.0478
NM_015871	chr1(.):26491387-26502364	0.2066
NM_006015	chr1(.):27017521-27113601	0.8369
NM_014280	chr1(.):28521789-28564542	0.2475
NM_016311	chr1(.):28557610-28569611	0.5197
NM_001164721	chr1(.):28468676-28525447	0.0937
NM_001164722	chr1(.):28468676-28525437	0.0937
NM_031459	chr1(.):28581005-28614002	0.6055
NM_032881	chr1(.):36854030-36868493	0.5209
NM_001198979	chr1(.):40854016-40893998	0.5035
NM_001198978	chr1(.):40835304-40893998	0.9916
NM_001198980	chr1(.):40857471-40893998	0.3721
NM_022733	chr1(.):40834377-40893998	0.9771
