GENE_ID	locusLine	bin_1_MM1_jia.bam
NM_013943	chr1(.):25066759-25175815	0.1642
NM_030806	chr1(.):184351149-184603155	0.186
NM_173083	chr1(.):226413860-226502198	0.2024
NM_001006605	chr1(.):93302720-93432079	0.1759
NM_152263	chr1(.):154129289-154169609	0.3326
NM_001043351	chr1(.):154122779-154160725	0.3581
NR_036683	chr1(.):165662986-165684199	0.1951
NM_201569	chr1(.):183436505-183528328	0.3007
NM_206595	chr1(.):216671587-217267976	0.1603
NM_001134285	chr1(.):216671595-217316097	0.1554
NM_001198993	chr1(.):1677670-1715297	0.3706
NM_023018	chr1(.):1677670-1714909	0.3714
NM_001198994	chr1(.):1677670-1716508	0.3626
NM_003820	chr1(.):2482804-2500267	0.1943
NM_012102	chr1(.):8407463-8882699	0.1316
NM_015001	chr1(.):16169358-16271950	0.1836
NM_001113348	chr1(.):21538739-21677034	0.1707
NM_004091	chr1(.):23827921-23862713	0.2599
NM_006990	chr1(.):27727125-27821669	0.2243
NM_001720	chr1(.):40218902-40259533	0.2974
NM_174964	chr1(.):44168217-44401831	0.1153
NM_001981	chr1(.):51814934-51989995	0.1336
NM_002227	chr1(.):65293905-65437187	0.1882
NM_002600	chr1(.):66253855-66845262	0.116
NM_001037341	chr1(.):66253192-66845262	0.1159
NM_001037340	chr1(.):66453389-66845262	0.1293
NM_198459	chr1(.):115122195-115217732	0.1449
NM_001100910	chr1(.):120834004-120860681	0.2236
NR_034178	chr1(.):143910747-144099477	0.2604
NM_153713	chr1(.):145472084-145504091	0.2803
NM_001002812	chr1(.):144885590-145000022	0.4046
NM_014644	chr1(.):144846426-145000022	0.3478
NM_001198834	chr1(.):144846423-145000033	0.3478
NM_001198832	chr1(.):144846423-145044992	0.3491
NM_207168	chr1(.):150594521-150607098	0.6949
NM_020699	chr1(.):153772202-153900451	0.3035
NM_207308	chr1(.):153960167-154132592	0.1288
NM_020524	chr1(.):154911558-154933567	0.6593
NM_181359	chr1(.):154372668-154445188	0.3575
NM_005572	chr1(.):156079460-156112657	0.2844
NM_005973	chr1(.):156732273-156775609	0.3631
NM_005531	chr1(.):158974681-159029945	0.4265
NM_012394	chr1(.):161065345-161092866	0.4536
NM_012474	chr1(.):165791889-165882339	0.3527
NM_052862	chr1(.):167594473-167680486	0.2968
NM_002697	chr1(.):167185065-167401582	0.2382
NM_001198783	chr1(.):167293280-167401582	0.2311
NR_037163	chr1(.):167185122-167401582	0.2382
NM_145034	chr1(.):179804101-179851941	0.3329
NM_022347	chr1(.):179823164-179851941	0.4638
NM_002293	chr1(.):182987594-183119727	0.3238
NM_001164245	chr1(.):186339889-186395503	0.5258
NR_031642	chr1(.):186024866-186451655	0.1701
NM_199051	chr1(.):190061796-190451759	0.1632
NM_144977	chr1(.):197516384-197749623	0.2159
NM_001195215	chr1(.):197468878-197749623	0.2031
NM_001167738	chr1(.):201703962-201801102	0.2789
NM_020443	chr1(.):201612449-201801102	0.1963
NM_014827	chr1(.):203759750-203828256	0.3335
NM_014935	chr1(.):204182980-204334044	0.0907
NM_001684	chr1(.):203590927-203718209	0.228
NM_201630	chr1(.):204581302-204659597	0.1517
NM_006338	chr1(.):204581302-204659481	0.1517
NM_182663	chr1(.):206675878-206767616	0.2773
NR_024099	chr1(.):216671595-216901795	0.1822
NM_001438	chr1(.):216671587-216901807	0.1821
NM_001143962	chr1(.):223709971-223858436	0.0497
NM_022735	chr1(.):226327379-226379423	0.356
NM_182838	chr1(.):1658680-1682431	0.3268
NM_001198995	chr1(.):1677670-1695081	0.1962
NM_001010926	chr1(.):2455183-2466684	0.3589
NR_026927	chr1(.):2476358-2489284	0.5632
NM_018216	chr1(.):2434974-2463035	0.1897
NM_001195741	chr1(.):2513188-2527908	0.299
NR_036638	chr1(.):2512898-2527908	0.295
NM_001042682	chr1(.):8407463-8488747	0.1958
NM_001089591	chr1(.):16128656-16139194	0.0663
NR_024279	chr1(.):16155709-16179642	0.5992
NM_001397	chr1(.):21538739-21621982	0.191
NM_001113347	chr1(.):21538739-21611183	0.1016
NM_001113349	chr1(.):21538739-21621766	0.1881
NM_017707	chr1(.):23750055-23815750	0.0552
NM_002167	chr1(.):23879408-23891322	0.0947
NR_026685	chr1(.):26432655-26457026	0.5463
NM_152835	chr1(.):26433267-26457026	0.5595
NM_032588	chr1(.):26372797-26399121	0.061
NM_024869	chr1(.):26480510-26494119	0.0712
NM_015871	chr1(.):26491387-26502364	0.2031
NM_017837	chr1(.):27109485-27129887	0.2555
NM_006015	chr1(.):27017521-27113601	0.3163
NM_005281	chr1(.):27714151-27727317	0.0873
NM_207397	chr1(.):27700595-27714805	0.0682
NM_014280	chr1(.):28521789-28564542	0.1393
NM_016311	chr1(.):28557610-28569611	0.257
NM_031459	chr1(.):28581005-28614002	0.1353
NM_001195007	chr1(.):40199516-40234586	0.1411
NM_022120	chr1(.):40230196-40242020	0.2861
NM_001198979	chr1(.):40854016-40893998	0.1817
NM_001198978	chr1(.):40835304-40893998	0.2936
NM_001198980	chr1(.):40857471-40893998	0.1594
NM_022733	chr1(.):40834377-40893998	0.2901
NM_001037339	chr1(.):66792792-66845262	0.3074
NM_006769	chr1(.):87789150-87819607	0.3076
NM_001143989	chr1(.):108760962-108791703	0.091
NM_001143988	chr1(.):108987903-109018260	0.0865
NM_004974	chr1(.):111140775-111153345	0.0751
NM_002232	chr1(.):111209309-111222655	0.427
NM_001040033	chr1(.):111408820-111447558	0.3181
NM_000560	chr1(.):111410721-111447558	0.3306
NM_007158	chr1(.):115254536-115305624	0.2963
NM_002524	chr1(.):115242077-115264515	0.3775
NM_001172626	chr1(.):115210719-115243239	0.2314
NM_001130523	chr1(.):115254537-115305671	0.2962
NM_017709	chr1(.):118143603-118176011	0.8231
NM_207418	chr1(.):143891451-143918143	0.2611
NM_001002811	chr1(.):144885590-144937032	0.4034
NM_032305	chr1(.):145451235-145475387	0.5194
NM_202004	chr1(.):145408190-145422545	0.1175
NM_006472	chr1(.):145433461-145447628	0.8397
NM_001039888	chr1(.):145465507-145480647	0.4741
NM_003846	chr1(.):145511164-145528732	0.3251
NM_005105	chr1(.):145502637-145516444	0.679
NM_001184795	chr1(.):145511559-145528732	0.3281
NM_003637	chr1(.):145519989-145548868	0.1195
NR_002328	chr1(.):145504819-145521076	0.6382
NM_019032	chr1(.):150516897-150538412	0.8249
NM_207046	chr1(.):150589598-150606609	0.6454
NR_036211	chr1(.):150519404-150529490	0.1459
NM_001197320	chr1(.):150542026-150557214	1.3513
NM_014437	chr1(.):153926587-153945188	0.601
NM_130898	chr1(.):153935396-153951832	0.6313
NM_181715	chr1(.):153915151-153936043	0.6276
NM_006694	chr1(.):153941744-153955451	0.3608
NM_002870	chr1(.):153949127-153963806	0.5495
NM_014856	chr1(.):153896976-153924154	0.3537
NM_001030	chr1(.):153958238-153969631	0.5328
NM_001018837	chr1(.):154240038-154253355	0.4021
NM_001098616	chr1(.):154174182-154198273	0.6056
NM_001127320	chr1(.):154187654-154240980	0.3885
NM_001010979	chr1(.):154166847-154183809	0.1927
NR_030600	chr1(.):154161140-154171219	0.1154
NM_014847	chr1(.):154188324-154248329	0.4169
NM_020452	chr1(.):154295275-154328780	0.5419
NM_001005855	chr1(.):154293035-154315322	0.6948
NM_080429	chr1(.):154288591-154302801	0.8572
NM_017582	chr1(.):154516050-154536120	0.3134
NM_001193495	chr1(.):154549533-154583776	0.4689
NM_001111	chr1(.):154549533-154585724	0.4493
NM_001025107	chr1(.):154549533-154605456	0.4004
NM_000748	chr1(.):154535256-154557353	0.1414
NM_006556	chr1(.):154892207-154914484	0.6757
NM_001130041	chr1(.):154929773-154951959	0.8063
NM_001130040	chr1(.):154929773-154948223	0.8492
NM_201398	chr1(.):154950769-154970587	0.1874
NM_015872	chr1(.):154970111-154995999	0.5369
NM_207196	chr1(.):155018761-155040252	0.189
NM_018655	chr1(.):154961061-154971791	0.1844
NM_001143687	chr1(.):155001281-155028406	0.1351
NR_024163	chr1(.):154942117-154956725	0.8881
NM_144622	chr1(.):154986002-155011257	0.1411
NM_138300	chr1(.):154924501-154939258	0.7533
NR_036212	chr1(.):154943168-154953259	1.0912
NM_001162384	chr1(.):155911629-155953336	0.4921
NM_181885	chr1(.):155906479-155917625	0.3703
NM_004723	chr1(.):155911629-155952966	0.4884
NM_014949	chr1(.):155877835-155909188	0.3027
NR_002974	chr1(.):155884699-155894833	0.1746
NR_003005	chr1(.):155890748-155900877	0.1699
NM_003145	chr1(.):155973838-155995758	0.2696
NM_014655	chr1(.):156158729-156187587	0.5741
NM_022367	chr1(.):156118321-156152542	0.2616
NM_001193302	chr1(.):156118368-156152542	0.2616
NM_001193301	chr1(.):156114734-156152542	0.2659
NM_005920	chr1(.):156428518-156475529	0.7604
NM_004494	chr1(.):156706898-156726543	0.8222
NM_001126051	chr1(.):156706898-156727024	0.8054
NM_001126050	chr1(.):156706898-156727240	0.7979
NM_030980	chr1(.):156687412-156702705	0.5416
NM_001878	chr1(.):156664407-156680375	0.1054
NM_001142560	chr1(.):156693262-156711752	0.6505
NM_145729	chr1(.):156702093-156715923	0.5125
NM_031281	chr1(.):157478166-157527310	0.4596
NM_004833	chr1(.):159027274-159051647	0.7139
NM_001778	chr1(.):160643535-160686585	0.4649
NM_003037	chr1(.):160574890-160622081	0.4368
NM_021181	chr1(.):160704076-160729601	0.6006
NM_001033667	chr1(.):160760927-160777483	0.4003
NM_002348	chr1(.):160760927-160803045	0.2495
NM_030916	chr1(.):161035780-161064385	0.2612
NM_007122	chr1(.):161004040-161020757	0.8845
NM_001113205	chr1(.):161002421-161013774	0.336
NM_181720	chr1(.):161011731-161044760	0.6805
NM_016946	chr1(.):160960000-160996133	0.2843
NM_001039711	chr1(.):161085768-161107478	0.6285
NM_016406	chr1(.):161118533-161133646	0.6146
NM_004550	chr1(.):161164104-161189184	0.2656
NM_000309	chr1(.):161131180-161146010	0.621
NM_001643	chr1(.):161187082-161198418	0.2662
NM_001185094	chr1(.):161082907-161095984	0.6512
NM_003779	chr1(.):161136100-161152314	0.6525
NM_012475	chr1(.):161124253-161140516	0.588
NM_001039712	chr1(.):161085768-161107256	0.6326
NM_005600	chr1(.):161082861-161095984	0.65
NM_001185093	chr1(.):161082906-161095984	0.6511
NM_032174	chr1(.):161190832-161205407	0.227
NM_001166159	chr1(.):161166936-161189184	0.2724
NM_005099	chr1(.):161154537-161173845	0.4388
NM_004106	chr1(.):161180086-161194038	0.1456
NM_003115	chr1(.):162526295-162574633	0.5061
NM_000696	chr1(.):165626448-165672900	0.1953
