GENE	H3k27me3_26_DMSO_compare_TSS_SIGNAL	H3k27me3_26_DMSO_compare_DISTAL_SIGNAL	ENHANCER_PROMOTER_DIFFERENCE	ENHANCER_CONTRIBUTION	ENHANCER_PROMOTER_RATIO
TMEM200B	12802.1049	2968.0572	-9834.0477	0.188207145949375	-2.10879023439292
CHST3	6666.7848	374.3196	-6292.4652	0.053162057929435	-4.15464866124343
KIF26B	7048	1529.6036	-5518.3964	0.178325284232067	-2.20405610036675
LMO2	4433.5231	460.968	-3972.5551	0.0941809864563856	-3.26571508382627
PLAU	3816.8316	265.0912	-3551.7404	0.0649427274812743	-3.84781485149596
CADM3	5064.54	1707.504	-3357.036	0.25214012194841	-1.56854228027493
ACSL6	4532.4	1377.6896	-3154.7104	0.233108073353067	-1.71802431099206
TGIF1	3058.9974	136.1844	-2922.813	0.0426218001116556	-4.48942552428069
MT1G	15687.5704	13120.6522	-2566.9182	0.455448167774155	-0.257782498286604
PRDM14	2496.9672	93.5712	-2403.396	0.0361203678741068	-4.73796850468138
BATF3	2383.6098	28.5936	-2355.0162	0.0118537267628426	-6.38131200383573
SLIT1	2687.2162	358.8213	-2328.3949	0.117799370493633	-2.90477496029371
PTRF	5160.276	2889.3032	-2270.9728	0.358938415066467	-0.836726624466273
KIAA1614	2396.3852	129.224	-2267.1612	0.0511654772242673	-4.21291388546034
GRIN2A	2281.996	26.838	-2255.158	0.0116240491953947	-6.40987528839713
PTPN5	2504.8224	251.5404	-2253.282	0.0912580883764648	-3.31584627975143
NFATC2	2195.543	0	-2195.543	0	-8
PCSK9	3568.392	1385.4704	-2182.9216	0.279674784669029	-1.36489822035397
C21orf63	2401.6	358.142	-2043.458	0.129773725225039	-2.74539226076138
LRRN2	1903.8886	0	-1903.8886	0	-8
CCDC48	4329.4	2464.333	-1865.067	0.362736215862472	-0.812969882074167
LOC641518	4725.7518	2988.6774	-1737.0744	0.387413938545187	-0.661036680010834
MAP6	5945.6	4210.1268	-1735.4732	0.414556917777662	-0.497958722003202
CHRDL2	1731.8763	41.722	-1690.1543	0.0235239287272659	-5.37538376137733
