GENE	H3k27me3_26_DMSO_compare_TSS_SIGNAL	H3k27me3_26_DMSO_compare_DISTAL_SIGNAL
A4GALT	2373.2646	3842.523
AAAS	0.0	1072.0783999999999
AADACL3	0.0	886.2239
AADACL4	0.0	730.2022
AANAT	0.0	75472.7126
AARS2	0.0	32222.976599999995
AATF	0.0	61883.8782
AATK	8712.778799999998	373496.41900000005
ABCA17P	371.01279999999997	133759.10249999995
ABCA2	3372.8579999999997	275877.31179999997
ABCA3	464.7603	133759.10249999995
ABCA4	0.0	1205.3274999999999
ABCA7	0.0	22264.5683
ABCB6	0.0	26642.5539
ABCB8	0.0	52469.43050000001
ABCC1	0.0	0.0
ABCC10	0.0	740.0412
ABCC3	11334.0	290759.6412999998
ABCC8	424.6642	295.69
ABCD1	0.0	96174.68589999998
ABCD4	0.0	2326.2733
ABCF1	0.0	17291.09
ABCF2	0.0	179496.8321
ABCF3	0.0	30983.7036
ABCG1	2278.0927	144787.02870000002
ABCG4	2942.1081	10508.153699999999
ABHD11	0.0	27337.055500000002
ABHD14A	0.0	9084.474300000002
ABHD14B	0.0	9084.474300000002
ABHD15	0.0	1341.6788000000001
ABHD8	0.0	49229.146799999995
ABI3	7013.5743	38606.238699999994
ABL1	0.0	327309.6641
ABLIM2	788.4464	130934.9296
ABO	5568.95	276113.60970000015
ABP1	0.0	0.0
ABR	11576.11	453614.43789999984
ABTB2	694.5520999999999	1104.9064
ACAD8	0.0	1430.574
ACADVL	0.0	182900.43749999994
ACAN	1700.4148999999998	935.9332999999999
ACAP1	0.0	132215.9786
ACAP3	0.0	119254.02470000002
ACBD3	0.0	0.0
ACBD4	0.0	4170.0588
ACCN2	1998.8162	33132.541300000004
ACCN3	637.7143	52469.43050000001
ACCN4	9059.6	333807.5558
ACE	27269.148	130546.49680000001
ACER1	4735.599999999999	59584.5998
ACHE	4201.9063	114719.74060000002
ACIN1	0.0	700.7399
ACLY	0.0	3351.8204000000005
ACN9	0.0	280.364
ACOT11	0.0	384.3012
ACOT7	0.0	250976.37139999997
ACOX1	0.0	25192.7823
ACOX3	0.0	51768.26689999997
ACP1	0.0	1341.6264
ACP2	0.0	25461.8549
ACP5	0.0	10758.1027
ACPT	0.0	51909.94359999999
ACR	0.0	59997.250700000004
ACRBP	0.0	54310.446
ACSBG1	2150.0748000000003	2220.3558000000003
ACSBG2	0.0	93563.27699999997
ACSF3	0.0	61239.3739
ACSL3	0.0	1994.3862
ACSL6	4532.4	1377.6896000000002
ACTA2	0.0	644.5738
ACTB	0.0	125332.1161
ACTG1	0.0	872591.5325999996
ACTL6B	3979.9156000000003	287049.5756999999
ACTL8	0.0	245498.33430000005
ACTL9	0.0	230573.53110000002
ACTN3	1893.711	71782.399
ACTN4	0.0	5562.597400000001
ACTR1A	0.0	95749.7662
ACTR3C	0.0	0.0
ACTR5	0.0	58971.1486
ACTRT2	8563.8	608784.6624
ACVR1B	563.7018	45128.77339999999
ACVRL1	0.0	99178.3054
ACY1	0.0	9084.474300000002
ACY3	0.0	28670.47250000001
ADA	0.0	65779.1799
ADAD2	0.0	1543.2745
ADAM11	3842.609	9280.2089
ADAM15	0.0	93033.0016
ADAM21P1	0.0	267.53319999999997
ADAM33	7131.3063	39794.0559
ADAM8	0.0	295514.1997000001
ADAMTS10	0.0	74495.23970000002
ADAMTS13	2865.7376	329416.7647
ADAMTS15	0.0	6236.6008999999995
ADAMTS4	0.0	0.0
ADAMTS7	1977.2312000000002	43645.33479999999
ADAMTS8	2847.4206000000004	6236.6008999999995
ADAMTSL2	23519.304299999996	587902.4468999996
ADAMTSL4	2159.3940000000002	1999.0484
ADAMTSL5	3428.7479999999996	230868.16859999995
ADAP1	0.0	104457.18680000002
ADAP2	476.36449999999996	386.8335
ADAR	0.0	5124.7572
ADARB1	1031.3339999999998	203174.54240000003
ADAT3	0.0	20523.2576
ADCK2	0.0	3131.3536
ADCK4	0.0	607.5402
ADCK5	0.0	20439.638
ADCY6	0.0	734.7674999999999
ADCY9	0.0	13519.6884
ADIPOQ	0.0	1892.297
ADIPOR1	0.0	217.8652
ADM2	0.0	4189.2394
ADNP	0.0	450.3408
ADO	0.0	2153.2817
ADORA1	9243.599999999999	16094.1054
ADPRHL1	0.0	94129.0348
ADPRHL2	0.0	3500.6
ADRA2B	2974.6228	28679.791499999996
ADRA2C	0.0	688854.8993000002
ADRM1	0.0	68803.45519999998
ADSSL1	2510.0181	77359.0464
AEBP1	1699.2143999999998	3254.7403
AEN	0.0	1344.5448999999999
AES	2091.7371000000003	209471.26420000006
AFAP1	0.0	59432.76210000001
AFAP1-AS1	0.0	121331.24230000004
AFG3L1P	0.0	15283.3561
AFMID	0.0	8874.7215
AGAP2	0.0	3087.8959999999997
AGAP3	0.0	108820.5587
AGAP9	0.0	1214.2621
AGBL5	0.0	222.3375
AGER	0.0	103005.67070000002
AGFG2	0.0	122665.72819999998
AGPAT1	0.0	104856.28030000004
AGPAT2	5707.451599999999	688263.5865999999
AGPAT3	0.0	48660.3995
AGPAT5	0.0	1320.5782
AGPAT6	0.0	899.415
AGRN	3901.6506	388871.9871
AGRP	0.0	15495.6726
AGTRAP	0.0	143174.4033
AGXT	0.0	5247.8098
AGXT2L2	0.0	7111.229300000001
AHCYL1	0.0	633.5616
AHCYL2	0.0	0.0
AHDC1	0.0	414.1088
AHNAK	296.9252	56.201600000000006
AHNAK2	113.355	47231.9559
AHRR	0.0	3542.5688
AHSP	0.0	972.5168000000001
AICDA	0.0	0.0
AIF1	0.0	10969.067799999999
AIF1L	7306.6397	519168.4088999999
AIFM3	1728.6135	63957.04550000001
AIM1	2742.639	1398.8875
AIM1L	0.0	13555.2694
AIM2	0.0	1707.504
AIP	0.0	58271.63559999999
AIPL1	216.9557	63172.5761
AIRE	35415.600000000006	273413.3548
AJAP1	102.8049	16572.6987
AK1	0.0	1441.8656
AKAP8	0.0	7134.6006
AKAP8L	0.0	13083.680800000002
AKIRIN1	0.0	0.0
AKR1D1	0.0	15774.7808
AKT1	0.0	72717.69639999997
AKT2	0.0	3341.214
ALDH16A1	0.0	226067.76009999984
ALDH1A3	155.64509999999999	0.0
ALDH3A1	221.559	4030.4606999999996
ALDH3A2	0.0	3321.5510999999997
ALDH3B2	0.0	18451.367000000006
ALDH4A1	0.0	196092.24570000003
ALDOA	0.0	73743.62179999998
ALDOC	0.0	175715.01380000002
ALG1	0.0	76986.16229999997
ALG12	0.0	23517.0213
ALG1L2	0.0	1372.5947
ALG3	0.0	32134.4948
ALKBH3	0.0	3520.8688999999995
ALKBH4	0.0	19169.7162
ALKBH5	0.0	347.8825
ALKBH6	0.0	38402.60769999999
ALKBH7	0.0	59584.5998
ALLC	0.0	2184.3295
ALMS1	0.0	4087.4216
ALOX12	0.0	57568.227900000005
ALOX12B	10181.2752	208074.75759999998
ALOX15	6742.1867999999995	128814.42889999996
ALOX15B	5117.799000000001	210740.35679999998
ALOXE3	2294.9064	186220.6692
ALPI	0.0	17109.4738
ALPL	4479.8618	230688.9813
ALPP	228.37359999999998	3838.6396999999997
ALPPL2	0.0	13201.6687
ALS2CL	494.36199999999997	1117.8888
ALX3	0.0	633.5616
ALX4	1850.4893000000002	37279.0126
AMAC1	0.0	811.152
AMAC1L3	0.0	98255.40410000001
AMBP	0.0	8936.0118
AMDHD2	0.0	8384.5254
AMFR	0.0	7008.079499999999
AMH	0.0	25146.3897
AMHR2	0.0	1072.0783999999999
AMICA1	1261.8283999999999	64810.6078
AMIGO3	0.0	12743.6206
AMOTL2	0.0	5569.030699999999
AMPD3	1760.8476	418.6854
AMZ1	5714.5136	167759.1664
AMZ2	0.0	5520.984399999999
ANAPC11	0.0	93455.1776
ANAPC2	0.0	99137.96510000002
ANGPT4	116.49210000000001	3467.4073
ANGPTL4	5593.6	58217.2977
ANGPTL6	0.0	33632.38460000001
