GENE_ID	locusLine	bin_1_39_0EXR_0229Kronos_MM1S-KB-3hr-1_Input_hs_i82.bam
1_MACS_peak_1_lociStitched	chr1(.):9871-10695	1.0291
1_MACS_peak_2_lociStitched	chr1(.):28203-30362	0.2115
1_MACS_peak_3_lociStitched	chr1(.):441837-442643	0.0747
1_MACS_peak_4_lociStitched	chr1(.):713058-715378	0.1899
1_MACS_peak_5_lociStitched	chr1(.):752302-753545	0.107
1_MACS_peak_6_lociStitched	chr1(.):761728-763872	0.1883
1_MACS_peak_7_lociStitched	chr1(.):793182-794420	0.1381
1_MACS_peak_8_lociStitched	chr1(.):879208-880852	0.1328
3_MACS_peak_9_lociStitched	chr1(.):893599-902780	0.0916
1_MACS_peak_12_lociStitched	chr1(.):948133-949520	0.1762
1_MACS_peak_13_lociStitched	chr1(.):998877-999996	0.1869
1_MACS_peak_14_lociStitched	chr1(.):1051092-1052280	0.0885
1_MACS_peak_15_lociStitched	chr1(.):1071926-1072663	0.0819
1_MACS_peak_16_lociStitched	chr1(.):1079269-1080349	0.0777
1_MACS_peak_17_lociStitched	chr1(.):1092832-1094118	0.1258
1_MACS_peak_18_lociStitched	chr1(.):1166108-1167808	0.1362
1_MACS_peak_19_lociStitched	chr1(.):1185090-1186075	0.1299
1_MACS_peak_20_lociStitched	chr1(.):1207891-1210214	0.1562
2_MACS_peak_21_lociStitched	chr1(.):1242303-1245166	0.0975
1_MACS_peak_23_lociStitched	chr1(.):1259384-1261657	0.124
2_MACS_peak_24_lociStitched	chr1(.):1283516-1285511	0.0635
1_MACS_peak_26_lociStitched	chr1(.):1309501-1311710	0.1706
2_MACS_peak_27_lociStitched	chr1(.):1333466-1343736	0.1546
1_MACS_peak_29_lociStitched	chr1(.):1396753-1398967	0.2413
1_MACS_peak_30_lociStitched	chr1(.):1405883-1408525	0.1586
2_MACS_peak_31_lociStitched	chr1(.):1439718-1448930	0.1333
1_MACS_peak_33_lociStitched	chr1(.):1509060-1511264	0.1653
2_MACS_peak_34_lociStitched	chr1(.):1545011-1552423	0.134
1_MACS_peak_36_lociStitched	chr1(.):1589388-1591791	0.2168
2_MACS_peak_37_lociStitched	chr1(.):1606238-1611171	0.1858
1_MACS_peak_39_lociStitched	chr1(.):1622573-1625639	0.1722
1_MACS_peak_40_lociStitched	chr1(.):1654898-1656913	0.1941
2_MACS_peak_41_lociStitched	chr1(.):1668801-1678813	0.1477
2_MACS_peak_43_lociStitched	chr1(.):1708494-1714997	0.1828
1_MACS_peak_45_lociStitched	chr1(.):1755011-1756369	0.1004
1_MACS_peak_46_lociStitched	chr1(.):1772558-1775262	0.1593
2_MACS_peak_47_lociStitched	chr1(.):1820819-1829679	0.0951
1_MACS_peak_49_lociStitched	chr1(.):1838080-1841439	0.1175
1_MACS_peak_50_lociStitched	chr1(.):2125885-2127357	0.1424
1_MACS_peak_51_lociStitched	chr1(.):2158363-2159444	0.0734
