REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X28_0F2E_0229Kronos_MM1S.KB.6hr.2_H3K27me3_hs.dm_i16.bam	X42_0EXU_0229Kronos_MM1S.KB.6hr.2_Input_hs_i86.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isSuperStretch
20_MACS_peak_21792_lociStitched	chr20	60985099	61072393	20	83846	107188.3026	6870.0378	1	C20orf151,GATA5	RPS21,LAMA5,CABLES2	GATA5	1	1
18_MACS_peak_27166_lociStitched	chr4	9211677	9274616	18	61134	149838.8773	19536.2656	2	USP17		USP17	2	1
15_MACS_peak_6402_lociStitched	chr11	1982810	2063150	15	78650	102843.234	6089.772	3	LOC100133545,H19,MIR675	TNNT3,MRPL23	H19	3	1
6_MACS_peak_14888_lociStitched	chr17	79015887	79092978	6	76377	107017.7262	6444.8076	4	BAIAP2,AATK	MIR3065,LOC388428,FLJ90757,MIR657,MIR338,MIR1250	MIR657	4	1
2_MACS_peak_16631_lociStitched	chr19	8851064	8900850	2	49532	149173.7918	23255.0406	5		OR2Z1,ACTL9,ZNF558	OR2Z1	5	1
6_MACS_peak_15353_lociStitched	chr19	1286345	1343984	6	56938	98193.8004	7573.7646	6	EFNA2	ATP5D,MIDN,CIRBP,C19orf24,MUM1,NDUFS7,C19orf26,C19orf23	EFNA2	6	1
9_MACS_peak_22569_lociStitched	chr21	44156410	44218077	9	60015	89466.4836	7868.7092	7	PDE9A		WDR4	7	1
23_MACS_peak_859_lociStitched	chr1	3419523	3488245	23	64900	75305.5676	4741.818	8	MEGF6,MIR551A	ARHGEF16	MIR551A	8	1
3_MACS_peak_18990_lociStitched	chr19	48406235	48462712	3	56432	100478.2307	19461.9742	9	SNAR-A13,SNAR-C5,SNAR-A2,SNAR-A7,SNAR-C2,SNAR-C4,SNAR-C3	SNAR-A12,SNAR-C1,ELSPBP1,SULT2A1,BSPH1	SNAR-C2	9	1
7_MACS_peak_22826_lociStitched	chr21	46302119	46356927	7	53933	90460.604	7404.5608	10	ITGB2,C21orf67	C21orf70,PTTG1IP	ITGB2	10	1
11_MACS_peak_27184_lociStitched	chr4	9324637	9370853	11	45461	107632.4424	13513.5584	11	USP17,USP17L6P		USP17L6P	11	1
