REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	28_0F2E_0229Kronos_MM1S-KB-6hr-2_H3K27me3_hs-dm_i16.bam	42_0EXU_0229Kronos_MM1S-KB-6hr-2_Input_hs_i86.bam
20_MACS_peak_21792_lociStitched	chr20	60985099	61072393	20	83846	107188.3026	6870.037800000001
15_MACS_peak_6402_lociStitched	chr11	1982810	2063150	15	78650	102843.234	6089.772000000001
6_MACS_peak_14888_lociStitched	chr17	79015887	79092978	6	76377	107017.7262	6444.807599999999
23_MACS_peak_859_lociStitched	chr1	3419523	3488245	23	64900	75305.56760000001	4741.818
18_MACS_peak_27166_lociStitched	chr4	9211677	9274616	18	61134	149838.8773	19536.2656
9_MACS_peak_22569_lociStitched	chr21	44156410	44218077	9	60015	89466.4836	7868.709199999999
6_MACS_peak_15353_lociStitched	chr19	1286345	1343984	6	56938	98193.80040000001	7573.7645999999995
18_MACS_peak_22540_lociStitched	chr21	44074201	44130734	18	53702	70581.45049999999	7388.8631000000005
3_MACS_peak_18990_lociStitched	chr19	48406235	48462712	3	56432	100478.2307	19461.9742
7_MACS_peak_22826_lociStitched	chr21	46302119	46356927	7	53933	90460.604	7404.5608
12_MACS_peak_21849_lociStitched	chr20	61318626	61371415	12	51027	59197.584599999995	4687.6632
5_MACS_peak_15301_lociStitched	chr19	684550	735031	5	49644	71253.9315	6108.201
2_MACS_peak_16631_lociStitched	chr19	8851064	8900850	2	49532	149173.7918	23255.0406
15_MACS_peak_22000_lociStitched	chr20	61851128	61900573	15	48388	59853.17249999999	4410.494
18_MACS_peak_14966_lociStitched	chr17	79399927	79448331	18	45786	58588.20159999999	3693.2252000000003
20_MACS_peak_1778_lociStitched	chr1	10804379	10852274	20	44458	49671.9045	4550.025
17_MACS_peak_33890_lociStitched	chr9	139477796	139524991	17	44459	51499.184	3166.7845
17_MACS_peak_23854_lociStitched	chr22	37711311	37758102	17	43797	49879.206000000006	4098.8916
11_MACS_peak_27184_lociStitched	chr4	9324637	9370853	11	45461	107632.4424	13513.5584
7_MACS_peak_22915_lociStitched	chr21	46873789	46919786	7	44658	62040.7536	4995.2742
7_MACS_peak_30879_lociStitched	chr8	142012894	142058815	7	45347	60689.193600000006	5781.4539
4_MACS_peak_15740_lociStitched	chr19	3798344	3843400	4	44952	65542.9632	5586.9439999999995
5_MACS_peak_2222_lociStitched	chr1	17012941	17057977	5	44555	96719.31360000001	11074.3524
27_MACS_peak_32390_lociStitched	chr9	133836095	133880462	27	39744	44628.7653	4263.6687
21_MACS_peak_21894_lociStitched	chr20	61591330	61635374	21	40500	46854.0072	3602.7992
9_MACS_peak_15854_lociStitched	chr19	4558805	4602813	9	42866	57549.261600000005	5725.440799999999
22_MACS_peak_21822_lociStitched	chr20	61170708	61213372	22	38586	45074.516	3656.3048
12_MACS_peak_14325_lociStitched	chr17	77148151	77189582	12	39754	43912.7169	3480.204
9_MACS_peak_22891_lociStitched	chr21	46756501	46796019	9	38090	51515.664800000006	4900.232
6_MACS_peak_28011_lociStitched	chr6	31990982	32030387	6	38457	54481.353	4496.1105
16_MACS_peak_24969_lociStitched	chr22	46335543	46374629	16	37419	42803.0786	3048.708
