#28_0F2E_0229Kronos_MM1S-KB-6hr-2_H3K27me3_hs-dm_i16_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/p300_internal_ChIP/rose/28_0F2E_0229Kronos_MM1S-KB-6hr-2_H3K27me3_hs-dm_i16_ROSE/28_0F2E_0229Kronos_MM1S-KB-6hr-2_H3K27me3_hs-dm_i16_peaks_0KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by X28_0F2E_0229Kronos_MM1S.KB.6hr.2_H3K27me3_hs.dm_i16.bam
#Using cutoff of 8051.4287 for Super-Enhancers
#Created on Jul 18 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X28_0F2E_0229Kronos_MM1S.KB.6hr.2_H3K27me3_hs.dm_i16.bam	X42_0EXU_0229Kronos_MM1S.KB.6hr.2_Input_hs_i86.bam	enhancerRank	isSuper
18_MACS_peak_27166_lociStitched	chr4	9211677	9274616	18	61134	149838.8773	19536.2656	1	1
2_MACS_peak_16631_lociStitched	chr19	8851064	8900850	2	49532	149173.7918	23255.0406	2	1
6_MACS_peak_14888_lociStitched	chr17	79015887	79092978	6	76377	107017.7262	6444.8076	3	1
20_MACS_peak_21792_lociStitched	chr20	60985099	61072393	20	83846	107188.3026	6870.0378	4	1
15_MACS_peak_6402_lociStitched	chr11	1982810	2063150	15	78650	102843.234	6089.772	5	1
11_MACS_peak_27184_lociStitched	chr4	9324637	9370853	11	45461	107632.4424	13513.5584	6	1
6_MACS_peak_15353_lociStitched	chr19	1286345	1343984	6	56938	98193.8004	7573.7646	7	1
5_MACS_peak_2222_lociStitched	chr1	17012941	17057977	5	44555	96719.3136	11074.3524	8	1
7_MACS_peak_22826_lociStitched	chr21	46302119	46356927	7	53933	90460.604	7404.5608	9	1
1_MACS_peak_34165_lociStitched	chrX	19470033	19470499	1	467	82402.8732	131.179	10	1
9_MACS_peak_22569_lociStitched	chr21	44156410	44218077	9	60015	89466.4836	7868.7092	11	1
3_MACS_peak_18990_lociStitched	chr19	48406235	48462712	3	56432	100478.2307	19461.9742	12	1
23_MACS_peak_859_lociStitched	chr1	3419523	3488245	23	64900	75305.5676	4741.818	13	1
1_MACS_peak_7648_lociStitched	chr11	70042271	70042721	1	451	67146.39	185.85	14	1
5_MACS_peak_15301_lociStitched	chr19	684550	735031	5	49644	71253.9315	6108.201	15	1
18_MACS_peak_22540_lociStitched	chr21	44074201	44130734	18	53702	70581.4505	7388.8631	16	1
4_MACS_peak_15740_lociStitched	chr19	3798344	3843400	4	44952	65542.9632	5586.944	17	1
7_MACS_peak_22915_lociStitched	chr21	46873789	46919786	7	44658	62040.7536	4995.2742	18	1
15_MACS_peak_22000_lociStitched	chr20	61851128	61900573	15	48388	59853.1725	4410.494	19	1
7_MACS_peak_30879_lociStitched	chr8	142012894	142058815	7	45347	60689.1936	5781.4539	20	1
18_MACS_peak_14966_lociStitched	chr17	79399927	79448331	18	45786	58588.2016	3693.2252	21	1
12_MACS_peak_21849_lociStitched	chr20	61318626	61371415	12	51027	59197.5846	4687.6632	22	1
4_MACS_peak_15399_lociStitched	chr19	1718823	1753598	4	34323	56658.9075	4520.75	23	1
