REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	24_0F2A_0229Kronos_MM1S-KB-1hr-2_H3K27me3_hs-dm_i06.bam	38_0EXQ_0229Kronos_MM1S-KB-1hr-2_Input_hs_i81.bam
11_MACS_peak_16575_lociStitched	chr17	77083780	77199216	11	113553	241018.82439999998	10862.527600000001
23_MACS_peak_16627_lociStitched	chr17	77354060	77455598	23	98091	163476.18000000002	10732.5666
7_MACS_peak_37202_lociStitched	chr9	139525934	139614843	7	88100	205904.3531	9397.6813
8_MACS_peak_17389_lociStitched	chr19	681203	769468	8	86962	204033.37399999998	12824.9045
7_MACS_peak_24654_lociStitched	chr20	60984675	61072386	7	86638	204007.01489999998	8604.4491
5_MACS_peak_6945_lociStitched	chr11	1982251	2063134	5	80395	209333.2923	7991.2404
4_MACS_peak_627_lociStitched	chr1	3408394	3488285	4	79414	174553.8459	6622.9639
17_MACS_peak_27618_lociStitched	chr22	46295871	46374716	17	75846	145547.87	7182.7795
19_MACS_peak_17708_lociStitched	chr19	3360344	3434846	19	71533	124373.6388	10050.3198
15_MACS_peak_531_lociStitched	chr1	3099376	3167709	15	67006	107303.30990000001	5323.1407
5_MACS_peak_16973_lociStitched	chr17	79009545	79075142	5	65391	174225.632	7747.0057
12_MACS_peak_287_lociStitched	chr1	2346631	2411265	12	62420	125099.107	6146.6934
14_MACS_peak_13739_lociStitched	chr17	1042143	1106225	14	61695	118647.82299999999	7395.062800000001
19_MACS_peak_29984_lociStitched	chr4	9211678	9274618	19	61426	197209.902	22293.348
6_MACS_peak_25263_lociStitched	chr21	44155798	44218059	6	61222	144962.2863	9625.550599999999
13_MACS_peak_15487_lociStitched	chr17	47952638	48014449	13	60486	104911.8103	6712.6746
11_MACS_peak_1756_lociStitched	chr1	10792302	10851998	11	58143	100665.3648	6339.715200000001
9_MACS_peak_26597_lociStitched	chr22	37772194	37831511	9	58679	107227.34090000001	6275.738600000001
19_MACS_peak_24965_lociStitched	chr20	62807507	62866170	19	55787	96518.23389999999	6505.7267
7_MACS_peak_17773_lociStitched	chr19	3798184	3856452	7	57861	124827.53640000001	8612.0104
8_MACS_peak_11710_lociStitched	chr16	1144911	1202512	8	55954	121284.6656	4694.4815
12_MACS_peak_7360_lociStitched	chr11	61442499	61499334	12	54678	91726.00649999999	5990.409
3_MACS_peak_21291_lociStitched	chr19	48406099	48462661	3	56028	131048.4978	21193.7814
13_MACS_peak_35956_lociStitched	chr9	133769879	133825566	13	53192	112432.053	5407.2077
9_MACS_peak_17822_lociStitched	chr19	4183669	4239187	9	53798	97267.53600000001	9493.578000000001
11_MACS_peak_24720_lociStitched	chr20	61585490	61640684	11	53726	105668.913	5596.671600000001
16_MACS_peak_21494_lociStitched	chr19	49520944	49575079	16	51801	89474.32800000001	5895.3015
5_MACS_peak_2174_lociStitched	chr1	17012365	17066270	5	53265	176113.02550000002	15050.276
13_MACS_peak_34424_lociStitched	chr8	142359397	142412509	13	51655	87326.7504	5114.6856
10_MACS_peak_26582_lociStitched	chr22	37711563	37763770	10	50834	92234.1069	5638.356
6_MACS_peak_17018_lociStitched	chr17	79399928	79452104	6	51566	124544.112	4643.664
17_MACS_peak_35735_lociStitched	chr9	132426935	132478745	17	49088	83061.792	4958.217
12_MACS_peak_192_lociStitched	chr1	1934571	1985687	12	49212	85465.95199999999	5080.9304
4_MACS_peak_24785_lociStitched	chr20	61850412	61901356	4	50817	114145.12640000001	5965.542399999999
19_MACS_peak_9200_lociStitched	chr12	3359298	3409098	19	47724	71114.4	4940.16
7_MACS_peak_17469_lociStitched	chr19	1704033	1753672	7	48481	122514.01590000001	7128.160400000001
3_MACS_peak_21660_lociStitched	chr19	50594162	50643160	3	48980	98814.2666	15713.658599999999
11_MACS_peak_9638_lociStitched	chr12	54356829	54405734	11	46825	89686.87950000001	5413.7835000000005
7_MACS_peak_24821_lociStitched	chr20	62074625	62123073	7	47017	97041.34400000001	4418.4576
12_MACS_peak_37114_lociStitched	chr9	138870369	138918511	12	46645	82188.0224	4241.3102
8_MACS_peak_37194_lociStitched	chr9	139477231	139525149	8	47229	98174.39839999999	4465.957600000001
5_MACS_peak_277_lociStitched	chr1	2246734	2293965	5	46457	106855.4144	4246.0669
2_MACS_peak_18623_lociStitched	chr19	8851097	8897611	2	46454	190846.94199999998	24843.1274
12_MACS_peak_30003_lociStitched	chr4	9324637	9370797	12	45213	141226.52	15832.880000000001
8_MACS_peak_19565_lociStitched	chr19	18070178	18115720	8	44761	71974.5768	4809.2352
11_MACS_peak_36391_lociStitched	chr9	136377440	136422666	11	43570	79986.7036	4468.3288
7_MACS_peak_34396_lociStitched	chr8	142012933	142058059	7	43940	82995.7392	5821.254
8_MACS_peak_26549_lociStitched	chr22	37469396	37514511	8	42986	76555.6435	5301.0125
7_MACS_peak_6980_lociStitched	chr11	2163413	2208245	7	43352	81585.2736	3730.0224
5_MACS_peak_17857_lociStitched	chr19	4557201	4601641	5	43642	95874.856	7337.044
12_MACS_peak_29838_lociStitched	chr4	8586832	8630941	12	41633	65898.846	3599.2944
11_MACS_peak_24667_lociStitched	chr20	61169810	61213371	11	42323	80043.3375	4434.5098
2_MACS_peak_17429_lociStitched	chr19	1286380	1328665	2	42286	148073.61299999998	5797.2735
1_MACS_peak_25489_lociStitched	chr21	46301200	46342605	1	41406	128740.5665	7134.0815
11_MACS_peak_11724_lociStitched	chr16	1245506	1286645	11	39723	90678.58380000001	3636.6876
8_MACS_peak_36093_lociStitched	chr9	135053293	135094423	8	40405	66223.413	4001.949
6_MACS_peak_11718_lociStitched	chr16	1204082	1244977	6	40043	83875.645	3377.927
7_MACS_peak_25827_lociStitched	chr22	20197223	20237948	7	39559	81808.37999999999	4158.0225
3_MACS_peak_25824_lociStitched	chr22	20152350	20193068	3	40428	87832.79779999999	3872.2818
6_MACS_peak_17006_lociStitched	chr17	79326989	79367597	6	39003	80935.8048	3821.2128000000002
9_MACS_peak_25248_lociStitched	chr21	44091153	44131530	9	38968	73595.1579	6080.7762
4_MACS_peak_24812_lociStitched	chr20	62022248	62062230	4	39221	80947.5572	3246.5384
5_MACS_peak_35542_lociStitched	chr9	129376644	129416465	5	39669	80518.06199999999	4002.0105000000003
14_MACS_peak_3328_lociStitched	chr1	22558258	22597953	14	38016	57867.371	4164.005499999999
10_MACS_peak_28430_lociStitched	chr3	50219273	50258337	10	38055	67748.6952	4492.360000000001
10_MACS_peak_37160_lociStitched	chr9	139058217	139096948	10	36659	72643.8636	3237.9116
7_MACS_peak_5299_lociStitched	chr1	228744106	228782559	7	37817	52992.079300000005	18861.1965
5_MACS_peak_11694_lociStitched	chr16	1044496	1082545	5	36962	76486.09980000001	3359.7267
10_MACS_peak_6689_lociStitched	chr11	1025432	1063194	10	36344	76086.6538	4059.415
16_MACS_peak_15996_lociStitched	chr17	72333550	72371178	16	34782	52562.5532	3984.8052
6_MACS_peak_25544_lociStitched	chr21	46717543	46755083	6	36808	94991.21600000001	5169.258
4_MACS_peak_25570_lociStitched	chr21	46882873	46919987	4	36174	89912.37640000001	5311.0134
2_MACS_peak_31063_lociStitched	chr6	31991202	32028182	2	36846	99638.912	4940.528
8_MACS_peak_9976_lociStitched	chr13	113627503	113664316	8	36077	65140.603500000005	3810.1454999999996
9_MACS_peak_32841_lociStitched	chr7	150868695	150905495	9	34997	67090.08	6112.48
6_MACS_peak_1750_lociStitched	chr1	10755007	10791629	6	36087	71599.6722	3497.401
14_MACS_peak_1911_lociStitched	chr1	11487439	11523927	14	35228	50583.3144	3969.8943999999997
7_MACS_peak_18135_lociStitched	chr19	5991261	6027745	7	35376	62157.7908	5786.3624
3_MACS_peak_37175_lociStitched	chr9	139216977	139253127	3	35804	104234.91	3264.3450000000003
6_MACS_peak_37154_lociStitched	chr9	139018532	139054513	6	35140	69500.8996	3169.9261
5_MACS_peak_24682_lociStitched	chr20	61315711	61351643	5	35338	70340.4832	3798.0124
6_MACS_peak_16588_lociStitched	chr17	77202153	77238020	6	34532	58362.7824	3095.3221
10_MACS_peak_17405_lociStitched	chr19	818713	854298	10	32887	67778.7495	4978.3414999999995
3_MACS_peak_17476_lociStitched	chr19	1754563	1790100	3	35286	91202.1568	5103.1132
7_MACS_peak_17454_lociStitched	chr19	1514118	1549473	7	34182	80103.8235	5338.605
4_MACS_peak_17832_lociStitched	chr19	4275441	4310595	4	34657	66567.61439999999	4858.2828
8_MACS_peak_16983_lociStitched	chr17	79112518	79147262	8	33795	73243.82639999999	3554.3112
8_MACS_peak_6821_lociStitched	chr11	1636231	1670751	8	33436	55432.21599999999	4031.936
5_MACS_peak_25551_lociStitched	chr21	46760887	46795344	5	33863	76036.2619	4537.986900000001
6_MACS_peak_11700_lociStitched	chr16	1091622	1125909	6	33150	63067.5078	2633.2416
4_MACS_peak_9713_lociStitched	chr12	57585699	57619916	4	33860	73754.7435	4547.4393
5_MACS_peak_25492_lociStitched	chr21	46404243	46438361	5	32844	98682.9032	4807.2262
14_MACS_peak_31066_lociStitched	chr6	32035099	32068892	14	30987	53423.3537	4099.0909
10_MACS_peak_37078_lociStitched	chr9	138572304	138605893	10	31887	51078.7923	2942.3964
7_MACS_peak_16824_lociStitched	chr17	77897856	77931439	7	32544	62393.8557	3220.6097
2_MACS_peak_32817_lociStitched	chr7	149498296	149531548	2	33086	91765.5444	5097.531599999999
9_MACS_peak_11735_lociStitched	chr16	1287335	1320540	9	31126	65078.4795	3403.5125
11_MACS_peak_28461_lociStitched	chr3	50445054	50477873	11	31488	44712.6056	3583.8348
11_MACS_peak_1767_lociStitched	chr1	10853780	10886449	11	30841	51110.6505	3430.245
11_MACS_peak_17872_lociStitched	chr19	4734071	4766616	11	31150	51746.55	5402.47
10_MACS_peak_36083_lociStitched	chr9	135020427	135052739	10	31052	51498.865600000005	3502.6207999999997
6_MACS_peak_1744_lociStitched	chr1	10722251	10754179	6	31408	68501.524	2908.6408
8_MACS_peak_16555_lociStitched	chr17	77015728	77047528	8	30466	59179.8	3911.4
8_MACS_peak_22365_lociStitched	chr2	26783635	26815139	8	30725	55065.8416	4234.1376
10_MACS_peak_35798_lociStitched	chr9	132935058	132966338	10	29736	53279.224	3353.216
2_MACS_peak_82_lociStitched	chr1	1090766	1122030	2	30978	79219.8496	2738.7264
6_MACS_peak_17012_lociStitched	chr17	79368136	79399268	6	30154	66964.932	2755.182
4_MACS_peak_640_lociStitched	chr1	3505044	3536035	4	30890	67891.9837	2841.8747000000003
4_MACS_peak_25562_lociStitched	chr21	46825633	46856613	4	30726	77793.878	3649.444
8_MACS_peak_14838_lociStitched	chr17	36716121	36746824	8	29419	60122.6146	3678.2194
2_MACS_peak_17467_lociStitched	chr19	1672555	1703187	2	30426	87031.63840000001	5366.7264
8_MACS_peak_6732_lociStitched	chr11	1237075	1267422	8	29369	49860.121	2543.0786
6_MACS_peak_35982_lociStitched	chr9	133848036	133878012	6	29331	51939.415199999996	3390.2856
7_MACS_peak_34873_lociStitched	chr8	143643975	143673794	7	28927	45068.4366	2594.2529999999997
4_MACS_peak_21588_lociStitched	chr19	49916327	49945950	4	29031	50652.3677	2790.4866
7_MACS_peak_35176_lociStitched	chr8	144940060	144969640	7	28811	60286.998	3241.9680000000003
4_MACS_peak_28693_lociStitched	chr3	184274876	184304328	4	28554	60459.0656	5254.2368
7_MACS_peak_7286_lociStitched	chr11	61284444	61313671	7	28352	53573.091	3416.6363
10_MACS_peak_16126_lociStitched	chr17	72873386	72902607	10	27476	42545.776	3103.2702
8_MACS_peak_591_lociStitched	chr1	3296865	3326001	8	28525	45589.0992	2246.3856
8_MACS_peak_7374_lociStitched	chr11	61515220	61544215	8	28145	46319.5125	3056.073
5_MACS_peak_28941_lociStitched	chr4	3470949	3499880	5	28672	75579.3444	2826.5587
7_MACS_peak_36265_lociStitched	chr9	135852485	135881343	7	28657	48761.3626	3151.2936
4_MACS_peak_25790_lociStitched	chr22	19718922	19747745	4	28619	57124.3037	2960.1221
2_MACS_peak_17805_lociStitched	chr19	3924148	3952923	2	28674	57034.9275	3737.8724999999995
3_MACS_peak_16597_lociStitched	chr17	77241812	77270453	3	28335	50270.6832	2763.8565
2_MACS_peak_1154_lociStitched	chr1	6501292	6529921	2	28423	69173.3898	3017.4966
5_MACS_peak_37170_lociStitched	chr9	139138377	139167006	5	28035	70221.21119999999	3034.674
9_MACS_peak_26709_lociStitched	chr22	39221613	39249771	9	26727	43765.979400000004	2987.5638
7_MACS_peak_21172_lociStitched	chr19	47901845	47929930	7	27760	51058.53	3125.8605
4_MACS_peak_36375_lociStitched	chr9	136296518	136324429	4	27190	48500.9447	3098.121
4_MACS_peak_30689_lociStitched	chr5	176269854	176297764	4	27635	55755.807	3145.457
8_MACS_peak_24803_lociStitched	chr20	61985709	62013511	8	26337	48553.4128	2313.1264
6_MACS_peak_21124_lociStitched	chr19	47114671	47142181	6	26877	46260.816	3810.135
5_MACS_peak_25416_lociStitched	chr21	45910128	45937620	5	27023	62791.727999999996	4085.3112
