REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X24_0F2A_0229Kronos_MM1S.KB.1hr.2_H3K27me3_hs.dm_i06.bam	X38_0EXQ_0229Kronos_MM1S.KB.1hr.2_Input_hs_i81.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuperStretch
11_MACS_peak_16575_lociStitched	chr17	77083780	77199216	11	113553	241018.8244	10862.5276	1	ENGASE,RBFOX3		ENGASE	ENGASE	0.9343999999999999	1	1
7_MACS_peak_37202_lociStitched	chr9	139525934	139614843	7	88100	205904.3531	9397.6813	2	EGFL7,MIR126,FAM69B,AGPAT2	LOC100128593,SNORA43,SNORA17,SNHG7,LCN10,LCN6,LCN8,LCN15	MIR126	MIR126	2.6836	2	1
7_MACS_peak_24654_lociStitched	chr20	60984675	61072386	7	86638	204007.0149	8604.4491	3	C20orf151,GATA5	RPS21,LAMA5,CABLES2	GATA5	GATA5	2.2155	3	1
8_MACS_peak_17389_lociStitched	chr19	681203	769468	8	86962	204033.374	12824.9045	4	FSTL3,PALM,C19orf21,PRSSL1	FGF22,PTBP1,MIR3187,POLRMT,RNF126	PALM	PALM	2.3564	4	1
5_MACS_peak_6945_lociStitched	chr11	1982251	2063134	5	80395	209333.2923	7991.2404	5	LOC100133545,H19,MIR675	TNNT3,MRPL23	H19	H19	2.8495999999999997	5	1
23_MACS_peak_16627_lociStitched	chr17	77354060	77455598	23	98091	163476.18	10732.5666	6	RBFOX3		RBFOX3	RBFOX3	1.4731	6	1
4_MACS_peak_627_lociStitched	chr1	3408394	3488285	4	79414	174553.8459	6622.9639	7	MEGF6,MIR551A	ARHGEF16	MIR551A	MIR551A	1.9368	7	1
19_MACS_peak_29984_lociStitched	chr4	9211678	9274618	19	61426	197209.902	22293.348	8	USP17		USP17	USP17	2.7673	8	1
5_MACS_peak_16973_lociStitched	chr17	79009545	79075142	5	65391	174225.632	7747.0057	9	BAIAP2	CHMP6,MIR3065,FLJ90757,MIR657,MIR338,MIR1250	BAIAP2	BAIAP2	2.417	9	1
17_MACS_peak_27618_lociStitched	chr22	46295871	46374716	17	75846	145547.87	7182.7795	10	WNT7B	LOC730668	WNT7B	WNT7B	1.7239	10	1
5_MACS_peak_2174_lociStitched	chr1	17012365	17066270	5	53265	176113.0255	15050.276	11	ESPNP	MST1P2,MST1P9	ESPNP	ESPNP	3.4502	11	1
2_MACS_peak_18623_lociStitched	chr19	8851097	8897611	2	46454	190846.942	24843.1274	12		OR2Z1,ACTL9,ZNF558	OR2Z1	ACTL9	0.3609	12	1
19_MACS_peak_17708_lociStitched	chr19	3360344	3434846	19	71533	124373.6388	10050.3198	13	NFIC	C19orf77	NFIC	NFIC	1.5298	13	1
6_MACS_peak_25263_lociStitched	chr21	44155798	44218059	6	61222	144962.2863	9625.5506	14	PDE9A		WDR4	WDR4	NONE	14	1
12_MACS_peak_287_lociStitched	chr1	2346631	2411265	12	62420	125099.107	6146.6934	15	PLCH2	RER1,MORN1,PEX10,PANK4	PLCH2	MORN1	1.673	15	1
15_MACS_peak_531_lociStitched	chr1	3099376	3167709	15	67006	107303.3099	5323.1407	16	PRDM16		MIR4251	MIR4251	1.4012	16	1
14_MACS_peak_13739_lociStitched	chr17	1042143	1106225	14	61695	118647.823	7395.0628	17	ABR	ABR	ABR	ABR	0.5408	17	1
2_MACS_peak_17429_lociStitched	chr19	1286380	1328665	2	42286	148073.613	5797.2735	18	EFNA2	ATP5D,MIDN,CIRBP,C19orf24,MUM1,C19orf26,C19orf23	EFNA2	EFNA2	3.3752	18	1
7_MACS_peak_17773_lociStitched	chr19	3798184	3856452	7	57861	124827.5364	8612.0104	19	MATK,ZFR2	MRPL54,ATCAY,APBA3,RAX2,MATK	MATK	MATK	1.4297	19	1
8_MACS_peak_11710_lociStitched	chr16	1144911	1202512	8	55954	121284.6656	4694.4815	20	C1QTNF8	SSTR5,CACNA1H,LOC146336	C1QTNF8	CACNA1H	2.03	20	1
6_MACS_peak_17018_lociStitched	chr17	79399928	79452104	6	51566	124544.112	4643.664	21	BAHCC1,MIR3186	FSCN2,ACTG1	MIR3186	MIR3186	2.6953	21	1
3_MACS_peak_21291_lociStitched	chr19	48406099	48462661	3	56028	131048.4978	21193.7814	22	SNAR-A13,SNAR-C5,SNAR-A2,SNAR-A7,SNAR-C2,SNAR-C4,SNAR-C3	SNAR-A12,SNAR-C1,ELSPBP1,SULT2A1,BSPH1	SNAR-C2	SNAR-C2	1.9097000000000002	22	1
13_MACS_peak_15487_lociStitched	chr17	47952638	48014449	13	60486	104911.8103	6712.6746	23		DLX4,TAC4	TAC4	DLX4	2.0273	23	1
9_MACS_peak_26597_lociStitched	chr22	37772194	37831511	9	58679	107227.3409	6275.7386	24	ELFN2		ELFN2	ELFN2	1.5889	24	1
12_MACS_peak_30003_lociStitched	chr4	9324637	9370797	12	45213	141226.52	15832.88	25	USP17,USP17L6P		USP17L6P	USP17L6P	1.5399	25	1
13_MACS_peak_35956_lociStitched	chr9	133769879	133825566	13	53192	112432.053	5407.2077	26	FIBCD1	QRFP	FIBCD1	FIBCD1	2.0679	26	1
7_MACS_peak_17469_lociStitched	chr19	1704033	1753672	7	48481	122514.0159	7128.1604	27	ONECUT3		ONECUT3	ONECUT3	2.4724	27	1
11_MACS_peak_1756_lociStitched	chr1	10792302	10851998	11	58143	100665.3648	6339.7152	28	CASZ1		CASZ1	CASZ1	1.6681	28	1
4_MACS_peak_24785_lociStitched	chr20	61850412	61901356	4	50817	114145.1264	5965.5424	29	BIRC7,MIR3196,FLJ16779,NKAIN4	MIR124-3,ARFGAP1,MIR4326,COL20A1,YTHDF1	MIR3196	MIR3196	2.2563999999999997	29	1
11_MACS_peak_24720_lociStitched	chr20	61585490	61640684	11	53726	105668.913	5596.6716	30	SLC17A9,BHLHE23	C20orf11,LOC63930,LOC100144597,DIDO1,NCRNA00029	BHLHE23	BHLHE23	1.5784	30	1
1_MACS_peak_25489_lociStitched	chr21	46301200	46342605	1	41406	128740.5665	7134.0815	31	ITGB2	C21orf70,PTTG1IP,C21orf67	ITGB2	ITGB2	2.7713	31	1
19_MACS_peak_24965_lociStitched	chr20	62807507	62866170	19	55787	96518.2339	6505.7267	32	MYT1	PCMTD2	MYT1	MYT1	1.3798	32	1
12_MACS_peak_7360_lociStitched	chr11	61442499	61499334	12	54678	91726.0065	5990.409	33	DAGLA	C11orf9,DKFZP434K028	DAGLA	DKFZP434K028	1.5993	33	1
9_MACS_peak_17822_lociStitched	chr19	4183669	4239187	9	53798	97267.536	9493.578	34	ANKRD24,EBI3	CREB3L3,CCDC94,SHD,SIRT6	EBI3	SHD	1.7556	34	1
5_MACS_peak_277_lociStitched	chr1	2246734	2293965	5	46457	106855.4144	4246.0669	35	MORN1,LOC100129534	RER1	LOC100129534	LOC100129534	2.0206	35	1
10_MACS_peak_26582_lociStitched	chr22	37711563	37763770	10	50834	92234.1069	5638.356	36		CYTH4	CYTH4	CYTH4	0.1454	36	1
16_MACS_peak_21494_lociStitched	chr19	49520944	49575079	16	51801	89474.328	5895.3015	37	CGB2,SNAR-G1,CGB5,CGB,SNAR-G2,CGB1,CGB8,CGB7,NTF4,KCNA7	RUVBL2,SNRNP70,LIN7B,PPFIA3,GYS1,LHB,C19orf73	CGB5	CGB5	1.7581	37	1
8_MACS_peak_37194_lociStitched	chr9	139477231	139525149	8	47229	98174.3984	4465.9576	38		EGFL7,MIR126,NOTCH1	EGFL7	EGFL7	2.7453	38	1
13_MACS_peak_34424_lociStitched	chr8	142359397	142412509	13	51655	87326.7504	5114.6856	39	GPR20	LOC731779,PTP4A3	GPR20	GPR20	1.8699	39	1
7_MACS_peak_24821_lociStitched	chr20	62074625	62123073	7	47017	97041.344	4418.4576	40	KCNQ2,EEF1A2	PPDPF,PTK6	KCNQ2	KCNQ2	1.7264	40	1
3_MACS_peak_21660_lociStitched	chr19	50594162	50643160	3	48980	98814.2666	15713.6586	41	SNAR-A6,SNAR-A4,SNAR-A8,SNAR-A11,SNAR-A14,SNAR-B1,SNAR-B2	FLJ26850,SNAR-D,IZUMO2	SNAR-B1	SNAR-B1	1.8959000000000001	41	1
12_MACS_peak_192_lociStitched	chr1	1934571	1985687	12	49212	85465.952	5080.9304	42	GABRD,PRKCZ,KIAA1751	PRKCZ	GABRD	GABRD	1.7906	42	1
11_MACS_peak_9638_lociStitched	chr12	54356829	54405734	11	46825	89686.8795	5413.7835	43	HOXC11,HOXC10,MIR196A2,HOXC9,HOXC8,HOTAIR	HOXC13,HOXC12,HOXC6,HOXC5,MIR615,HOXC4,FLJ12825	HOXC10	HOXC12	2.0274	43	1
17_MACS_peak_35735_lociStitched	chr9	132426935	132478745	17	49088	83061.792	4958.217	44	PRRX2	METTL11A,C9orf50,ASB6,PTGES	PRRX2	PTGES	1.5584	44	1
5_MACS_peak_17857_lociStitched	chr19	4557201	4601641	5	43642	95874.856	7337.044	45	SEMA6B	TNFAIP8L1,PLIN4,PLIN5,LRG1	SEMA6B	PLIN5	2.1831	45	1
3_MACS_peak_37175_lociStitched	chr9	139216977	139253127	3	35804	104234.91	3264.345	46	GPSM1,LOC26102	DNLZ,CARD9,SNAPC4	GPSM1	GPSM1	2.4146	46	1
12_MACS_peak_37114_lociStitched	chr9	138870369	138918511	12	46645	82188.0224	4241.3102	47	NACC2	UBAC1	UBAC1	UBAC1	0.1067	47	1
2_MACS_peak_31063_lociStitched	chr6	31991202	32028182	2	36846	99638.912	4940.528	48	C4B,C4A,CYP21A2,TNXB	STK19,TNXA	STK19	TNXA	2.6973	48	1
11_MACS_peak_11724_lociStitched	chr16	1245506	1286645	11	39723	90678.5838	3636.6876	49	CACNA1H,TPSG1,TPSB2	TPSAB1,TPSD1	TPSG1	TPSG1	2.7114	49	1
7_MACS_peak_34396_lociStitched	chr8	142012933	142058059	7	43940	82995.7392	5821.254	50		PTK2	PTK2	PTK2	0.0719	50	1
7_MACS_peak_6980_lociStitched	chr11	2163413	2208245	7	43352	81585.2736	3730.0224	51	IGF2AS,INS-IGF2,IGF2,INS,TH	MIR483,IGF2	INS-IGF2	MIR483	1.6439000000000001	51	1
3_MACS_peak_25824_lociStitched	chr22	20152350	20193068	3	40428	87832.7978	3872.2818	52		RANBP1,ZDHHC8,LOC150197,TRMT2A,MIR1286	LOC150197	LOC150197	1.2879	52	1
19_MACS_peak_9200_lociStitched	chr12	3359298	3409098	19	47724	71114.4	4940.16	53	TSPAN9		TSPAN9	TSPAN9	0.8644000000000001	53	1
6_MACS_peak_25544_lociStitched	chr21	46717543	46755083	6	36808	94991.216	5169.258	54		LOC642852,POFUT2	LOC642852	LOC642852	1.5292000000000001	54	1
11_MACS_peak_36391_lociStitched	chr9	136377440	136422666	11	43570	79986.7036	4468.3288	55	ADAMTSL2,TMEM8C	SLC2A6,FAM163B	ADAMTSL2	FAM163B	1.6895	55	1
5_MACS_peak_25492_lociStitched	chr21	46404243	46438361	5	32844	98682.9032	4807.2262	56	NCRNA00163,NCRNA00162	C21orf70,C21orf67	NCRNA00162	NCRNA00162	2.6001	56	1
11_MACS_peak_24667_lociStitched	chr20	61169810	61213371	11	42323	80043.3375	4434.5098	57		C20orf166,MIR1-1,MIR133A2,C20orf200	MIR133A2	MIR1-1	2.8862	57	1
6_MACS_peak_11718_lociStitched	chr16	1204082	1244977	6	40043	83875.645	3377.927	58	CACNA1H	TPSAB1,TPSG1,TPSB2	CACNA1H	TPSG1	2.7114	58	1
8_MACS_peak_19565_lociStitched	chr19	18070178	18115720	8	44761	71974.5768	4809.2352	59	KCNN1,ARRDC2	CCDC124,ARRDC2	ARRDC2	ARRDC2	1.3123	59	1
8_MACS_peak_26549_lociStitched	chr22	37469396	37514511	8	42986	76555.6435	5301.0125	60	TMPRSS6	KCTD17,IL2RB	TMPRSS6	TMPRSS6	1.6073	60	1
4_MACS_peak_25570_lociStitched	chr21	46882873	46919987	4	36174	89912.3764	5311.0134	61	COL18A1	NCRNA00175,SLC19A1	COL18A1	NCRNA00175	2.69	61	1
3_MACS_peak_17476_lociStitched	chr19	1754563	1790100	3	35286	91202.1568	5103.1132	62	ONECUT3,ATP8B3	LOC100288123,MIR1909	ONECUT3	ONECUT3	2.4724	62	1
7_MACS_peak_25827_lociStitched	chr22	20197223	20237948	7	39559	81808.38	4158.0225	63	RTN4R,MIR1286	LOC150197	MIR1286	LOC150197	1.2879	63	1
4_MACS_peak_24812_lociStitched	chr20	62022248	62062230	4	39221	80947.5572	3246.5384	64	KCNQ2	CHRNA4,KCNQ2	CHRNA4	KCNQ2	1.7264	64	1
5_MACS_peak_35542_lociStitched	chr9	129376644	129416465	5	39669	80518.062	4002.0105	65	LMX1B		LMX1B	LMX1B	1.6001999999999998	65	1
6_MACS_peak_17006_lociStitched	chr17	79326989	79367597	6	39003	80935.8048	3821.2128	66		BAHCC1,C17orf55,TMEM105	BAHCC1	BAHCC1	2.2759	66	1
2_MACS_peak_32817_lociStitched	chr7	149498296	149531548	2	33086	91765.5444	5097.5316	67	SSPO	ZNF862,ATP6V0E2,ZNF467,LOC401431	ZNF862	ZNF467	1.0061	67	1
12_MACS_peak_29838_lociStitched	chr4	8586832	8630941	12	41633	65898.846	3599.2944	68	GPR78,CPZ		CPZ	CPZ	1.4721	68	1
5_MACS_peak_11694_lociStitched	chr16	1044496	1082545	5	36962	76486.0998	3359.7267	69		SOX8,SSTR5,LMF1,LOC146336	SOX8	SOX8	1.7844	69	1
9_MACS_peak_25248_lociStitched	chr21	44091153	44131530	9	38968	73595.1579	6080.7762	70	PDE9A		PDE9A	PDE9A	1.8062	70	1
10_MACS_peak_6689_lociStitched	chr11	1025432	1063194	10	36344	76086.6538	4059.415	71	MUC6	MUC2	MUC6	MUC2	1.3557000000000001	71	1
8_MACS_peak_36093_lociStitched	chr9	135053293	135094423	8	40405	66223.413	4001.949	72	NTNG2		NTNG2	NTNG2	1.4551999999999998	72	1
2_MACS_peak_17467_lociStitched	chr19	1672555	1703187	2	30426	87031.6384	5366.7264	73		TCF3	TCF3	NONE	NONE	73	1
7_MACS_peak_17454_lociStitched	chr19	1514118	1549473	7	34182	80103.8235	5338.605	74	PLK5P	REEP6,C19orf25,PCSK4,ADAMTSL5,MEX3D,MBD3	PLK5P	PLK5P	2.4832	74	1
10_MACS_peak_37160_lociStitched	chr9	139058217	139096948	10	36659	72643.8636	3237.9116	75	LHX3	C9orf69,QSOX2	LHX3	LHX3	1.3582	75	1
6_MACS_peak_1750_lociStitched	chr1	10755007	10791629	6	36087	71599.6722	3497.401	76	CASZ1		CASZ1	CASZ1	1.6681	76	1
10_MACS_peak_28430_lociStitched	chr3	50219273	50258337	10	38055	67748.6952	4492.36	77	SEMA3F,GNAT1,SLC38A3	GNAI2,SEMA3B	SLC38A3	SLC38A3	1.6261999999999999	77	1
5_MACS_peak_25551_lociStitched	chr21	46760887	46795344	5	33863	76036.2619	4537.9869	78		COL18A1,NCRNA00175	COL18A1	NCRNA00175	2.69	78	1
2_MACS_peak_82_lociStitched	chr1	1090766	1122030	2	30978	79219.8496	2738.7264	79	MIR200B,MIR200A,MIR429,TTLL10	B3GALT6,C1orf159,TNFRSF18,TNFRSF4,SDF4	MIR429	MIR429	2.6203999999999996	79	1
5_MACS_peak_24682_lociStitched	chr20	61315711	61351643	5	35338	70340.4832	3798.0124	80	NTSR1	SLCO4A1,LOC100127888	NTSR1	NTSR1	1.6576	80	1
8_MACS_peak_16983_lociStitched	chr17	79112518	79147262	8	33795	73243.8264	3554.3112	81	LOC388428,AATK	MIR3065,MIR657,MIR338,MIR1250,AZI1	LOC388428	MIR1250	2.267	81	1
4_MACS_peak_9713_lociStitched	chr12	57585699	57619916	4	33860	73754.7435	4547.4393	82	LRP1,MIR1228,NXPH4	SHMT2,NDUFA4L2,STAC3	NXPH4	NXPH4	1.5331000000000001	82	1
6_MACS_peak_37154_lociStitched	chr9	139018532	139054513	6	35140	69500.8996	3169.9261	83		NACC2,C9orf69,LHX3	C9orf69	LHX3	1.3582	83	1
4_MACS_peak_25562_lociStitched	chr21	46825633	46856613	4	30726	77793.878	3649.444	84	COL18A1,NCRNA00175	COL18A1	NCRNA00175	NCRNA00175	2.69	84	1
8_MACS_peak_9976_lociStitched	chr13	113627503	113664316	8	36077	65140.6035	3810.1455	85	MCF2L	LOC100289410	MCF2L	MCF2L	1.2752000000000001	85	1
14_MACS_peak_3328_lociStitched	chr1	22558258	22597953	14	38016	57867.371	4164.0055	86			WNT4	WNT4	NONE	86	1
9_MACS_peak_32841_lociStitched	chr7	150868695	150905495	9	34997	67090.08	6112.48	87	ASB10,ABCF2	CHPF2,MIR671,GBX1,SMARCD3	ASB10	SMARCD3	1.6221999999999999	87	1
4_MACS_peak_17832_lociStitched	chr19	4275441	4310595	4	34657	66567.6144	4858.2828	88	SHD,FSD1,TMIGD2	EBI3,CCDC94,MPND,STAP2	TMIGD2	TMIGD2	1.6988	88	1
5_MACS_peak_28941_lociStitched	chr4	3470949	3499880	5	28672	75579.3444	2826.5587	89	DOK7	HGFAC,LRPAP1	DOK7	DOK7	2.261	89	1
10_MACS_peak_17405_lociStitched	chr19	818713	854298	10	32887	67778.7495	4978.3415	90	AZU1,PRTN3,ELANE,LPPR3	PTBP1,MIR3187,CFD,MED16	PRTN3	PRTN3	1.9756	90	1
6_MACS_peak_1744_lociStitched	chr1	10722251	10754179	6	31408	68501.524	2908.6408	91	CASZ1		CASZ1	CASZ1	1.6681	91	1
7_MACS_peak_18135_lociStitched	chr19	5991261	6027745	7	35376	62157.7908	5786.3624	92	RFX2	RANBP3	RANBP3	NONE	NONE	92	1
6_MACS_peak_11700_lociStitched	chr16	1091622	1125909	6	33150	63067.5078	2633.2416	93	SSTR5,LOC146336	SSTR5,C1QTNF8	SSTR5	SSTR5	1.4834	93	1
4_MACS_peak_640_lociStitched	chr1	3505044	3536035	4	30890	67891.9837	2841.8747	94	MEGF6	TPRG1L,TP73,MIR551A,WDR8	MEGF6	MIR551A	1.9368	94	1
3_MACS_peak_31060_lociStitched	chr6	31958485	31985238	3	26630	75710.99	4069.1313	95	C4B,C4A,CYP21A2,STK19,TNXA,TNXB	CFB,SKIV2L,STK19,MIR1236,RDBP,DOM3Z	CYP21A2	CYP21A2	3.2529000000000003	95	1
1_MACS_peak_31_lociStitched	chr1	845458	869473	1	24016	78312.915	3047.5035	96	SAMD11,FLJ39609	KLHL17,PLEKHN1,FAM41C,NOC2L,C1orf170	FLJ39609	FLJ39609	3.0317000000000003	96	1
6_MACS_peak_16588_lociStitched	chr17	77202153	77238020	6	34532	58362.7824	3095.3221	97	RBFOX3		ENGASE	ENGASE	0.9343999999999999	97	1
2_MACS_peak_24665_lociStitched	chr20	61141427	61168797	2	27034	72667.35	2457.826	98	C20orf166,MIR1-1,MIR133A2,C20orf200		MIR1-1	MIR1-1	2.8862	98	1
6_MACS_peak_17012_lociStitched	chr17	79368136	79399268	6	30154	66964.932	2755.182	99	BAHCC1	MIR3186	BAHCC1	MIR3186	2.6953	99	1
