REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X24_0F2A_0229Kronos_MM1S.KB.1hr.2_H3K27me3_hs.dm_i06.bam	X38_0EXQ_0229Kronos_MM1S.KB.1hr.2_Input_hs_i81.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isStretch
11_MACS_peak_16575_lociStitched	chr17	77083780	77199216	11	113553	241018.8244	10862.5276	1	ENGASE,RBFOX3		ENGASE	ENGASE	0.9343999999999999	1	1
23_MACS_peak_16627_lociStitched	chr17	77354060	77455598	23	98091	163476.18	10732.5666	2	RBFOX3		RBFOX3	RBFOX3	1.4731	2	1
7_MACS_peak_37202_lociStitched	chr9	139525934	139614843	7	88100	205904.3531	9397.6813	3	EGFL7,MIR126,FAM69B,AGPAT2	LOC100128593,SNORA43,SNORA17,SNHG7,LCN10,LCN6,LCN8,LCN15	MIR126	MIR126	2.6836	3	1
8_MACS_peak_17389_lociStitched	chr19	681203	769468	8	86962	204033.374	12824.9045	4	FSTL3,PALM,C19orf21,PRSSL1	FGF22,PTBP1,MIR3187,POLRMT,RNF126	PALM	PALM	2.3564	4	1
7_MACS_peak_24654_lociStitched	chr20	60984675	61072386	7	86638	204007.0149	8604.4491	5	C20orf151,GATA5	RPS21,LAMA5,CABLES2	GATA5	GATA5	2.2155	5	1
5_MACS_peak_6945_lociStitched	chr11	1982251	2063134	5	80395	209333.2923	7991.2404	6	LOC100133545,H19,MIR675	TNNT3,MRPL23	H19	H19	2.8495999999999997	6	1
4_MACS_peak_627_lociStitched	chr1	3408394	3488285	4	79414	174553.8459	6622.9639	7	MEGF6,MIR551A	ARHGEF16	MIR551A	MIR551A	1.9368	7	1
17_MACS_peak_27618_lociStitched	chr22	46295871	46374716	17	75846	145547.87	7182.7795	8	WNT7B	LOC730668	WNT7B	WNT7B	1.7239	8	1
19_MACS_peak_17708_lociStitched	chr19	3360344	3434846	19	71533	124373.6388	10050.3198	9	NFIC	C19orf77	NFIC	NFIC	1.5298	9	1
15_MACS_peak_531_lociStitched	chr1	3099376	3167709	15	67006	107303.3099	5323.1407	10	PRDM16		MIR4251	MIR4251	1.4012	10	1
5_MACS_peak_16973_lociStitched	chr17	79009545	79075142	5	65391	174225.632	7747.0057	11	BAIAP2	CHMP6,MIR3065,FLJ90757,MIR657,MIR338,MIR1250	BAIAP2	BAIAP2	2.417	11	1
12_MACS_peak_287_lociStitched	chr1	2346631	2411265	12	62420	125099.107	6146.6934	12	PLCH2	RER1,MORN1,PEX10,PANK4	PLCH2	MORN1	1.673	12	1
14_MACS_peak_13739_lociStitched	chr17	1042143	1106225	14	61695	118647.823	7395.0628	13	ABR	ABR	ABR	ABR	0.5408	13	1
19_MACS_peak_29984_lociStitched	chr4	9211678	9274618	19	61426	197209.902	22293.348	14	USP17		USP17	USP17	2.7673	14	1
6_MACS_peak_25263_lociStitched	chr21	44155798	44218059	6	61222	144962.2863	9625.5506	15	PDE9A		WDR4	WDR4	NONE	15	1
13_MACS_peak_15487_lociStitched	chr17	47952638	48014449	13	60486	104911.8103	6712.6746	16		DLX4,TAC4	TAC4	DLX4	2.0273	16	1
9_MACS_peak_26597_lociStitched	chr22	37772194	37831511	9	58679	107227.3409	6275.7386	17	ELFN2		ELFN2	ELFN2	1.5889	17	1
11_MACS_peak_1756_lociStitched	chr1	10792302	10851998	11	58143	100665.3648	6339.7152	18	CASZ1		CASZ1	CASZ1	1.6681	18	1
7_MACS_peak_17773_lociStitched	chr19	3798184	3856452	7	57861	124827.5364	8612.0104	19	MATK,ZFR2	MRPL54,ATCAY,APBA3,RAX2,MATK	MATK	MATK	1.4297	19	1
3_MACS_peak_21291_lociStitched	chr19	48406099	48462661	3	56028	131048.4978	21193.7814	20	SNAR-A13,SNAR-C5,SNAR-A2,SNAR-A7,SNAR-C2,SNAR-C4,SNAR-C3	SNAR-A12,SNAR-C1,ELSPBP1,SULT2A1,BSPH1	SNAR-C2	SNAR-C2	1.9097000000000002	20	1
8_MACS_peak_11710_lociStitched	chr16	1144911	1202512	8	55954	121284.6656	4694.4815	21	C1QTNF8	SSTR5,CACNA1H,LOC146336	C1QTNF8	CACNA1H	2.03	21	1
19_MACS_peak_24965_lociStitched	chr20	62807507	62866170	19	55787	96518.2339	6505.7267	22	MYT1	PCMTD2	MYT1	MYT1	1.3798	22	1
