GENE_ID	locusLine	bin_1_09_0EWV_0229Kronos_MM1S-KB-24hr-1_H3K18Ac_hs-dm_i17.bam
NM_001990	chr1(.):28295818-28420131	0.3425
NM_001006605	chr1(.):93302720-93432079	0.3962
NM_001113228	chr1(.):107677628-108029475	0.1961
NM_014917	chr1(.):107677744-108029475	0.1961
NM_001010935	chr1(.):112157404-112261101	0.1356
NM_201569	chr1(.):183436505-183528328	0.3982
NM_003820	chr1(.):2482804-2500267	0.9444
NM_004091	chr1(.):23827921-23862713	1.1386
NM_020448	chr1(.):24737244-24804473	0.1306
NM_173065	chr1(.):24475646-24518751	2.0798
NM_002379	chr1(.):31179123-31201432	0.2281
NR_034182	chr1(.):31186618-31204593	0.2687
NM_174964	chr1(.):44168217-44401831	0.3321
NM_002600	chr1(.):66253855-66845262	0.1665
NM_001037341	chr1(.):66253192-66845262	0.1663
NM_001037340	chr1(.):66453389-66845262	0.2208
NM_001081976	chr1(.):112020969-112111597	0.1802
NM_198459	chr1(.):115122195-115217732	0.0807
NM_203458	chr1(.):145204110-145290912	0.5358
NM_001195260	chr1(.):144946760-145002111	0.9297
NM_004892	chr1(.):145091406-145121922	0.2344
NM_153713	chr1(.):145472084-145504091	0.2501
NM_022359	chr1(.):144946760-145081186	0.5368
NM_001002812	chr1(.):144885590-145000022	0.8346
NM_014644	chr1(.):144846426-145000022	0.6519
NM_001195261	chr1(.):144946760-145000082	0.9429
NM_001198834	chr1(.):144846423-145000033	0.6519
NM_001002810	chr1(.):144946760-145000033	0.9433
NM_001198832	chr1(.):144846423-145044992	0.5761
NM_207168	chr1(.):150594521-150607098	0.9423
NM_020524	chr1(.):154911558-154933567	3.8202
NM_181359	chr1(.):154372668-154445188	1.2874
NM_002249	chr1(.):154674914-154847754	0.819
NM_170782	chr1(.):154674914-154837338	0.8407
NM_005572	chr1(.):156079460-156112657	0.553
NM_170708	chr1(.):156079460-156114878	0.527
NM_005973	chr1(.):156732273-156775609	0.3221
NM_007348	chr1(.):161731083-161933852	0.2654
NM_014412	chr1(.):174963891-174986163	1.0094
NM_014857	chr1(.):174123633-174932327	0.1113
NM_001035230	chr1(.):174839683-174932327	0.2114
NM_001007214	chr1(.):174963570-174986163	0.9974
NM_015149	chr1(.):183600207-183902666	0.7482
NM_144977	chr1(.):197516384-197749623	0.2682
NM_001195215	chr1(.):197468878-197749623	0.2377
NM_014827	chr1(.):203759750-203828256	0.203
NM_182663	chr1(.):206675878-206767616	0.7128
NM_001193338	chr1(.):207071630-207100235	2.4814
NM_005449	chr1(.):207071630-207100378	2.4703
NM_002221	chr1(.):226814390-226931876	0.896
NM_004481	chr1(.):230197955-230422875	0.6653
NM_001010926	chr1(.):2455183-2466684	0.2012
NR_026927	chr1(.):2476358-2489284	2.6546
NM_018216	chr1(.):2434974-2463035	0.1019
NM_001195741	chr1(.):2513188-2527908	0.2986
NR_036638	chr1(.):2512898-2527908	0.2937
NM_017707	chr1(.):23750055-23815750	0.0601
NM_002167	chr1(.):23879408-23891322	1.9216
NR_027042	chr1(.):23948823-23972056	0.5154
NM_021258	chr1(.):24441260-24474611	0.1132
NR_027087	chr1(.):24521729-24543180	2.5222
NM_001199013	chr1(.):24678488-24745262	0.6309
NM_001199012	chr1(.):24678488-24746587	0.6202
NM_006015	chr1(.):27017521-27113601	0.5632
NM_014280	chr1(.):28521789-28564542	0.2274
NM_016311	chr1(.):28557610-28569611	0.6698
NM_001164721	chr1(.):28468676-28525447	0.1527
NM_001164722	chr1(.):28468676-28525437	0.1527
NM_031459	chr1(.):28581005-28614002	0.1267
NM_006762	chr1(.):31200314-31235683	3.1841
NM_005202	chr1(.):36555843-36570850	0.0995
NM_018067	chr1(.):36616802-36651441	0.5971
NM_014408	chr1(.):36597172-36620067	0.585
NM_022756	chr1(.):37953175-37985364	0.1397
NM_025079	chr1(.):37935118-37954978	1.2215
NM_001198979	chr1(.):40854016-40893998	0.2694
NM_001198978	chr1(.):40835304-40893998	0.7956
NM_001198980	chr1(.):40857471-40893998	0.1173
NM_022733	chr1(.):40834377-40893998	0.7841
NM_006004	chr1(.):46764379-46787447	0.4936
NM_006369	chr1(.):46739071-46774038	0.3479
NM_199044	chr1(.):46801389-46835690	0.2265
NM_001037339	chr1(.):66792792-66845262	0.6608
NM_001001933	chr1(.):75589118-75632218	0.9509
NM_006769	chr1(.):87789150-87819607	0.8501
NM_004974	chr1(.):111140775-111153345	0.0429
NM_002232	chr1(.):111209309-111222655	0.9765
NR_034126	chr1(.):112136628-112155940	1.5814
NM_007158	chr1(.):115254536-115305624	0.2209
NM_002524	chr1(.):115242077-115264515	0.7784
NM_001172626	chr1(.):115210719-115243239	0.5363
NM_001130523	chr1(.):115254537-115305671	0.2207
NM_017709	chr1(.):118143603-118176011	2.6686
NM_001002811	chr1(.):144885590-144937032	0.8459
NM_032305	chr1(.):145451235-145475387	2.3687
NM_202004	chr1(.):145408190-145422545	0.0977
NM_006472	chr1(.):145433461-145447628	3.8868
NM_001039888	chr1(.):145465507-145480647	0.4903
NM_005105	chr1(.):145502637-145516444	1.2704
NM_001161334	chr1(.):149749244-149788928	0.3783
NM_001034077	chr1(.):149799220-149809616	1.0304
NM_001005464	chr1(.):149807258-149817765	2.4899
NM_001040874	chr1(.):149808784-149819318	2.4918
NM_001123375	chr1(.):149779779-149790236	1.0383
NM_000566	chr1(.):149749249-149769074	0.1748
NM_016074	chr1(.):149866154-149877348	0.2705
NM_003528	chr1(.):149851009-149863232	2.8453
NM_003517	chr1(.):149853524-149863961	3.3129
NM_175065	chr1(.):149854018-149864466	3.2973
NR_036461	chr1(.):149816758-149827340	2.4679
NM_001040874	chr1(.):149817627-149828161	2.4719
NM_001005464	chr1(.):149819180-149829687	2.4627
NM_001034077	chr1(.):149827329-149837725	1.0397
NM_016274	chr1(.):150117169-150136825	1.7647
NM_019032	chr1(.):150516897-150538412	3.4631
NM_207046	chr1(.):150589598-150606609	0.7799
NR_036211	chr1(.):150519404-150529490	0.1368
NM_001197320	chr1(.):150542026-150557214	1.3158
NM_005620	chr1(.):151999981-152014511	1.6501
NM_002966	chr1(.):151950385-151971714	0.1921
NM_001008536	chr1(.):152051619-152066540	0.0707
NM_006556	chr1(.):154892207-154914484	1.9663
NM_001130041	chr1(.):154929773-154951959	1.7758
NM_001130040	chr1(.):154929773-154948223	1.8396
NM_201398	chr1(.):154950769-154970587	0.2722
NM_015872	chr1(.):154970111-154995999	1.2991
NM_207196	chr1(.):155018761-155040252	0.3612
