#MM1 Enhancers
#Created from /data/projects/IRF4_mm_trn_data/myeloma_public_data/rose/MM1.H3K27ac_ROSE/MM1_0KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by MM1.jin.bam
#Using cutoff of 11216.3738 for Super-Enhancers
#Created on Jul 16 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	MM1.jin.bam	enhancerRank	isSuperStretch
3_MACS_peak_11413_lociStitched	chr14	106024782	106050013	3	25204	158405.2642	1	1
3_MACS_peak_11433_lociStitched	chr14	106145194	106170440	3	24627	134924.7224	2	1
3_MACS_peak_19946_lociStitched	chr2	89151071	89175635	3	24349	114173.472	3	1
6_MACS_peak_7111_lociStitched	chr11	111227677	111251810	6	23712	77437.9704	4	1
1_MACS_peak_30659_lociStitched	chr6	7895349	7918790	1	23442	57451.5469	5	1
1_MACS_peak_19945_lociStitched	chr2	89128744	89150320	1	21577	71526.5976	6	1
3_MACS_peak_6311_lociStitched	chr11	65183340	65200029	3	16286	108818.9556	7	1
7_MACS_peak_18811_lociStitched	chr2	20403824	20426201	7	21433	37814.8923	8	1
4_MACS_peak_29790_lociStitched	chr5	139034519	139053743	4	18725	48959.6832	9	1
4_MACS_peak_11613_lociStitched	chr15	31635935	31654718	4	18245	46516.0995	10	1
7_MACS_peak_27210_lociStitched	chr4	40190843	40210406	7	18941	32795.4132	11	1
8_MACS_peak_6332_lociStitched	chr11	65259485	65275663	8	15520	68929.6046	12	1
2_MACS_peak_33011_lociStitched	chr7	8004042	8020548	2	16414	53223.597	13	1
1_MACS_peak_11152_lociStitched	chr14	91829157	91845241	1	16085	51546.0032	14	1
5_MACS_peak_21157_lociStitched	chr2	201979896	201996564	5	16485	44036.856	15	1
2_MACS_peak_33612_lociStitched	chr7	50343113	50359118	2	15837	51998.6445	16	1
3_MACS_peak_23164_lociStitched	chr21	44834025	44848553	3	14228	61597.2672	17	1
2_MACS_peak_22354_lociStitched	chr20	45974718	45990392	2	15338	47658.3644	18	1
7_MACS_peak_37604_lociStitched	chr9	112908408	112925483	7	16248	31790.235	19	1
2_MACS_peak_33226_lociStitched	chr7	25998004	26012366	2	14356	57200.9736	20	1
5_MACS_peak_30464_lociStitched	chr6	315715	332564	5	16042	34911.128	21	1
1_MACS_peak_2052_lociStitched	chr1	118194957	118209677	1	14721	51288.896	22	1
3_MACS_peak_30266_lociStitched	chr5	173309102	173324535	3	15051	46897.8004	23	1
6_MACS_peak_34645_lociStitched	chr7	137662329	137678391	6	15738	35044.0716	24	1
1_MACS_peak_38059_lociStitched	chr9	134541739	134555788	1	14050	54618.2973	25	1
8_MACS_peak_23446_lociStitched	chr22	23266185	23282948	8	14901	39416.5182	26	1
10_MACS_peak_30478_lociStitched	chr6	388894	404986	10	15140	34306.5348	27	1
8_MACS_peak_12619_lociStitched	chr15	81584298	81600201	8	15230	24683.0463	28	1
1_MACS_peak_29631_lociStitched	chr5	131755138	131768827	1	13690	46626.1029	29	1
3_MACS_peak_7877_lociStitched	chr12	26266144	26280812	3	14194	39880.8252	30	1
4_MACS_peak_7732_lociStitched	chr12	12866178	12879317	4	13024	53076.3044	31	1
5_MACS_peak_26036_lociStitched	chr3	141096849	141111562	5	14134	39913.4264	32	1
2_MACS_peak_24429_lociStitched	chr3	13048659	13063171	2	14309	35844.64	33	1
3_MACS_peak_36157_lociStitched	chr8	126440977	126452643	3	11094	66807.6822	34	1
5_MACS_peak_2035_lociStitched	chr1	118147488	118161465	5	13317	48161.9466	35	1
5_MACS_peak_23137_lociStitched	chr21	44723028	44736661	5	13236	48536.2066	36	1
8_MACS_peak_24439_lociStitched	chr3	13365408	13380471	8	14550	26257.8216	37	1
6_MACS_peak_29480_lociStitched	chr5	118668101	118683790	6	14383	23713.9235	38	1
4_MACS_peak_29638_lociStitched	chr5	131790351	131804052	4	13288	40587.8424	39	1
4_MACS_peak_12445_lociStitched	chr15	75072739	75087578	4	14093	26168.5765	40	1
3_MACS_peak_13813_lociStitched	chr16	56963852	56977114	3	13005	35961.2392	41	1
4_MACS_peak_4303_lociStitched	chr10	22602030	22615266	4	12966	35395.7112	42	1
1_MACS_peak_34721_lociStitched	chr7	139466433	139478535	1	12103	37064.7954	43	1
11_MACS_peak_31373_lociStitched	chr6	36711533	36726147	11	13136	18279.1912	44	1
2_MACS_peak_18004_lociStitched	chr19	39891472	39902546	2	10930	47538.4672	45	1
3_MACS_peak_31981_lociStitched	chr6	106531134	106543032	3	11804	38267.5374	46	1
5_MACS_peak_20598_lociStitched	chr2	158289976	158302073	5	10865	45912.9538	47	1
1_MACS_peak_3772_lociStitched	chr1	234737871	234749438	1	11568	35296.7005	48	1
6_MACS_peak_4232_lociStitched	chr10	15824888	15838045	6	12214	24154.9363	49	1
1_MACS_peak_4307_lociStitched	chr10	22623545	22634868	1	11324	35180.561	50	1
5_MACS_peak_20382_lociStitched	chr2	127413129	127425837	5	11771	28294.362	51	1
8_MACS_peak_14164_lociStitched	chr16	81839871	81852858	8	11930	24280.4952	52	1
3_MACS_peak_29696_lociStitched	chr5	133975405	133986525	3	10792	38565.272	53	1
2_MACS_peak_35803_lociStitched	chr8	95954081	95964331	2	10145	43532.775	54	1
1_MACS_peak_9456_lociStitched	chr12	125396204	125406717	1	10514	39165.1302	55	1
5_MACS_peak_25177_lociStitched	chr3	53199562	53211671	5	11601	18968.7485	56	1
3_MACS_peak_31984_lociStitched	chr6	106544082	106555445	3	11174	25798.5552	57	1
3_MACS_peak_30256_lociStitched	chr5	173212371	173223168	3	10203	36993.7611	58	1
1_MACS_peak_30459_lociStitched	chr6	290325	301200	1	10876	26971.0875	59	1
3_MACS_peak_2043_lociStitched	chr1	118171060	118182334	3	11178	20799.4026	60	1
1_MACS_peak_29117_lociStitched	chr5	88175330	88186310	1	10981	24095.61	61	1
1_MACS_peak_28447_lociStitched	chr5	6478610	6488913	1	10304	33060.2664	62	1
