REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	MM1.jin.bam	enhancerRank	isSuper	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuper
3_MACS_peak_11413_lociStitched	chr14	106024782	106050013	3	25204	158405.2642	1	1		TMEM121	TMEM121	TMEM121	0.1273	1	1
3_MACS_peak_11433_lociStitched	chr14	106145194	106170440	3	24627	134924.7224	2	1			TMEM121	TMEM121	0.1273	2	1
3_MACS_peak_19946_lociStitched	chr2	89151071	89175635	3	24349	114173.472	3	1			ANKRD36BP2	ANKRD36BP2	0.6574	3	1
3_MACS_peak_6311_lociStitched	chr11	65183340	65200029	3	16286	108818.9556	4	1	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	NEAT1	7.0682	4	1
6_MACS_peak_7111_lociStitched	chr11	111227677	111251810	6	23712	77437.9704	5	1	POU2AF1		POU2AF1	POU2AF1	2.2242	5	1
1_MACS_peak_19945_lociStitched	chr2	89128744	89150320	1	21577	71526.5976	6	1			ANKRD36BP2	ANKRD36BP2	0.6574	6	1
8_MACS_peak_6332_lociStitched	chr11	65259485	65275663	8	15520	68929.6046	7	1	MALAT1	MIR612,SCYL1	MALAT1	MALAT1	3.7203	7	1
3_MACS_peak_36157_lociStitched	chr8	126440977	126452643	3	11094	66807.6822	8	1	TRIB1		TRIB1	TRIB1	3.8592	8	1
3_MACS_peak_23164_lociStitched	chr21	44834025	44848553	3	14228	61597.2672	9	1	SIK1	C21orf125,C21orf84	SIK1	SIK1	3.3118	9	1
1_MACS_peak_30659_lociStitched	chr6	7895349	7918790	1	23442	57451.5469	10	1	MUTED-TXNDC5,TXNDC5		TXNDC5	TXNDC5	1.6632	10	1
2_MACS_peak_33226_lociStitched	chr7	25998004	26012366	2	14356	57200.9736	11	1		MIR148A	MIR148A	MIR148A	3.8815	11	1
1_MACS_peak_28373_lociStitched	chr5	9987	11819	1	1833	56124.4192	12	1			PLEKHG4B	PLEKHG4B	NONE	12	1
1_MACS_peak_38059_lociStitched	chr9	134541739	134555788	1	14050	54618.2973	13	1	RAPGEF1		RAPGEF1	RAPGEF1	1.087	13	1
2_MACS_peak_33011_lociStitched	chr7	8004042	8020548	2	16414	53223.597	14	1	GLCCI1		GLCCI1	GLCCI1	1.0657	14	1
4_MACS_peak_7732_lociStitched	chr12	12866178	12879317	4	13024	53076.3044	15	1	CDKN1B,APOLD1	MIR613,GPR19	CDKN1B	CDKN1B	3.5947	15	1
2_MACS_peak_33612_lociStitched	chr7	50343113	50359118	2	15837	51998.6445	16	1	IKZF1		IKZF1	IKZF1	0.7351	16	1
1_MACS_peak_11152_lociStitched	chr14	91829157	91845241	1	16085	51546.0032	17	1	CCDC88C		CCDC88C	CCDC88C	1.0557	17	1
1_MACS_peak_2052_lociStitched	chr1	118194957	118209677	1	14721	51288.896	18	1		FAM46C	FAM46C	FAM46C	2.1321	18	1
4_MACS_peak_29790_lociStitched	chr5	139034519	139053743	4	18725	48959.6832	19	1	CXXC5		CXXC5	CXXC5	1.641	19	1
5_MACS_peak_23137_lociStitched	chr21	44723028	44736661	5	13236	48536.2066	20	1			SIK1	SIK1	3.3118	20	1
5_MACS_peak_2035_lociStitched	chr1	118147488	118161465	5	13317	48161.9466	21	1	FAM46C		FAM46C	FAM46C	2.1321	21	1
2_MACS_peak_22354_lociStitched	chr20	45974718	45990392	2	15338	47658.3644	22	1	ZMYND8	LOC100131496	ZMYND8	ZMYND8	0.5879	22	1
2_MACS_peak_18004_lociStitched	chr19	39891472	39902546	2	10930	47538.4672	23	1	ZFP36	MED29,PLEKHG2,SUPT5H,PAF1,RPS16	ZFP36	ZFP36	3.9073	23	1
3_MACS_peak_30266_lociStitched	chr5	173309102	173324535	3	15051	46897.8004	24	1	CPEB4		CPEB4	CPEB4	1.0	24	1
1_MACS_peak_29631_lociStitched	chr5	131755138	131768827	1	13690	46626.1029	25	1	C5orf56	SLC22A5	C5orf56	C5orf56	2.1563	25	1
4_MACS_peak_11613_lociStitched	chr15	31635935	31654718	4	18245	46516.0995	26	1	KLF13		KLF13	KLF13	1.4641	26	1
5_MACS_peak_20598_lociStitched	chr2	158289976	158302073	5	10865	45912.9538	27	1	CYTIP		CYTIP	CYTIP	1.4357	27	1
5_MACS_peak_21157_lociStitched	chr2	201979896	201996564	5	16485	44036.856	28	1	CFLAR	NDUFB3,FAM126B	CFLAR	CFLAR	1.051	28	1
2_MACS_peak_35803_lociStitched	chr8	95954081	95964331	2	10145	43532.775	29	1	TP53INP1	CCNE2	TP53INP1	TP53INP1	1.5611	29	1
2_MACS_peak_34551_lociStitched	chr7	130788970	130797174	2	8064	43034.9024	30	1	MKLN1,FLJ43663		FLJ43663	FLJ43663	0.7424	30	1
2_MACS_peak_14393_lociStitched	chr16	90060131	90065984	2	5432	41889.921	31	1	AFG3L1P	DEF8,GAS8,CENPBD1,DBNDD1,C16orf3,LOC100130015	DBNDD1	CENPBD1	0.4359	31	1
3_MACS_peak_34215_lociStitched	chr7	104649224	104656528	3	7248	40952.0672	32	1	MLL5,LOC100216545		LOC100216545	LOC100216545	3.2271	32	1
3_MACS_peak_29166_lociStitched	chr5	90673136	90680786	3	7593	40616.91	33	1	LOC100129716,ARRDC3		LOC100129716	LOC100129716	0.9016	33	1
4_MACS_peak_29638_lociStitched	chr5	131790351	131804052	4	13288	40587.8424	34	1	C5orf56	IRF1	IRF1	IRF1	1.8323	34	1
5_MACS_peak_26036_lociStitched	chr3	141096849	141111562	5	14134	39913.4264	35	1	ZBTB38		ZBTB38	ZBTB38	1.0807	35	1
3_MACS_peak_7877_lociStitched	chr12	26266144	26280812	3	14194	39880.8252	36	1	BHLHE41		BHLHE41	BHLHE41	2.3233	36	1
8_MACS_peak_23446_lociStitched	chr22	23266185	23282948	8	14901	39416.5182	37	1		IGLL5	IGLL5	IGLL5	1.8118	37	1
1_MACS_peak_9456_lociStitched	chr12	125396204	125406717	1	10514	39165.1302	38	1	UBC	SCARB1	UBC	UBC	2.5475	38	1
