REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	MM1.jin.bam
3_MACS_peak_11433_lociStitched	chr14	106145194	106170440	3	24627	134924.7224
3_MACS_peak_11413_lociStitched	chr14	106024782	106050013	3	25204	158405.2642
3_MACS_peak_19946_lociStitched	chr2	89151071	89175635	3	24349	114173.472
6_MACS_peak_7111_lociStitched	chr11	111227677	111251810	6	23712	77437.9704
1_MACS_peak_30659_lociStitched	chr6	7895349	7918790	1	23442	57451.546899999994
7_MACS_peak_18811_lociStitched	chr2	20403824	20426201	7	21433	37814.8923
1_MACS_peak_19945_lociStitched	chr2	89128744	89150320	1	21577	71526.59760000001
7_MACS_peak_27210_lociStitched	chr4	40190843	40210406	7	18941	32795.413199999995
4_MACS_peak_29790_lociStitched	chr5	139034519	139053743	4	18725	48959.68320000001
4_MACS_peak_11613_lociStitched	chr15	31635935	31654718	4	18245	46516.099500000004
7_MACS_peak_37604_lociStitched	chr9	112908408	112925483	7	16248	31790.234999999997
5_MACS_peak_30464_lociStitched	chr6	315715	332564	5	16042	34911.128000000004
8_MACS_peak_23446_lociStitched	chr22	23266185	23282948	8	14901	39416.5182
3_MACS_peak_6311_lociStitched	chr11	65183340	65200029	3	16286	108818.9556
5_MACS_peak_21157_lociStitched	chr2	201979896	201996564	5	16485	44036.856
2_MACS_peak_33011_lociStitched	chr7	8004042	8020548	2	16414	53223.597
8_MACS_peak_6332_lociStitched	chr11	65259485	65275663	8	15520	68929.6046
10_MACS_peak_30478_lociStitched	chr6	388894	404986	10	15140	34306.5348
1_MACS_peak_11152_lociStitched	chr14	91829157	91845241	1	16085	51546.0032
6_MACS_peak_34645_lociStitched	chr7	137662329	137678391	6	15738	35044.0716
2_MACS_peak_33612_lociStitched	chr7	50343113	50359118	2	15837	51998.644499999995
8_MACS_peak_12619_lociStitched	chr15	81584298	81600201	8	15230	24683.0463
6_MACS_peak_29480_lociStitched	chr5	118668101	118683790	6	14383	23713.9235
2_MACS_peak_22354_lociStitched	chr20	45974718	45990392	2	15338	47658.3644
3_MACS_peak_30266_lociStitched	chr5	173309102	173324535	3	15051	46897.8004
8_MACS_peak_24439_lociStitched	chr3	13365408	13380471	8	14550	26257.821600000003
