GENE_ID	locusLine	bin_1_09_0EWV_0229Kronos_MM1S-KB-24hr-1_H3K18Ac_hs-dm_i17.bam
1_MACS_peak_1_lociStitched	chr1(.):28287-30414	2.2072
1_MACS_peak_2_lociStitched	chr1(.):713028-715301	1.3259
1_MACS_peak_3_lociStitched	chr1(.):761852-763870	1.3572
1_MACS_peak_4_lociStitched	chr1(.):878970-880609	1.0689
2_MACS_peak_5_lociStitched	chr1(.):895301-902894	0.4233
1_MACS_peak_7_lociStitched	chr1(.):947780-949734	1.1416
1_MACS_peak_8_lociStitched	chr1(.):998917-1000001	0.6256
1_MACS_peak_9_lociStitched	chr1(.):1092714-1094357	1.9111
1_MACS_peak_10_lociStitched	chr1(.):1165981-1167809	1.2926
1_MACS_peak_11_lociStitched	chr1(.):1185081-1186098	0.6988
1_MACS_peak_12_lociStitched	chr1(.):1207788-1210135	0.9102
2_MACS_peak_13_lociStitched	chr1(.):1242571-1245174	1.3136
1_MACS_peak_15_lociStitched	chr1(.):1259436-1261336	1.0695
1_MACS_peak_16_lociStitched	chr1(.):1283731-1285650	0.8725
1_MACS_peak_17_lociStitched	chr1(.):1309546-1311705	1.1751
2_MACS_peak_18_lociStitched	chr1(.):1333606-1343523	0.4686
1_MACS_peak_20_lociStitched	chr1(.):1352832-1353906	0.5222
1_MACS_peak_21_lociStitched	chr1(.):1396619-1398858	1.7308
1_MACS_peak_22_lociStitched	chr1(.):1406222-1408317	0.5424
2_MACS_peak_23_lociStitched	chr1(.):1439661-1448661	0.6131
1_MACS_peak_25_lociStitched	chr1(.):1509118-1511146	1.3331
2_MACS_peak_26_lociStitched	chr1(.):1544978-1552400	1.0087
1_MACS_peak_28_lociStitched	chr1(.):1589660-1591613	1.7843
2_MACS_peak_29_lociStitched	chr1(.):1606337-1611146	1.902
1_MACS_peak_31_lociStitched	chr1(.):1622363-1625780	3.5196
1_MACS_peak_32_lociStitched	chr1(.):1654982-1656785	1.3751
2_MACS_peak_33_lociStitched	chr1(.):1668736-1678954	1.6645
1_MACS_peak_35_lociStitched	chr1(.):1708669-1715064	3.1768
2_MACS_peak_36_lociStitched	chr1(.):1821053-1829526	0.4657
1_MACS_peak_38_lociStitched	chr1(.):1838085-1841400	1.0401
1_MACS_peak_39_lociStitched	chr1(.):2125921-2127418	1.0417
1_MACS_peak_40_lociStitched	chr1(.):2158343-2159442	1.1836
1_MACS_peak_41_lociStitched	chr1(.):2220979-2223450	1.0581
1_MACS_peak_42_lociStitched	chr1(.):2230941-2233584	2.1436
1_MACS_peak_43_lociStitched	chr1(.):2322175-2324293	0.8606
2_MACS_peak_44_lociStitched	chr1(.):2343086-2348034	1.0539
1_MACS_peak_46_lociStitched	chr1(.):2456844-2458541	0.9481
2_MACS_peak_47_lociStitched	chr1(.):2476627-2489367	2.6944
2_MACS_peak_49_lociStitched	chr1(.):2508699-2518608	0.6372
1_MACS_peak_51_lociStitched	chr1(.):2573670-2575123	1.7135
1_MACS_peak_52_lociStitched	chr1(.):3087290-3088162	0.4848
2_MACS_peak_53_lociStitched	chr1(.):3540369-3547397	0.2811
1_MACS_peak_55_lociStitched	chr1(.):3568396-3569998	0.6921
1_MACS_peak_56_lociStitched	chr1(.):3589073-3590344	0.7624
1_MACS_peak_57_lociStitched	chr1(.):3688587-3689130	0.5057
1_MACS_peak_58_lociStitched	chr1(.):3712151-3713877	0.7138
1_MACS_peak_59_lociStitched	chr1(.):3773019-3774932	0.9399
1_MACS_peak_60_lociStitched	chr1(.):3815846-3818408	3.7908
1_MACS_peak_61_lociStitched	chr1(.):4066992-4068678	0.4153
1_MACS_peak_62_lociStitched	chr1(.):4855911-4857303	0.5067
1_MACS_peak_63_lociStitched	chr1(.):6051240-6055781	1.8023
1_MACS_peak_64_lociStitched	chr1(.):6083919-6087403	2.0441
2_MACS_peak_65_lociStitched	chr1(.):6258555-6266886	0.6032
1_MACS_peak_67_lociStitched	chr1(.):6294854-6296915	0.7304
1_MACS_peak_68_lociStitched	chr1(.):6418958-6420910	0.9952
1_MACS_peak_69_lociStitched	chr1(.):6452586-6454582	0.7382
1_MACS_peak_70_lociStitched	chr1(.):6474118-6475593	0.6952
1_MACS_peak_71_lociStitched	chr1(.):6531858-6532956	0.4751
1_MACS_peak_72_lociStitched	chr1(.):6549874-6551898	1.6538
1_MACS_peak_73_lociStitched	chr1(.):6613801-6615445	1.0277
1_MACS_peak_74_lociStitched	chr1(.):6639207-6641175	0.8991
1_MACS_peak_75_lociStitched	chr1(.):6660039-6664872	2.1366
1_MACS_peak_76_lociStitched	chr1(.):6672282-6674910	1.0389
1_MACS_peak_77_lociStitched	chr1(.):6684524-6686678	1.0939
1_MACS_peak_78_lociStitched	chr1(.):6761052-6762308	0.5843
1_MACS_peak_79_lociStitched	chr1(.):6843764-6845482	1.7584
1_MACS_peak_80_lociStitched	chr1(.):6892452-6893325	0.4477
1_MACS_peak_81_lociStitched	chr1(.):6978184-6979993	1.1147
1_MACS_peak_82_lociStitched	chr1(.):7830865-7832225	0.8147
2_MACS_peak_83_lociStitched	chr1(.):8013807-8022733	0.3771
1_MACS_peak_85_lociStitched	chr1(.):8085665-8086763	0.5142
1_MACS_peak_86_lociStitched	chr1(.):8454794-8456699	1.2603
