GENE	H3k27me3_29_DMSO_compare_TSS_SIGNAL	H3k27me3_29_DMSO_compare_DISTAL_SIGNAL
A4GALT	1954.3955	3004.8954
AAAS	0.0	848.1562
AADACL3	0.0	765.0552
AADACL4	0.0	554.7934
AANAT	0.0	66790.366
AARS2	0.0	27896.4856
AATF	0.0	56089.3439
AATK	6243.934399999999	317137.35339999996
ABCA17P	364.69710000000003	123890.6414
ABCA2	3147.877200000001	213600.2275
ABCA3	544.8421000000001	123890.6414
ABCA4	0.0	1304.5607
ABCA7	0.0	19290.8328
ABCB6	0.0	27761.8224
ABCB8	0.0	45697.54699999999
ABCC1	0.0	0.0
ABCC10	0.0	919.8575999999999
ABCC3	10499.400000000001	255544.18039999998
ABCC8	393.9077	318.226
ABCD1	0.0	81784.15529999998
ABCD4	0.0	2279.2948
ABCF1	0.0	19068.930200000003
ABCF2	0.0	165700.64200000005
ABCF3	0.0	26347.5458
ABCG1	2235.5268	134894.51589999997
ABCG4	2562.033	9944.7513
ABHD11	0.0	22690.619700000003
ABHD14A	0.0	8134.725799999999
ABHD14B	0.0	8134.725799999999
ABHD15	0.0	1345.4506999999999
ABHD8	0.0	44391.564999999995
ABI3	5954.044800000001	34042.55209999999
ABL1	0.0	301528.46510000003
ABLIM2	498.1816	108155.10829999998
ABO	4670.965200000001	246068.73500000007
ABP1	0.0	0.0
ABR	10369.0906	413791.23329999985
ABTB2	595.177	896.4793999999999
ACAD8	0.0	1258.463
ACADVL	0.0	171225.1744
ACAN	1102.1924	848.4687
ACAP1	0.0	117739.45279999997
ACAP3	0.0	104357.92400000004
ACBD3	0.0	0.0
ACBD4	0.0	4095.0237
ACCN2	1934.5913999999998	31068.766999999993
ACCN3	620.2508	45697.54699999999
ACCN4	6892.8	289051.4433
ACE	23460.864999999998	111346.09730000004
ACER1	4468.4	56037.8809
ACHE	3544.4274	104459.5619
ACIN1	0.0	661.5896
ACLY	0.0	2268.5126999999998
ACN9	0.0	139.3099
ACOT11	0.0	653.8128
ACOT7	0.0	214268.87470000007
ACOX1	0.0	22249.747300000003
ACOX3	0.0	44573.724099999985
ACP1	0.0	1361.9232
ACP2	0.0	18383.9008
ACP5	0.0	10262.0936
ACPT	0.0	46480.889299999995
ACR	0.0	50263.233900000014
ACRBP	0.0	49019.6535
ACSBG1	1949.1298000000002	2132.2018
ACSBG2	0.0	86558.2785
ACSF3	0.0	49132.203600000015
ACSL3	0.0	2173.6929
ACSL6	3550.8	1194.0254
ACTA2	0.0	714.8898999999999
ACTB	0.0	118623.26999999997
ACTG1	0.0	707715.5513000009
ACTL6B	3909.0338000000006	268604.7751
ACTL8	0.0	214712.55819999988
ACTL9	0.0	214550.88960000002
ACTN3	1305.4567	62161.74029999998
ACTN4	0.0	4388.7189
ACTR1A	0.0	92943.81940000001
ACTR3C	0.0	0.0
ACTR5	0.0	56762.32950000001
ACTRT2	7621.200000000001	503130.8738999996
ACVR1B	620.7828000000001	42544.67360000001
ACVRL1	0.0	87358.8333
ACY1	0.0	8134.725799999999
ACY3	0.0	24601.57190000001
ADA	0.0	53784.419599999994
ADAD2	0.0	1311.6861000000001
ADAM11	3607.6206	8097.7931
ADAM15	0.0	87159.23190000001
ADAM21P1	0.0	174.7174
ADAM33	6250.798500000001	30915.202000000005
ADAM8	0.0	255221.47369999997
ADAMTS10	0.0	68374.58680000003
ADAMTS13	2364.8768	288143.8655
ADAMTS15	0.0	5402.4265000000005
ADAMTS4	0.0	0.0
ADAMTS7	1982.8704	38387.5484
ADAMTS8	2794.1466	5402.4265000000005
ADAMTSL2	20677.858699999997	501686.32300000027
ADAMTSL4	1658.418	1577.7167
ADAMTSL5	4279.9428	208238.1154
ADAP1	0.0	85436.4204
ADAP2	497.1013	429.30269999999996
ADAR	0.0	4613.0317000000005
ADARB1	1469.5844	185475.1667000001
ADAT3	0.0	17661.3824
ADCK2	0.0	3511.5433000000003
ADCK4	0.0	660.7235999999999
ADCK5	0.0	15610.424
ADCY6	0.0	975.0576
ADCY9	0.0	12918.730300000001
ADIPOQ	0.0	2094.7146000000002
ADIPOR1	0.0	143.7576
ADM2	0.0	3796.2626999999998
ADNP	0.0	317.2806
ADO	0.0	2194.2513
ADORA1	9568.8	15785.0178
ADPRHL1	0.0	82716.71609999999
ADPRHL2	0.0	2264.1925
ADRA2B	2548.072	23202.838000000003
ADRA2C	0.0	583988.9760999995
ADRM1	0.0	56509.73669999999
ADSSL1	2063.8623	62712.111399999994
AEBP1	1129.5648	2883.5147
AEN	0.0	1327.3399
AES	1745.5888000000002	196396.72580000001
AFAP1	0.0	51121.47569999999
AFAP1-AS1	0.0	106918.01789999998
AFG3L1P	0.0	12799.9458
AFMID	0.0	7723.5776
AGAP2	0.0	2886.6012
AGAP3	0.0	102472.62009999997
AGAP9	0.0	1056.7664
AGBL5	0.0	330.3
AGER	0.0	92608.30560000004
AGFG2	0.0	114030.26080000002
AGPAT1	0.0	94076.92900000003
AGPAT2	4851.7715	592567.0621
AGPAT3	0.0	42810.679299999996
AGPAT5	0.0	1374.0941
AGPAT6	0.0	559.251
AGRN	3819.1992	328789.2462
AGRP	0.0	12466.4796
AGTRAP	0.0	121316.5013
AGXT	0.0	5362.8505000000005
AGXT2L2	0.0	6928.956799999999
AHCYL1	0.0	577.9200000000001
AHCYL2	0.0	0.0
AHDC1	0.0	565.6224
AHNAK	144.0868	49.0992
AHNAK2	18.945	36995.2757
AHRR	0.0	2158.1792
AHSP	0.0	871.8944000000001
AICDA	0.0	0.0
AIF1	0.0	8977.369200000001
AIF1L	6316.8426	456804.6921999999
AIFM3	1280.3192999999999	55618.9303
AIM1	2861.0795999999996	1799.4138
AIM1L	0.0	12143.0481
AIM2	0.0	1879.0900000000001
AIP	0.0	51637.180000000015
AIPL1	41.2607	55251.5561
AIRE	27195.600000000002	238931.4966
AJAP1	80.433	15407.697900000001
AK1	0.0	1553.3658
AKAP8	0.0	5716.504800000001
AKAP8L	0.0	11408.8275
AKIRIN1	0.0	0.0
AKR1D1	0.0	15547.115999999998
AKT1	0.0	57934.218799999995
AKT2	0.0	3515.8464
ALDH16A1	0.0	198897.42149999997
ALDH1A3	231.5358	0.0
ALDH3A1	286.143	3353.5888999999997
ALDH3A2	0.0	2909.1449
ALDH3B2	0.0	14441.643399999997
ALDH4A1	0.0	177398.151
ALDOA	0.0	61864.597
ALDOC	0.0	151229.76869999996
ALG1	0.0	66836.54329999999
ALG12	0.0	17194.085799999997
ALG1L2	0.0	1582.2097999999999
ALG3	0.0	27220.267
ALKBH3	0.0	3042.8223
ALKBH4	0.0	19358.763
ALKBH5	0.0	178.293
ALKBH6	0.0	33535.6102
ALKBH7	0.0	56037.8809
ALLC	0.0	1698.2922
ALMS1	0.0	4030.4674
ALOX12	0.0	53893.73360000001
ALOX12B	9817.655999999999	191190.05159999998
ALOX15	6905.451	111928.5906
ALOX15B	4327.766	193361.15089999998
ALOXE3	2938.6319999999996	172755.3044
ALPI	0.0	16172.142100000001
ALPL	4839.076	207662.75110000002
ALPP	194.376	3413.9696000000004
ALPPL2	0.0	12520.428499999998
ALS2CL	319.01	1005.9401
ALX3	0.0	577.9200000000001
ALX4	1528.9414000000002	36752.2342
AMAC1	0.0	701.4848000000001
AMAC1L3	0.0	91019.62279999998
AMBP	0.0	6991.3305
AMDHD2	0.0	7084.8418
AMFR	0.0	6820.3135
AMH	0.0	25114.5447
AMHR2	0.0	848.1562
AMICA1	1150.1773	58622.34299999999
AMIGO3	0.0	11118.923400000001
AMOTL2	0.0	5993.061699999999
AMPD3	1651.2746000000002	345.1266
AMZ1	4730.7382	141450.2122
AMZ2	0.0	5747.753000000001
ANAPC11	0.0	80902.6176
ANAPC2	0.0	82427.9263
ANGPT4	60.4488	4137.0764
ANGPTL4	4212.68	47280.237100000006
ANGPTL6	0.0	31078.306700000005
ANK1	0.0	559.251
ANKLE1	1066.0587	41493.212999999996
ANKRD11	0.0	2423.6859
ANKRD13B	0.0	1345.4506999999999
ANKRD13D	0.0	1211.6458
ANKRD16	0.0	154.2528
ANKRD2	0.0	738.576
ANKRD22	0.0	714.8898999999999
ANKRD23	0.0	15446.402900000001
ANKRD24	1768.2872	277100.90419999993
ANKRD30BL	0.0	24571.2702
ANKRD33	0.0	72679.7504
ANKRD34A	615.3036	15448.883700000002
ANKRD35	1293.7472	13818.9754
ANKRD39	0.0	15663.0678
ANKRD40	0.0	71139.8999
ANKRD53	0.0	18840.2693
ANKRD54	0.0	21679.147900000004
ANKRD7	0.0	1057.0001
ANKRD9	0.0	3640.1400000000003
ANKS3	0.0	638.1984
ANKZF1	0.0	27761.8224
ANO1	1668.8268	371604.6163
ANO7	0.0	3089.4281
ANO8	0.0	46702.7958
ANO9	622.7568	126741.19409999995
ANP32E	0.0	557.2262000000001
ANXA9	0.0	70.3056
AOC2	0.0	20678.8176
AOC3	0.0	20678.8176
AP1B1	0.0	16549.864
AP1M1	0.0	4753.875399999999
AP1M2	0.0	28263.142200000002
AP1S1	303.8784	236709.25310000006
AP2A1	0.0	36964.5515
AP2A2	0.0	39984.2217
AP2M1	0.0	13982.1132
AP4M1	0.0	36006.572
APBA3	0.0	376103.12780000013
APC2	6512.6	210028.28180000006
APCDD1L	0.0	61998.62440000001
APEH	0.0	11118.923400000001
APH1A	0.0	557.2262000000001
APLP1	3298.4173	170618.1527000001
APOA1BP	0.0	168409.46540000002
APOA2	0.0	0.0
APOB	0.0	114.66349999999998
APOB48R	0.0	1183.0498
APOBEC3G	0.0	122.38799999999999
APOBEC3H	0.0	122.38799999999999
APOC1	1046.3687	224205.3166
APOC1P1	4466.8214	200383.93310000002
APOC2	0.0	182293.8244
APOC4	0.0	182739.1429
APOD	0.0	20492.9579
APOE	2523.8	234975.7577
APOL6	0.0	8571.2714
APOM	0.0	8977.369200000001
APPL1	0.0	147.48839999999998
APRT	0.0	12005.645900000001
AQP12A	5732.4	72341.87550000004
AQP12B	338.48810000000003	72341.87550000004
AQP2	0.0	47780.200000000004
AQP5	2374.1514	49720.520000000004
AQP6	9349.6	49720.520000000004
ARAP1	0.0	29134.214799999998
ARAP3	0.0	2711.0408
ARC	17201.799999999996	370529.1612999999
ARCN1	0.0	17421.335000000003
ARF1	0.0	28022.2767
ARF3	0.0	35607.0521
ARFGAP1	0.0	638533.7841000002
ARFGAP2	0.0	2412.4282
ARFGAP3	0.0	1563.9166
ARFGEF1	0.0	1528.051
ARFIP2	0.0	1301.799
ARFRP1	0.0	127644.39219999997
ARHGAP11A	0.0	433.24670000000003
ARHGAP17	0.0	3447.8343000000004
