GENE_ID	locusLine	bin_1_RPMI8226_jia.bam
1_MACS_peak_1_lociStitched	chr1(.):28278-30059	3.8594
1_MACS_peak_2_lociStitched	chr1(.):713253-715960	2.9045
1_MACS_peak_3_lociStitched	chr1(.):761951-763605	2.941
3_MACS_peak_4_lociStitched	chr1(.):839485-848824	0.6288
2_MACS_peak_7_lociStitched	chr1(.):855605-860411	0.572
1_MACS_peak_9_lociStitched	chr1(.):875154-878142	0.784
2_MACS_peak_10_lociStitched	chr1(.):893773-896690	1.3023
1_MACS_peak_12_lociStitched	chr1(.):901292-903003	2.1331
1_MACS_peak_13_lociStitched	chr1(.):934241-937790	2.4565
2_MACS_peak_14_lociStitched	chr1(.):948062-957198	1.3402
1_MACS_peak_16_lociStitched	chr1(.):968472-969033	0.6165
1_MACS_peak_17_lociStitched	chr1(.):974217-974747	0.4163
3_MACS_peak_18_lociStitched	chr1(.):994161-1005170	0.5065
1_MACS_peak_21_lociStitched	chr1(.):1013804-1016120	1.6076
1_MACS_peak_22_lociStitched	chr1(.):1050621-1052521	1.7738
1_MACS_peak_23_lociStitched	chr1(.):1057161-1058116	0.7532
4_MACS_peak_24_lociStitched	chr1(.):1071300-1085997	3.0279
1_MACS_peak_28_lociStitched	chr1(.):1092786-1094217	2.08
2_MACS_peak_29_lociStitched	chr1(.):1106822-1112398	0.3702
1_MACS_peak_31_lociStitched	chr1(.):1139540-1145000	4.6341
2_MACS_peak_32_lociStitched	chr1(.):1150033-1152299	0.6413
2_MACS_peak_34_lociStitched	chr1(.):1165546-1172427	1.9675
1_MACS_peak_36_lociStitched	chr1(.):1185270-1185913	0.6967
1_MACS_peak_37_lociStitched	chr1(.):1208172-1210262	3.7639
2_MACS_peak_38_lociStitched	chr1(.):1216891-1219392	0.4451
1_MACS_peak_40_lociStitched	chr1(.):1239496-1245981	4.8454
1_MACS_peak_41_lociStitched	chr1(.):1259355-1262274	4.0834
1_MACS_peak_42_lociStitched	chr1(.):1282299-1286775	3.2937
