GENE	IRF4H3K27ac_31_DMSO_compare_TSS_SIGNAL	IRF4H3K27ac_31_DMSO_compare_DISTAL_SIGNAL	ENHANCER_PROMOTER_DIFFERENCE	ENHANCER_CONTRIBUTION	ENHANCER_PROMOTER_RATIO
TOR1AIP1	12397.8	3448.6022	-8949.1978	0.217626825097245	-1.84600050880694
NUF2	8373.2	30.8341	-8342.3659	0.00366896417043334	-8
UBE2D3	9016.8997	1452.7732	-7564.1265	0.138760132611211	-2.63382197989959
BRD2	10351.0476	2978.3335	-7372.7141	0.22344124439506	-1.79719957177237
CBLL1	7214.8	71.0959	-7143.7041	0.00975801754180979	-6.66504922832938
WASL	7010.6	460.9635	-6549.6365	0.0616957213841521	-3.92681349727393
HNRNPK	6581.7208	200.8212	-6380.8996	0.0296085449968463	-5.0344813451206
HNRNPR	6286.4	281.1156	-6005.2844	0.0428039485737955	-4.48299865211406
LOC100129387	5932.7018	16.214	-5916.4878	0.00272553866033875	-8
LNPEP	8477.2	2583.5619	-5893.6381	0.233579017734755	-1.71422637460316
FLJ10038	5860.4658	16.214	-5844.2518	0.00275904091286376	-8
IVNS1ABP	6513	677.1587	-5835.8413	0.094178547129982	-3.26575633580904
GART	6277.134	519.1131	-5758.0209	0.0763823169407716	-3.59598520671122
TPR	6218.6336	489.958	-5728.6756	0.0730344056120513	-3.66586762705407
ACBD6	5899.6	279.6552	-5619.9448	0.0452571047721091	-4.39889607969779
LOC348840	6039.8	527.6224	-5512.1776	0.08033934287522	-3.51692305735166
RMI1	5709.328	200.8212	-5508.5068	0.0339790406644895	-4.82933746454829
C1orf27	5994.2096	489.958	-5504.2516	0.0755622047770634	-3.61283954209926
GCFC1	5916.3829	496.825	-5419.5579	0.0774690307482469	-3.57390574842472
HOOK1	5384.226	0	-5384.226	0	-8
GFI1	7299.5039	1956.7915	-5342.7124	0.211401150831898	-1.89930837453993
SCAMP1	5912	594.0621	-5317.9379	0.0913090116370085	-3.31496061402016
CGGBP1	5436.0292	122.6004	-5313.4288	0.0220558678707428	-5.47051761452835
C21orf49	5766.4568	496.825	-5269.6318	0.0793234307292385	-3.53687545074789
CD55	6442.086	1223.0077	-5219.0783	0.159555479406599	-2.39709443337895
GABPB1	5219.8997	16.214	-5203.6857	0.00309657141326018	-8
CLTC	5927.2	820.4846	-5106.7154	0.121594983855647	-2.85280257822631
TMEM62	5134.6442	49.6223	-5085.0219	0.00957171086787302	-6.69313189380027
TBCCD1	6588.6688	1592.2779	-4996.3909	0.194632474503226	-2.04889485583287
FLJ40852	5451.2475	549.1115	-4902.136	0.09151310779905	-3.31141539270904
BRP44	5422.8749	563.9448	-4858.9301	0.0941977257140381	-3.2654320283989
PVRL3	5533.5438	681.2115	-4852.3323	0.109611958494971	-3.02202901378976
SSBP1	5398.2355	549.1115	-4849.124	0.0923288148480323	-3.29731688531427
ATAD2B	5173.8	338.8722	-4834.9278	0.0614714947135801	-3.93241109317277
USP15	4957	125.0073	-4831.9927	0.0245980166144193	-5.30938300787795
SON	5316.9795	519.1131	-4797.8664	0.0889487428626475	-3.35648610380221
B3GALNT2	6793.2	2012.7774	-4780.4226	0.228569448747393	-1.75490370103617
FAM53C	5196.2808	419.3435	-4776.9373	0.0746744222187371	-3.63127499521238
DUSP4	6237.9041	1495.778	-4742.1261	0.193410846303082	-2.06016530367775
DPP9	5438.8	696.955	-4741.845	0.113589118209577	-2.96415096048694
ZC3HAV1	5665.2	1003.6874	-4661.5126	0.15050297595368	-2.49681687914111
DDX5	4752.7975	142.4655	-4610.332	0.0291027264520823	-5.06009243674476
C3orf58	4679.0932	71.28	-4607.8132	0.0150051368595629	-6.03658781806079
ATAD2	4925.28	331.0122	-4594.2678	0.0629744670587377	-3.89524944745071
PNPLA6	4605.9481	42.2604	-4563.6877	0.0090917608364599	-6.76804792202652
MAP2K3	5854.56	1301.2014	-4553.3586	0.181839685152163	-2.16971646919142
STK19	4728.3133	175.9264	-4552.3869	0.0358723086067755	-4.74828173329593
WASH2P	6141.5781	1591.0946	-4550.4835	0.20576256900153	-1.94858979378751
PTPN7	5527.7413	995.7492	-4531.9921	0.152640553396989	-2.4728357781131
CLCN2	6197.7074	1666.0194	-4531.688	0.211861302200885	-1.89532944515213
C2orf47	4546.886	81.972	-4464.914	0.0177089035783772	-5.7936038248806
C2orf60	4546.886	81.972	-4464.914	0.0177089035783772	-5.7936038248806
ALG3	5515.2596	1059.0169	-4456.2427	0.161084934593183	-2.38070318189004
WRAP53	4456.0502	27.4726	-4428.5776	0.006127458524355	-7.34162822217058
DOM3Z	4600.9401	175.9264	-4425.0137	0.0368288291079518	-4.70888477504518
DCAF6	4971.1497	563.9448	-4407.2049	0.101885306565227	-3.13995368801799
FEM1A	5043.8	639.4738	-4404.3262	0.112518562804417	-2.97955391362556
PRPF40A	5223.4512	821.1044	-4402.3468	0.135841979847121	-2.66936575718116
