GENE_ID	locusLine	bin_1_16_0EX2_0229Kronos_MM1S-KB-3hr-2_H3K27Ac_hs-dm_i29.bam
MACS_peak_1	chr1(.):9875-10670	2.2476
MACS_peak_2_1	chr1(.):28280-28369	0.1033
MACS_peak_2_2	chr1(.):28370-30184	4.065
MACS_peak_3_1	chr1(.):713068-715067	3.0619
MACS_peak_3_2	chr1(.):715068-715340	0.0573
MACS_peak_4	chr1(.):752362-753346	0.5225
MACS_peak_5_1	chr1(.):761757-761901	0.1624
MACS_peak_5_2	chr1(.):761902-762062	0.2247
MACS_peak_5_3	chr1(.):762063-763782	2.7059
MACS_peak_6	chr1(.):793200-794396	0.4834
MACS_peak_7	chr1(.):879186-880867	0.795
MACS_peak_8_1	chr1(.):893725-894688	0.8868
MACS_peak_9_1	chr1(.):901195-902706	1.4243
MACS_peak_10_1	chr1(.):948199-949448	0.7267
MACS_peak_12_1	chr1(.):1051074-1051820	0.8513
MACS_peak_13	chr1(.):1079155-1080305	0.3155
MACS_peak_14	chr1(.):1093077-1093912	0.8855
MACS_peak_15_1	chr1(.):1166199-1166446	0.3932
MACS_peak_15_2	chr1(.):1166447-1166627	0.6995
MACS_peak_15_3	chr1(.):1166628-1167754	2.4949
MACS_peak_16	chr1(.):1185083-1185910	0.8136
MACS_peak_17_1	chr1(.):1207874-1208233	0.2241
MACS_peak_17_2	chr1(.):1208234-1209963	1.4421
MACS_peak_18_1	chr1(.):1242569-1242992	0.6322
MACS_peak_18_2	chr1(.):1242993-1243305	0.5139
MACS_peak_19_1	chr1(.):1243321-1244268	2.7164
MACS_peak_19_2	chr1(.):1244269-1244992	1.3744
MACS_peak_19_3	chr1(.):1244993-1245108	0.0628
MACS_peak_20_1	chr1(.):1259440-1261045	1.9785
MACS_peak_20_2	chr1(.):1261046-1261141	0.3811
MACS_peak_20_3	chr1(.):1261142-1261556	0.5737
MACS_peak_21_1	chr1(.):1284882-1285491	1.7767
MACS_peak_22_1	chr1(.):1309580-1309817	0.1543
MACS_peak_22_2	chr1(.):1309818-1311561	2.3879
MACS_peak_22_3	chr1(.):1311580-1311798	0.0666
MACS_peak_23_1	chr1(.):1333469-1333717	0.2421
MACS_peak_23_2	chr1(.):1333718-1333908	0.2507
MACS_peak_23_3	chr1(.):1333909-1335717	2.2293
MACS_peak_23_4	chr1(.):1335718-1335908	0.651
MACS_peak_23_5	chr1(.):1335909-1336204	0.607
MACS_peak_24_1	chr1(.):1341464-1341692	0.0722
MACS_peak_24_2	chr1(.):1341693-1343692	1.7641
MACS_peak_24_3	chr1(.):1343693-1343758	0.0236
MACS_peak_25	chr1(.):1396687-1398900	1.893
MACS_peak_26_1	chr1(.):1405716-1406162	0.2511
MACS_peak_26_2	chr1(.):1406163-1408162	1.3812
MACS_peak_26_3	chr1(.):1408163-1408519	0.3683
MACS_peak_27	chr1(.):1439618-1441810	1.4997
MACS_peak_28_1	chr1(.):1445872-1446521	0.5476
MACS_peak_28_2	chr1(.):1446522-1446908	3.5751
MACS_peak_28_3	chr1(.):1446909-1448521	3.1542
MACS_peak_28_4	chr1(.):1448522-1448908	0.3722
MACS_peak_28_5	chr1(.):1448909-1448994	0.0763
MACS_peak_29_1	chr1(.):1509059-1509261	0.1355
MACS_peak_29_2	chr1(.):1509262-1511239	2.2888
MACS_peak_30	chr1(.):1544936-1546441	0.6255
MACS_peak_31_1	chr1(.):1549897-1550243	0.2337
MACS_peak_31_2	chr1(.):1550244-1551793	3.2839
MACS_peak_31_3	chr1(.):1551794-1552235	0.6234
MACS_peak_32	chr1(.):1589361-1591729	3.1426
MACS_peak_33	chr1(.):1606302-1611184	2.2768
MACS_peak_34_1	chr1(.):1622667-1623242	0.543
MACS_peak_34_2	chr1(.):1623243-1625242	8.8059
MACS_peak_34_3	chr1(.):1625243-1625610	0.1919
MACS_peak_35_1	chr1(.):1654674-1654774	0.0853
MACS_peak_35_2	chr1(.):1654791-1656774	2.7643
MACS_peak_35_3	chr1(.):1656791-1656959	0.0596
MACS_peak_36	chr1(.):1668744-1671401	2.498
MACS_peak_37_1	chr1(.):1675887-1676430	0.4734
MACS_peak_37_2	chr1(.):1676431-1678430	6.9591
MACS_peak_37_3	chr1(.):1678431-1678955	0.3364
MACS_peak_38_1	chr1(.):1708284-1708908	0.5317
MACS_peak_38_2	chr1(.):1708909-1709296	0.7169
MACS_peak_38_3	chr1(.):1709297-1710507	3.1887
MACS_peak_38_4	chr1(.):1710508-1710908	6.3824
MACS_peak_38_5	chr1(.):1710909-1711296	4.6325
MACS_peak_38_6	chr1(.):1711297-1712507	5.3756
MACS_peak_38_7	chr1(.):1712508-1715112	0.7454
MACS_peak_39	chr1(.):1754829-1756479	0.6621
MACS_peak_40	chr1(.):1772228-1775360	0.7749
MACS_peak_41_1	chr1(.):1821101-1821494	0.4473
MACS_peak_41_2	chr1(.):1821495-1823383	0.9107
MACS_peak_42	chr1(.):1827828-1829593	0.9013
MACS_peak_43	chr1(.):1837605-1841350	0.8411
MACS_peak_45_1	chr1(.):2125902-2126023	0.069
MACS_peak_45_2	chr1(.):2126024-2127213	0.9967
MACS_peak_46_1	chr1(.):2158566-2159132	0.9952
MACS_peak_46_2	chr1(.):2159133-2159415	0.1351
MACS_peak_47	chr1(.):2186411-2188074	0.746
MACS_peak_48	chr1(.):2221315-2223158	0.8195
MACS_peak_49	chr1(.):2230982-2233610	2.2292
MACS_peak_50_1	chr1(.):2322213-2323992	1.6227
MACS_peak_50_2	chr1(.):2323993-2324212	0.388
MACS_peak_50_3	chr1(.):2324213-2324420	0.0953
MACS_peak_51_1	chr1(.):2343040-2345009	2.5363
MACS_peak_51_2	chr1(.):2345010-2346348	0.5131
MACS_peak_52_1	chr1(.):2456874-2457034	0.2196
MACS_peak_52_2	chr1(.):2457035-2458331	1.4793
MACS_peak_53	chr1(.):2476942-2481465	2.78
MACS_peak_53	chr1(.):2476942-2481465	2.78
MACS_peak_54_1	chr1(.):2486727-2486803	0.0326
MACS_peak_54_2	chr1(.):2486804-2488803	4.988
MACS_peak_54_3	chr1(.):2488804-2489198	0.2091
MACS_peak_56_1	chr1(.):2516417-2516897	0.2471
MACS_peak_56_2	chr1(.):2516898-2517187	1.2994
MACS_peak_56_3	chr1(.):2517188-2518475	2.0755
MACS_peak_57	chr1(.):2573722-2575067	1.1447
MACS_peak_58	chr1(.):3545792-3547909	1.0548
MACS_peak_59_1	chr1(.):3566051-3566770	0.9288
MACS_peak_60	chr1(.):3589193-3590347	0.6872
MACS_peak_61_1	chr1(.):3711906-3712067	0.1256
MACS_peak_61_2	chr1(.):3712068-3713693	1.0138
MACS_peak_62_1	chr1(.):3773141-3774796	1.7408
MACS_peak_62_2	chr1(.):3774844-3774928	0.186
MACS_peak_63_1	chr1(.):3815967-3817856	9.0542
MACS_peak_63_2	chr1(.):3817857-3817966	1.1292
MACS_peak_63_3	chr1(.):3817967-3818440	0.3092
MACS_peak_65	chr1(.):4067110-4068679	0.4467
MACS_peak_66	chr1(.):4997669-4998611	0.3611
MACS_peak_67_1	chr1(.):6051647-6053530	1.6095
MACS_peak_67_2	chr1(.):6053531-6055645	2.5985
MACS_peak_68_1	chr1(.):6083742-6085378	1.1672
MACS_peak_68_2	chr1(.):6085379-6087265	1.9158
MACS_peak_69_1	chr1(.):6258542-6258678	0.2468
MACS_peak_69_2	chr1(.):6258679-6260678	1.8736
MACS_peak_70_1	chr1(.):6265548-6266611	0.7222
