Gene,Protein_Acc,Label,log2FC,SE,Tvalue,DF,pvalue,adj.pvalue,issue,MissingPercentage,ImputationPercentage,logpval,logadjpval,TF_1639
RBM47,A0AV96,R1_p300-IgG,0.8490956026725944,0.307536933506455,2.760954897323812,11,0.01852421338680399,0.05039011274229607,NA,0.25,0.125,1.7322602248613812,1.2976546699573432,NA
RBM47,A0AV96,R2_p300-IgG,0.3413579113086787,0.28472387446269054,1.1989086336818915,11,0.25575343951580143,0.4062031322477985,NA,0.59375,0.59375,0.5921785169405785,0.3912567320570365,NA
RBM47,A0AV96,R3_p300-IgG,-0.33016571499844016,0.5694477489253812,-0.5797998422533129,11,0.5737331354404658,0.7072339504666207,NA,0.9375,0.1875,0.24129006710660308,0.15043689937167448,NA
E2F8,A0AVK6,R2_p300-IgG,0.38349766199657276,0.20541649841900494,1.8669272670314971,2,0.20288210672466578,0.3442167601414339,NA,0.5,0,0.6927562540677479,0.4631679874084234,E2F
UBA6,A0AVT1,R1_p300-IgG,-0.04914374776621067,0.17509206505728656,-0.2806737572609692,15,0.7827948668222249,0.8564218508337788,NA,0.33333333333333337,0.16666666666666666,0.10635203089100591,0.0673122606028754,NA
UBA6,A0AVT1,R2_p300-IgG,-0.04013555191140228,0.1750920650572866,-0.22922541862916934,15,0.8217898501381895,0.8928806166249003,NA,0.35416666666666663,0.1875,0.08523922697801446,0.04920660494912714,NA
UBA6,A0AVT1,R3_p300-IgG,0.09779107859566671,0.2768448629017029,0.3532342177878468,15,0.7288280222883932,0.8278493732538262,NA,0.8333333333333334,0.3541666666666667,0.1373749377759209,0.0820486756735323,NA
ESYT2,A0FGR8,R1_p300-IgG,0.13808223860066976,0.10872229961698571,1.2700452353115712,18,0.22024157900144137,0.3531315296293724,NA,0.6180555555555556,0.1736111111111111,0.6571006879698175,0.4520635043776192,NA
ESYT2,A0FGR8,R2_p300-IgG,0.2817506876229625,0.1087222996169857,2.5914710102300353,18,0.01842668654731483,0.05079416216787908,NA,0.6111111111111112,0.16666666666666666,1.7345527517906874,1.2941861988177639,NA
ESYT2,A0FGR8,R3_p300-IgG,0.09586682895912622,0.10872229961698565,0.8817586575785505,18,0.38953049879924406,0.5420688934595799,NA,0.6458333333333333,0.2013888888888889,0.40945853300639096,0.265945513926684,NA
MED19,A0JLT2,R1_p300-IgG,0.057252715876830354,0.16610733659426577,0.3446730111426444,17,0.7345674825235298,0.8184745063225838,NA,0.675,0.375,0.1339683007023617,0.08699484335754253,NA
MED19,A0JLT2,R2_p300-IgG,0.30112079421593474,0.15378551093865586,1.9580569871504347,17,0.06684272760656151,0.14598293032174858,NA,0.275,0.05,1.1749458364520624,0.8356979229859022,NA
MED19,A0JLT2,R3_p300-IgG,-0.09050378696895678,0.15378551093865583,-0.5885065921786236,17,0.5639303680116838,0.6996717746566291,NA,0.19999999999999996,0,0.24877451774577453,0.15510564553637118,NA
BLTP3B,A0JNW5,R2_p300-IgG,-0.29100497371526934,0.16039713821319274,-1.8142778415938974,5,0.12935822421304977,0.24188936234960526,NA,0.625,0,0.8882059549118515,0.6163832303336566,NA
BLTP3B,A0JNW5,R3_p300-IgG,-0.4478757317656097,0.11341790411346447,-3.94889797397023,5,0.010862710534265574,0.03170529647103662,NA,0.25,0,1.9640617932375255,1.4988681814414335,NA
SHTN1,A0MZ66,R1_p300-IgG,-0.23729245074280764,0.9906423254103585,-0.2395339313253276,1,0.8503279865642461,0.9047260732468073,NA,0.625,0,0.07041352689734129,0.043482893596149826,NA
ARHGAP10,A1A4S6,R1_p300-IgG,0.4162425743417374,0.13053221587099195,3.1888110652554897,16,0.0057103907908615525,0.01926376851593608,NA,0.48958333333333337,0.15625,2.243334169773893,1.715258749112865,NA
ARHGAP10,A1A4S6,R2_p300-IgG,0.1766185402791312,0.13053221587099198,1.353064751874644,16,0.19484556821431598,0.3331931649761537,NA,0.59375,0.2604166666666667,0.7103094678387333,0.4773039161595672,NA
ARHGAP10,A1A4S6,R3_p300-IgG,0.4722979915213894,0.15986866193937718,2.9542875119608283,16,0.009326922732011855,0.027913181799426784,NA,0.90625,0.40625,2.0302616210928206,1.554190655837656,NA
ILVBL,A1L0T0,R1_p300-IgG,0.002749713462383461,0.16181461408606096,0.01699298594205483,18,0.9866291529364946,0.9926499729199223,NA,0.75,0.5,0.005846056142886406,0.0032038649264627423,NA
ILVBL,A1L0T0,R2_p300-IgG,-0.24672645996275167,0.16181461408606093,-1.5247476957274728,18,0.14469982190162733,0.26283087097630237,NA,0.375,0.125,0.8395320034157799,0.580323625766524,NA
ILVBL,A1L0T0,R3_p300-IgG,0.25233166501166715,0.16181461408606088,1.5593873670610796,18,0.13631345181217203,0.24424058827950995,NA,0.4375,0.1875,0.8654612845942832,0.6121821626635491,NA
BCLAF3,A2AJT9,R1_p300-IgG,-0.27220705453153266,0.16662295427501445,-1.6336707971354871,11,0.13059593189814467,0.2376294499797335,NA,0.45833333333333337,0.125,0.8840703512516398,0.624099737213098,NA
BCLAF3,A2AJT9,R2_p300-IgG,-0.2594645142049281,0.17997336017650628,-1.4416828910148813,11,0.1772499219230328,0.30987159747114523,NA,0.8125,0.3958333333333333,0.7514139474475954,0.5088182289457648,NA
NBAS,A2RRP1,R1_p300-IgG,0.4879700525550894,0.454300567547001,1.0741127953898166,16,0.2987046121488677,0.44376828360758913,NA,0.5416666666666667,0.5416666666666666,0.5247580716197118,0.35284374028883564,NA
NBAS,A2RRP1,R2_p300-IgG,-0.5307869931016695,0.49070069623527307,-1.0816919502538807,16,0.2954236621593578,0.44905372851980035,NA,0.75,0.625,0.5295547225187119,0.34770169328692707,NA
NBAS,A2RRP1,R3_p300-IgG,0.6151781745870847,0.49070069623527307,1.2536729197794518,16,0.2279704364949815,0.3656380204754461,NA,0.7708333333333334,0.6458333333333334,0.6421214692257118,0.4369486509465206,NA
DENND3,A2RUS2,R1_p300-IgG,0.49669962247497196,0.20738709002929648,2.3950363660766243,18,0.02770762321148501,0.07013838933107555,NA,0.5454545454545454,0.056818181818181816,1.5574007268488819,1.1540442115463008,NA
DENND3,A2RUS2,R2_p300-IgG,0.3465065509092956,0.20738709002929645,1.6708202562673815,18,0.11205271708735376,0.21806134261314747,NA,0.7045454545454546,0.23863636363636365,0.9505776081004703,0.6614213182719924,NA
DENND3,A2RUS2,R3_p300-IgG,0.39575275049221936,0.2073870900292964,1.9082805512933019,18,0.07243457395769459,0.14800484375771364,NA,0.7727272727272727,0.3181818181818182,1.1400540899495282,0.8297240712075847,NA
TRAPPC13,A5PLN9,R1_p300-IgG,0.2867105849506411,0.3497374206738178,0.8197881267559338,3,0.47240400869975274,0.6115930355034013,NA,0.375,0,0.32568642573084383,0.21353746874641388,NA
CNOT1,A5YKK6,R1_p300-IgG,0.24044805182126872,0.1503239645877824,1.5995323997781998,18,0.12710725192425176,0.2329582886886238,NA,0.5892857142857143,0.30357142857142855,0.8958296706825007,0.6327218326822067,NA
CNOT1,A5YKK6,R2_p300-IgG,0.5189213468863463,0.1503239645877824,3.4520200974563817,18,0.0028439725372182423,0.010043972108409915,NA,0.6428571428571428,0.35714285714285715,2.5460746016807247,1.9980945019707126,NA
CNOT1,A5YKK6,R3_p300-IgG,0.05794026909225897,0.15032396458778235,0.3854360098281235,18,0.7044314573070154,0.8092648073942031,NA,0.7321428571428572,0.44642857142857145,0.15216125828425178,0.09190934541842549,NA
BDP1,A6H8Y1,R1_p300-IgG,0.4143484308148852,0.3704408704973179,1.1185278510403598,9,0.29230634426199686,0.43638805411082365,NA,0.3928571428571429,0.375,0.5341617585458264,0.3601271464997358,NA
BDP1,A6H8Y1,R2_p300-IgG,-0.5347680275872606,0.5238825031146022,-1.020778560856569,9,0.3340131654208327,0.49068600748449676,NA,0.9285714285714286,0.42857142857142855,0.4762364147544995,0.30919632628424637,NA
BDP1,A6H8Y1,R3_p300-IgG,-0.2529247168114943,0.6416224089013973,-0.39419557874320293,9,0.7026140230897306,0.8091449049454409,NA,0.9464285714285714,0.32142857142857145,0.15328318661101023,0.09197369620866405,NA
