GENE_ID	locusLine	bin_1_35_0EXN_0229Kronos_MM1S-No-Treatment-1_Input_hs_i77.bam
NM_002585	chr1(.):164523801-164826045	0.1575
NR_026567	chr1(.):17012712-17051652	0.2439
NM_001113348	chr1(.):21538739-21677034	0.1151
NM_002379	chr1(.):31179123-31201432	0.131
NR_034182	chr1(.):31186618-31204593	0.1317
NM_002600	chr1(.):66253855-66845262	0.1094
NM_001037341	chr1(.):66253192-66845262	0.1094
NM_001037340	chr1(.):66453389-66845262	0.1165
NR_034178	chr1(.):143910747-144099477	0.2087
NM_203458	chr1(.):145204110-145290912	0.3955
NM_207168	chr1(.):150594521-150607098	0.2373
NM_020524	chr1(.):154911558-154933567	0.3066
NM_002249	chr1(.):154674914-154847754	0.208
NM_170782	chr1(.):154674914-154837338	0.2058
NM_005572	chr1(.):156079460-156112657	0.1871
NM_015149	chr1(.):183600207-183902666	0.1834
NM_144977	chr1(.):197516384-197749623	0.1717
NM_001195215	chr1(.):197468878-197749623	0.1687
NM_182663	chr1(.):206675878-206767616	0.2122
NM_144729	chr1(.):221869765-221920461	0.1594
NM_144728	chr1(.):221869765-221915802	0.1522
NM_002221	chr1(.):226814390-226931876	0.2035
NM_004481	chr1(.):230197955-230422875	0.1831
NR_026752	chr1(.):16939750-16962401	0.4845
NR_027504	chr1(.):16967068-16981915	0.4948
NR_002729	chr1(.):17076400-17095975	0.2603
NM_014675	chr1(.):17243444-17304474	0.1267
NM_001397	chr1(.):21538739-21621982	0.113
NM_001113347	chr1(.):21538739-21611183	0.1044
NM_001113349	chr1(.):21538739-21621766	0.1128
NM_006762	chr1(.):31200314-31235683	0.196
NM_001037339	chr1(.):66792792-66845262	0.1414
NM_017709	chr1(.):118143603-118176011	0.1465
NM_001123068	chr1(.):143762143-143772881	0.1593
NR_027469	chr1(.):143713512-143749587	0.1593
NR_027468	chr1(.):143713512-143749457	0.1587
NM_207418	chr1(.):143891451-143918143	0.1952
NM_202004	chr1(.):145408190-145422545	0.1676
NM_006472	chr1(.):145433461-145447628	0.2598
NR_027468	chr1(.):147901021-147936980	0.1612
NM_001005464	chr1(.):149807258-149817765	0.2501
NM_001040874	chr1(.):149808784-149819318	0.2664
NM_005850	chr1(.):149890210-149904702	0.2307
NM_016074	chr1(.):149866154-149877348	0.172
NM_003528	chr1(.):149851009-149863232	0.3016
NM_003517	chr1(.):149853524-149863961	0.3259
NM_175065	chr1(.):149854018-149864466	0.3211
NM_014849	chr1(.):149869871-149894434	0.1831
NM_181873	chr1(.):149895542-149913266	0.2252
NM_001145862	chr1(.):149895542-149913791	0.2257
NR_036461	chr1(.):149816758-149827340	0.287
NM_001040874	chr1(.):149817627-149828161	0.2862
NM_001005464	chr1(.):149819180-149829687	0.2759
NM_019032	chr1(.):150516897-150538412	0.2241
NM_207046	chr1(.):150589598-150606609	0.2359
NR_036211	chr1(.):150519404-150529490	0.1372
NM_001197320	chr1(.):150542026-150557214	0.25
NM_006556	chr1(.):154892207-154914484	0.2197
NM_001130041	chr1(.):154929773-154951959	0.2655
NM_001130040	chr1(.):154929773-154948223	0.2618
NM_201398	chr1(.):154950769-154970587	0.2209
NM_015872	chr1(.):154970111-154995999	0.2188
NM_018655	chr1(.):154961061-154971791	0.2292
NR_024163	chr1(.):154942117-154956725	0.2941
NM_138300	chr1(.):154924501-154939258	0.2916
NR_036212	chr1(.):154943168-154953259	0.3175
NM_198406	chr1(.):156208208-156222792	0.1687
NM_014655	chr1(.):156158729-156187587	0.2668
NM_007221	chr1(.):156177783-156214833	0.2536
NM_022367	chr1(.):156118321-156152542	0.2656
NM_001193302	chr1(.):156118368-156152542	0.2656
NM_199173	chr1(.):156206950-156218112	0.1758
NM_024897	chr1(.):156208206-156222843	0.1685
NM_001193301	chr1(.):156114734-156152542	0.268
NM_005920	chr1(.):156428518-156475529	0.2405
NM_001778	chr1(.):160643535-160686585	0.2592
NM_003037	chr1(.):160574890-160622081	0.1985
NM_002021	chr1(.):171212662-171260113	0.1819
NR_033186	chr1(.):178506930-178523024	0.1833
NM_022371	chr1(.):179046111-179070129	0.2298
NM_002922	chr1(.):192539856-192554159	0.2948
NM_002923	chr1(.):192773168-192786407	0.2687
NM_001195216	chr1(.):197698138-197749623	0.1973
NR_034150	chr1(.):203262885-203279453	0.2926
NM_006763	chr1(.):203269663-203283729	0.2838
NM_002023	chr1(.):203304751-203325289	0.1911
NM_002646	chr1(.):204386757-204464474	0.1712
NM_002393	chr1(.):204480510-204532248	0.2216
NM_030952	chr1(.):205266190-205295883	0.2081
NM_001007544	chr1(.):206233871-206293647	0.1952
NM_148964	chr1(.):206312458-206337104	0.1389
NM_006893	chr1(.):206759973-206790904	0.1844
NM_182665	chr1(.):206725491-206767616	0.2569
NM_153606	chr1(.):212792788-212805120	0.2014
NM_001030287	chr1(.):212733696-212799116	0.2098
NM_001674	chr1(.):212776993-212799116	0.2351
NM_005646	chr1(.):234522058-234619849	0.1535
NM_182972	chr1(.):234735014-234750271	0.304
NR_033927	chr1(.):234760056-234775526	0.1607
NM_134421	chr2(.):10438825-10572743	0.1226
NM_002149	chr2(.):10438039-10572743	0.122
NM_001099289	chr2(.):109740996-110267207	0.1024
NM_145693	chr2(.):11881739-11972533	0.1463
NM_183360	chr2(.):25595111-25901503	0.1271
NM_170672	chr2(.):33656415-33794798	0.1286
NM_005813	chr2(.):37472645-37549222	0.1673
NM_138801	chr2(.):38888051-38966909	0.1411
NM_019063	chr2(.):42391489-42564688	0.1154
NR_036586	chr2(.):65123973-65164581	0.1715
NM_004027	chr2(.):99056320-99212496	0.1812
NM_001566	chr2(.):99056320-99203284	0.1852
NM_001077269	chr2(.):175419301-175552627	0.132
NR_024415	chr2(.):192537797-192558248	0.1567
NM_001031716	chr2(.):192537860-192558248	0.1561
NM_001228	chr2(.):202093165-202157434	0.1565
NM_003879	chr2(.):201975889-202034003	0.1592
NM_001127184	chr2(.):201975815-202011323	0.1827
NM_173822	chr2(.):201833440-201941392	0.115
NM_033358	chr2(.):202093165-202151638	0.1602
NM_002539	chr2(.):10575507-10593453	0.1722
NR_028374	chr2(.):10581839-10591975	0.1889
NM_002997	chr2(.):20395557-20429927	0.1909
NM_001006946	chr2(.):20395557-20430194	0.1905
NM_015376	chr2(.):33733941-33794798	0.1131
NM_001139488	chr2(.):33696320-33794798	0.1369
NM_012413	chr2(.):37566752-37605465	0.1865
NM_001193493	chr2(.):65210578-65256000	0.1518
NM_003038	chr2(.):65211494-65256000	0.1525
NM_015425	chr2(.):86248450-86338278	0.1519
NR_026984	chr2(.):86242338-86255991	0.1421
NR_015424	chr2(.):89060418-89111109	0.148
NR_026875	chr2(.):97158382-97178846	0.1297
NM_212481	chr2(.):97197463-97223371	0.1842
NM_003387	chr2(.):175419301-175504307	0.1408
NM_002491	chr2(.):201931461-201955473	0.1264
NM_001127183	chr2(.):201978386-202033841	0.1608
NM_033356	chr2(.):202120222-202157434	0.153
NM_001080125	chr2(.):202117753-202157434	0.155
NM_006139	chr2(.):204566197-204607557	0.1694
NM_025216	chr2(.):219740254-219763651	0.1968
NM_006522	chr2(.):219719545-219743954	0.1117
NM_014674	chr3(.):5224358-5266650	0.1845
NM_016128	chr3(.):128963452-129001616	0.1546
NM_003571	chr3(.):133113789-133199056	0.1496
NM_024947	chr3(.):169800367-169904537	0.188
NM_001135095	chr3(.):171753343-172123492	0.1809
NM_022763	chr3(.):171752417-172123492	0.1813
NM_181361	chr3(.):178249223-178567217	0.1534
NM_001134382	chr3(.):12933718-13119617	0.1202
NM_024923	chr3(.):13352736-13466809	0.1224
NM_014869	chr3(.):12933718-13013960	0.1012
NM_001024847	chr3(.):30642993-30740633	0.1431
NM_181042	chr3(.):52574367-52718739	0.1103
NM_018313	chr3(.):52574367-52724866	0.1138
NM_002213	chr3(.):124476794-124611144	0.1338
NM_001080412	chr3(.):141038054-141173632	0.1896
NM_024665	chr3(.):176733541-176920048	0.1953
NM_005832	chr3(.):178271617-178567217	0.1501
NM_130446	chr3(.):183200318-183278499	0.2618
NM_173216	chr3(.):186643314-186801341	0.2034
NM_003032	chr3(.):186734664-186801341	0.2096
NM_005524	chr3(.):193848933-193861396	0.2151
NM_001010983	chr3(.):52723503-52745048	0.1698
NM_206825	chr3(.):52714935-52733510	0.1559
NR_003687	chr3(.):52719753-52729846	0.1683
NM_014041	chr3(.):52734856-52747197	0.192
NR_003057	chr3(.):52721751-52731828	0.1481
NM_152932	chr3(.):52723503-52742622	0.158
NR_003047	chr3(.):52718255-52728331	0.17
NM_001193533	chr3(.):52739795-52809965	0.1319
NM_006100	chr3(.):98446571-98518236	0.1676
NR_031687	chr3(.):125504246-125514395	0.1119
NM_020187	chr3(.):128992683-129029135	0.1486
NM_001006109	chr3(.):128992816-129029135	0.1488
NM_006026	chr3(.):129028613-129040120	0.2321
NR_026991	chr3(.):129030113-129048412	0.1985
NM_198565	chr3(.):196361655-196393874	0.2027
NM_014687	chr3(.):197393258-197468773	0.2028
NM_001145642	chr3(.):197393313-197481568	0.2035
NR_027840	chr3(.):197472260-197516317	0.1713
NM_032288	chr3(.):197471623-197516317	0.1718
NM_001011537	chr3(.):197471423-197516317	0.1718
NM_020859	chr4(.):77351252-77709405	0.1302
NM_198281	chr4(.):90160428-90234161	0.1688
NM_004310	chr4(.):40193526-40251281	0.1638
NM_002039	chr4(.):144252982-144400718	0.1395
NM_153343	chr4(.):185004858-185144114	0.1004
NM_002199	chr4(.):185303875-185400726	0.1724
NM_017581	chr4(.):40332468-40361973	0.0961
NM_031889	chr4(.):71489460-71517536	0.1241
NM_144646	chr4(.):71516257-71537348	0.173
NM_020368	chr4(.):71549195-71561268	0.1421
NM_014961	chr4(.):71582695-71664274	0.1084
NM_001130709	chr4(.):71565653-71660614	0.111
NM_001131005	chr5(.):88009057-88204922	0.1455
NM_002397	chr5(.):88009057-88184283	0.15
NM_001193349	chr5(.):88009057-88124744	0.1494
NM_001131055	chr5(.):175080039-175118245	0.1292
NM_001178055	chr5(.):49956732-50147356	0.0965
NM_024615	chr5(.):49957771-50147356	0.0965
NM_024669	chr5(.):55390506-55534186	0.1382
NM_022913	chr5(.):56464774-56565506	0.1134
NM_001127235	chr5(.):56466274-56565506	0.1139
NM_001992	chr5(.):76006867-76036595	0.144
