#MOLP-2 Enhancers
#Created from /data/projects/IRF4_mm_trn_data/myeloma_public_data/rose/MOLP-2.H3K27ac_ROSE/MOLP-2_0KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by MOLP.2.jin.bam
#Using cutoff of 10334.3472 for Super-Enhancers
#Created on Jul 16 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	MOLP.2.jin.bam	enhancerRank	isSuperStretch
5_MACS_peak_8624_lociStitched	chr14	106024770	106049557	5	24399	124274.5819	1	1
9_MACS_peak_23902_lociStitched	chr6	7897711	7919947	9	21379	113986.1832	2	1
6_MACS_peak_18950_lociStitched	chr22	23268220	23286986	6	18259	126439.6782	3	1
5_MACS_peak_18940_lociStitched	chr22	23234439	23248947	5	14355	56376.6372	4	1
5_MACS_peak_6052_lociStitched	chr12	12866228	12880017	5	13007	62420.0452	5	1
9_MACS_peak_18999_lociStitched	chr22	24178735	24192774	9	12925	50237.1576	6	1
11_MACS_peak_26898_lociStitched	chr7	137664973	137679525	11	13238	37501.9592	7	1
5_MACS_peak_14073_lociStitched	chr19	16473815	16484642	5	9814	55203.6249	8	1
2_MACS_peak_11951_lociStitched	chr17	43298355	43308947	2	10593	49870.3136	9	1
8_MACS_peak_26166_lociStitched	chr7	55581904	55595387	8	12346	37262.9671	10	1
10_MACS_peak_5604_lociStitched	chr11	122613581	122626305	10	11574	33792.3992	11	1
6_MACS_peak_8416_lociStitched	chr14	91832888	91843919	6	10142	43637.5329	12	1
4_MACS_peak_8631_lociStitched	chr14	106144222	106155560	4	10831	37569.5968	13	1
2_MACS_peak_4877_lociStitched	chr11	65184009	65193173	2	9153	46688.7472	14	1
6_MACS_peak_14515_lociStitched	chr19	39891837	39902326	6	9657	38763.1484	15	1
6_MACS_peak_24094_lociStitched	chr6	25403393	25413703	6	9889	36959.288	16	1
3_MACS_peak_12705_lociStitched	chr17	79477585	79487559	3	9638	38174.4876	17	1
5_MACS_peak_23947_lociStitched	chr6	11726365	11736322	5	9686	35933.8173	18	1
2_MACS_peak_24621_lociStitched	chr6	36718595	36727013	2	8040	43940.2764	19	1
5_MACS_peak_1681_lociStitched	chr1	150532515	150541816	5	8983	38336.8618	20	1
4_MACS_peak_23780_lociStitched	chr6	315465	325302	4	9376	34367.5269	21	1
3_MACS_peak_23773_lociStitched	chr6	290494	299397	3	8826	37141.5354	22	1
4_MACS_peak_11092_lociStitched	chr17	6062752	6071349	4	8478	37430.4783	23	1
2_MACS_peak_24442_lociStitched	chr6	32935507	32941705	2	6005	48605.9556	24	1
4_MACS_peak_12185_lociStitched	chr17	56407910	56416904	4	8387	36314.1744	25	1
5_MACS_peak_13252_lociStitched	chr18	60821795	60830795	5	8698	31794.3	26	1
6_MACS_peak_5747_lociStitched	chr11	130696546	130705432	6	8295	33605.9634	27	1
10_MACS_peak_15563_lociStitched	chr2	37542759	37553173	10	8980	27774.138	28	1
11_MACS_peak_15710_lociStitched	chr2	46791326	46802137	11	9188	25396.1201	29	1
2_MACS_peak_22387_lociStitched	chr4	185201142	185207120	2	5880	43136.6502	30	1
8_MACS_peak_20871_lociStitched	chr3	141096864	141106851	8	8678	27132.6816	31	1
4_MACS_peak_4716_lociStitched	chr11	62306445	62314859	4	8078	29590.3552	32	1
6_MACS_peak_22676_lociStitched	chr5	32530206	32539388	6	8401	25752.7554	33	1
7_MACS_peak_9981_lociStitched	chr16	11828173	11837638	7	8252	26234.1405	34	1
6_MACS_peak_19756_lociStitched	chr3	13053329	13062102	6	8016	26980.4842	35	1
4_MACS_peak_24614_lociStitched	chr6	36643676	36650860	4	6493	36348.8848	36	1
3_MACS_peak_1527_lociStitched	chr1	143462727	143469867	3	6917	33330.234	37	1
8_MACS_peak_15527_lociStitched	chr2	33712534	33722132	8	8056	23797.2812	38	1
4_MACS_peak_16358_lociStitched	chr2	99075043	99083206	4	7656	26759.9466	39	1
3_MACS_peak_24374_lociStitched	chr6	31701878	31709017	3	6848	31933.4609	40	1
3_MACS_peak_14825_lociStitched	chr19	47729563	47736693	3	7009	30603.386	41	1
2_MACS_peak_6179_lociStitched	chr12	26273527	26280154	2	6597	31252.932	42	1
4_MACS_peak_28078_lociStitched	chr8	126441146	126449016	4	7103	27681.938	43	1
4_MACS_peak_11058_lociStitched	chr17	4847684	4854386	4	6367	31996.6884	44	1
10_MACS_peak_22847_lociStitched	chr5	55981378	55990357	10	7744	22166.4573	45	1
3_MACS_peak_22551_lociStitched	chr5	6480062	6487197	3	6826	29087.2545	46	1
3_MACS_peak_9376_lociStitched	chr15	75334904	75340996	3	5952	33661.346	47	1
1_MACS_peak_28712_lociStitched	chr9	66454640	66459213	1	4574	39012.263	48	1
9_MACS_peak_25198_lociStitched	chr6	106531941	106541273	9	7672	22049.6496	49	1
4_MACS_peak_4944_lociStitched	chr11	65768585	65775659	4	6812	28144.6164	50	1
4_MACS_peak_22690_lociStitched	chr5	32581086	32588085	4	6918	27401.085	51	1
9_MACS_peak_20284_lociStitched	chr3	55638467	55646919	9	7505	22367.3728	52	1
8_MACS_peak_16258_lociStitched	chr2	87813009	87821757	8	7571	21569.9436	53	1
3_MACS_peak_8638_lociStitched	chr14	106161603	106168414	3	6277	30605.2285	54	1
5_MACS_peak_6356_lociStitched	chr12	48201437	48209001	5	7021	25538.3332	55	1
6_MACS_peak_11654_lociStitched	chr17	36577138	36585672	6	7520	20898.0592	56	1
1_MACS_peak_22520_lociStitched	chr5	1312137	1317933	1	5797	32138.82	57	1
2_MACS_peak_8559_lociStitched	chr14	103365158	103370684	2	5231	34201.5192	58	1
2_MACS_peak_15735_lociStitched	chr2	47208380	47214812	2	6319	28569.6576	59	1
4_MACS_peak_11033_lociStitched	chr17	4275526	4281790	4	6056	29850.4656	60	1
8_MACS_peak_20274_lociStitched	chr3	55516126	55523723	8	7064	22999.9175	61	1
1_MACS_peak_5930_lociStitched	chr12	7066306	7072005	1	5700	31213.9929	62	1
4_MACS_peak_2068_lociStitched	chr1	161151117	161157760	4	6443	26733.4249	63	1
2_MACS_peak_26175_lociStitched	chr7	55599794	55606278	2	6189	27647.1276	64	1
5_MACS_peak_11669_lociStitched	chr17	36856429	36862893	5	6167	27535.9936	65	1
4_MACS_peak_19530_lociStitched	chr22	46448026	46454977	4	6621	24509.226	66	1
1_MACS_peak_2269_lociStitched	chr1	178546232	178552555	1	6324	26368.1746	67	1
5_MACS_peak_24451_lociStitched	chr6	33238757	33245661	5	6147	27212.116	68	1
3_MACS_peak_18698_lociStitched	chr21	44579967	44586605	3	6355	25688.3962	69	1
3_MACS_peak_1962_lociStitched	chr1	156629303	156635776	3	6079	27411.2131	70	1
5_MACS_peak_12573_lociStitched	chr17	75135758	75143450	5	6723	22703.7072	71	1
7_MACS_peak_846_lociStitched	chr1	40846173	40854023	7	6722	21470.535	72	1
2_MACS_peak_5836_lociStitched	chr12	4224646	4230069	2	5210	30097.1077	73	1
4_MACS_peak_14089_lociStitched	chr19	16694321	16700183	4	5623	27695.019	74	1
2_MACS_peak_24826_lociStitched	chr6	43736771	43741361	2	4577	32321.862	75	1
2_MACS_peak_8707_lociStitched	chr15	31554758	31560843	2	6022	25135.918	76	1
3_MACS_peak_12029_lociStitched	chr17	46128872	46135404	3	6156	24213.4708	77	1
5_MACS_peak_5555_lociStitched	chr11	119186024	119193364	5	6527	21317.562	78	1
1_MACS_peak_11104_lociStitched	chr17	6915492	6920759	1	5268	28942.6917	79	1
4_MACS_peak_28545_lociStitched	chr9	33452626	33459148	4	6319	22596.7734	80	1
3_MACS_peak_25221_lociStitched	chr6	106610789	106617375	3	6006	24484.1136	81	1
5_MACS_peak_22421_lociStitched	chr4	185454611	185460859	5	5853	24977.6296	82	1
5_MACS_peak_14799_lociStitched	chr19	47217083	47223610	5	6116	21220.5824	83	1
5_MACS_peak_25891_lociStitched	chr7	26003135	26009424	5	6114	20544.9052	84	1
7_MACS_peak_407_lociStitched	chr1	23851284	23858368	7	6361	17391.9284	85	1
3_MACS_peak_22394_lociStitched	chr4	185248175	185254296	3	5937	20524.9372	86	1
3_MACS_peak_19332_lociStitched	chr22	39543770	39549569	3	5447	23890.7202	87	1
8_MACS_peak_12293_lociStitched	chr17	62164443	62171408	8	6358	16762.6655	88	1
3_MACS_peak_1814_lociStitched	chr1	154296566	154302055	3	5261	24744.412	89	1
6_MACS_peak_6173_lociStitched	chr12	26265979	26272650	6	6266	17303.9069	90	1
5_MACS_peak_13953_lociStitched	chr19	13260692	13267168	5	5716	21704.9616	91	1
6_MACS_peak_4720_lociStitched	chr11	62319054	62325832	6	5882	20262.831	92	1
3_MACS_peak_23342_lociStitched	chr5	138723767	138730021	3	6233	16551.8364	93	1
3_MACS_peak_22397_lociStitched	chr4	185263872	185269869	3	5690	21112.4385	94	1
2_MACS_peak_16364_lociStitched	chr2	99095279	99101107	2	5814	19942.2504	95	1
2_MACS_peak_24848_lociStitched	chr6	44229722	44234246	2	4347	28235.6412	96	1
3_MACS_peak_5927_lociStitched	chr12	7058002	7063623	3	5474	22331.1088	97	1
9_MACS_peak_21965_lociStitched	chr4	105406606	105414066	9	5957	18544.814	98	1
6_MACS_peak_1851_lociStitched	chr1	154971126	154977206	6	5797	19286.976	99	1
6_MACS_peak_12352_lociStitched	chr17	65642595	65649083	6	5909	18168.9952	100	1
7_MACS_peak_16209_lociStitched	chr2	86220848	86227557	7	6099	16324.3388	101	1
5_MACS_peak_17412_lociStitched	chr2	232570516	232576103	5	5022	23717.9324	102	1
2_MACS_peak_22385_lociStitched	chr4	185186464	185191748	2	5237	22386.7228	103	1
2_MACS_peak_11248_lociStitched	chr17	16890387	16895282	2	4743	24772.1265	104	1
5_MACS_peak_13919_lociStitched	chr19	12899095	12905101	5	5587	19207.7886	105	1
3_MACS_peak_16050_lociStitched	chr2	70311785	70316666	3	4548	25526.1657	106	1
