#MOLP-2 Enhancers
#Created from /data/projects/IRF4_mm_trn_data/myeloma_public_data/rose/MOLP-2.H3K27ac_ROSE/MOLP-2_0KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by MOLP.2.jin.bam
#Using cutoff of 10334.3472 for Super-Enhancers
#Created on Jul 16 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	MOLP.2.jin.bam	enhancerRank	isSuper
6_MACS_peak_18950_lociStitched	chr22	23268220	23286986	6	18259	126439.6782	1	1
5_MACS_peak_8624_lociStitched	chr14	106024770	106049557	5	24399	124274.5819	2	1
9_MACS_peak_23902_lociStitched	chr6	7897711	7919947	9	21379	113986.1832	3	1
5_MACS_peak_6052_lociStitched	chr12	12866228	12880017	5	13007	62420.0452	4	1
5_MACS_peak_18940_lociStitched	chr22	23234439	23248947	5	14355	56376.6372	5	1
5_MACS_peak_14073_lociStitched	chr19	16473815	16484642	5	9814	55203.6249	6	1
9_MACS_peak_18999_lociStitched	chr22	24178735	24192774	9	12925	50237.1576	7	1
2_MACS_peak_11951_lociStitched	chr17	43298355	43308947	2	10593	49870.3136	8	1
2_MACS_peak_24442_lociStitched	chr6	32935507	32941705	2	6005	48605.9556	9	1
2_MACS_peak_4877_lociStitched	chr11	65184009	65193173	2	9153	46688.7472	10	1
2_MACS_peak_24621_lociStitched	chr6	36718595	36727013	2	8040	43940.2764	11	1
6_MACS_peak_8416_lociStitched	chr14	91832888	91843919	6	10142	43637.5329	12	1
2_MACS_peak_22387_lociStitched	chr4	185201142	185207120	2	5880	43136.6502	13	1
1_MACS_peak_28712_lociStitched	chr9	66454640	66459213	1	4574	39012.263	14	1
6_MACS_peak_14515_lociStitched	chr19	39891837	39902326	6	9657	38763.1484	15	1
5_MACS_peak_1681_lociStitched	chr1	150532515	150541816	5	8983	38336.8618	16	1
3_MACS_peak_12705_lociStitched	chr17	79477585	79487559	3	9638	38174.4876	17	1
4_MACS_peak_8631_lociStitched	chr14	106144222	106155560	4	10831	37569.5968	18	1
11_MACS_peak_26898_lociStitched	chr7	137664973	137679525	11	13238	37501.9592	19	1
4_MACS_peak_11092_lociStitched	chr17	6062752	6071349	4	8478	37430.4783	20	1
8_MACS_peak_26166_lociStitched	chr7	55581904	55595387	8	12346	37262.9671	21	1
3_MACS_peak_23773_lociStitched	chr6	290494	299397	3	8826	37141.5354	22	1
6_MACS_peak_24094_lociStitched	chr6	25403393	25413703	6	9889	36959.288	23	1
4_MACS_peak_24614_lociStitched	chr6	36643676	36650860	4	6493	36348.8848	24	1
4_MACS_peak_12185_lociStitched	chr17	56407910	56416904	4	8387	36314.1744	25	1
5_MACS_peak_23947_lociStitched	chr6	11726365	11736322	5	9686	35933.8173	26	1
4_MACS_peak_23780_lociStitched	chr6	315465	325302	4	9376	34367.5269	27	1
2_MACS_peak_8559_lociStitched	chr14	103365158	103370684	2	5231	34201.5192	28	1
10_MACS_peak_5604_lociStitched	chr11	122613581	122626305	10	11574	33792.3992	29	1
3_MACS_peak_9376_lociStitched	chr15	75334904	75340996	3	5952	33661.346	30	1
6_MACS_peak_5747_lociStitched	chr11	130696546	130705432	6	8295	33605.9634	31	1
3_MACS_peak_1527_lociStitched	chr1	143462727	143469867	3	6917	33330.234	32	1
2_MACS_peak_24826_lociStitched	chr6	43736771	43741361	2	4577	32321.862	33	1
1_MACS_peak_22520_lociStitched	chr5	1312137	1317933	1	5797	32138.82	34	1
4_MACS_peak_11058_lociStitched	chr17	4847684	4854386	4	6367	31996.6884	35	1
3_MACS_peak_24374_lociStitched	chr6	31701878	31709017	3	6848	31933.4609	36	1
5_MACS_peak_13252_lociStitched	chr18	60821795	60830795	5	8698	31794.3	37	1
2_MACS_peak_6179_lociStitched	chr12	26273527	26280154	2	6597	31252.932	38	1
1_MACS_peak_5930_lociStitched	chr12	7066306	7072005	1	5700	31213.9929	39	1
3_MACS_peak_8638_lociStitched	chr14	106161603	106168414	3	6277	30605.2285	40	1
3_MACS_peak_14825_lociStitched	chr19	47729563	47736693	3	7009	30603.386	41	1
2_MACS_peak_5836_lociStitched	chr12	4224646	4230069	2	5210	30097.1077	42	1
4_MACS_peak_11033_lociStitched	chr17	4275526	4281790	4	6056	29850.4656	43	1
4_MACS_peak_4716_lociStitched	chr11	62306445	62314859	4	8078	29590.3552	44	1
3_MACS_peak_22551_lociStitched	chr5	6480062	6487197	3	6826	29087.2545	45	1
1_MACS_peak_11104_lociStitched	chr17	6915492	6920759	1	5268	28942.6917	46	1
