REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	MOLP.2.jin.bam	enhancerRank	isStretch	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isStretch
5_MACS_peak_8624_lociStitched	chr14	106024770	106049557	5	24399	124274.5819	1	1		TMEM121	TMEM121	1	1
9_MACS_peak_23902_lociStitched	chr6	7897711	7919947	9	21379	113986.1832	2	1	MUTED-TXNDC5,TXNDC5		TXNDC5	2	1
6_MACS_peak_18950_lociStitched	chr22	23268220	23286986	6	18259	126439.6782	3	1		IGLL5	IGLL5	3	1
5_MACS_peak_18940_lociStitched	chr22	23234439	23248947	5	14355	56376.6372	4	1	IGLL5		IGLL5	4	1
11_MACS_peak_26898_lociStitched	chr7	137664973	137679525	11	13238	37501.9592	5	1	CREB3L2		CREB3L2	5	1
5_MACS_peak_6052_lociStitched	chr12	12866228	12880017	5	13007	62420.0452	6	1	CDKN1B,APOLD1	MIR613,GPR19	CDKN1B	6	1
9_MACS_peak_18999_lociStitched	chr22	24178735	24192774	9	12925	50237.1576	7	1	DERL3	SMARCB1,SLC2A11,MIF	DERL3	7	1
8_MACS_peak_26166_lociStitched	chr7	55581904	55595387	8	12346	37262.9671	8	1	VOPP1		VOPP1	8	1
10_MACS_peak_5604_lociStitched	chr11	122613581	122626305	10	11574	33792.3992	9	1	UBASH3B		CRTAM	9	1
4_MACS_peak_8631_lociStitched	chr14	106144222	106155560	4	10831	37569.5968	10	1			TMEM121	10	1
2_MACS_peak_11951_lociStitched	chr17	43298355	43308947	2	10593	49870.3136	11	1	FMNL1	LOC100133991,C17orf46	FMNL1	11	1
6_MACS_peak_8416_lociStitched	chr14	91832888	91843919	6	10142	43637.5329	12	1	CCDC88C		CCDC88C	12	1
6_MACS_peak_24094_lociStitched	chr6	25403393	25413703	6	9889	36959.288	13	1	LRRC16A		LRRC16A	13	1
5_MACS_peak_14073_lociStitched	chr19	16473815	16484642	5	9814	55203.6249	14	1	EPS15L1	KLF2	KLF2	14	1
