REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	MOLP.2.jin.bam	enhancerRank	isSuper	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isSuper
6_MACS_peak_18950_lociStitched	chr22	23268220	23286986	6	18259	126439.6782	1	1		IGLL5	IGLL5	1	1
5_MACS_peak_8624_lociStitched	chr14	106024770	106049557	5	24399	124274.5819	2	1		TMEM121	TMEM121	2	1
9_MACS_peak_23902_lociStitched	chr6	7897711	7919947	9	21379	113986.1832	3	1	MUTED-TXNDC5,TXNDC5		TXNDC5	3	1
5_MACS_peak_6052_lociStitched	chr12	12866228	12880017	5	13007	62420.0452	4	1	CDKN1B,APOLD1	MIR613,GPR19	CDKN1B	4	1
5_MACS_peak_18940_lociStitched	chr22	23234439	23248947	5	14355	56376.6372	5	1	IGLL5		IGLL5	5	1
5_MACS_peak_14073_lociStitched	chr19	16473815	16484642	5	9814	55203.6249	6	1	EPS15L1	KLF2	KLF2	6	1
9_MACS_peak_18999_lociStitched	chr22	24178735	24192774	9	12925	50237.1576	7	1	DERL3	SMARCB1,SLC2A11,MIF	DERL3	7	1
2_MACS_peak_11951_lociStitched	chr17	43298355	43308947	2	10593	49870.3136	8	1	FMNL1	LOC100133991,C17orf46	FMNL1	8	1
2_MACS_peak_24442_lociStitched	chr6	32935507	32941705	2	6005	48605.9556	9	1	BRD2	HLA-DMB,HLA-DMA,HLA-DOA	BRD2	9	1
2_MACS_peak_4877_lociStitched	chr11	65184009	65193173	2	9153	46688.7472	10	1	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	10	1
2_MACS_peak_24621_lociStitched	chr6	36718595	36727013	2	8040	43940.2764	11	1	CPNE5		CDKN1A	11	1
6_MACS_peak_8416_lociStitched	chr14	91832888	91843919	6	10142	43637.5329	12	1	CCDC88C		CCDC88C	12	1
2_MACS_peak_22387_lociStitched	chr4	185201142	185207120	2	5880	43136.6502	13	1			ENPP6	13	1
1_MACS_peak_28712_lociStitched	chr9	66454640	66459213	1	4574	39012.263	14	1		LOC442421	LOC442421	14	1
6_MACS_peak_14515_lociStitched	chr19	39891837	39902326	6	9657	38763.1484	15	1	ZFP36	MED29,PLEKHG2,SUPT5H,PAF1,RPS16	ZFP36	15	1
5_MACS_peak_1681_lociStitched	chr1	150532515	150541816	5	8983	38336.8618	16	1	ADAMTSL4	MIR4257,MCL1	MIR4257	16	1
3_MACS_peak_12705_lociStitched	chr17	79477585	79487559	3	9638	38174.4876	17	1	ACTG1	FSCN2,C17orf70	ACTG1	17	1
4_MACS_peak_8631_lociStitched	chr14	106144222	106155560	4	10831	37569.5968	18	1			TMEM121	18	1
11_MACS_peak_26898_lociStitched	chr7	137664973	137679525	11	13238	37501.9592	19	1	CREB3L2		CREB3L2	19	1
4_MACS_peak_11092_lociStitched	chr17	6062752	6071349	4	8478	37430.4783	20	1			WSCD1	20	1
8_MACS_peak_26166_lociStitched	chr7	55581904	55595387	8	12346	37262.9671	21	1	VOPP1		VOPP1	21	1
3_MACS_peak_23773_lociStitched	chr6	290494	299397	3	8826	37141.5354	22	1	DUSP22		DUSP22	22	1
6_MACS_peak_24094_lociStitched	chr6	25403393	25413703	6	9889	36959.288	23	1	LRRC16A		LRRC16A	23	1
4_MACS_peak_24614_lociStitched	chr6	36643676	36650860	4	6493	36348.8848	24	1	CDKN1A		CDKN1A	24	1
4_MACS_peak_12185_lociStitched	chr17	56407910	56416904	4	8387	36314.1744	25	1	MIR142	MPO,BZRAP1,SUPT4H1	MIR142	25	1
5_MACS_peak_23947_lociStitched	chr6	11726365	11736322	5	9686	35933.8173	26	1	C6orf105		C6orf105	26	1
4_MACS_peak_23780_lociStitched	chr6	315465	325302	4	9376	34367.5269	27	1	DUSP22		DUSP22	27	1
2_MACS_peak_8559_lociStitched	chr14	103365158	103370684	2	5231	34201.5192	28	1	TRAF3	AMN	AMN	28	1
10_MACS_peak_5604_lociStitched	chr11	122613581	122626305	10	11574	33792.3992	29	1	UBASH3B		CRTAM	29	1
3_MACS_peak_9376_lociStitched	chr15	75334904	75340996	3	5952	33661.346	30	1	PPCDC	SCAMP5	PPCDC	30	1
6_MACS_peak_5747_lociStitched	chr11	130696546	130705432	6	8295	33605.9634	31	1			SNX19	31	1
3_MACS_peak_1527_lociStitched	chr1	143462727	143469867	3	6917	33330.234	32	1			LOC100130000	32	1
2_MACS_peak_24826_lociStitched	chr6	43736771	43741361	2	4577	32321.862	33	1	VEGFA		VEGFA	33	1
1_MACS_peak_22520_lociStitched	chr5	1312137	1317933	1	5797	32138.82	34	1		TERT,CLPTM1L	TERT	34	1
4_MACS_peak_11058_lociStitched	chr17	4847684	4854386	4	6367	31996.6884	35	1	RNF167,ENO3,PFN1	C17orf107,GP1BA,KIF1C,CHRNE,SLC25A11,SPAG7,CAMTA2,INCA1	PFN1	35	1
3_MACS_peak_24374_lociStitched	chr6	31701878	31709017	3	6848	31933.4609	36	1	MSH5,CLIC1	LY6G6F,LY6G6D,C6orf25,C6orf26,BAT5,LY6G6E,LY6G6C,DDAH2,C6orf27	CLIC1	36	1
5_MACS_peak_13252_lociStitched	chr18	60821795	60830795	5	8698	31794.3	37	1	BCL2		BCL2	37	1
2_MACS_peak_6179_lociStitched	chr12	26273527	26280154	2	6597	31252.932	38	1	BHLHE41		BHLHE41	38	1
1_MACS_peak_5930_lociStitched	chr12	7066306	7072005	1	5700	31213.9929	39	1	PTPN6	ENO2,ATN1,C12orf57,MIR200C,MIR141,EMG1,SCARNA12,PHB2	MIR200C	39	1
3_MACS_peak_8638_lociStitched	chr14	106161603	106168414	3	6277	30605.2285	40	1			TMEM121	40	1
