GENE	H3k18ac_1_DMSO_compare_TSS_SIGNAL	H3k18ac_1_DMSO_compare_DISTAL_SIGNAL	ENHANCER_PROMOTER_DIFFERENCE	ENHANCER_CONTRIBUTION	ENHANCER_PROMOTER_RATIO
BRD2	30768.859	10065.0889	-20703.7701	0.246488263261951	-1.61211103034399
UBE2D3	19813.8999	3641.2148	-16172.6851	0.155241824504913	-2.44402111388708
PTPN7	16099.8512	1628.8302	-14471.021	0.091875428479413	-3.30513923377924
FLJ43663	23981.4957	9862.1022	-14119.3935	0.291402297980854	-1.28195453235393
LPXN	22804.5363	8829.3972	-13975.1391	0.279111581239178	-1.36893398443211
GART	14213.1696	932.6253	-13280.5443	0.0615765171889394	-3.92978694040227
NCRNA00167	14064.3216	956.0395	-13108.2821	0.0636495683183009	-3.87882592871014
BRP44	13220.4799	289.4845	-12930.9954	0.0214274805935092	-5.51314463362062
PRDM10	13854.0388	956.0395	-12897.9993	0.0645533048937358	-3.85709258294118
BCLAF1	14107.6	1214.9409	-12892.6591	0.079291085462203	-3.5375145342858
C7orf55	15376.8	2694.2065	-12682.5935	0.14909000779785	-2.51282296457487
PJA2	15751.2	3197.4403	-12553.7597	0.168742466444941	-2.30047241640279
ZNF335	13370.2	1103.987	-12266.213	0.0762728158755998	-3.59822595747563
MZF1	12868.5737	1625.0654	-11243.5083	0.112122662140801	-2.98528247499836
RAB40C	14504.4576	3283.5534	-11220.9042	0.184593623199356	-2.14316652348145
LUC7L2	13476.8	2694.2065	-10782.5935	0.166607223860803	-2.32254563945429
C11orf10	12010.8044	1983.396	-10027.4084	0.141729855462124	-2.59828811953605
FEN1	12006.9388	1983.396	-10023.5428	0.141769016135339	-2.59782372269811
MIR611	11981.4972	1983.396	-9998.1012	0.142027294558901	-2.5947635412078
MSL2	16919.0768	7163.1154	-9755.9614	0.297444490954607	-1.23999175943652
GLUD1	13097.2096	3569.777	-9527.4326	0.214182508552566	-1.8753536153455
SMC4	13543.8052	4068.292	-9475.5132	0.230994182793858	-1.73513799139844
HNRNPL	16476.6	7052.7546	-9423.8454	0.29974279872513	-1.22415982117298
ADK	11937.337	2525.8223	-9411.5147	0.174638351663595	-2.24065598439261
FAM35A	12519.2608	3569.777	-8949.4838	0.221876351114049	-1.81024352220147
MYNN	11268.064	2501.5256	-8766.5384	0.181670309186267	-2.17135954131692
RFX3	11261.4	2510.1468	-8751.2532	0.182270505735783	-2.16554254784144
FARSB	14480	6214.4747	-8265.5253	0.300296324989588	-1.22035724967254
RPRD2	11430.2	3397.9849	-8032.2151	0.229157170814615	-1.75009930075319
GPBP1L1	10529.7584	2757.455	-7772.3034	0.207526959716023	-1.93306308762294
C1orf77	11361.0566	3784.3906	-7576.666	0.249869848676373	-1.5859641074775
S100A13	11361.0566	3784.3906	-7576.666	0.249869848676373	-1.5859641074775
HSPA9	11289	3939.9238	-7349.0762	0.2587132125515	-1.51867806258367
MAT2A	10981.8	3673.9074	-7307.8926	0.250681000904808	-1.57972737312319
GPBP1	11590.1	4297.3744	-7292.7256	0.270488202958174	-1.43136563447785
EIF4A2	12245.4332	5138.1448	-7107.2884	0.295574639467203	-1.2529243591806
PARP8	10775.0689	3770.3268	-7004.7421	0.259211016170567	-1.51493561223095
ZNF398	13567.1519	6642.9011	-6924.2508	0.328692908425327	-1.03023255238277
USP37	10388.1235	3538.7706	-6849.3529	0.254096180712683	-1.5536149232924
PPM1B	13372	6643.4927	-6728.5073	0.331917520071839	-1.00920144227165
HNRNPA0	10553.6	3912.2155	-6641.3845	0.270445554901485	-1.43167746217191
CBX5	10444.4395	3889.8	-6554.6395	0.271364239449187	-1.42496718850482
DUSP4	12787.055	6260.1044	-6526.9506	0.32866341214113	-1.03042541152229
NCAPG2	10150.2	3839.7072	-6310.4928	0.274462664055413	-1.40243994825084
RQCD1	9837.8195	3538.7706	-6299.0489	0.264549528208987	-1.47509034295172
IFT80	10158.715	4068.292	-6090.423	0.285955577304489	-1.32022278685416
TOR3A	18793.2	12871.1646	-5922.0354	0.406487379822553	-0.546068145221174
CHAF1A	12423.6	6585.9944	-5837.6056	0.346456334702228	-0.915610095102629
NBR1	9699.2992	3993.9913	-5705.3079	0.291675057941698	-1.28004932233307
XPO1	9835.2	4130.6722	-5704.5278	0.295769010402372	-1.25157781418127
UBAP2L	11142.7862	5447.3831	-5695.4031	0.328350060900222	-1.03247477995636
MDM2	9797.4	4115.4131	-5681.9869	0.295800214551865	-1.25136168878548
CENPM	10585.5006	4917.909	-5667.5916	0.317214672571123	-1.10597255264425
SLC1A5	13728.5987	8088.1617	-5640.437	0.370731563793495	-0.763300629548915
HCLS1	11667.2	6040.9394	-5626.2606	0.341139137407061	-0.94961355231349
CD164	11226.4	5627.8202	-5598.5798	0.333911633597857	-0.996247226398525
ETF1	11309.4	5797.1143	-5512.2857	0.338883433429802	-0.964115555551725
C1orf43	10898.3524	5447.3831	-5450.9693	0.333260201108723	-1.00047480978719
FLJ39739	13156.215	7809.2208	-5346.9942	0.37248072849504	-0.752493980826962
YME1L1	10067.4715	4748.7544	-5318.7171	0.32051039394587	-1.0840803394195
SLC3A2	15785.3372	10508.4158	-5276.9214	0.399654465454209	-0.587039887565714
SYNCRIP	9993.2668	4739.7507	-5253.5161	0.321709432572112	-1.07614519361189
TRPV3	11608.8	6387.9942	-5220.8058	0.354951783579322	-0.861783940767459
EFCAB2	12172.6911	7038.6759	-5134.0152	0.366380794245407	-0.79027218683533
NFKB2	15703.1073	10571.4483	-5131.659	0.40234546535965	-0.570877023961489
MASTL	9857.8762	4748.7544	-5109.1218	0.325109501981929	-1.05372771942482
SPATA2	9369.0532	4306.6917	-5062.3615	0.314914597449094	-1.121323211995
FAM76B	11284.597	6280.8789	-5003.7181	0.357569526482343	-0.84531653886343
HSPC157	11122.2525	6159.7635	-4962.489	0.356426212080813	-0.852502129245273
IFRD1	9517.4882	4619.0352	-4898.453	0.326744777998245	-1.04298933561527
HRAS	10450.3014	5562.6363	-4887.6651	0.347383871979968	-0.909703865530883
PFN1	16540	11842.7936	-4697.2064	0.417252570937908	-0.481949795647645
ZBTB4	11081.772	6446.2015	-4635.5705	0.367766501929045	-0.781667398966532
FAM36A	12780.6	8203.6316	-4576.9684	0.390942673354787	-0.639620955492531
N4BP2	8937.3976	4364.2878	-4573.1098	0.328100362379643	-1.03410856488739
EXOC8	9033.615	4527.2423	-4506.3727	0.33384631958335	-0.996670907121116
C1orf124	9012.2837	4527.2423	-4485.0414	0.334372288956054	-0.993260206931483
HSPA4	8854.6	4384.5309	-4470.0691	0.331179662254114	-1.01400463846842
NAA50	10113.4855	5770.6339	-4342.8516	0.36329580222118	-0.809478579992223
DOHH	11313.1485	7040.1403	-4273.0082	0.383590122550679	-0.684324408588082
CREM	9723.703	5517.3162	-4206.3868	0.362004412408325	-0.817539164103399
RNF139	8956.4	4794.3159	-4162.0841	0.348659366891581	-0.901593989490654
LOC100286793	11893.72	7809.2208	-4084.4992	0.396347980703469	-0.606949508238768
DCAF8	11443.8749	7376.9052	-4066.9697	0.391955336644096	-0.633488030945542
EIF5A	10100.2713	6051.8476	-4048.4237	0.374678247322709	-0.738946482632844
TLCD1	11210.5735	7201.1796	-4009.3939	0.39111862737286	-0.638554930225109
SEH1L	9026.8	5041.5356	-3985.2644	0.358360487220677	-0.840351412276404
EEF1D	12775.8592	8873.8356	-3902.0236	0.409882711141036	-0.525790587707243
NFE2L2	14012.815	10194.2238	-3818.5912	0.421126428731134	-0.458994873281786
FLCN	9952.6	6138.7589	-3813.8411	0.381494126018158	-0.697126453001487
SQSTM1	13067.688	9256.1429	-3811.5451	0.414630577586036	-0.49752087234033
C1orf26	9085.3229	5336.643	-3748.6799	0.370035752199359	-0.767605285917333
ADAR	14026.3986	10278.6439	-3747.7547	0.422901704450836	-0.448494695063146
RGS2	10348.2	6631.4016	-3716.7984	0.39055107158698	-0.641994109553318
WDR4	8540.6	4829.381	-3711.219	0.361210760134962	-0.822499141353334
C1orf25	9029.0822	5336.643	-3692.4392	0.371484413470473	-0.758646842153989
ZFP91-CNTF	12306.3844	8829.3972	-3476.9872	0.41774642485897	-0.479020111345458
FBXO40	11666.4	8211.7164	-3454.6836	0.413103346150041	-0.506603736597881
POU2F1	12513.8357	9089.3642	-3424.4715	0.420741568011876	-0.461272780750377
EVC2	8872.9622	5521.5854	-3351.3768	0.383588672144167	-0.684333258268451
POLR2A	9765.8963	6446.2015	-3319.6948	0.397616741492887	-0.599303172775884
MAP2K3	10589.4	7351.6346	-3237.7654	0.409766480245236	-0.526483881003557
CEP57	9517.8391	6280.8789	-3236.9602	0.397556238423903	-0.599667612427288
TIGD5	11974.768	8873.8356	-3100.9324	0.42563213202442	-0.432367974746719
TOR1AIP1	14535.6	11519.2149	-3016.3851	0.442114631948508	-0.335548231959972
DYRK1A	10205.4	7190.5695	-3014.8305	0.413346867502843	-0.505154786685578
HAUS8	8917.3756	5956.8769	-2960.4987	0.400482437688885	-0.582063038993642
IGF1	13655.0416	10772.4769	-2882.5647	0.440997594577607	-0.34208370446818
TROVE2	8700.8784	5955.5342	-2745.3442	0.406343241183044	-0.546930135186644
FOXP2	11675.6	8976.2058	-2699.3942	0.434645080770612	-0.379319032301354
UBAP2	8723.2	6031.6831	-2691.5169	0.40879233397654	-0.532296834748065
CACYBP	14557.8972	11877.4402	-2680.457	0.449301630627192	-0.293578038881263
HBP1	8611	5932.0801	-2678.9199	0.407897093271184	-0.537642709870171
ZNF460	9112.4	6441.9709	-2670.4291	0.414158241526824	-0.500328933588643
UCHL5	8508.7332	5955.5342	-2553.199	0.411741157384853	-0.514713435231133
CLCN6	10308.1316	7761.1442	-2546.9874	0.42952159709688	-0.409441595770698
MTHFR	10308.1316	7761.1442	-2546.9874	0.42952159709688	-0.409441595770698
DNAJC1	8368.8	5841.3951	-2527.4049	0.411070717811608	-0.518707800931228
EIF4ENIF1	8609.3419	6133.5339	-2475.808	0.416033749670468	-0.489184424535522
ESYT2	8449.4	5999.8608	-2449.5392	0.415236521995644	-0.493919868065227
HNRNPU	12639	10241.8769	-2397.1231	0.447617324491615	-0.303402197587906
RBM33	10103.8	7724.3176	-2379.4824	0.433266022431892	-0.387418597276974
SUPT16H	8428.4	6053.573	-2374.827	0.418007477296084	-0.477471868472248
PES1	8958.5631	6644.6264	-2313.9367	0.425850522420432	-0.431079266196706
C1orf31	9048	6735.998	-2312.002	0.42676120460735	-0.425707219277122
SIK3	7791	5494.1738	-2296.8262	0.413556787642477	-0.503905966094336
MYO9B	8252.4022	5956.8769	-2295.5253	0.419224427789584	-0.470257990212879
OTUD4	8109.2	5834.4096	-2274.7904	0.418428926753658	-0.474972921690311
EPC1	10737.1712	8482.592	-2254.5792	0.441347373103952	-0.340036875749073
ARHGAP10	7970	5822.744	-2147.256	0.422159941488075	-0.452880532894369
ARPC5L	8175.6	6046.4108	-2129.1892	0.425144579414888	-0.43524561196867
RAB11B	8318.5039	6246.0066	-2072.4973	0.428851117241462	-0.413389986213316
TUBA4B	7594.7184	5644.9978	-1949.7206	0.42636848968107	-0.428023454153286
