GENE_ID	locusLine	bin_1_MM5.jin.bam
NM_032236	chr1(.):21999791-22114688	0.3997
NM_001006605	chr1(.):93302720-93432079	0.3505
NM_170692	chr1(.):178057863-178453648	0.1637
NM_206595	chr1(.):216671587-217267976	0.1763
NM_001134285	chr1(.):216671595-217316097	0.1675
NM_001167740	chr1(.):245907641-246675644	0.1854
NM_022743	chr1(.):245907641-246585714	0.1888
NM_001198993	chr1(.):1677670-1715297	0.6261
NM_023018	chr1(.):1677670-1714909	0.6256
NM_001198994	chr1(.):1677670-1716508	0.6101
NM_003820	chr1(.):2482804-2500267	0.4343
NM_012102	chr1(.):8407463-8882699	0.3217
NM_017940	chr1(.):16885411-16944982	0.2223
NM_001113348	chr1(.):21538739-21677034	0.305
NM_001013693	chr1(.):22133757-22156714	0.2249
NM_006990	chr1(.):27727125-27821669	0.3645
NM_002379	chr1(.):31179123-31201432	0.3952
NR_034182	chr1(.):31186618-31204593	0.5118
NM_032017	chr1(.):36800224-36856485	0.5935
NM_181809	chr1(.):39952317-40000541	0.7029
NM_001720	chr1(.):40218902-40259533	0.8424
NM_174964	chr1(.):44168217-44401831	0.2772
NM_148906	chr1(.):52077545-52259891	0.1695
NM_001981	chr1(.):51814934-51989995	0.1925
NM_002227	chr1(.):65293905-65437187	0.5338
NM_002600	chr1(.):66253855-66845262	0.2369
NM_001037341	chr1(.):66253192-66845262	0.2367
NM_001037340	chr1(.):66453389-66845262	0.3162
NM_018841	chr1(.):68162148-68304155	0.2396
NM_012302	chr1(.):82261081-82463107	0.2959
NM_033055	chr1(.):100498788-100553929	0.4427
NM_153713	chr1(.):145472084-145504091	0.2187
NM_001002812	chr1(.):144885590-145000022	0.549
NM_014644	chr1(.):144846426-145000022	0.4506
NM_001198834	chr1(.):144846423-145000033	0.4507
NM_001198832	chr1(.):144846423-145044992	0.425
NM_207168	chr1(.):150594521-150607098	0.4901
NM_020524	chr1(.):154911558-154933567	1.056
NM_005973	chr1(.):156732273-156775609	0.3777
NM_004841	chr1(.):178305605-178453648	0.2721
NM_145034	chr1(.):179804101-179851941	0.3702
NM_022347	chr1(.):179823164-179851941	0.5667
NM_002293	chr1(.):182987594-183119727	0.3861
NM_144977	chr1(.):197516384-197749623	0.1955
NM_001195215	chr1(.):197468878-197749623	0.1772
NM_001167738	chr1(.):201703962-201801102	0.3434
NM_138795	chr1(.):202096976-202118866	0.3211
