2024-07-16 17:15:07 INFO	Starting bamliquidator_batch 1.4.0 with args {'bin_size': 100000, 'regions_file': '/data/projects/IRF4_mm_trn_data/myeloma_public_data/rose/MM5.H3K27ac_ROSE/MM5_SuperEnhancers_HG19_TSS_ENHANCER_GENES_-5000_+5000.gff', 'output_directory': '/data/projects/IRF4_mm_trn_data/myeloma_public_data/rose/MM5.H3K27ac_ROSE/MM5_SuperEnhancers_HG19_TSS_ENHANCER_GENES_-5000_+5000_MM5.jin.bam', 'counts_file': None, 'flatten': False, 'extension': 200, 'sense': '.', 'match_bamToGFF': True, 'region_format': None, 'skip_plot': False, 'black_list': ['chrUn', '_random', 'Zv9_', '_hap'], 'quiet': False, 'number_of_threads': 0, 'xml_timings': False, 'bam_file_path': '/data/projects/MM_TRN/bam_files_jin/MM5.jin.bam'}
2024-07-16 17:15:08 INFO	Liquidating /data/projects/MM_TRN/bam_files_jin/MM5.jin.bam (file 1 of 1)
2024-07-16 17:15:08 WARNING	Excluding invalid region on line 1868: bam file key 1 chr6_apd_hap1 NM_001178045 3140724 -> 3165202 . 0
2024-07-16 17:15:08 WARNING	Excluding invalid region on line 1869: bam file key 1 chr6_apd_hap1 NM_001178044 3140724 -> 3166577 . 0
2024-07-16 17:15:08 WARNING	Excluding invalid region on line 1870: bam file key 1 chr6_apd_hap1 NM_002118 4184389 -> 4200831 . 0
2024-07-16 17:15:08 WARNING	Excluding invalid region on line 1871: bam file key 1 chr6_apd_hap1 NM_021177 3074923 -> 3094494 . 0
2024-07-16 17:15:08 WARNING	Excluding invalid region on line 1872: bam file key 1 chr6_apd_hap1 NM_025258 3043121 -> 3064858 . 0
2024-07-16 17:15:08 WARNING	Excluding invalid region on line 1873: bam file key 1 chr6_apd_hap1 NR_002742 3114607 -> 3124671 . 0
2024-07-16 17:15:08 WARNING	Excluding invalid region on line 1874: bam file key 1 chr6_apd_hap1 NM_000434 3136583 -> 3150464 . 0
2024-07-16 17:15:08 WARNING	Excluding invalid region on line 1875: bam file key 1 chr6_apd_hap1 NM_006295 3055046 -> 3083462 . 0
2024-07-16 17:15:08 WARNING	Excluding invalid region on line 1876: bam file key 1 chr6_apd_hap1 NR_002745 3112793 -> 3122856 . 0
2024-07-16 17:15:08 WARNING	Excluding invalid region on line 1877: bam file key 1 chr6_apd_hap1 NM_005345 3093051 -> 3105480 . 0
2024-07-16 17:15:08 WARNING	Excluding invalid region on line 1878: bam file key 1 chr6_apd_hap1 NM_005527 3087156 -> 3102596 . 0
2024-07-16 17:15:08 WARNING	Excluding invalid region on line 1879: bam file key 1 chr6_apd_hap1 NM_001039651 3040523 -> 3052375 . 0
2024-07-16 17:15:08 WARNING	Excluding invalid region on line 1880: bam file key 1 chr6_apd_hap1 NM_005346 3105275 -> 3117789 . 0
2024-07-16 17:15:08 WARNING	Excluding invalid region on line 1881: bam file key 1 chr6_apd_hap1 NM_001040438 3112446 -> 3127295 . 0
2024-07-16 17:15:08 WARNING	Excluding invalid region on line 1882: bam file key 1 chr6_apd_hap1 NR_003129 3455972 -> 3468308 . 0
2024-07-16 17:15:08 WARNING	Excluding invalid region on line 1883: bam file key 1 chr6_apd_hap1 NM_004557 3472357 -> 3491922 . 0
2024-07-16 17:15:08 WARNING	Excluding invalid region on line 1884: bam file key 1 chr6_apd_hap1 NM_032741 3445723 -> 3465629 . 0
2024-07-16 17:15:08 WARNING	Excluding invalid region on line 1885: bam file key 1 chr6_apd_hap1 NM_002586 3462250 -> 3477701 . 0
2024-07-16 17:15:08 WARNING	Excluding invalid region on line 1886: bam file key 1 chr6_apd_hap1 NM_030651 3425876 -> 3439457 . 0
2024-07-16 17:15:08 WARNING	Excluding invalid region on line 1887: bam file key 1 chr6_apd_hap1 NM_001136 3458486 -> 3471764 . 0
2024-07-16 17:15:08 WARNING	Excluding invalid region on line 1888: bam file key 1 chr6_apd_hap1 NM_022107 3468280 -> 3483038 . 0
2024-07-16 17:15:08 WARNING	Excluding invalid region on line 1889: bam file key 1 chr6_apd_hap1 NM_030652 3442144 -> 3455803 . 0
2024-07-16 17:15:08 WARNING	Excluding invalid region on line 1890: bam file key 1 chr6_apd_hap1 NM_005155 3431359 -> 3451192 . 0
2024-07-16 17:15:08 WARNING	Excluding invalid region on line 1891: bam file key 1 chr6_apd_hap1 NM_006913 3455902 -> 3468311 . 0
2024-07-16 17:15:08 WARNING	Excluding invalid region on line 1892: bam file key 1 chr6_apd_hap1 NM_138717 3431038 -> 3451192 . 0
2024-07-16 17:15:08 WARNING	Excluding invalid region on line 1893: bam file key 1 chr6_apd_hap1 NM_006411 3445723 -> 3463657 . 0
2024-07-16 17:15:08 WARNING	Excluding invalid region on line 1894: bam file key 1 chr6_apd_hap1 NR_037169 3430316 -> 3441880 . 0
2024-07-16 17:15:08 WARNING	Excluding invalid region on line 1895: bam file key 1 chr6_apd_hap1 NM_006120 4198376 -> 4212888 . 0
2024-07-16 17:15:08 WARNING	Excluding invalid region on line 1896: bam file key 1 chr6_apd_hap1 NR_001444 4614306 -> 4625932 . 0
2024-07-16 17:15:08 WARNING	Excluding invalid region on line 1897: bam file key 1 chr6_cox_hap2 NM_021177 3269741 -> 3289314 . 0
2024-07-16 17:15:08 WARNING	Excluding invalid region on line 1898: bam file key 1 chr6_cox_hap2 NM_080679 4569305 -> 4609081 . 0
2024-07-16 17:15:08 WARNING	Excluding invalid region on line 1899: bam file key 1 chr6_cox_hap2 NR_030615 2059161 -> 2069247 . 0
2024-07-16 17:15:08 WARNING	Excluding invalid region on line 1900: bam file key 1 chr6_cox_hap2 NM_002714 2075234 -> 2102073 . 0
2024-07-16 17:15:08 WARNING	Excluding invalid region on line 1901: bam file key 1 chr6_cox_hap2 NM_001090 2046220 -> 2076356 . 0
2024-07-16 17:15:08 WARNING	Excluding invalid region on line 1902: bam file key 1 chr6_cox_hap2 NM_014046 2092538 -> 2111227 . 0
2024-07-16 17:15:08 WARNING	Excluding invalid region on line 1903: bam file key 1 chr6_cox_hap2 NM_001161376 2121866 -> 2138030 . 0
2024-07-16 17:15:08 WARNING	Excluding invalid region on line 1904: bam file key 1 chr6_cox_hap2 NR_033823 2101665 -> 2131649 . 0
2024-07-16 17:15:08 WARNING	Excluding invalid region on line 1905: bam file key 1 chr6_cox_hap2 NM_001031722 2101715 -> 2131649 . 0
2024-07-16 17:15:08 WARNING	Excluding invalid region on line 1906: bam file key 1 chr6_cox_hap2 NM_019052 2619975 -> 2645772 . 0
2024-07-16 17:15:08 WARNING	Excluding invalid region on line 1907: bam file key 1 chr6_cox_hap2 NR_026791 2675309 -> 2691515 . 0
2024-07-16 17:15:08 WARNING	Excluding invalid region on line 1908: bam file key 1 chr6_cox_hap2 NM_001105563 2619975 -> 2645323 . 0
2024-07-16 17:15:08 WARNING	Excluding invalid region on line 1909: bam file key 1 chr6_cox_hap2 NM_007109 2636059 -> 2651745 . 0
2024-07-16 17:15:08 WARNING	Excluding invalid region on line 1910: bam file key 1 chr6_cox_hap2 NM_001173531 2641866 -> 2654380 . 0
2024-07-16 17:15:08 WARNING	Excluding invalid region on line 1911: bam file key 1 chr6_cox_hap2 NR_026816 2651281 -> 2665447 . 0
2024-07-16 17:15:08 WARNING	Excluding invalid region on line 1912: bam file key 1 chr6_cox_hap2 NM_002701 2641866 -> 2658222 . 0
2024-07-16 17:15:08 WARNING	Excluding invalid region on line 1913: bam file key 1 chr6_cox_hap2 NM_001039651 3235358 -> 3247211 . 0
