GENE_ID	locusLine	bin_1_44_0EXW_0229Kronos_MM1S-KB-24hr-2_Input_hs_i90.bam
5_MACS_peak_1_lociStitched	chr1(.):30086-36298	0.1416
1_MACS_peak_6_lociStitched	chr1(.):37352-38029	0.0973
1_MACS_peak_7_lociStitched	chr1(.):39456-40250	0.1278
1_MACS_peak_8_lociStitched	chr1(.):87948-88905	0.2374
1_MACS_peak_9_lociStitched	chr1(.):89662-90376	0.1216
1_MACS_peak_10_lociStitched	chr1(.):93131-94133	0.1688
1_MACS_peak_11_lociStitched	chr1(.):133526-133837	0.0844
1_MACS_peak_12_lociStitched	chr1(.):327681-327984	0.0085
1_MACS_peak_13_lociStitched	chr1(.):330753-331295	0.0927
1_MACS_peak_14_lociStitched	chr1(.):660167-660473	0.0636
1_MACS_peak_15_lociStitched	chr1(.):798022-798509	0.1202
3_MACS_peak_16_lociStitched	chr1(.):799387-801849	0.1266
1_MACS_peak_19_lociStitched	chr1(.):802574-803517	0.0891
1_MACS_peak_20_lociStitched	chr1(.):807867-808266	0.1525
1_MACS_peak_21_lociStitched	chr1(.):809937-810881	0.1164
1_MACS_peak_22_lociStitched	chr1(.):821802-822370	0.1273
2_MACS_peak_23_lociStitched	chr1(.):823545-824451	0.0893
1_MACS_peak_26_lociStitched	chr1(.):825638-826304	0.1279
1_MACS_peak_27_lociStitched	chr1(.):827551-827900	0.0833
1_MACS_peak_28_lociStitched	chr1(.):829580-839650	0.0969
2_MACS_peak_29_lociStitched	chr1(.):840428-844496	0.0777
2_MACS_peak_31_lociStitched	chr1(.):845511-869350	0.0821
2_MACS_peak_33_lociStitched	chr1(.):870237-878762	0.0933
1_MACS_peak_35_lociStitched	chr1(.):894806-895137	0.036
2_MACS_peak_36_lociStitched	chr1(.):908958-909947	0.0591
1_MACS_peak_38_lociStitched	chr1(.):910778-911940	0.1954
5_MACS_peak_39_lociStitched	chr1(.):913450-935024	0.0822
4_MACS_peak_44_lociStitched	chr1(.):935560-945739	0.0896
3_MACS_peak_48_lociStitched	chr1(.):952039-953709	0.1114
6_MACS_peak_51_lociStitched	chr1(.):955528-968502	0.086
2_MACS_peak_57_lociStitched	chr1(.):969358-976239	0.0619
1_MACS_peak_59_lociStitched	chr1(.):977286-977560	0.0258
2_MACS_peak_60_lociStitched	chr1(.):978089-983471	0.0733
1_MACS_peak_62_lociStitched	chr1(.):985785-986364	0.0271
4_MACS_peak_63_lociStitched	chr1(.):987076-1000203	0.0858
2_MACS_peak_67_lociStitched	chr1(.):1000736-1003924	0.0972
1_MACS_peak_69_lociStitched	chr1(.):1004987-1011732	0.0676
1_MACS_peak_70_lociStitched	chr1(.):1012253-1012689	0.0168
1_MACS_peak_71_lociStitched	chr1(.):1013828-1016105	0.0677
4_MACS_peak_72_lociStitched	chr1(.):1052597-1058889	0.0969
2_MACS_peak_76_lociStitched	chr1(.):1059506-1072483	0.0731
1_MACS_peak_78_lociStitched	chr1(.):1075490-1076386	0.1029
1_MACS_peak_79_lociStitched	chr1(.):1076918-1078727	0.0685
1_MACS_peak_80_lociStitched	chr1(.):1079307-1079654	0.073
3_MACS_peak_81_lociStitched	chr1(.):1081640-1086175	0.0627
3_MACS_peak_84_lociStitched	chr1(.):1086746-1088669	0.0761
2_MACS_peak_87_lociStitched	chr1(.):1089343-1092257	0.0662
6_MACS_peak_89_lociStitched	chr1(.):1094054-1124107	0.0888
2_MACS_peak_95_lociStitched	chr1(.):1124863-1128630	0.1157
3_MACS_peak_97_lociStitched	chr1(.):1129319-1132355	0.0998
1_MACS_peak_100_lociStitched	chr1(.):1133171-1133508	0.0226
5_MACS_peak_101_lociStitched	chr1(.):1134233-1149803	0.0721
3_MACS_peak_106_lociStitched	chr1(.):1171772-1179888	0.0722
