GENE	H3k27ac_19_DMSO_compare_TSS_SIGNAL	H3k27ac_19_DMSO_compare_DISTAL_SIGNAL
A1BG	0.0	1166.5312000000001
A1BG-AS1	0.0	1166.5312000000001
A2LD1	883.375	278.1555
A2M	0.0	34.9404
A2ML1	0.0	0.0
A4GALT	0.0	2583.3116
A4GNT	0.0	1458.471
AAA1	0.0	24005.4154
AAAS	5957.112	31770.802299999996
AACS	918.0495000000001	3890.9712
AADAT	0.0	2153.7587
AAGAB	2837.5389000000005	4236.8013
AAK1	12743.2	5233.0658
AAMP	3094.2013	24918.6145
AANAT	0.0	64825.8093
AARS	6546.400000000001	16957.254500000003
AARS2	1725.5106	32705.601300000002
AARSD1	5185.1898	4366.138
AASDH	6769.0	3415.0668
AASDHPPT	9067.8714	670.4925000000001
AASS	2050.4754	3618.0172
AATF	3071.6658	33.867
AATK	0.0	326.1428
ABAT	0.0	227.9052
ABCA1	913.7632000000001	10595.8044
ABCA10	0.0	424.1241
ABCA11P	3838.0272	19.323
ABCA12	0.0	718.9338
ABCA13	0.0	6430.6067
ABCA17P	0.0	451.4653
ABCA2	0.0	6398.6275
ABCA3	0.0	451.4653
ABCA5	3293.192	894.4088999999999
ABCA7	4821.0	52768.69469999999
ABCB1	0.0	20.13
ABCB10	5837.0	1523.5874
ABCB11	0.0	2223.357
ABCB5	0.0	1580.7204000000002
ABCB6	2409.1716	5368.723
ABCB7	2109.4824	0.0
ABCB8	4294.8	11238.6072
ABCB9	4815.443899999999	76390.58330000001
ABCC1	1709.4	2828.5862
ABCC10	5101.2444	2198.9208
ABCC11	0.0	2607.9878
ABCC12	0.0	105.7518
ABCC13	0.0	0.0
ABCC2	0.0	154.9856
ABCC3	0.0	7759.5347
ABCC4	0.0	451.1375
ABCC5	2142.4694999999997	460.9963
ABCC6	0.0	4141.5777
ABCC6P1	0.0	4611.2635
ABCC6P2	0.0	2670.6472
ABCC8	0.0	1382.1019999999999
ABCD1	2312.3644	2524.2794999999996
ABCD2	27410.6	11812.8432
ABCD3	1803.8064	0.0
ABCD4	760.7229	1165.4007
ABCE1	4925.4716	6112.6879
ABCF1	2713.0128	30619.9907
ABCF2	3108.4	456.21979999999996
ABCF3	5877.0	980.5726
ABCG1	916.5310000000001	31093.5095
ABCG2	0.0	18879.8016
ABCG4	0.0	11085.998
ABCG5	0.0	0.0
ABCG8	0.0	0.0
ABHD1	0.0	78971.59839999999
ABHD10	3101.6538	2889.1254
ABHD11	5022.088400000001	3465.9546
ABHD12	5722.6	117492.90359999999
ABHD12B	0.0	4955.4806
ABHD13	3650.5416	49.45080000000001
ABHD14A	2885.374	961.3041000000001
ABHD14B	3949.6225	961.3041000000001
ABHD15	7729.552699999999	3784.2097999999996
ABHD2	3117.9456	97367.8847
ABHD3	4815.2412	5788.0535
ABHD4	4670.052900000001	41056.22360000002
ABHD5	5664.799999999999	1506.8098
ABHD6	1714.3596	979.7431999999999
ABHD8	0.0	6308.2071000000005
ABI1	6629.831999999999	11192.2708
ABI2	2144.7239999999997	2091.6124
ABI3	0.0	7095.471600000001
ABL1	4867.4664999999995	1338.5087999999998
ABL2	2752.6000000000004	12226.841699999999
ABLIM1	2909.7836	249.47560000000001
ABO	0.0	295.7097
ABP1	0.0	2824.4246000000003
ABR	6031.4	37363.422600000005
ABRA	0.0	1475.4432
ABT1	4293.2526	22680.374
ABTB1	2964.866	14858.2689
ABTB2	284.5305	302.2728
ACAA1	5551.7695	129.8784
ACAA2	6945.654	3825.1897
ACACA	4926.7649	4650.615
ACACB	0.0	12173.2528
