#34_0EXA_0229Kronos_MM1S-No-Treatment-2_p300_hs_i50_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/p300_internal_ChIP/rose/34_0EXA_0229Kronos_MM1S-No-Treatment-2_p300_hs_i50_ROSE/34_0EXA_0229Kronos_MM1S-No-Treatment-2_p300_hs_i50_peaks_5KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by X34_0EXA_0229Kronos_MM1S.No.Treatment.2_p300_hs_i50.bam
#Using cutoff of 3322.6445 for Super-Enhancers
#Created on Jul 18 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X34_0EXA_0229Kronos_MM1S.No.Treatment.2_p300_hs_i50.bam	X36_0EXO_0229Kronos_MM1S.No.Treatment.2_Input_hs_i78.bam	enhancerRank	isSuperStretch
8_MACS_peak_6921_lociStitched	chr2	99062038	99107614	8	30303	43037.4168	11977.3728	1	1
6_MACS_peak_9219_lociStitched	chr3	141091641	141132600	6	31345	39128.1327	10870.5186	2	1
7_MACS_peak_11275_lociStitched	chr6	290185	329889	7	23086	34363.812	14047.2752	3	1
4_MACS_peak_11336_lociStitched	chr6	7893097	7919053	4	23743	26633.4516	8087.8896	4	1
4_MACS_peak_5252_lociStitched	chr17	34611601	34641235	4	22703	26697.2706	8830.932	5	1
4_MACS_peak_5247_lociStitched	chr17	34516150	34539744	4	18728	26177.543	7403.7972	6	1
2_MACS_peak_8346_lociStitched	chr22	23269925	23285598	2	10587	28507.6197	4521.6605	7	1
6_MACS_peak_7810_lociStitched	chr20	30279236	30312154	6	18018	23829.3402	8193.2902	8	1
6_MACS_peak_5221_lociStitched	chr17	32690561	32719172	6	15591	20705.7807	6777.9459	9	1
5_MACS_peak_9365_lociStitched	chr3	171802078	171826714	5	14732	21386.5116	7802.2212	10	1
4_MACS_peak_3116_lociStitched	chr12	53582336	53601450	4	13852	15881.8226	5097.7038	11	1
2_MACS_peak_2410_lociStitched	chr11	65183615	65199695	2	14041	15446.448	5126.304	12	1
5_MACS_peak_12929_lociStitched	chr7	150063791	150084406	5	13782	15518.972	6108.2245	13	1
2_MACS_peak_6028_lociStitched	chr19	2082432	2097945	2	12519	16375.5228	5629.6677	14	1
3_MACS_peak_1110_lociStitched	chr1	204474736	204491755	3	11454	17206.209	5505.6465	15	1
7_MACS_peak_12467_lociStitched	chr7	55616432	55642471	7	13696	14443.8333	5671.2942	16	1
2_MACS_peak_11367_lociStitched	chr6	11828086	11836915	2	7539	16511.9958	2396.1906	17	1
3_MACS_peak_2416_lociStitched	chr11	65263925	65278868	3	11869	14076.306	3690.921	18	1
5_MACS_peak_6155_lociStitched	chr19	16244636	16267755	5	9420	16943.9151	5134.7299	19	1
1_MACS_peak_12466_lociStitched	chr7	55598964	55604286	1	5323	15857.9634	1762.6464	20	1
6_MACS_peak_2147_lociStitched	chr11	10324200	10345172	6	11982	13285.762	4123.0952	21	1
3_MACS_peak_5242_lociStitched	chr17	34409699	34421171	3	8202	15170.5728	2793.432	22	1
2_MACS_peak_12980_lociStitched	chr8	2029487	2041269	2	9223	14407.0296	2873.6298	23	1
3_MACS_peak_5431_lociStitched	chr17	56405433	56422685	3	11888	14029.3264	5301.5396	24	1
1_MACS_peak_10389_lociStitched	chr5	9883	12252	1	2370	20448.7342	6210.8073	25	0
5_MACS_peak_10975_lociStitched	chr5	131745981	131763968	5	11457	13495.6461	4633.4512	26	1
6_MACS_peak_13488_lociStitched	chr8	126285248	126308119	6	10195	15193.2053	5120.8169	27	1
4_MACS_peak_1480_lociStitched	chr10	11286613	11304446	4	9195	14269.9666	3614.7491	28	1
3_MACS_peak_1338_lociStitched	chr1	234734176	234749946	3	11119	14013.222	5369.685	29	1
4_MACS_peak_9730_lociStitched	chr4	40194019	40208049	4	12067	11065.461	3883.504	30	1
3_MACS_peak_4682_lociStitched	chr16	11771702	11783851	3	11031	11421.2749	2958.2815	31	1
5_MACS_peak_199_lociStitched	chr1	31216023	31231098	5	11689	10716.8175	3801.915	32	1
4_MACS_peak_5601_lociStitched	chr17	76712633	76726313	4	10995	10556.856	3242.16	33	1
3_MACS_peak_7032_lociStitched	chr2	112456016	112464705	3	5474	14495.8587	2556.3038	34	1
3_MACS_peak_6257_lociStitched	chr19	39891786	39903862	3	11046	9712.7268	2679.6644	35	1
3_MACS_peak_6171_lociStitched	chr19	16694442	16711260	3	9627	12884.2698	4127.1372	36	1
3_MACS_peak_9966_lociStitched	chr4	90209774	90221487	3	10585	10652.9735	3116.8293	37	1
2_MACS_peak_5936_lociStitched	chr18	60822135	60830863	2	8100	12561.3376	2497.9536	38	1
3_MACS_peak_5293_lociStitched	chr17	38470651	38483399	3	8259	12890.7776	3102.8632	39	1
2_MACS_peak_12680_lociStitched	chr7	104578882	104586599	2	5384	13650.6013	2098.2523	40	1
4_MACS_peak_2827_lociStitched	chr12	7052118	7069295	4	10137	11604.7812	3866.5427	41	1
1_MACS_peak_11341_lociStitched	chr6	7960131	7964911	1	4781	13055.136	1315.456	42	1
1_MACS_peak_1987_lociStitched	chr10	112113019	112118841	1	5823	13224.673	1970.1648	43	1
2_MACS_peak_7428_lociStitched	chr2	201980387	201992567	2	9553	11540.55	3331.23	44	1
4_MACS_peak_8188_lociStitched	chr21	36589479	36608380	4	7526	15194.5139	5176.9839	45	1
4_MACS_peak_10599_lociStitched	chr5	55437942	55453380	4	6957	13991.4594	3601.6854	46	1
2_MACS_peak_1100_lociStitched	chr1	203288955	203297810	2	8666	12367.7785	3435.74	47	1
4_MACS_peak_573_lociStitched	chr1	118196552	118207728	4	8005	11176	1781.4544	48	1
3_MACS_peak_6582_lociStitched	chr2	37570367	37584072	3	9422	11368.2975	3375.5415	49	1
2_MACS_peak_6580_lociStitched	chr2	37541743	37553320	2	11449	7549.3617	2882.673	50	1
3_MACS_peak_11455_lociStitched	chr6	25403910	25414813	3	7996	12674.7375	3338.4986	51	1
1_MACS_peak_3404_lociStitched	chr12	109022980	109031457	1	8478	11762.6852	2882.18	52	1
3_MACS_peak_10980_lociStitched	chr5	131790888	131804069	3	9269	11807.5398	3768.4479	53	1
4_MACS_peak_10758_lociStitched	chr5	88114053	88129840	4	9670	11121.9415	3589.9638	54	1
1_MACS_peak_10401_lociStitched	chr5	1312436	1317594	1	5159	12784.103	1827.9952	55	1
3_MACS_peak_8343_lociStitched	chr22	23226596	23240978	3	8521	11412.117	2974.1976	56	1
4_MACS_peak_6461_lociStitched	chr2	11883725	11895122	4	9635	10073.8083	2937.0069	57	1
3_MACS_peak_8385_lociStitched	chr22	29185925	29199236	3	8349	11466.0954	3024.2592	58	1
4_MACS_peak_5687_lociStitched	chr18	9060930	9074423	4	7719	12184.179	3236.9707	59	1
1_MACS_peak_11478_lociStitched	chr6	26358142	26363063	1	4922	11944.7433	1237.6315	60	1
2_MACS_peak_1126_lociStitched	chr1	206287058	206294608	2	6863	12526.205	3124.19	61	1
4_MACS_peak_11468_lociStitched	chr6	26187835	26206711	4	9952	9908.0124	3941.3088	62	1
3_MACS_peak_1967_lociStitched	chr10	105257577	105268133	3	6909	11662.2688	2561.9412	63	1
5_MACS_peak_14022_lociStitched	chr9	112904770	112924942	5	8636	12357.3672	4913.8992	64	1
3_MACS_peak_4128_lociStitched	chr15	31547333	31559751	3	6879	12047.9436	3052.3444	65	1
2_MACS_peak_9403_lociStitched	chr3	177069170	177078997	2	6006	12911.6953	3333.3184	66	1
