REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X34_0EXA_0229Kronos_MM1S.No.Treatment.2_p300_hs_i50.bam	X36_0EXO_0229Kronos_MM1S.No.Treatment.2_Input_hs_i78.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuper
8_MACS_peak_6921_lociStitched	chr2	99062038	99107614	8	30303	43037.4168	11977.3728	1	INPP4A		INPP4A	INPP4A	0.22789999999999996	1	1
6_MACS_peak_9219_lociStitched	chr3	141091641	141132600	6	31345	39128.1327	10870.5186	2	ZBTB38		ZBTB38	ZBTB38	0.2337	2	1
2_MACS_peak_8346_lociStitched	chr22	23269925	23285598	2	10587	28507.6197	4521.6605	3		IGLL5	IGLL5	IGLL5	0.5128	3	1
7_MACS_peak_11275_lociStitched	chr6	290185	329889	7	23086	34363.812	14047.2752	4	DUSP22		DUSP22	DUSP22	0.28759999999999997	4	1
4_MACS_peak_5247_lociStitched	chr17	34516150	34539744	4	18728	26177.543	7403.7972	5	CCL4L1,CCL3L1,CCL3L3	TBC1D3B	CCL3L1	CCL3L1	0.8008	5	1
4_MACS_peak_11336_lociStitched	chr6	7893097	7919053	4	23743	26633.4516	8087.8896	6	MUTED-TXNDC5,TXNDC5		TXNDC5	TXNDC5	0.3781	6	1
4_MACS_peak_5252_lociStitched	chr17	34611601	34641235	4	22703	26697.2706	8830.932	7	CCL4L1,CCL3L1,CCL3L3	TBC1D3C	TBC1D3C	NONE	NONE	7	1
6_MACS_peak_7810_lociStitched	chr20	30279236	30312154	6	18018	23829.3402	8193.2902	8	BCL2L1	TPX2	BCL2L1	BCL2L1	0.2679	8	1
1_MACS_peak_10389_lociStitched	chr5	9883	12252	1	2370	20448.7342	6210.8073	9			PLEKHG4B	PLEKHG4B	NONE	9	1
2_MACS_peak_11367_lociStitched	chr6	11828086	11836915	2	7539	16511.9958	2396.1906	10		C6orf105	C6orf105	C6orf105	0.05610000000000001	10	1
1_MACS_peak_12466_lociStitched	chr7	55598964	55604286	1	5323	15857.9634	1762.6464	11	VOPP1		VOPP1	VOPP1	0.2693	11	1
6_MACS_peak_5221_lociStitched	chr17	32690561	32719172	6	15591	20705.7807	6777.9459	12		CCL8,CCL13,CCL1	CCL1	CCL1	0.36	12	1
5_MACS_peak_9365_lociStitched	chr3	171802078	171826714	5	14732	21386.5116	7802.2212	13	FNDC3B		FNDC3B	FNDC3B	0.0592	13	1
3_MACS_peak_5242_lociStitched	chr17	34409699	34421171	3	8202	15170.5728	2793.432	14	CCL3	CCL18,CCL4	CCL3	CCL3	1.0017	14	1
3_MACS_peak_7032_lociStitched	chr2	112456016	112464705	3	5474	14495.8587	2556.3038	15			ANAPC1	ANAPC1	NONE	15	1
5_MACS_peak_6155_lociStitched	chr19	16244636	16267755	5	9420	16943.9151	5134.7299	16	HSH2D	RAB8A,FAM32A,AP1M1,CIB3	HSH2D	HSH2D	0.35930000000000006	16	1
1_MACS_peak_11341_lociStitched	chr6	7960131	7964911	1	4781	13055.136	1315.456	17	MUTED-TXNDC5	PIP5K1P1,TXNDC5	PIP5K1P1	TXNDC5	0.3781	17	1
3_MACS_peak_1110_lociStitched	chr1	204474736	204491755	3	11454	17206.209	5505.6465	18	MDM4	PIK3C2B	MDM4	MDM4	0.2557	18	1
2_MACS_peak_12680_lociStitched	chr7	104578882	104586599	2	5384	13650.6013	2098.2523	19		LOC723809	LOC723809	LOC723809	0.064	19	1
2_MACS_peak_12980_lociStitched	chr8	2029487	2041269	2	9223	14407.0296	2873.6298	20	MYOM2		MYOM2	MYOM2	0.17079999999999998	20	1
1_MACS_peak_1987_lociStitched	chr10	112113019	112118841	1	5823	13224.673	1970.1648	21		SMNDC1	SMNDC1	SMNDC1	0.02629999999999999	21	1
1_MACS_peak_10401_lociStitched	chr5	1312436	1317594	1	5159	12784.103	1827.9952	22		TERT,CLPTM1L	TERT	CLPTM1L	0.40580000000000005	22	1
4_MACS_peak_3116_lociStitched	chr12	53582336	53601450	4	13852	15881.8226	5097.7038	23	ZNF740,ITGB7	MFSD5,CSAD,RARG	ITGB7	ITGB7	0.44300000000000006	23	1
2_MACS_peak_6028_lociStitched	chr19	2082432	2097945	2	12519	16375.5228	5629.6677	24	IZUMO4,MOBKL2A	MKNK2	MOBKL2A	MOBKL2A	0.3232	24	1
1_MACS_peak_11478_lociStitched	chr6	26358142	26363063	1	4922	11944.7433	1237.6315	25		BTN3A2,BTN2A2,BTN3A1	BTN3A2	BTN3A2	0.3981	25	1
