REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X34_0EXA_0229Kronos_MM1S.No.Treatment.2_p300_hs_i50.bam	X36_0EXO_0229Kronos_MM1S.No.Treatment.2_Input_hs_i78.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isStretch
6_MACS_peak_9219_lociStitched	chr3	141091641	141132600	6	31345	39128.1327	10870.5186	1	ZBTB38		ZBTB38	ZBTB38	0.2337	1	1
8_MACS_peak_6921_lociStitched	chr2	99062038	99107614	8	30303	43037.4168	11977.3728	2	INPP4A		INPP4A	INPP4A	0.22789999999999996	2	1
4_MACS_peak_11336_lociStitched	chr6	7893097	7919053	4	23743	26633.4516	8087.8896	3	MUTED-TXNDC5,TXNDC5		TXNDC5	TXNDC5	0.3781	3	1
7_MACS_peak_11275_lociStitched	chr6	290185	329889	7	23086	34363.812	14047.2752	4	DUSP22		DUSP22	DUSP22	0.28759999999999997	4	1
4_MACS_peak_5252_lociStitched	chr17	34611601	34641235	4	22703	26697.2706	8830.932	5	CCL4L1,CCL3L1,CCL3L3	TBC1D3C	TBC1D3C	NONE	NONE	5	1
4_MACS_peak_5247_lociStitched	chr17	34516150	34539744	4	18728	26177.543	7403.7972	6	CCL4L1,CCL3L1,CCL3L3	TBC1D3B	CCL3L1	CCL3L1	0.8008	6	1
6_MACS_peak_7810_lociStitched	chr20	30279236	30312154	6	18018	23829.3402	8193.2902	7	BCL2L1	TPX2	BCL2L1	BCL2L1	0.2679	7	1
6_MACS_peak_5221_lociStitched	chr17	32690561	32719172	6	15591	20705.7807	6777.9459	8		CCL8,CCL13,CCL1	CCL1	CCL1	0.36	8	1
5_MACS_peak_9365_lociStitched	chr3	171802078	171826714	5	14732	21386.5116	7802.2212	9	FNDC3B		FNDC3B	FNDC3B	0.0592	9	1
2_MACS_peak_2410_lociStitched	chr11	65183615	65199695	2	14041	15446.448	5126.304	10	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	NEAT1	0.6755	10	1
4_MACS_peak_3116_lociStitched	chr12	53582336	53601450	4	13852	15881.8226	5097.7038	11	ZNF740,ITGB7	MFSD5,CSAD,RARG	ITGB7	ITGB7	0.44300000000000006	11	1
5_MACS_peak_12929_lociStitched	chr7	150063791	150084406	5	13782	15518.972	6108.2245	12	REPIN1,ZNF775	LRRC61,C7orf29,LOC728743,LOC285972,ACTR3C,RARRES2	ZNF775	LOC728743	0.26330000000000003	12	1
7_MACS_peak_12467_lociStitched	chr7	55616432	55642471	7	13696	14443.8333	5671.2942	13	VOPP1		VOPP1	VOPP1	0.2693	13	1
2_MACS_peak_6028_lociStitched	chr19	2082432	2097945	2	12519	16375.5228	5629.6677	14	IZUMO4,MOBKL2A	MKNK2	MOBKL2A	MOBKL2A	0.3232	14	1
4_MACS_peak_9730_lociStitched	chr4	40194019	40208049	4	12067	11065.461	3883.504	15	RHOH		RHOH	RHOH	0.1518	15	1
6_MACS_peak_2147_lociStitched	chr11	10324200	10345172	6	11982	13285.762	4123.0952	16	ADM	SBF2	ADM	ADM	0.5035000000000001	16	1
3_MACS_peak_5431_lociStitched	chr17	56405433	56422685	3	11888	14029.3264	5301.5396	17	BZRAP1,MIR142,SUPT4H1	MPO	MIR142	MIR142	0.2434	17	1
3_MACS_peak_2416_lociStitched	chr11	65263925	65278868	3	11869	14076.306	3690.921	18	MALAT1	SCYL1,LTBP3	MALAT1	MALAT1	0.5595000000000001	18	1
5_MACS_peak_199_lociStitched	chr1	31216023	31231098	5	11689	10716.8175	3801.915	19	LAPTM5	LOC100129196,MATN1	LAPTM5	LAPTM5	0.21100000000000002	19	1
5_MACS_peak_10975_lociStitched	chr5	131745981	131763968	5	11457	13495.6461	4633.4512	20	C5orf56	SLC22A5,MIR3936	C5orf56	C5orf56	0.2669	20	1
3_MACS_peak_1110_lociStitched	chr1	204474736	204491755	3	11454	17206.209	5505.6465	21	MDM4	PIK3C2B	MDM4	MDM4	0.2557	21	1
2_MACS_peak_6580_lociStitched	chr2	37541743	37553320	2	11449	7549.3617	2882.673	22	PRKD3	QPCT	PRKD3	QPCT	0.372	22	1
3_MACS_peak_1338_lociStitched	chr1	234734176	234749946	3	11119	14013.222	5369.685	23	IRF2BP2	NCRNA00184	IRF2BP2	IRF2BP2	0.5603	23	1
3_MACS_peak_6257_lociStitched	chr19	39891786	39903862	3	11046	9712.7268	2679.6644	24	ZFP36,PLEKHG2	MED29,SUPT5H,PAF1,RPS16	ZFP36	ZFP36	0.49950000000000006	24	1
3_MACS_peak_4682_lociStitched	chr16	11771702	11783851	3	11031	11421.2749	2958.2815	25	SNN,TXNDC11		SNN	SNN	0.26959999999999995	25	1
4_MACS_peak_5601_lociStitched	chr17	76712633	76726313	4	10995	10556.856	3242.16	26	CYTH1		CYTH1	CYTH1	0.1463	26	1
2_MACS_peak_8346_lociStitched	chr22	23269925	23285598	2	10587	28507.6197	4521.6605	27		IGLL5	IGLL5	IGLL5	0.5128	27	1
3_MACS_peak_9966_lociStitched	chr4	90209774	90221487	3	10585	10652.9735	3116.8293	28	GPRIN3		GPRIN3	GPRIN3	0.16240000000000002	28	1
